tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-PR-AUS-01A-2015,2015,Brisbane,P,2015-01-05,,Hard,,,30,,,LS017,2015-01-05,R32,Yaroslava Shvedova,Sabine Lisicki,KAZ,GER,,,0-6,7-5,6-4,,311137,312520,W-PR-AUS-01A-2015,2015,Yaroslava Shvedova,Sabine Lisicki,KAZ,GER,,,Q,Yaroslava Shvedova,Sabine Lisicki,3,"0-6,7-5,6-4",,2015-01-05,,Brisbane,,,,,311137,,312520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-AUS-01A-2015,2015,Brisbane,P,2015-01-05,,Hard,,,30,,,LS019,2015-01-05,R32,Mirjana Lucic,Christina Mchale,CRO,USA,,,6-3,6-0,,,,314917,W-PR-AUS-01A-2015,2015,Mirjana Lucic,Christina Mchale,CRO,USA,,,,Mirjana Lucic,Christina Mchale,2,"6-3,6-0",,2015-01-05,,Brisbane,,,,,,,314917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-AUS-01A-2015,2015,Brisbane,P,2015-01-05,,Hard,,,30,,,LS018,2015-01-05,R32,Carla Suarez Navarro,Tsvetana Pironkova,ESP,BUL,7.0,,3-6,6-2,6-1,,311338,311041,W-PR-AUS-01A-2015,2015,Carla Suarez Navarro,Tsvetana Pironkova,ESP,BUL,7.0,,,Carla Suarez Navarro,Tsvetana Pironkova,3,"3-6,6-2,6-1",,2015-01-05,,Brisbane,,,,,311338,,311041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-AUS-01A-2015,2015,Brisbane,P,2015-01-05,,Hard,,,30,,,LS022,2015-01-05,R32,Angelique Kerber,Caroline Garcia,GER,FRA,3.0,,6-4,6-3,,,311470,315391,W-PR-AUS-01A-2015,2015,Angelique Kerber,Caroline Garcia,GER,FRA,3.0,,,Angelique Kerber,Caroline Garcia,2,"6-4,6-3",,2015-01-05,,Brisbane,,,,,311470,,315391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-AUS-01A-2015,2015,Brisbane,P,2015-01-05,,Hard,,,30,,,LS023,2015-01-05,R32,Daria Saville,Alison Riske Amritraj,AUS,USA,,,7-5,6-3,,,315997,312850,W-PR-AUS-01A-2015,2015,Daria Saville,Alison Riske Amritraj,AUS,USA,,,Q,Daria Saville,Alison Riske Amritraj,2,"7-5,6-3",,2015-01-05,,Brisbane,,,,,315997,,312850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-AUS-01A-2015,2015,Brisbane,P,2015-01-05,,Hard,,,30,,,LS020,2015-01-05,R32,Elina Svitolina,Magdalena Rybarikova,UKR,SVK,,,6-0,6-2,,,316738,312580,W-PR-AUS-01A-2015,2015,Elina Svitolina,Magdalena Rybarikova,UKR,SVK,,,,Elina Svitolina,Magdalena Rybarikova,2,"6-0,6-2",,2015-01-05,,Brisbane,,,,,316738,,312580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-AUS-01A-2015,2015,Brisbane,P,2015-01-05,,Hard,,,30,,,LS021,2015-01-05,R32,Ajla Tomljanovic,Jelena Jankovic,AUS,SRB,,6.0,7-6(6),6-0,,,315232,100153,W-PR-AUS-01A-2015,2015,Ajla Tomljanovic,Jelena Jankovic,AUS,SRB,,6.0,WC,Ajla Tomljanovic,Jelena Jankovic,2,"7-6(6),6-0",,2015-01-05,,Brisbane,,,,,315232,,100153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-AUS-01A-2015,2015,Brisbane,P,2015-01-05,,Hard,,,30,,,LS030,2015-01-05,R32,Alla Kudryavtseva,Bethanie Mattek Sands,RUS,USA,,,6-4,6-2,,,311362,130713,W-PR-AUS-01A-2015,2015,Alla Kudryavtseva,Bethanie Mattek Sands,RUS,USA,,,LL,Alla Kudryavtseva,Bethanie Mattek Sands,2,"6-4,6-2",,2015-01-05,,Brisbane,,,,,311362,,130713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-AUS-01A-2015,2015,Brisbane,P,2015-01-05,,Hard,,,30,,,LS031,2015-01-05,R32,Karolina Pliskova,Victoria Azarenka,CZE,BLR,,,4-6,7-6(7),6-4,,313974,312001,W-PR-AUS-01A-2015,2015,Karolina Pliskova,Victoria Azarenka,CZE,BLR,,,,Karolina Pliskova,Victoria Azarenka,3,"4-6,7-6(7),6-4",,2015-01-05,,Brisbane,,,,,313974,,312001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-AUS-01A-2015,2015,Brisbane,P,2015-01-05,,Hard,,,30,,,LS028,2015-01-05,R32,Varvara Lepchenko,Samantha Stosur,USA,AUS,,,4-6,6-4,7-5,,120420,190787,W-PR-AUS-01A-2015,2015,Varvara Lepchenko,Samantha Stosur,USA,AUS,,,,Varvara Lepchenko,Samantha Stosur,3,"4-6,6-4,7-5",,2015-01-05,,Brisbane,,,,,120420,,190787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
