tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-PR-BEL-01A-2015,2015,Antwerp,P,2015-02-09,,Hard,,,28,,,LS022,2015-02-09,R32,Mona Barthel,Klaartje Liebens,GER,BEL,,,6-2,6-0,,,315365,319400,W-PR-BEL-01A-2015,2015,Mona Barthel,Klaartje Liebens,GER,BEL,,,,Mona Barthel,Klaartje Liebens,2,"6-2,6-0",,2015-02-09,,Antwerp,,,,,315365,,319400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-BEL-01A-2015,2015,Antwerp,P,2015-02-09,,Hard,,,28,,,LS020,2015-02-09,R32,Barbora Strycova,Yanina Wickmayer,CZE,BEL,,,6-2,6-2,,,190879,312536,W-PR-BEL-01A-2015,2015,Barbora Strycova,Yanina Wickmayer,CZE,BEL,,,,Barbora Strycova,Yanina Wickmayer,2,"6-2,6-2",,2015-02-09,,Antwerp,,,,,190879,,312536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-BEL-01A-2015,2015,Antwerp,P,2015-02-09,,Hard,,,28,,,LS021,2015-02-09,R32,Alize Cornet,Belinda Bencic,FRA,SUI,7.0,,1-6,6-2,7-5,,312121,319001,W-PR-BEL-01A-2015,2015,Alize Cornet,Belinda Bencic,FRA,SUI,7.0,,,Alize Cornet,Belinda Bencic,3,"1-6,6-2,7-5",,2015-02-09,,Antwerp,,,,,312121,,319001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-BEL-01A-2015,2015,Antwerp,P,2015-02-09,,Hard,,,28,,,LS017,2015-02-09,R32,Alison Van Uytvanck,Magdalena Rybarikova,BEL,SVK,,,6-2,6-3,,,317819,312580,W-PR-BEL-01A-2015,2015,Alison Van Uytvanck,Magdalena Rybarikova,BEL,SVK,,,WC,Alison Van Uytvanck,Magdalena Rybarikova,2,"6-2,6-3",,2015-02-09,,Antwerp,,,,,317819,,312580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-BEL-01A-2015,2015,Antwerp,P,2015-02-09,,Hard,,,28,,,LS019,2015-02-09,R32,Indy De Vroome,Tsvetana Pironkova,NED,BUL,,,5-7,6-3,6-3,,319266,311041,W-PR-BEL-01A-2015,2015,Indy De Vroome,Tsvetana Pironkova,NED,BUL,,,Q,Indy De Vroome,Tsvetana Pironkova,3,"5-7,6-3,6-3",,2015-02-09,,Antwerp,,,,,319266,,311041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-BEL-01A-2015,2015,Antwerp,P,2015-02-09,,Hard,,,28,,,LS018,2015-02-09,R32,Dominika Cibulkova,Kateryna Bondarenko,SVK,UKR,6.0,,6-1,6-2,,,312894,,W-PR-BEL-01A-2015,2015,Dominika Cibulkova,Kateryna Bondarenko,SVK,UKR,6.0,,,Dominika Cibulkova,Kateryna Bondarenko,2,"6-1,6-2",,2015-02-09,,Antwerp,,,,,312894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-BEL-01A-2015,2015,Antwerp,P,2015-02-09,,Hard,,,28,,,LS028,2015-02-09,R32,Karolina Pliskova,Mirjana Lucic,CZE,CRO,8.0,,6-4,7-6(5),,,313974,,W-PR-BEL-01A-2015,2015,Karolina Pliskova,Mirjana Lucic,CZE,CRO,8.0,,,Karolina Pliskova,Mirjana Lucic,2,"6-4,7-6(5)",,2015-02-09,,Antwerp,,,,,313974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-BEL-01A-2015,2015,Antwerp,P,2015-02-09,,Hard,,,28,,,LS029,2015-02-09,R32,Annika Beck,Karin Knapp,GER,ITA,,,6-3,6-1,,,316979,311299,W-PR-BEL-01A-2015,2015,Annika Beck,Karin Knapp,GER,ITA,,,,Annika Beck,Karin Knapp,2,"6-3,6-1",,2015-02-09,,Antwerp,,,,,316979,,311299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-BEL-01A-2015,2015,Antwerp,P,2015-02-09,,Hard,,,28,,,LS031,2015-02-09,R32,Kristina Mladenovic,Silvia Soler Espinosa,FRA,ESP,,,6-2,1-0,,,315616,311493,W-PR-BEL-01A-2015,2015,Kristina Mladenovic,Silvia Soler Espinosa,FRA,ESP,,,,Kristina Mladenovic,Silvia Soler Espinosa,2,"6-2,1-0",,2015-02-09,,Antwerp,,,,,315616,,311493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-BEL-01A-2015,2015,Antwerp,P,2015-02-09,,Hard,,,28,,,LS024,2015-02-09,R32,Carla Suarez Navarro,Camila Giorgi,ESP,ITA,5.0,,1-6,6-2,6-4,,311338,314610,W-PR-BEL-01A-2015,2015,Carla Suarez Navarro,Camila Giorgi,ESP,ITA,5.0,,,Carla Suarez Navarro,Camila Giorgi,3,"1-6,6-2,6-4",,2015-02-09,,Antwerp,,,,,311338,,314610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
