tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-PR-FRA-01A-2014,2014,Paris,P,2014-01-27,,Carpet,,,28,,,LS021,2014-01-27,R32,Daniela Hantuchova,Marina Erakovic,SVK,NZL,,,6-3,3-0,,,80394,312086,W-PR-FRA-01A-2014,2014,Daniela Hantuchova,Marina Erakovic,SVK,NZL,,,,Daniela Hantuchova,Marina Erakovic,2,"6-3,3-0",,2014-01-27,,Paris,,,,,80394,,312086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-FRA-01A-2014,2014,Paris,P,2014-01-27,,Carpet,,,28,,,LS023,2014-01-27,R32,Yvonne Meusburger,Anna Lena Friedsam,AUT,GER,,,7-5,6-1,,,130698,319091,W-PR-FRA-01A-2014,2014,Yvonne Meusburger,Anna Lena Friedsam,AUT,GER,,,,Yvonne Meusburger,Anna Lena Friedsam,2,"7-5,6-1",,2014-01-27,,Paris,,,,,130698,,319091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-FRA-01A-2014,2014,Paris,P,2014-01-27,,Carpet,,,28,,,LS022,2014-01-27,R32,Kirsten Flipkens,Mona Barthel,BEL,GER,,,6-3,4-6,6-2,,310331,315365,W-PR-FRA-01A-2014,2014,Kirsten Flipkens,Mona Barthel,BEL,GER,,,,Kirsten Flipkens,Mona Barthel,3,"6-3,4-6,6-2",,2014-01-27,,Paris,,,,,310331,,315365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-FRA-01A-2014,2014,Paris,P,2014-01-27,,Carpet,,,28,,,LS019,2014-01-27,R32,Klara Koukalova,Caroline Garcia,CZE,FRA,,,7-6(4),6-2,,,110492,315391,W-PR-FRA-01A-2014,2014,Klara Koukalova,Caroline Garcia,CZE,FRA,,,,Klara Koukalova,Caroline Garcia,2,"7-6(4),6-2",,2014-01-27,,Paris,,,,,110492,,315391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-FRA-01A-2014,2014,Paris,P,2014-01-27,,Carpet,,,28,,,LS016,2014-01-27,R32,Anastasia Pavlyuchenkova,Francesca Schiavone,RUS,ITA,,,1-6,6-4,6-1,,313796,190666,W-PR-FRA-01A-2014,2014,Anastasia Pavlyuchenkova,Francesca Schiavone,RUS,ITA,,,,Anastasia Pavlyuchenkova,Francesca Schiavone,3,"1-6,6-4,6-1",,2014-01-27,,Paris,,,,,313796,,190666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-FRA-01A-2014,2014,Paris,P,2014-01-27,,Carpet,,,28,,,LS017,2014-01-27,R32,Carla Suarez Navarro,Johanna Larsson,ESP,SWE,,,6-1,6-4,,,311338,311593,W-PR-FRA-01A-2014,2014,Carla Suarez Navarro,Johanna Larsson,ESP,SWE,,,,Carla Suarez Navarro,Johanna Larsson,2,"6-1,6-4",,2014-01-27,,Paris,,,,,311338,,311593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-FRA-01A-2014,2014,Paris,P,2014-01-27,,Carpet,,,28,,,LS026,2014-01-27,R32,Elina Svitolina,Roberta Vinci,UKR,ITA,6.0,6.0,6-3,0-6,7-5,,316738,220214,W-PR-FRA-01A-2014,2014,Elina Svitolina,Roberta Vinci,UKR,ITA,6.0,6.0,,Elina Svitolina,Roberta Vinci,3,"6-3,0-6,7-5",,2014-01-27,,Paris,,,,,316738,,220214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-FRA-01A-2014,2014,Paris,P,2014-01-27,,Carpet,,,28,,,LS027,2014-01-27,R32,Galina Voskoboeva,Stefanie Voegele,KAZ,SUI,,,5-7,7-5,7-6(3),,310419,312336,W-PR-FRA-01A-2014,2014,Galina Voskoboeva,Stefanie Voegele,KAZ,SUI,,,Q,Galina Voskoboeva,Stefanie Voegele,3,"5-7,7-5,7-6(3)",,2014-01-27,,Paris,,,,,310419,,312336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-FRA-01A-2014,2014,Paris,P,2014-01-27,,Carpet,,,28,,,LS025,2014-01-27,R32,Karin Knapp,Lara Arruabarrena,ITA,ESP,,,6-4,6-1,,,311299,315296,W-PR-FRA-01A-2014,2014,Karin Knapp,Lara Arruabarrena,ITA,ESP,,,,Karin Knapp,Lara Arruabarrena,2,"6-4,6-1",,2014-01-27,,Paris,,,,,311299,,315296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-FRA-01A-2014,2014,Paris,P,2014-01-27,,Carpet,,,28,,,LS031,2014-01-27,R32,Kristina Mladenovic,Simona Halep,FRA,ROU,5.0,5.0,7-6(1),6-4,,,315616,314320,W-PR-FRA-01A-2014,2014,Kristina Mladenovic,Simona Halep,FRA,ROU,5.0,5.0,WC,Kristina Mladenovic,Simona Halep,2,"7-6(1),6-4",,2014-01-27,,Paris,,,,,315616,,314320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
