tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-PR-ITA-01A-2013,2013,Rome,P,2013-05-13,,Clay,,,56,,,LS033,2013-05-13,R64,Laura Robson,Venus Williams,GBR,USA,,,6-3,6-2,,,316629,230220,W-PR-ITA-01A-2013,2013,Laura Robson,Venus Williams,GBR,USA,,,,Laura Robson,Venus Williams,2,"6-3,6-2",,2013-05-13,,Rome,,,,,316629,,230220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-ITA-01A-2013,2013,Rome,P,2013-05-13,,Clay,,,56,,,LS035,2013-05-13,R64,Melanie Oudin,Kate Makarova,USA,RUS,,,2-6,7-5,4-2,,313963,,W-PR-ITA-01A-2013,2013,Melanie Oudin,Kate Makarova,USA,RUS,,,Q,Melanie Oudin,Kate Makarova,3,"2-6,7-5,4-2",,2013-05-13,,Rome,,,,,313963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-ITA-01A-2013,2013,Rome,P,2013-05-13,,Clay,,,56,,,LS034,2013-05-13,R64,Dominika Cibulkova,Kristina Mladenovic,SVK,FRA,14.0,,1-6,6-2,6-2,,312894,315616,W-PR-ITA-01A-2013,2013,Dominika Cibulkova,Kristina Mladenovic,SVK,FRA,14.0,,,Dominika Cibulkova,Kristina Mladenovic,3,"1-6,6-2,6-2",,2013-05-13,,Rome,,,,,312894,,315616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-ITA-01A-2013,2013,Rome,P,2013-05-13,,Clay,,,56,,,LS036,2013-05-13,R64,Carla Suarez Navarro,Nadia Petrova,ESP,RUS,,11.0,3-6,6-2,7-6(1),,311338,160379,W-PR-ITA-01A-2013,2013,Carla Suarez Navarro,Nadia Petrova,ESP,RUS,,11.0,,Carla Suarez Navarro,Nadia Petrova,3,"3-6,6-2,7-6(1)",,2013-05-13,,Rome,,,,,311338,,160379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-ITA-01A-2013,2013,Rome,P,2013-05-13,,Clay,,,56,,,LS037,2013-05-13,R64,Romina Oprandi,Anastasia Pavlyuchenkova,SUI,RUS,,,6-2,6-0,,,150185,313796,W-PR-ITA-01A-2013,2013,Romina Oprandi,Anastasia Pavlyuchenkova,SUI,RUS,,,,Romina Oprandi,Anastasia Pavlyuchenkova,2,"6-2,6-0",,2013-05-13,,Rome,,,,,150185,,313796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-ITA-01A-2013,2013,Rome,P,2013-05-13,,Clay,,,56,,,LS039,2013-05-13,R64,Yanina Wickmayer,Kirsten Flipkens,BEL,BEL,,,6-4,6-0,,,312536,310331,W-PR-ITA-01A-2013,2013,Yanina Wickmayer,Kirsten Flipkens,BEL,BEL,,,,Yanina Wickmayer,Kirsten Flipkens,2,"6-4,6-0",,2013-05-13,,Rome,,,,,312536,,310331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-ITA-01A-2013,2013,Rome,P,2013-05-13,,Clay,,,56,,,LS040,2013-05-13,R64,Simona Halep,Svetlana Kuznetsova,ROU,RUS,,,6-1,6-1,,,314320,110552,W-PR-ITA-01A-2013,2013,Simona Halep,Svetlana Kuznetsova,ROU,RUS,,,Q,Simona Halep,Svetlana Kuznetsova,2,"6-1,6-1",,2013-05-13,,Rome,,,,,314320,,110552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-ITA-01A-2013,2013,Rome,P,2013-05-13,,Clay,,,56,,,LS043,2013-05-13,R64,Nastassja Burnett,Alize Cornet,ITA,FRA,,,6-2,6-2,,,314192,312121,W-PR-ITA-01A-2013,2013,Nastassja Burnett,Alize Cornet,ITA,FRA,,,WC,Nastassja Burnett,Alize Cornet,2,"6-2,6-2",,2013-05-13,,Rome,,,,,314192,,312121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-ITA-01A-2013,2013,Rome,P,2013-05-13,,Clay,,,56,,,LS042,2013-05-13,R64,Roberta Vinci,Elena Vesnina,ITA,RUS,13.0,,6-7(2),7-5,6-4,,220214,311220,W-PR-ITA-01A-2013,2013,Roberta Vinci,Elena Vesnina,ITA,RUS,13.0,,,Roberta Vinci,Elena Vesnina,3,"6-7(2),7-5,6-4",,2013-05-13,,Rome,,,,,220214,,311220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-ITA-01A-2013,2013,Rome,P,2013-05-13,,Clay,,,56,,,LS045,2013-05-13,R64,Bojana Jovanovski,Caroline Wozniacki,SRB,DEN,,10.0,2-6,6-4,7-6(5),,,313402,W-PR-ITA-01A-2013,2013,Bojana Jovanovski,Caroline Wozniacki,SRB,DEN,,10.0,,Bojana Jovanovski,Caroline Wozniacki,3,"2-6,6-4,7-6(5)",,2013-05-13,,Rome,,,,,,,313402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
