tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-PR-UAE-01A-2014,2014,Dubai,P,2014-02-17,,Hard,,,28,,,LS029,2014-02-17,R32,Kate Makarova,Alisa Kleybanova,RUS,RUS,,,6-4,6-7(3),6-4,,,311777,W-PR-UAE-01A-2014,2014,Kate Makarova,Alisa Kleybanova,RUS,RUS,,,,Kate Makarova,Alisa Kleybanova,3,"6-4,6-7(3),6-4",,2014-02-17,,Dubai,,,,,,,311777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-UAE-01A-2014,2014,Dubai,P,2014-02-17,,Hard,,,28,,,LS031,2014-02-17,R32,Lucie Safarova,Sloane Stephens,CZE,USA,,,6-3,7-5,,,310553,315683,W-PR-UAE-01A-2014,2014,Lucie Safarova,Sloane Stephens,CZE,USA,,,,Lucie Safarova,Sloane Stephens,2,"6-3,7-5",,2014-02-17,,Dubai,,,,,310553,,315683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-UAE-01A-2014,2014,Dubai,P,2014-02-17,,Hard,,,28,,,LS030,2014-02-17,R32,Jelena Jankovic,Maryna Zanevska,SRB,BEL,,,6-4,6-3,,,100153,317094,W-PR-UAE-01A-2014,2014,Jelena Jankovic,Maryna Zanevska,SRB,BEL,,,,Jelena Jankovic,Maryna Zanevska,2,"6-4,6-3",,2014-02-17,,Dubai,,,,,100153,,317094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-UAE-01A-2014,2014,Dubai,P,2014-02-17,,Hard,,,28,,,LS026,2014-02-17,R32,Carla Suarez Navarro,Nadia Petrova,ESP,RUS,,,6-3,6-2,,,311338,160379,W-PR-UAE-01A-2014,2014,Carla Suarez Navarro,Nadia Petrova,ESP,RUS,,,,Carla Suarez Navarro,Nadia Petrova,2,"6-3,6-2",,2014-02-17,,Dubai,,,,,311338,,160379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-UAE-01A-2014,2014,Dubai,P,2014-02-17,,Hard,,,28,,,LS025,2014-02-17,R32,Kirsten Flipkens,Karolina Pliskova,BEL,CZE,,,6-1,7-5,,,310331,313974,W-PR-UAE-01A-2014,2014,Kirsten Flipkens,Karolina Pliskova,BEL,CZE,,,,Kirsten Flipkens,Karolina Pliskova,2,"6-1,7-5",,2014-02-17,,Dubai,,,,,310331,,313974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-UAE-01A-2014,2014,Dubai,P,2014-02-17,,Hard,,,28,,,LS024,2014-02-17,R32,Alize Cornet,Simona Halep,FRA,ROU,,,6-1,1-1,,,312121,314320,W-PR-UAE-01A-2014,2014,Alize Cornet,Simona Halep,FRA,ROU,,,,Alize Cornet,Simona Halep,2,"6-1,1-1",,2014-02-17,,Dubai,,,,,312121,,314320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-UAE-01A-2014,2014,Dubai,P,2014-02-17,,Hard,,,28,,,LS020,2014-02-17,R32,Caroline Wozniacki,Sabine Lisicki,DEN,GER,8.0,8.0,2-6,6-3,6-3,,313402,312520,W-PR-UAE-01A-2014,2014,Caroline Wozniacki,Sabine Lisicki,DEN,GER,8.0,8.0,,Caroline Wozniacki,Sabine Lisicki,3,"2-6,6-3,6-3",,2014-02-17,,Dubai,,,,,313402,,312520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-UAE-01A-2014,2014,Dubai,P,2014-02-17,,Hard,,,28,,,LS021,2014-02-17,R32,Annika Beck,Samantha Stosur,GER,AUS,,,1-6,6-1,6-4,,316979,190787,W-PR-UAE-01A-2014,2014,Annika Beck,Samantha Stosur,GER,AUS,,,Q,Annika Beck,Samantha Stosur,3,"1-6,6-1,6-4",,2014-02-17,,Dubai,,,,,316979,,190787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-UAE-01A-2014,2014,Dubai,P,2014-02-17,,Hard,,,28,,,LS022,2014-02-17,R32,Sorana Cirstea,Roberta Vinci,ROU,ITA,,,6-4,6-3,,,312469,220214,W-PR-UAE-01A-2014,2014,Sorana Cirstea,Roberta Vinci,ROU,ITA,,,,Sorana Cirstea,Roberta Vinci,2,"6-4,6-3",,2014-02-17,,Dubai,,,,,312469,,220214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-UAE-01A-2014,2014,Dubai,P,2014-02-17,,Hard,,,28,,,LS017,2014-02-17,R32,Ana Ivanovic,Angelique Kerber,SRB,GER,6.0,6.0,3-6,6-3,7-6(6),,311710,311470,W-PR-UAE-01A-2014,2014,Ana Ivanovic,Angelique Kerber,SRB,GER,6.0,6.0,,Ana Ivanovic,Angelique Kerber,3,"3-6,6-3,7-6(6)",,2014-02-17,,Dubai,,,,,311710,,311470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
