tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-SL-AUS-01A-2009,2009,Australian Open,G,2009-01-19,,Hard,,,128,,,LS124,2009-01-19,R128,Jelena Jankovic,Yvonne Meusburger,SRB,AUT,1.0,,6-1,6-3,,,100153,130698,W-SL-AUS-01A-2009,2009,Jelena Jankovic,Yvonne Meusburger,SRB,AUT,1.0,,,Jelena Jankovic,Yvonne Meusburger,2,"6-1,6-3",,2009-01-19,,Australian Open,,,,,100153,,130698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-AUS-01A-2009,2009,Australian Open,G,2009-01-19,,Hard,,,128,,,LS125,2009-01-19,R128,Kirsten Flipkens,Rossana De Los Rios,BEL,PAR,,,6-3,6-2,,,310331,40148,W-SL-AUS-01A-2009,2009,Kirsten Flipkens,Rossana De Los Rios,BEL,PAR,,,,Kirsten Flipkens,Rossana De Los Rios,2,"6-3,6-2",,2009-01-19,,Australian Open,,,,,310331,,40148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-AUS-01A-2009,2009,Australian Open,G,2009-01-19,,Hard,,,128,,,LS127,2009-01-19,R128,Nathalie Dechy,Viktoria Kutuzova,FRA,UKR,,,6-3,6-0,,,40254,311393,W-SL-AUS-01A-2009,2009,Nathalie Dechy,Viktoria Kutuzova,FRA,UKR,,,,Nathalie Dechy,Viktoria Kutuzova,2,"6-3,6-0",,2009-01-19,,Australian Open,,,,,40254,,311393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-AUS-01A-2009,2009,Australian Open,G,2009-01-19,,Hard,,,128,,,LS126,2009-01-19,R128,Ai Sugiyama,Stephanie Dubois,JPN,CAN,26.0,,6-0,7-6(5),,,190353,310290,W-SL-AUS-01A-2009,2009,Ai Sugiyama,Stephanie Dubois,JPN,CAN,26.0,,,Ai Sugiyama,Stephanie Dubois,2,"6-0,7-6(5)",,2009-01-19,,Australian Open,,,,,190353,,310290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-AUS-01A-2009,2009,Australian Open,G,2009-01-19,,Hard,,,128,,,LS122,2009-01-19,R128,Lucie Safarova,Sybille Bammer,CZE,AUT,,24.0,6-3,6-1,,,310553,20463,W-SL-AUS-01A-2009,2009,Lucie Safarova,Sybille Bammer,CZE,AUT,,24.0,,Lucie Safarova,Sybille Bammer,2,"6-3,6-1",,2009-01-19,,Australian Open,,,,,310553,,20463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-AUS-01A-2009,2009,Australian Open,G,2009-01-19,,Hard,,,128,,,LS123,2009-01-19,R128,Marina Erakovic,Petra Cetkovska,NZL,CZE,,,6-4,7-5,,,312086,30562,W-SL-AUS-01A-2009,2009,Marina Erakovic,Petra Cetkovska,NZL,CZE,,,,Marina Erakovic,Petra Cetkovska,2,"6-4,7-5",,2009-01-19,,Australian Open,,,,,312086,,30562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-AUS-01A-2009,2009,Australian Open,G,2009-01-19,,Hard,,,128,,,LS121,2009-01-19,R128,Tsvetana Pironkova,Karolina Sprem,BUL,CRO,,,6-0,6-4,,,311041,190881,W-SL-AUS-01A-2009,2009,Tsvetana Pironkova,Karolina Sprem,BUL,CRO,,,,Tsvetana Pironkova,Karolina Sprem,2,"6-0,6-4",,2009-01-19,,Australian Open,,,,,311041,,190881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-AUS-01A-2009,2009,Australian Open,G,2009-01-19,,Hard,,,128,,,LS120,2009-01-19,R128,Marion Bartoli,Melanie South,FRA,GBR,16.0,,6-2,6-4,,,20631,310620,W-SL-AUS-01A-2009,2009,Marion Bartoli,Melanie South,FRA,GBR,16.0,,,Marion Bartoli,Melanie South,2,"6-2,6-4",,2009-01-19,,Australian Open,,,,,20631,,310620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-AUS-01A-2009,2009,Australian Open,G,2009-01-19,,Hard,,,128,,,LS116,2009-01-19,R128,Nadia Petrova,Yaroslava Shvedova,RUS,KAZ,10.0,,6-3,7-6(3),,,160379,311137,W-SL-AUS-01A-2009,2009,Nadia Petrova,Yaroslava Shvedova,RUS,KAZ,10.0,,,Nadia Petrova,Yaroslava Shvedova,2,"6-3,7-6(3)",,2009-01-19,,Australian Open,,,,,160379,,311137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-AUS-01A-2009,2009,Australian Open,G,2009-01-19,,Hard,,,128,,,LS117,2009-01-19,R128,Sania Mirza,Marta Domachowska,IND,POL,,,6-1,6-4,,,310112,310338,W-SL-AUS-01A-2009,2009,Sania Mirza,Marta Domachowska,IND,POL,,,,Sania Mirza,Marta Domachowska,2,"6-1,6-4",,2009-01-19,,Australian Open,,,,,310112,,310338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
