tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-T1-CAN-01A-2006,2006,Montreal,T1,2006-08-14,,Hard,,,56,,,LS038,2006-08-14,R64,Stephanie Dubois,Tathiana Garbin,CAN,ITA,,,6-4,6-4,,,310290,30348,W-T1-CAN-01A-2006,2006,Stephanie Dubois,Tathiana Garbin,CAN,ITA,,,WC,Stephanie Dubois,Tathiana Garbin,2,"6-4,6-4",,2006-08-14,,Montreal,,,,,310290,,30348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T1-CAN-01A-2006,2006,Montreal,T1,2006-08-14,,Hard,,,56,,,LS037,2006-08-14,R64,Alberta Brianti,Sania Mirza,ITA,IND,,,2-6,6-1,6-2,,20458,310112,W-T1-CAN-01A-2006,2006,Alberta Brianti,Sania Mirza,ITA,IND,,,Q,Alberta Brianti,Sania Mirza,3,"2-6,6-1,6-2",,2006-08-14,,Montreal,,,,,20458,,310112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T1-CAN-01A-2006,2006,Montreal,T1,2006-08-14,,Hard,,,56,,,LS036,2006-08-14,R64,Katarina Srebotnik,Michaella Krajicek,SLO,NED,14.0,,6-3,7-5,,,190636,311578,W-T1-CAN-01A-2006,2006,Katarina Srebotnik,Michaella Krajicek,SLO,NED,14.0,,,Katarina Srebotnik,Michaella Krajicek,2,"6-3,7-5",,2006-08-14,,Montreal,,,,,190636,,311578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T1-CAN-01A-2006,2006,Montreal,T1,2006-08-14,,Hard,,,56,,,LS032,2006-08-14,R64,Ana Ivanovic,Tatiana Golovin,SRB,FRA,13.0,,6-4,6-2,,,311710,310774,W-T1-CAN-01A-2006,2006,Ana Ivanovic,Tatiana Golovin,SRB,FRA,13.0,,,Ana Ivanovic,Tatiana Golovin,2,"6-4,6-2",,2006-08-14,,Montreal,,,,,311710,,310774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T1-CAN-01A-2006,2006,Montreal,T1,2006-08-14,,Hard,,,56,,,LS033,2006-08-14,R64,Jie Zheng,Catalina Castano,CHN,COL,,,6-2,2-6,6-2,,260144,30360,W-T1-CAN-01A-2006,2006,Jie Zheng,Catalina Castano,CHN,COL,,,,Jie Zheng,Catalina Castano,3,"6-2,2-6,6-2",,2006-08-14,,Montreal,,,,,260144,,30360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T1-CAN-01A-2006,2006,Montreal,T1,2006-08-14,,Hard,,,56,,,LS034,2006-08-14,R64,Jelena Jankovic,Alona Bondarenko,SRB,UKR,,,6-3,6-4,,,100153,20608,W-T1-CAN-01A-2006,2006,Jelena Jankovic,Alona Bondarenko,SRB,UKR,,,,Jelena Jankovic,Alona Bondarenko,2,"6-3,6-4",,2006-08-14,,Montreal,,,,,100153,,20608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T1-CAN-01A-2006,2006,Montreal,T1,2006-08-14,,Hard,,,56,,,LS047,2006-08-14,R64,Lucie Safarova,Virginie Razzano,CZE,FRA,,,7-5,6-4,,,310553,180384,W-T1-CAN-01A-2006,2006,Lucie Safarova,Virginie Razzano,CZE,FRA,,,,Lucie Safarova,Virginie Razzano,2,"7-5,6-4",,2006-08-14,,Montreal,,,,,310553,,180384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T1-CAN-01A-2006,2006,Montreal,T1,2006-08-14,,Hard,,,56,,,LS044,2006-08-14,R64,Nicole Pratt,Maria Jose Martinez Sanchez,AUS,ESP,,,6-1,6-2,,,160078,130591,W-T1-CAN-01A-2006,2006,Nicole Pratt,Maria Jose Martinez Sanchez,AUS,ESP,,,Q,Nicole Pratt,Maria Jose Martinez Sanchez,2,"6-1,6-2",,2006-08-14,,Montreal,,,,,160078,,130591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T1-CAN-01A-2006,2006,Montreal,T1,2006-08-14,,Hard,,,56,,,LS045,2006-08-14,R64,Marie Eve Pelletier,Na Li,CAN,CHN,,16.0,6-4,6-2,,,160411,120330,W-T1-CAN-01A-2006,2006,Marie Eve Pelletier,Na Li,CAN,CHN,,16.0,WC,Marie Eve Pelletier,Na Li,2,"6-4,6-2",,2006-08-14,,Montreal,,,,,160411,,120330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T1-CAN-01A-2006,2006,Montreal,T1,2006-08-14,,Hard,,,56,,,LS043,2006-08-14,R64,Anna Lena Groenefeld,Julia Schruff,GER,GER,10.0,,6-3,6-3,,,310318,190711,W-T1-CAN-01A-2006,2006,Anna Lena Groenefeld,Julia Schruff,GER,GER,10.0,,,Anna Lena Groenefeld,Julia Schruff,2,"6-3,6-3",,2006-08-14,,Montreal,,,,,310318,,190711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
