tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-T2-GBR-01A-2001,2001,Eastbourne,T2,2001-06-18,,Grass,,,28,,,LS017,2001-06-18,R32,Anne Gaelle Sidot,Daja Bedanova,FRA,CZE,,,6-2,7-5,,,190564,20522,W-T2-GBR-01A-2001,2001,Anne Gaelle Sidot,Daja Bedanova,FRA,CZE,,,,Anne Gaelle Sidot,Daja Bedanova,2,"6-2,7-5",,2001-06-18,,Eastbourne,,,,,190564,,20522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-GBR-01A-2001,2001,Eastbourne,T2,2001-06-18,,Grass,,,28,,,LS019,2001-06-18,R32,Alicia Molik,Lucie Ahl,AUS,GBR,,,6-1,7-6(4),,,130548,10136,W-T2-GBR-01A-2001,2001,Alicia Molik,Lucie Ahl,AUS,GBR,,,Q,Alicia Molik,Lucie Ahl,2,"6-1,7-6(4)",,2001-06-18,,Eastbourne,,,,,130548,,10136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-GBR-01A-2001,2001,Eastbourne,T2,2001-06-18,,Grass,,,28,,,LS018,2001-06-18,R32,Silvia Farina Elia,Lilia Osterloh,ITA,USA,6.0,,6-1,6-4,,,60061,150134,W-T2-GBR-01A-2001,2001,Silvia Farina Elia,Lilia Osterloh,ITA,USA,6.0,,,Silvia Farina Elia,Lilia Osterloh,2,"6-1,6-4",,2001-06-18,,Eastbourne,,,,,60061,,150134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-GBR-01A-2001,2001,Eastbourne,T2,2001-06-18,,Grass,,,28,,,LS022,2001-06-18,R32,Lisa Raymond,Cara Black,USA,ZIM,,,6-3,6-4,,,180144,20351,W-T2-GBR-01A-2001,2001,Lisa Raymond,Cara Black,USA,ZIM,,,,Lisa Raymond,Cara Black,2,"6-3,6-4",,2001-06-18,,Eastbourne,,,,,180144,,20351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-GBR-01A-2001,2001,Eastbourne,T2,2001-06-18,,Grass,,,28,,,LS020,2001-06-18,R32,Chanda Rubin,Ai Sugiyama,USA,JPN,,,6-3,4-6,6-4,,180175,190353,W-T2-GBR-01A-2001,2001,Chanda Rubin,Ai Sugiyama,USA,JPN,,,,Chanda Rubin,Ai Sugiyama,3,"6-3,4-6,6-4",,2001-06-18,,Eastbourne,,,,,180175,,190353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-GBR-01A-2001,2001,Eastbourne,T2,2001-06-18,,Grass,,,28,,,LS021,2001-06-18,R32,Conchita Martinez,Elena Baltacha,ESP,GBR,8.0,,6-3,6-3,,,130113,20556,W-T2-GBR-01A-2001,2001,Conchita Martinez,Elena Baltacha,ESP,GBR,8.0,,,Conchita Martinez,Elena Baltacha,2,"6-3,6-3",,2001-06-18,,Eastbourne,,,,,130113,,20556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-GBR-01A-2001,2001,Eastbourne,T2,2001-06-18,,Grass,,,28,,,LS026,2001-06-18,R32,Meghann Shaughnessy,Selima Sfar,USA,TUN,7.0,,7-6(2),6-7(2),6-4,,190565,190473,W-T2-GBR-01A-2001,2001,Meghann Shaughnessy,Selima Sfar,USA,TUN,7.0,,,Meghann Shaughnessy,Selima Sfar,3,"7-6(2),6-7(2),6-4",,2001-06-18,,Eastbourne,,,,,190565,,190473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-GBR-01A-2001,2001,Eastbourne,T2,2001-06-18,,Grass,,,28,,,LS027,2001-06-18,R32,Evie Dominikovic,Francesca Schiavone,AUS,ITA,,,6-4,3-6,6-4,,40269,190666,W-T2-GBR-01A-2001,2001,Evie Dominikovic,Francesca Schiavone,AUS,ITA,,,Q,Evie Dominikovic,Francesca Schiavone,3,"6-4,3-6,6-4",,2001-06-18,,Eastbourne,,,,,40269,,190666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-GBR-01A-2001,2001,Eastbourne,T2,2001-06-18,,Grass,,,28,,,LS024,2001-06-18,R32,Magui Serna,Amy Frazier,ESP,USA,,,6-1,6-2,,,190482,60034,W-T2-GBR-01A-2001,2001,Magui Serna,Amy Frazier,ESP,USA,,,,Magui Serna,Amy Frazier,2,"6-1,6-2",,2001-06-18,,Eastbourne,,,,,190482,,60034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-GBR-01A-2001,2001,Eastbourne,T2,2001-06-18,,Grass,,,28,,,LS029,2001-06-18,R32,Anne Kremer,Sandrine Testud,LUX,FRA,,5.0,7-5,6-2,,,110242,200109,W-T2-GBR-01A-2001,2001,Anne Kremer,Sandrine Testud,LUX,FRA,,5.0,,Anne Kremer,Sandrine Testud,2,"7-5,6-2",,2001-06-18,,Eastbourne,,,,,110242,,200109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
