tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-T2-GER-01A-2008,2008,Stuttgart,T2,2008-09-29,,Hard,,,28,,,LS026,2008-09-29,R32,Na Li,Nicole Vaidisova,CHN,CZE,,,6-1,6-2,,,120330,311911,W-T2-GER-01A-2008,2008,Na Li,Nicole Vaidisova,CHN,CZE,,,,Na Li,Nicole Vaidisova,2,"6-1,6-2",,2008-09-29,,Stuttgart,,,,,120330,,311911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-GER-01A-2008,2008,Stuttgart,T2,2008-09-29,,Hard,,,28,,,LS024,2008-09-29,R32,Nadia Petrova,Barbora Strycova,RUS,CZE,,,6-2,6-2,,,160379,190879,W-T2-GER-01A-2008,2008,Nadia Petrova,Barbora Strycova,RUS,CZE,,,,Nadia Petrova,Barbora Strycova,2,"6-2,6-2",,2008-09-29,,Stuttgart,,,,,160379,,190879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-GER-01A-2008,2008,Stuttgart,T2,2008-09-29,,Hard,,,28,,,LS025,2008-09-29,R32,Patty Schnyder,Svetlana Kuznetsova,SUI,RUS,,5.0,6-4,4-6,7-5,,190519,110552,W-T2-GER-01A-2008,2008,Patty Schnyder,Svetlana Kuznetsova,SUI,RUS,,5.0,,Patty Schnyder,Svetlana Kuznetsova,3,"6-4,4-6,7-5",,2008-09-29,,Stuttgart,,,,,190519,,110552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-GER-01A-2008,2008,Stuttgart,T2,2008-09-29,,Hard,,,28,,,LS031,2008-09-29,R32,Sybille Bammer,Tatjana Maria,AUT,GER,,,4-6,6-2,7-5,,20463,310440,W-T2-GER-01A-2008,2008,Sybille Bammer,Tatjana Maria,AUT,GER,,,,Sybille Bammer,Tatjana Maria,3,"4-6,6-2,7-5",,2008-09-29,,Stuttgart,,,,,20463,,310440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-GER-01A-2008,2008,Stuttgart,T2,2008-09-29,,Hard,,,28,,,LS028,2008-09-29,R32,Victoria Azarenka,Agnes Szavay,BLR,HUN,,,7-5,6-3,,,312001,311872,W-T2-GER-01A-2008,2008,Victoria Azarenka,Agnes Szavay,BLR,HUN,,,,Victoria Azarenka,Agnes Szavay,2,"7-5,6-3",,2008-09-29,,Stuttgart,,,,,312001,,311872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-GER-01A-2008,2008,Stuttgart,T2,2008-09-29,,Hard,,,28,,,LS029,2008-09-29,R32,Agnieszka Radwanska,Sandra Zahlavova,POL,CZE,8.0,,6-3,6-2,,,312251,260158,W-T2-GER-01A-2008,2008,Agnieszka Radwanska,Sandra Zahlavova,POL,CZE,8.0,,,Agnieszka Radwanska,Sandra Zahlavova,2,"6-3,6-2",,2008-09-29,,Stuttgart,,,,,312251,,260158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-GER-01A-2008,2008,Stuttgart,T2,2008-09-29,,Hard,,,28,,,LS020,2008-09-29,R32,Venus Williams,Anna Lena Groenefeld,USA,GER,6.0,,6-1,6-2,,,230220,310318,W-T2-GER-01A-2008,2008,Venus Williams,Anna Lena Groenefeld,USA,GER,6.0,,,Venus Williams,Anna Lena Groenefeld,2,"6-1,6-2",,2008-09-29,,Stuttgart,,,,,230220,,310318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-GER-01A-2008,2008,Stuttgart,T2,2008-09-29,,Hard,,,28,,,LS021,2008-09-29,R32,Kateryna Bondarenko,Flavia Pennetta,UKR,ITA,,,4-6,6-2,6-1,,,160391,W-T2-GER-01A-2008,2008,Kateryna Bondarenko,Flavia Pennetta,UKR,ITA,,,Q,Kateryna Bondarenko,Flavia Pennetta,3,"4-6,6-2,6-1",,2008-09-29,,Stuttgart,,,,,,,160391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-GER-01A-2008,2008,Stuttgart,T2,2008-09-29,,Hard,,,28,,,LS023,2008-09-29,R32,Tsvetana Pironkova,Alize Cornet,BUL,FRA,,,6-2,6-1,,,311041,312121,W-T2-GER-01A-2008,2008,Tsvetana Pironkova,Alize Cornet,BUL,FRA,,,Q,Tsvetana Pironkova,Alize Cornet,2,"6-2,6-1",,2008-09-29,,Stuttgart,,,,,311041,,312121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-GER-01A-2008,2008,Stuttgart,T2,2008-09-29,,Hard,,,28,,,LS018,2008-09-29,R32,Vera Zvonareva,Daniela Hantuchova,RUS,SVK,7.0,,6-3,6-2,,,260142,80394,W-T2-GER-01A-2008,2008,Vera Zvonareva,Daniela Hantuchova,RUS,SVK,7.0,,,Vera Zvonareva,Daniela Hantuchova,2,"6-3,6-2",,2008-09-29,,Stuttgart,,,,,260142,,80394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
