tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-T2-UAE-01A-2003,2003,Dubai,T2,2003-02-17,,Hard,,,28,,,LS017,2003-02-17,R32,Anca Barna,Elena Likhovtseva,GER,RUS,,,6-3,6-0,,,20113,120151,W-T2-UAE-01A-2003,2003,Anca Barna,Elena Likhovtseva,GER,RUS,,,Q,Anca Barna,Elena Likhovtseva,2,"6-3,6-0",,2003-02-17,,Dubai,,,,,20113,,120151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-UAE-01A-2003,2003,Dubai,T2,2003-02-17,,Hard,,,28,,,LS019,2003-02-17,R32,Tamarine Tanasugarn,Angelique Widjaja,THA,INA,,,5-7,7-5,6-4,,200137,230272,W-T2-UAE-01A-2003,2003,Tamarine Tanasugarn,Angelique Widjaja,THA,INA,,,,Tamarine Tanasugarn,Angelique Widjaja,3,"5-7,7-5,6-4",,2003-02-17,,Dubai,,,,,200137,,230272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-UAE-01A-2003,2003,Dubai,T2,2003-02-17,,Hard,,,28,,,LS018,2003-02-17,R32,Anastasia Myskina,Dinara Safina,RUS,RUS,5.0,,6-4,6-3,,,130533,190950,W-T2-UAE-01A-2003,2003,Anastasia Myskina,Dinara Safina,RUS,RUS,5.0,,,Anastasia Myskina,Dinara Safina,2,"6-4,6-3",,2003-02-17,,Dubai,,,,,130533,,190950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-UAE-01A-2003,2003,Dubai,T2,2003-02-17,,Hard,,,28,,,LS021,2003-02-17,R32,Svetlana Kuznetsova,Iva Majoli,RUS,CRO,,,7-6(2),6-2,,,110552,130316,W-T2-UAE-01A-2003,2003,Svetlana Kuznetsova,Iva Majoli,RUS,CRO,,,,Svetlana Kuznetsova,Iva Majoli,2,"7-6(2),6-2",,2003-02-17,,Dubai,,,,,110552,,130316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-UAE-01A-2003,2003,Dubai,T2,2003-02-17,,Hard,,,28,,,LS022,2003-02-17,R32,Conchita Martinez,Rita Grande,ESP,ITA,,,6-3,6-2,,,130113,70192,W-T2-UAE-01A-2003,2003,Conchita Martinez,Rita Grande,ESP,ITA,,,,Conchita Martinez,Rita Grande,2,"6-3,6-2",,2003-02-17,,Dubai,,,,,130113,,70192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-UAE-01A-2003,2003,Dubai,T2,2003-02-17,,Hard,,,28,,,LS023,2003-02-17,R32,Eleni Daniilidou,Selima Sfar,GRE,TUN,8.0,,7-6(2),6-2,,,40313,190473,W-T2-UAE-01A-2003,2003,Eleni Daniilidou,Selima Sfar,GRE,TUN,8.0,,,Eleni Daniilidou,Selima Sfar,2,"7-6(2),6-2",,2003-02-17,,Dubai,,,,,40313,,190473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-UAE-01A-2003,2003,Dubai,T2,2003-02-17,,Hard,,,28,,,LS027,2003-02-17,R32,Magdalena Maleeva,Emmanuelle Gagliardi,BUL,SUI,7.0,,7-5,6-2,,,130245,70245,W-T2-UAE-01A-2003,2003,Magdalena Maleeva,Emmanuelle Gagliardi,BUL,SUI,7.0,,,Magdalena Maleeva,Emmanuelle Gagliardi,2,"7-5,6-2",,2003-02-17,,Dubai,,,,,130245,,70245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-UAE-01A-2003,2003,Dubai,T2,2003-02-17,,Hard,,,28,,,LS026,2003-02-17,R32,Iroda Tulyaganova,Gala Leon Garcia,UZB,ESP,,,6-3,4-6,7-6(4),,200265,120176,W-T2-UAE-01A-2003,2003,Iroda Tulyaganova,Gala Leon Garcia,UZB,ESP,,,,Iroda Tulyaganova,Gala Leon Garcia,3,"6-3,4-6,7-6(4)",,2003-02-17,,Dubai,,,,,200265,,120176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-UAE-01A-2003,2003,Dubai,T2,2003-02-17,,Hard,,,28,,,LS025,2003-02-17,R32,Francesca Schiavone,Tatiana Panova,ITA,RUS,,,6-4,6-0,,,190666,160254,W-T2-UAE-01A-2003,2003,Francesca Schiavone,Tatiana Panova,ITA,RUS,,,,Francesca Schiavone,Tatiana Panova,2,"6-4,6-0",,2003-02-17,,Dubai,,,,,190666,,160254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-UAE-01A-2003,2003,Dubai,T2,2003-02-17,,Hard,,,28,,,LS031,2003-02-17,R32,Patty Schnyder,Nicole Pratt,SUI,AUS,6.0,,6-4,7-5,,,190519,160078,W-T2-UAE-01A-2003,2003,Patty Schnyder,Nicole Pratt,SUI,AUS,6.0,,,Patty Schnyder,Nicole Pratt,2,"6-4,7-5",,2003-02-17,,Dubai,,,,,190519,,160078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
