tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-T3-AUS-01A-2006,2006,Gold Coast,T3,2006-01-02,,Hard,,,32,,,LS018,2006-01-02,R32,Patty Schnyder,Virginie Razzano,SUI,FRA,1.0,,6-3,7-6(2),,,190519,180384,W-T3-AUS-01A-2006,2006,Patty Schnyder,Virginie Razzano,SUI,FRA,1.0,,,Patty Schnyder,Virginie Razzano,2,"6-3,7-6(2)",,2006-01-02,,Gold Coast,,,,,190519,,180384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-AUS-01A-2006,2006,Gold Coast,T3,2006-01-02,,Hard,,,32,,,LS019,2006-01-02,R32,Angela Haynes,Karolina Sprem,USA,CRO,,,2-6,6-0,7-5,,310617,190881,W-T3-AUS-01A-2006,2006,Angela Haynes,Karolina Sprem,USA,CRO,,,Q,Angela Haynes,Karolina Sprem,3,"2-6,6-0,7-5",,2006-01-02,,Gold Coast,,,,,310617,,190881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-AUS-01A-2006,2006,Gold Coast,T3,2006-01-02,,Hard,,,32,,,LS017,2006-01-02,R32,Jarmila Gajdosova,Tathiana Garbin,AUS,ITA,,,5-7,6-4,6-2,,,30348,W-T3-AUS-01A-2006,2006,Jarmila Gajdosova,Tathiana Garbin,AUS,ITA,,,Q,Jarmila Gajdosova,Tathiana Garbin,3,"5-7,6-4,6-2",,2006-01-02,,Gold Coast,,,,,,,30348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-AUS-01A-2006,2006,Gold Coast,T3,2006-01-02,,Hard,,,32,,,LS016,2006-01-02,R32,Lucie Safarova,Ai Sugiyama,CZE,JPN,,6.0,6-1,6-2,,,310553,190353,W-T3-AUS-01A-2006,2006,Lucie Safarova,Ai Sugiyama,CZE,JPN,,6.0,,Lucie Safarova,Ai Sugiyama,2,"6-1,6-2",,2006-01-02,,Gold Coast,,,,,310553,,190353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-AUS-01A-2006,2006,Gold Coast,T3,2006-01-02,,Hard,,,32,,,LS020,2006-01-02,R32,Dinara Safina,Evgenia Linetskaya,RUS,ISR,3.0,,7-6(0),6-0,,,190950,310332,W-T3-AUS-01A-2006,2006,Dinara Safina,Evgenia Linetskaya,RUS,ISR,3.0,,,Dinara Safina,Evgenia Linetskaya,2,"7-6(0),6-0",,2006-01-02,,Gold Coast,,,,,190950,,310332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-AUS-01A-2006,2006,Gold Coast,T3,2006-01-02,,Hard,,,32,,,LS021,2006-01-02,R32,Iveta Benesova,Sophie Ferguson,CZE,AUS,,,7-5,6-2,,,,310731,W-T3-AUS-01A-2006,2006,Iveta Benesova,Sophie Ferguson,CZE,AUS,,,,Iveta Benesova,Sophie Ferguson,2,"7-5,6-2",,2006-01-02,,Gold Coast,,,,,,,310731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-AUS-01A-2006,2006,Gold Coast,T3,2006-01-02,,Hard,,,32,,,LS023,2006-01-02,R32,Aiko Nakamura,Antonella Serra Zanetti,JPN,ITA,,,2-6,6-4,6-3,,140219,190613,W-T3-AUS-01A-2006,2006,Aiko Nakamura,Antonella Serra Zanetti,JPN,ITA,,,,Aiko Nakamura,Antonella Serra Zanetti,3,"2-6,6-4,6-3",,2006-01-02,,Gold Coast,,,,,140219,,190613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-AUS-01A-2006,2006,Gold Coast,T3,2006-01-02,,Hard,,,32,,,LS022,2006-01-02,R32,Anabel Medina Garrigues,Ahsha Rolle,ESP,USA,8.0,,6-3,6-3,,,130611,310210,W-T3-AUS-01A-2006,2006,Anabel Medina Garrigues,Ahsha Rolle,ESP,USA,8.0,,,Anabel Medina Garrigues,Ahsha Rolle,2,"6-3,6-3",,2006-01-02,,Gold Coast,,,,,130611,,310210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-AUS-01A-2006,2006,Gold Coast,T3,2006-01-02,,Hard,,,32,,,LS026,2006-01-02,R32,Tatiana Golovin,Nicole Pratt,FRA,AUS,5.0,,7-5,6-2,,,310774,160078,W-T3-AUS-01A-2006,2006,Tatiana Golovin,Nicole Pratt,FRA,AUS,5.0,,,Tatiana Golovin,Nicole Pratt,2,"7-5,6-2",,2006-01-02,,Gold Coast,,,,,310774,,160078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-AUS-01A-2006,2006,Gold Coast,T3,2006-01-02,,Hard,,,32,,,LS027,2006-01-02,R32,Sybille Bammer,Katerina Bohmova,AUT,CZE,,,6-3,6-1,,,20463,310979,W-T3-AUS-01A-2006,2006,Sybille Bammer,Katerina Bohmova,AUT,CZE,,,,Sybille Bammer,Katerina Bohmova,2,"6-3,6-1",,2006-01-02,,Gold Coast,,,,,20463,,310979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
