tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-T3-INA-01A-2001,2001,Bali,T3,2001-09-24,,Hard,,,30,,,LS029,2001-09-24,R32,Janet Lee,Ludmila Cervanova,TPE,SVK,,,6-1,6-7(4),6-4,,120235,30390,W-T3-INA-01A-2001,2001,Janet Lee,Ludmila Cervanova,TPE,SVK,,,,Janet Lee,Ludmila Cervanova,3,"6-1,6-7(4),6-4",,2001-09-24,,Bali,,,,,120235,,30390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-INA-01A-2001,2001,Bali,T3,2001-09-24,,Hard,,,30,,,LS031,2001-09-24,R32,Jing Qian Yi,Nicole Pratt,CHN,AUS,,,0-6,6-3,7-5,,250040,160078,W-T3-INA-01A-2001,2001,Jing Qian Yi,Nicole Pratt,CHN,AUS,,,,Jing Qian Yi,Nicole Pratt,3,"0-6,6-3,7-5",,2001-09-24,,Bali,,,,,250040,,160078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-INA-01A-2001,2001,Bali,T3,2001-09-24,,Hard,,,30,,,LS030,2001-09-24,R32,Rita Grande,Yoon Jeong Cho,ITA,KOR,5.0,,6-4,6-3,,,70192,30419,W-T3-INA-01A-2001,2001,Rita Grande,Yoon Jeong Cho,ITA,KOR,5.0,,,Rita Grande,Yoon Jeong Cho,2,"6-4,6-3",,2001-09-24,,Bali,,,,,70192,,30419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-INA-01A-2001,2001,Bali,T3,2001-09-24,,Hard,,,30,,,LS026,2001-09-24,R32,Tina Pisnik,Marlene Weingartner,SLO,GER,,3.0,7-6(5),3-6,6-4,,160339,230202,W-T3-INA-01A-2001,2001,Tina Pisnik,Marlene Weingartner,SLO,GER,,3.0,,Tina Pisnik,Marlene Weingartner,3,"7-6(5),3-6,6-4",,2001-09-24,,Bali,,,,,160339,,230202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-INA-01A-2001,2001,Bali,T3,2001-09-24,,Hard,,,30,,,LS027,2001-09-24,R32,Roberta Vinci,Annabel Ellwood,ITA,AUS,,,2-6,6-1,6-0,,220214,50092,W-T3-INA-01A-2001,2001,Roberta Vinci,Annabel Ellwood,ITA,AUS,,,,Roberta Vinci,Annabel Ellwood,3,"2-6,6-1,6-0",,2001-09-24,,Bali,,,,,220214,,50092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-INA-01A-2001,2001,Bali,T3,2001-09-24,,Hard,,,30,,,LS025,2001-09-24,R32,Evie Dominikovic,Emmanuelle Gagliardi,AUS,SUI,,,1-6,6-3,7-6(3),,40269,70245,W-T3-INA-01A-2001,2001,Evie Dominikovic,Emmanuelle Gagliardi,AUS,SUI,,,,Evie Dominikovic,Emmanuelle Gagliardi,3,"1-6,6-3,7-6(3)",,2001-09-24,,Bali,,,,,40269,,70245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-INA-01A-2001,2001,Bali,T3,2001-09-24,,Hard,,,30,,,LS024,2001-09-24,R32,Joannette Kruger,Tracy Almeda Singian,RSA,USA,8.0,,6-3,6-2,,,110167,190517,W-T3-INA-01A-2001,2001,Joannette Kruger,Tracy Almeda Singian,RSA,USA,8.0,,,Joannette Kruger,Tracy Almeda Singian,2,"6-3,6-2",,2001-09-24,,Bali,,,,,110167,,190517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-INA-01A-2001,2001,Bali,T3,2001-09-24,,Hard,,,30,,,LS022,2001-09-24,R32,Shinobu Asagoe,Mariana Diaz Oliva,JPN,ARG,,6.0,4-6,6-3,6-3,,10209,40198,W-T3-INA-01A-2001,2001,Shinobu Asagoe,Mariana Diaz Oliva,JPN,ARG,,6.0,,Shinobu Asagoe,Mariana Diaz Oliva,3,"4-6,6-3,6-3",,2001-09-24,,Bali,,,,,10209,,40198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-INA-01A-2001,2001,Bali,T3,2001-09-24,,Hard,,,30,,,LS023,2001-09-24,R32,Wynne Prakusya,Zsofia Gubacsi,INA,HUN,,,6-1,6-2,,,160318,70393,W-T3-INA-01A-2001,2001,Wynne Prakusya,Zsofia Gubacsi,INA,HUN,,,,Wynne Prakusya,Zsofia Gubacsi,2,"6-1,6-2",,2001-09-24,,Bali,,,,,160318,,70393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-INA-01A-2001,2001,Bali,T3,2001-09-24,,Hard,,,30,,,LS021,2001-09-24,R32,Rachel Mcquillan,Haruka Inoue,AUS,JPN,,,6-1,6-3,,,130050,90066,W-T3-INA-01A-2001,2001,Rachel Mcquillan,Haruka Inoue,AUS,JPN,,,,Rachel Mcquillan,Haruka Inoue,2,"6-1,6-3",,2001-09-24,,Bali,,,,,130050,,90066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
