tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-T3-NED-01A-2002,2002,s Hertogenbosch,T3,2002-06-17,,Grass,,,30,,,LS031,2002-06-17,R32,Andrea Glass,Rossana De Los Rios,GER,PAR,,,6-7(4),7-5,6-4,,70198,40148,W-T3-NED-01A-2002,2002,Andrea Glass,Rossana De Los Rios,GER,PAR,,,,Andrea Glass,Rossana De Los Rios,3,"6-7(4),7-5,6-4",,2002-06-17,,s Hertogenbosch,,,,,70198,,40148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-NED-01A-2002,2002,s Hertogenbosch,T3,2002-06-17,,Grass,,,30,,,LS028,2002-06-17,R32,Tina Pisnik,Meilen Tu,SLO,USA,,,6-0,3-6,6-1,,160339,200204,W-T3-NED-01A-2002,2002,Tina Pisnik,Meilen Tu,SLO,USA,,,,Tina Pisnik,Meilen Tu,3,"6-0,3-6,6-1",,2002-06-17,,s Hertogenbosch,,,,,160339,,200204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-NED-01A-2002,2002,s Hertogenbosch,T3,2002-06-17,,Grass,,,30,,,LS029,2002-06-17,R32,Adriana Serra Zanetti,Maja Matevzic,ITA,SLO,7.0,,7-6(3),6-4,,,190276,130556,W-T3-NED-01A-2002,2002,Adriana Serra Zanetti,Maja Matevzic,ITA,SLO,7.0,,,Adriana Serra Zanetti,Maja Matevzic,2,"7-6(3),6-4",,2002-06-17,,s Hertogenbosch,,,,,190276,,130556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-NED-01A-2002,2002,s Hertogenbosch,T3,2002-06-17,,Grass,,,30,,,LS024,2002-06-17,R32,Elena Dementieva,Marta Marrero,RUS,ESP,4.0,,7-6(4),6-3,,,40289,130616,W-T3-NED-01A-2002,2002,Elena Dementieva,Marta Marrero,RUS,ESP,4.0,,,Elena Dementieva,Marta Marrero,2,"7-6(4),6-3",,2002-06-17,,s Hertogenbosch,,,,,40289,,130616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-NED-01A-2002,2002,s Hertogenbosch,T3,2002-06-17,,Grass,,,30,,,LS025,2002-06-17,R32,Bianka Lamade,Silvana Bauer,GER,NED,,,6-2,6-2,,,120357,310867,W-T3-NED-01A-2002,2002,Bianka Lamade,Silvana Bauer,GER,NED,,,,Bianka Lamade,Silvana Bauer,2,"6-2,6-2",,2002-06-17,,s Hertogenbosch,,,,,120357,,310867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-NED-01A-2002,2002,s Hertogenbosch,T3,2002-06-17,,Grass,,,30,,,LS027,2002-06-17,R32,Miriam Oremans,Eva Dyrberg,NED,DEN,,,6-1,6-3,,,150066,40293,W-T3-NED-01A-2002,2002,Miriam Oremans,Eva Dyrberg,NED,DEN,,,,Miriam Oremans,Eva Dyrberg,2,"6-1,6-3",,2002-06-17,,s Hertogenbosch,,,,,150066,,40293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-NED-01A-2002,2002,s Hertogenbosch,T3,2002-06-17,,Grass,,,30,,,LS026,2002-06-17,R32,Magdalena Maleeva,Martina Muller,BUL,GER,5.0,,6-4,6-2,,,130245,130631,W-T3-NED-01A-2002,2002,Magdalena Maleeva,Martina Muller,BUL,GER,5.0,,,Magdalena Maleeva,Martina Muller,2,"6-4,6-2",,2002-06-17,,s Hertogenbosch,,,,,130245,,130631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-NED-01A-2002,2002,s Hertogenbosch,T3,2002-06-17,,Grass,,,30,,,LS017,2002-06-17,R32,Cristina Torrens Valero,Eva Martincova,ESP,CZE,6.0,,6-4,6-3,,,200122,130313,W-T3-NED-01A-2002,2002,Cristina Torrens Valero,Eva Martincova,ESP,CZE,6.0,,,Cristina Torrens Valero,Eva Martincova,2,"6-4,6-3",,2002-06-17,,s Hertogenbosch,,,,,200122,,130313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-NED-01A-2002,2002,s Hertogenbosch,T3,2002-06-17,,Grass,,,30,,,LS016,2002-06-17,R32,Eleni Daniilidou,Tatiana Poutchek,GRE,BLR,,,7-6(2),6-0,,,40313,160303,W-T3-NED-01A-2002,2002,Eleni Daniilidou,Tatiana Poutchek,GRE,BLR,,,,Eleni Daniilidou,Tatiana Poutchek,2,"7-6(2),6-0",,2002-06-17,,s Hertogenbosch,,,,,40313,,160303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-NED-01A-2002,2002,s Hertogenbosch,T3,2002-06-17,,Grass,,,30,,,LS019,2002-06-17,R32,Katarina Srebotnik,Anca Barna,SLO,GER,,,6-3,6-4,,,190636,20113,W-T3-NED-01A-2002,2002,Katarina Srebotnik,Anca Barna,SLO,GER,,,,Katarina Srebotnik,Anca Barna,2,"6-3,6-4",,2002-06-17,,s Hertogenbosch,,,,,190636,,20113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
