tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-T4-ESP-01A-2007,2007,Barcelona,T4,2007-06-11,,Clay,,,32,,,LS019,2007-06-11,R32,Francesca Schiavone,Romina Oprandi,ITA,SUI,1.0,,6-2,0-0,,,190666,150185,W-T4-ESP-01A-2007,2007,Francesca Schiavone,Romina Oprandi,ITA,SUI,1.0,,,Francesca Schiavone,Romina Oprandi,2,"6-2,0-0",,2007-06-11,,Barcelona,,,,,190666,,150185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-ESP-01A-2007,2007,Barcelona,T4,2007-06-11,,Clay,,,32,,,LS018,2007-06-11,R32,Agnes Szavay,Tatiana Poutchek,HUN,BLR,,,6-3,7-5,,,311872,160303,W-T4-ESP-01A-2007,2007,Agnes Szavay,Tatiana Poutchek,HUN,BLR,,,Q,Agnes Szavay,Tatiana Poutchek,2,"6-3,7-5",,2007-06-11,,Barcelona,,,,,311872,,160303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-ESP-01A-2007,2007,Barcelona,T4,2007-06-11,,Clay,,,32,,,LS017,2007-06-11,R32,Laura Pous Tio,Sandra Kloesel,ESP,GER,,,6-3,7-6(5),,,160481,110325,W-T4-ESP-01A-2007,2007,Laura Pous Tio,Sandra Kloesel,ESP,GER,,,WC,Laura Pous Tio,Sandra Kloesel,2,"6-3,7-6(5)",,2007-06-11,,Barcelona,,,,,160481,,110325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-ESP-01A-2007,2007,Barcelona,T4,2007-06-11,,Clay,,,32,,,LS016,2007-06-11,R32,Meghann Shaughnessy,Nuria Llagostera Vives,USA,ESP,6.0,,6-3,6-4,,,190565,120317,W-T4-ESP-01A-2007,2007,Meghann Shaughnessy,Nuria Llagostera Vives,USA,ESP,6.0,,,Meghann Shaughnessy,Nuria Llagostera Vives,2,"6-3,6-4",,2007-06-11,,Barcelona,,,,,190565,,120317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-ESP-01A-2007,2007,Barcelona,T4,2007-06-11,,Clay,,,32,,,LS022,2007-06-11,R32,Emilie Loit,Timea Bacsinszky,FRA,SUI,3.0,,7-5,6-3,,,120277,311579,W-T4-ESP-01A-2007,2007,Emilie Loit,Timea Bacsinszky,FRA,SUI,3.0,,,Emilie Loit,Timea Bacsinszky,2,"7-5,6-3",,2007-06-11,,Barcelona,,,,,120277,,311579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-ESP-01A-2007,2007,Barcelona,T4,2007-06-11,,Clay,,,32,,,LS023,2007-06-11,R32,Camille Pin,Jelena Kostanic Tosic,FRA,CRO,,,6-1,6-1,,,160363,110380,W-T4-ESP-01A-2007,2007,Camille Pin,Jelena Kostanic Tosic,FRA,CRO,,,,Camille Pin,Jelena Kostanic Tosic,2,"6-1,6-1",,2007-06-11,,Barcelona,,,,,160363,,110380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-ESP-01A-2007,2007,Barcelona,T4,2007-06-11,,Clay,,,32,,,LS021,2007-06-11,R32,Tatjana Maria,Iveta Benesova,GER,CZE,,,5-2,,,,310440,,W-T4-ESP-01A-2007,2007,Tatjana Maria,Iveta Benesova,GER,CZE,,,,Tatjana Maria,Iveta Benesova,1,5-2,,2007-06-11,,Barcelona,,,,,310440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-ESP-01A-2007,2007,Barcelona,T4,2007-06-11,,Clay,,,32,,,LS020,2007-06-11,R32,Flavia Pennetta,Conchita Martinez Granados,ITA,ESP,8.0,,6-2,6-3,,,160391,130396,W-T4-ESP-01A-2007,2007,Flavia Pennetta,Conchita Martinez Granados,ITA,ESP,8.0,,,Flavia Pennetta,Conchita Martinez Granados,2,"6-2,6-3",,2007-06-11,,Barcelona,,,,,160391,,130396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-ESP-01A-2007,2007,Barcelona,T4,2007-06-11,,Clay,,,32,,,LS025,2007-06-11,R32,Lourdes Dominguez Lino,Greta Arn,ESP,HUN,5.0,,6-2,6-4,,,40300,10230,W-T4-ESP-01A-2007,2007,Lourdes Dominguez Lino,Greta Arn,ESP,HUN,5.0,,,Lourdes Dominguez Lino,Greta Arn,2,"6-2,6-4",,2007-06-11,,Barcelona,,,,,40300,,10230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-ESP-01A-2007,2007,Barcelona,T4,2007-06-11,,Clay,,,32,,,LS024,2007-06-11,R32,Edina Gallovits Hall,Virginia Ruano Pascual,ROU,ESP,,,4-6,6-3,6-4,,70471,180160,W-T4-ESP-01A-2007,2007,Edina Gallovits Hall,Virginia Ruano Pascual,ROU,ESP,,,,Edina Gallovits Hall,Virginia Ruano Pascual,3,"4-6,6-3,6-4",,2007-06-11,,Barcelona,,,,,70471,,180160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
