tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-T4-MAR-01A-2007,2007,Fes,T4,2007-05-14,,Clay,,,32,,,LS028,2007-05-14,R32,Maria Emilia Salerni,Sania Mirza,ARG,IND,,1.0,6-2,7-5,,,190855,310112,W-T4-MAR-01A-2007,2007,Maria Emilia Salerni,Sania Mirza,ARG,IND,,1.0,Q,Maria Emilia Salerni,Sania Mirza,2,"6-2,7-5",,2007-05-14,,Fes,,,,,190855,,310112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-MAR-01A-2007,2007,Fes,T4,2007-05-14,,Clay,,,32,,,LS029,2007-05-14,R32,Yulia Fedossova,Alina Jidkova,FRA,RUS,,,6-3,5-7,6-3,,311237,260065,W-T4-MAR-01A-2007,2007,Yulia Fedossova,Alina Jidkova,FRA,RUS,,,,Yulia Fedossova,Alina Jidkova,3,"6-3,5-7,6-3",,2007-05-14,,Fes,,,,,311237,,260065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-MAR-01A-2007,2007,Fes,T4,2007-05-14,,Clay,,,32,,,LS030,2007-05-14,R32,Sandra Kloesel,Nadia Lalami,GER,MAR,,,6-0,6-3,,,110325,313123,W-T4-MAR-01A-2007,2007,Sandra Kloesel,Nadia Lalami,GER,MAR,,,,Sandra Kloesel,Nadia Lalami,2,"6-0,6-3",,2007-05-14,,Fes,,,,,110325,,313123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-MAR-01A-2007,2007,Fes,T4,2007-05-14,,Clay,,,32,,,LS031,2007-05-14,R32,Anne Kremer,Fatima El Allami,LUX,MAR,8.0,,6-0,6-2,,,110242,,W-T4-MAR-01A-2007,2007,Anne Kremer,Fatima El Allami,LUX,MAR,8.0,,,Anne Kremer,Fatima El Allami,2,"6-0,6-2",,2007-05-14,,Fes,,,,,110242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-MAR-01A-2007,2007,Fes,T4,2007-05-14,,Clay,,,32,,,LS025,2007-05-14,R32,Jill Craybas,Yuliya Beygelzimer,USA,UKR,5.0,,6-4,6-1,,,30294,20652,W-T4-MAR-01A-2007,2007,Jill Craybas,Yuliya Beygelzimer,USA,UKR,5.0,,,Jill Craybas,Yuliya Beygelzimer,2,"6-4,6-1",,2007-05-14,,Fes,,,,,30294,,20652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-MAR-01A-2007,2007,Fes,T4,2007-05-14,,Clay,,,32,,,LS024,2007-05-14,R32,Aleksandra Wozniak,Laura Pous Tio,CAN,ESP,,,6-4,6-1,,,310494,160481,W-T4-MAR-01A-2007,2007,Aleksandra Wozniak,Laura Pous Tio,CAN,ESP,,,,Aleksandra Wozniak,Laura Pous Tio,2,"6-4,6-1",,2007-05-14,,Fes,,,,,310494,,160481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-MAR-01A-2007,2007,Fes,T4,2007-05-14,,Clay,,,32,,,LS026,2007-05-14,R32,Alize Cornet,Nuria Llagostera Vives,FRA,ESP,,,7-5,6-1,,,312121,120317,W-T4-MAR-01A-2007,2007,Alize Cornet,Nuria Llagostera Vives,FRA,ESP,,,,Alize Cornet,Nuria Llagostera Vives,2,"7-5,6-1",,2007-05-14,,Fes,,,,,312121,,120317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-MAR-01A-2007,2007,Fes,T4,2007-05-14,,Clay,,,32,,,LS027,2007-05-14,R32,Jarmila Gajdosova,Melinda Czink,AUS,HUN,9.0,,6-3,4-6,6-1,,,30557,W-T4-MAR-01A-2007,2007,Jarmila Gajdosova,Melinda Czink,AUS,HUN,9.0,,,Jarmila Gajdosova,Melinda Czink,3,"6-3,4-6,6-1",,2007-05-14,,Fes,,,,,,,30557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-MAR-01A-2007,2007,Fes,T4,2007-05-14,,Clay,,,32,,,LS021,2007-05-14,R32,Vania King,Bahia Mouhtassine,USA,MAR,6.0,,6-0,6-1,,,311550,130485,W-T4-MAR-01A-2007,2007,Vania King,Bahia Mouhtassine,USA,MAR,6.0,,,Vania King,Bahia Mouhtassine,2,"6-0,6-1",,2007-05-14,,Fes,,,,,311550,,130485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-MAR-01A-2007,2007,Fes,T4,2007-05-14,,Clay,,,32,,,LS020,2007-05-14,R32,Raluca Olaru,Alla Kudryavtseva,ROU,RUS,,,7-5,6-4,,,311766,311362,W-T4-MAR-01A-2007,2007,Raluca Olaru,Alla Kudryavtseva,ROU,RUS,,,Q,Raluca Olaru,Alla Kudryavtseva,2,"7-5,6-4",,2007-05-14,,Fes,,,,,311766,,311362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
