tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-T5-SVK-01A-2001,2001,Bratislava,T5,2001-10-15,,Hard,,,32,,,LS030,2001-10-15,R32,Lilia Osterloh,Daja Bedanova,USA,CZE,,1.0,6-3,6-3,,,150134,20522,W-T5-SVK-01A-2001,2001,Lilia Osterloh,Daja Bedanova,USA,CZE,,1.0,,Lilia Osterloh,Daja Bedanova,2,"6-3,6-3",,2001-10-15,,Bratislava,,,,,150134,,20522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T5-SVK-01A-2001,2001,Bratislava,T5,2001-10-15,,Hard,,,32,,,LS031,2001-10-15,R32,Marta Marrero,Zuzana Ondraskova,ESP,CZE,,,6-3,6-2,,,130616,150017,W-T5-SVK-01A-2001,2001,Marta Marrero,Zuzana Ondraskova,ESP,CZE,,,,Marta Marrero,Zuzana Ondraskova,2,"6-3,6-2",,2001-10-15,,Bratislava,,,,,130616,,150017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T5-SVK-01A-2001,2001,Bratislava,T5,2001-10-15,,Hard,,,32,,,LS028,2001-10-15,R32,Adriana Serra Zanetti,Lubomira Kurhajcova,ITA,SVK,,,6-2,7-6(4),,,190276,110527,W-T5-SVK-01A-2001,2001,Adriana Serra Zanetti,Lubomira Kurhajcova,ITA,SVK,,,Q,Adriana Serra Zanetti,Lubomira Kurhajcova,2,"6-2,7-6(4)",,2001-10-15,,Bratislava,,,,,190276,,110527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T5-SVK-01A-2001,2001,Bratislava,T5,2001-10-15,,Hard,,,32,,,LS029,2001-10-15,R32,Eleni Daniilidou,Elena Bovina,GRE,RUS,,8.0,6-1,2-6,6-2,,40313,20992,W-T5-SVK-01A-2001,2001,Eleni Daniilidou,Elena Bovina,GRE,RUS,,8.0,,Eleni Daniilidou,Elena Bovina,3,"6-1,2-6,6-2",,2001-10-15,,Bratislava,,,,,40313,,20992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T5-SVK-01A-2001,2001,Bratislava,T5,2001-10-15,,Hard,,,32,,,LS027,2001-10-15,R32,Francesca Schiavone,Petra Mandula,ITA,HUN,3.0,,7-5,6-2,,,190666,130443,W-T5-SVK-01A-2001,2001,Francesca Schiavone,Petra Mandula,ITA,HUN,3.0,,,Francesca Schiavone,Petra Mandula,2,"7-5,6-2",,2001-10-15,,Bratislava,,,,,190666,,130443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T5-SVK-01A-2001,2001,Bratislava,T5,2001-10-15,,Hard,,,32,,,LS026,2001-10-15,R32,Kveta Peschke,Tatiana Poutchek,CZE,BLR,,,6-4,6-2,,,80218,160303,W-T5-SVK-01A-2001,2001,Kveta Peschke,Tatiana Poutchek,CZE,BLR,,,,Kveta Peschke,Tatiana Poutchek,2,"6-4,6-2",,2001-10-15,,Bratislava,,,,,80218,,160303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T5-SVK-01A-2001,2001,Bratislava,T5,2001-10-15,,Hard,,,32,,,LS024,2001-10-15,R32,Martina Sucha,Zsofia Gubacsi,SVK,HUN,,,6-2,6-0,,,190295,70393,W-T5-SVK-01A-2001,2001,Martina Sucha,Zsofia Gubacsi,SVK,HUN,,,Q,Martina Sucha,Zsofia Gubacsi,2,"6-2,6-0",,2001-10-15,,Bratislava,,,,,190295,,70393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T5-SVK-01A-2001,2001,Bratislava,T5,2001-10-15,,Hard,,,32,,,LS025,2001-10-15,R32,Denisa Chladkova,Miroslava Vavrinec,CZE,SUI,5.0,,6-4,6-2,,,30382,220121,W-T5-SVK-01A-2001,2001,Denisa Chladkova,Miroslava Vavrinec,CZE,SUI,5.0,,,Denisa Chladkova,Miroslava Vavrinec,2,"6-4,6-2",,2001-10-15,,Bratislava,,,,,30382,,220121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T5-SVK-01A-2001,2001,Bratislava,T5,2001-10-15,,Hard,,,32,,,LS019,2001-10-15,R32,Nathalie Dechy,Adriana Gersi,FRA,CZE,7.0,,6-2,6-3,,,40254,,W-T5-SVK-01A-2001,2001,Nathalie Dechy,Adriana Gersi,FRA,CZE,7.0,,,Nathalie Dechy,Adriana Gersi,2,"6-2,6-3",,2001-10-15,,Bratislava,,,,,40254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T5-SVK-01A-2001,2001,Bratislava,T5,2001-10-15,,Hard,,,32,,,LS018,2001-10-15,R32,Bianka Lamade,Rita Kuti Kis,GER,HUN,,,6-3,6-2,,,120357,110266,W-T5-SVK-01A-2001,2001,Bianka Lamade,Rita Kuti Kis,GER,HUN,,,,Bianka Lamade,Rita Kuti Kis,2,"6-3,6-2",,2001-10-15,,Bratislava,,,,,120357,,110266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
