tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-WT-AUS-01A-1999,1999,Hope Island,W,1999-01-03,,Hard,,,30,,,LS025,1999-01-03,R32,Ines Gorrochategui,Tathiana Garbin,ARG,ITA,,,7-5,6-2,,,,30348,W-WT-AUS-01A-1999,1999,Ines Gorrochategui,Tathiana Garbin,ARG,ITA,,,Q,Ines Gorrochategui,Tathiana Garbin,2,"7-5,6-2",,1999-01-03,,Hope Island,,,,,,,30348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-AUS-01A-1999,1999,Hope Island,W,1999-01-03,,Hard,,,30,,,LS026,1999-01-03,R32,Nathalie Dechy,Tatiana Panova,FRA,RUS,,,6-1,2-6,6-2,,40254,160254,W-WT-AUS-01A-1999,1999,Nathalie Dechy,Tatiana Panova,FRA,RUS,,,,Nathalie Dechy,Tatiana Panova,3,"6-1,2-6,6-2",,1999-01-03,,Hope Island,,,,,40254,,160254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-AUS-01A-1999,1999,Hope Island,W,1999-01-03,,Hard,,,30,,,LS027,1999-01-03,R32,Elena Likhovtseva,Nicole Pratt,RUS,AUS,7.0,,6-2,6-1,,,120151,160078,W-WT-AUS-01A-1999,1999,Elena Likhovtseva,Nicole Pratt,RUS,AUS,7.0,,,Elena Likhovtseva,Nicole Pratt,2,"6-2,6-1",,1999-01-03,,Hope Island,,,,,120151,,160078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-AUS-01A-1999,1999,Hope Island,W,1999-01-03,,Hard,,,30,,,LS028,1999-01-03,R32,Irina Spirlea,Rachel Mcquillan,ROU,AUS,3.0,,7-6,6-3,,,190185,130050,W-WT-AUS-01A-1999,1999,Irina Spirlea,Rachel Mcquillan,ROU,AUS,3.0,,,Irina Spirlea,Rachel Mcquillan,2,"7-6,6-3",,1999-01-03,,Hope Island,,,,,190185,,130050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-AUS-01A-1999,1999,Hope Island,W,1999-01-03,,Hard,,,30,,,LS029,1999-01-03,R32,Anna Smashnova,Larisa Savchenko,ISR,URS,,,6-0,6-3,,,190361,,W-WT-AUS-01A-1999,1999,Anna Smashnova,Larisa Savchenko,ISR,URS,,,,Anna Smashnova,Larisa Savchenko,2,"6-0,6-3",,1999-01-03,,Hope Island,,,,,190361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-AUS-01A-1999,1999,Hope Island,W,1999-01-03,,Hard,,,30,,,LS031,1999-01-03,R32,Anne Gaelle Sidot,Annabel Ellwood,FRA,AUS,,,3-6,6-4,6-1,,190564,50092,W-WT-AUS-01A-1999,1999,Anne Gaelle Sidot,Annabel Ellwood,FRA,AUS,,,,Anne Gaelle Sidot,Annabel Ellwood,3,"3-6,6-4,6-1",,1999-01-03,,Hope Island,,,,,190564,,50092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-AUS-01A-1999,1999,Hope Island,W,1999-01-03,,Hard,,,30,,,LS030,1999-01-03,R32,Anke Huber,Mariaan De Swardt,GER,RSA,5.0,,6-3,6-2,,,80150,40020,W-WT-AUS-01A-1999,1999,Anke Huber,Mariaan De Swardt,GER,RSA,5.0,,,Anke Huber,Mariaan De Swardt,2,"6-3,6-2",,1999-01-03,,Hope Island,,,,,80150,,40020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-AUS-01A-1999,1999,Hope Island,W,1999-01-03,,Hard,,,30,,,LS023,1999-01-03,R32,Kveta Peschke,Henrieta Nagyova,CZE,SVK,,8,3-6,7-6,6-1,,80218,140145,W-WT-AUS-01A-1999,1999,Kveta Peschke,Henrieta Nagyova,CZE,SVK,,8,,Kveta Peschke,Henrieta Nagyova,3,"3-6,7-6,6-1",,1999-01-03,,Hope Island,,,,,80218,,140145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-AUS-01A-1999,1999,Hope Island,W,1999-01-03,,Hard,,,30,,,LS022,1999-01-03,R32,Brie Rippner,Laurence Courtois,USA,BEL,,,6-2,6-4,,,180310,30261,W-WT-AUS-01A-1999,1999,Brie Rippner,Laurence Courtois,USA,BEL,,,LL,Brie Rippner,Laurence Courtois,2,"6-2,6-4",,1999-01-03,,Hope Island,,,,,180310,,30261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-AUS-01A-1999,1999,Hope Island,W,1999-01-03,,Hard,,,30,,,LS021,1999-01-03,R32,Sarah Pitkowski Malcor,Alicia Molik,FRA,AUS,,,6-3,6-2,,,160200,130548,W-WT-AUS-01A-1999,1999,Sarah Pitkowski Malcor,Alicia Molik,FRA,AUS,,,,Sarah Pitkowski Malcor,Alicia Molik,2,"6-3,6-2",,1999-01-03,,Hope Island,,,,,160200,,130548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
