tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-WT-HUN-01A-1999,1999,Budapest,W,1999-04-19,,Clay,,,32,,,LS031,1999-04-19,R32,Ludmila Cervanova,Jana Novotna,SVK,CZE,,1,6-4,6-3,,,30390,,W-WT-HUN-01A-1999,1999,Ludmila Cervanova,Jana Novotna,SVK,CZE,,1,,Ludmila Cervanova,Jana Novotna,2,"6-4,6-3",,1999-04-19,,Budapest,,,,,30390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-HUN-01A-1999,1999,Budapest,W,1999-04-19,,Clay,,,32,,,LS030,1999-04-19,R32,Eva Martincova,Katarzyna Straczy,CZE,POL,,,6-1,3-6,6-3,,130313,190623,W-WT-HUN-01A-1999,1999,Eva Martincova,Katarzyna Straczy,CZE,POL,,,Q,Eva Martincova,Katarzyna Straczy,3,"6-1,3-6,6-3",,1999-04-19,,Budapest,,,,,130313,,190623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-HUN-01A-1999,1999,Budapest,W,1999-04-19,,Clay,,,32,,,LS029,1999-04-19,R32,Elena Pampoulova,Mariana Diaz Oliva,BUL,ARG,,,7-6,6-1,,,,40198,W-WT-HUN-01A-1999,1999,Elena Pampoulova,Mariana Diaz Oliva,BUL,ARG,,,,Elena Pampoulova,Mariana Diaz Oliva,2,"7-6,6-1",,1999-04-19,,Budapest,,,,,,,40198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-HUN-01A-1999,1999,Budapest,W,1999-04-19,,Clay,,,32,,,LS028,1999-04-19,R32,Denisa Chladkova,Gala Leon Garcia,CZE,ESP,,8,6-3,6-2,,,30382,120176,W-WT-HUN-01A-1999,1999,Denisa Chladkova,Gala Leon Garcia,CZE,ESP,,8,,Denisa Chladkova,Gala Leon Garcia,2,"6-3,6-2",,1999-04-19,,Budapest,,,,,30382,,120176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-HUN-01A-1999,1999,Budapest,W,1999-04-19,,Clay,,,32,,,LS026,1999-04-19,R32,Amanda Hopmans,Virginia Ruano Pascual,NED,ESP,,4,6-2,6-4,,,80260,180160,W-WT-HUN-01A-1999,1999,Amanda Hopmans,Virginia Ruano Pascual,NED,ESP,,4,,Amanda Hopmans,Virginia Ruano Pascual,2,"6-2,6-4",,1999-04-19,,Budapest,,,,,80260,,180160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-HUN-01A-1999,1999,Budapest,W,1999-04-19,,Clay,,,32,,,LS027,1999-04-19,R32,Barbara Schwartz,Sandra Nacuk,AUT,SCG,,,3-6,6-2,6-3,,190539,140179,W-WT-HUN-01A-1999,1999,Barbara Schwartz,Sandra Nacuk,AUT,SCG,,,,Barbara Schwartz,Sandra Nacuk,3,"3-6,6-2,6-3",,1999-04-19,,Budapest,,,,,190539,,140179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-HUN-01A-1999,1999,Budapest,W,1999-04-19,,Clay,,,32,,,LS024,1999-04-19,R32,Cristina Torrens Valero,Adriana Serra Zanetti,ESP,ITA,,,6-2,6-2,,,200122,190276,W-WT-HUN-01A-1999,1999,Cristina Torrens Valero,Adriana Serra Zanetti,ESP,ITA,,,,Cristina Torrens Valero,Adriana Serra Zanetti,2,"6-2,6-2",,1999-04-19,,Budapest,,,,,200122,,190276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-HUN-01A-1999,1999,Budapest,W,1999-04-19,,Clay,,,32,,,LS025,1999-04-19,R32,Nathalie Dechy,Silvija Talaja,FRA,CRO,5.0,,6-3,6-4,,,40254,200160,W-WT-HUN-01A-1999,1999,Nathalie Dechy,Silvija Talaja,FRA,CRO,5.0,,,Nathalie Dechy,Silvija Talaja,2,"6-3,6-4",,1999-04-19,,Budapest,,,,,40254,,200160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-HUN-01A-1999,1999,Budapest,W,1999-04-19,,Clay,,,32,,,LS023,1999-04-19,R32,Anna Foldenyi Dicker,Maria Sanchez Lorenzo,HUN,ESP,,6,6-2,5-7,7-5,,,190435,W-WT-HUN-01A-1999,1999,Anna Foldenyi Dicker,Maria Sanchez Lorenzo,HUN,ESP,,6,,Anna Foldenyi Dicker,Maria Sanchez Lorenzo,3,"6-2,5-7,7-5",,1999-04-19,,Budapest,,,,,,,190435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-HUN-01A-1999,1999,Budapest,W,1999-04-19,,Clay,,,32,,,LS022,1999-04-19,R32,Lenka Nemeckova,Sandra Dopfer,CZE,AUT,,,6-4,4-6,6-3,,140117,,W-WT-HUN-01A-1999,1999,Lenka Nemeckova,Sandra Dopfer,CZE,AUT,,,,Lenka Nemeckova,Sandra Dopfer,3,"6-4,4-6,6-3",,1999-04-19,,Budapest,,,,,140117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
