event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set1_winner,tiebreak_set1_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,player_id_winner,player_id_loser
1536,2006,ATP Masters 1000 Madrid,1000,2006-10-16T00:00:00,2006-10-22T00:00:00,Hard,48,2200000,$,MS001,F,01:48:00,,F,3,F324,"7-5,6-1,6-0",R. Federer,F. Gonzalez,,,SUI,CHI,7-5,6-1,6-0,,,01:48:00,312,/en/stats/leaderboard?page=serve,2,11,56,45,81,80,36,45,67,24,36,100,2,2,13,221,/en/stats/leaderboard?page=serve,0,4,63,50,79,52,26,50,52,15,29,54,7,13,12,74,60,81,48,38,79,61,98,160,52,41,79,26,21,81,39,62,160,A,,,,,,,R. Federer,F. Gonzalez,SUI,CHI,,,F324,G415
1536,2006,ATP Masters 1000 Madrid,1000,2006-10-16T00:00:00,2006-10-22T00:00:00,Hard,48,2200000,$,MS002,SF,00:59:00,,F,2,F324,"6-4,6-0",R. Federer,D. Nalbandian,,,SUI,ARG,6-4,6-0,,,,00:59:00,297,/en/stats/leaderboard?page=serve,0,9,66,27,41,78,21,27,57,8,14,0,0,1,8,180,/en/stats/leaderboard?page=serve,2,1,70,38,54,55,21,38,19,3,16,50,5,10,8,71,29,41,56,30,54,62,59,95,44,24,54,29,12,41,38,36,95,A,,,,,,,R. Federer,D. Nalbandian,SUI,ARG,,,F324,N301
1536,2006,ATP Masters 1000 Madrid,1000,2006-10-16T00:00:00,2006-10-22T00:00:00,Hard,48,2200000,$,MS003,SF,00:53:00,,F,2,G415,"6-3,6-1",F. Gonzalez,T. Berdych,,,CHI,CZE,6-3,6-1,,,,00:53:00,334,/en/stats/leaderboard?page=serve,1,10,72,28,39,89,25,28,64,7,11,0,0,0,8,212,/en/stats/leaderboard?page=serve,3,4,68,32,47,53,17,32,40,6,15,43,3,7,8,82,32,39,51,24,47,65,56,86,49,23,47,18,7,39,35,30,86,A,,,,,,,F. Gonzalez,T. Berdych,CHI,CZE,,,G415,BA47
1536,2006,ATP Masters 1000 Madrid,1000,2006-10-16T00:00:00,2006-10-22T00:00:00,Hard,48,2200000,$,MS004,QF,01:22:00,,F,2,F324,"6-3,7-6(7)",R. Federer,R. Ginepri,,,SUI,USA,6-3,7-6(7),,,,01:22:00,308,/en/stats/leaderboard?page=serve,1,6,64,49,76,76,37,49,63,17,27,100,1,1,11,281,/en/stats/leaderboard?page=serve,0,2,67,44,66,77,34,44,45,10,22,0,0,1,10,71,54,76,33,22,66,54,76,142,67,44,66,29,22,76,46,66,142,A,7,4,,,,,R. Federer,R. Ginepri,SUI,USA,,,F324,G569
1536,2006,ATP Masters 1000 Madrid,1000,2006-10-16T00:00:00,2006-10-22T00:00:00,Hard,48,2200000,$,MS005,QF,02:57:00,,F,3,N301,"6-4,6-7(6),7-6(7)",D. Nalbandian,M. Safin,,,ARG,RUS,6-4,6-7(6),7-6(7),,,02:57:00,272,/en/stats/leaderboard?page=serve,5,3,60,75,124,71,53,75,61,30,49,70,7,10,17,271,/en/stats/leaderboard?page=serve,2,19,59,74,125,70,52,74,49,25,51,69,9,13,17,67,83,124,38,48,125,53,131,249,62,77,125,33,41,124,47,118,249,A,6,8,7,2,,,D. Nalbandian,M. Safin,ARG,RUS,,,N301,S741
1536,2006,ATP Masters 1000 Madrid,1000,2006-10-16T00:00:00,2006-10-22T00:00:00,Hard,48,2200000,$,MS006,QF,02:21:00,,F,3,G415,"7-5,5-7,7-5",F. Gonzalez,N. Djokovic,,,CHI,SRB,7-5,5-7,7-5,,,02:21:00,278,/en/stats/leaderboard?page=serve,4,8,57,55,97,82,45,55,52,22,42,40,2,5,18,265,/en/stats/leaderboard?page=serve,3,5,69,75,108,69,52,75,48,16,33,64,7,11,18,69,67,97,37,40,108,52,107,205,63,68,108,31,30,97,48,98,205,A,,,,,,,F. Gonzalez,N. Djokovic,CHI,SRB,,,G415,D643
1536,2006,ATP Masters 1000 Madrid,1000,2006-10-16T00:00:00,2006-10-22T00:00:00,Hard,48,2200000,$,MS007,QF,01:47:00,,F,2,BA47,"6-3,7-6(8)",T. Berdych,R. Nadal,,,CZE,ESP,6-3,7-6(8),,,,01:47:00,294,/en/stats/leaderboard?page=serve,4,9,60,47,78,74,35,47,55,17,31,100,2,2,11,283,/en/stats/leaderboard?page=serve,2,4,67,43,64,72,31,43,52,11,21,0,0,1,10,67,52,78,34,22,64,52,74,142,66,42,64,33,26,78,48,68,142,A,8,6,,,,,T. Berdych,R. Nadal,CZE,ESP,,,BA47,N409
1536,2006,ATP Masters 1000 Madrid,1000,2006-10-16T00:00:00,2006-10-22T00:00:00,Hard,48,2200000,$,MS008,R16,01:48:00,,F,2,F324,"7-6(7),7-6(10)",R. Federer,R. Soderling,,,SUI,SWE,7-6(7),7-6(10),,,,01:48:00,342,/en/stats/leaderboard?page=serve,0,13,76,60,79,85,51,60,68,13,19,100,2,2,12,295,/en/stats/leaderboard?page=serve,3,8,61,62,102,81,50,62,48,19,40,100,8,8,12,81,64,79,32,33,102,54,97,181,68,69,102,19,15,79,46,84,181,A,10,8,,,7,5,R. Federer,R. Soderling,SUI,SWE,,,F324,SA49
1536,2006,ATP Masters 1000 Madrid,1000,2006-10-16T00:00:00,2006-10-22T00:00:00,Hard,48,2200000,$,MS009,R16,01:30:00,,F,2,G569,"6-3,7-6(7)",R. Ginepri,T. Robredo,,,USA,ESP,6-3,7-6(7),,,,01:30:00,294,/en/stats/leaderboard?page=serve,2,3,69,43,62,81,35,43,53,10,19,0,0,1,11,277,/en/stats/leaderboard?page=serve,2,4,68,45,66,60,27,45,67,14,21,50,2,4,10,73,45,62,38,25,66,55,70,128,62,41,66,27,17,62,45,58,128,A,7,3,,,,,R. Ginepri,T. Robredo,USA,ESP,,,G569,R419
1536,2006,ATP Masters 1000 Madrid,1000,2006-10-16T00:00:00,2006-10-22T00:00:00,Hard,48,2200000,$,MS010,R16,01:40:00,,F,3,N301,"6-2,2-6,7-5",D. Nalbandian,T. Henman,,,ARG,GBR,6-2,2-6,7-5,,,01:40:00,273,/en/stats/leaderboard?page=serve,2,5,75,57,76,70,40,57,47,9,19,50,3,6,14,262,/en/stats/leaderboard?page=serve,2,9,65,55,84,64,35,55,55,16,29,50,4,8,14,64,49,76,39,33,84,51,82,160,61,51,84,36,27,76,49,78,160,A,,,,,,,D. Nalbandian,T. Henman,ARG,GBR,,,N301,H336
