event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_isstatbetter_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
306,1996,St. Polten,GP,1996-05-20T00:00:00,1996-05-26T00:00:00,Clay,32,400000,$,MS001,F,01:16:00,,F,2,R286,"6-2,6-4",M. Rios,F. Mantilla,,,CHI,ESP,6-2,6-4,,,,01:16:00,274,/en/stats/leaderboard?page=serve,3,4,54,28,52,89,25,28,42,10,24,50,1,2,9,224,/en/stats/leaderboard?page=serve,False,1,64,41,64,56,23,41,48,11,23,56,5,9,9,67,35,52,47,30,64,56,65,116,53,34,64,33,17,52,44,51,116,A,,,,,,,,,M. Rios,F. Mantilla,R286,M535,CHI,ESP,,
306,1996,St. Polten,GP,1996-05-20T00:00:00,1996-05-26T00:00:00,Clay,32,400000,$,MS002,SF,02:39:00,,F,3,M535,"6-3,5-7,6-2",F. Mantilla,A. Gaudenzi,,,ESP,ITA,6-3,5-7,6-2,,,02:39:00,235,/en/stats/leaderboard?page=serve,5,1,69,74,107,62,46,74,42,14,33,64,9,14,15,206,/en/stats/leaderboard?page=serve,,0,62,64,103,52,33,64,49,19,39,61,11,18,14,56,60,107,50,51,103,53,111,210,50,52,103,44,47,107,47,99,210,A,7,,,,,,,,F. Mantilla,A. Gaudenzi,M535,G254,ESP,ITA,,
306,1996,St. Polten,GP,1996-05-20T00:00:00,1996-05-26T00:00:00,Clay,32,400000,$,MS003,SF,01:23:00,,F,2,R286,"7-6(7),6-3",M. Rios,S. Dosedel,,,CHI,CZE,7-6(7),6-3,,,,01:23:00,279,/en/stats/leaderboard?page=serve,,6,45,36,80,83,30,36,55,24,44,75,3,4,11,277,/en/stats/leaderboard?page=serve,,3,61,34,56,79,27,34,55,12,22,33,1,3,10,68,54,80,30,17,56,52,71,136,70,39,56,33,26,80,48,65,136,A,1,7,4,False,,,,,M. Rios,S. Dosedel,R286,D198,CHI,CZE,,
306,1996,St. Polten,GP,1996-05-20T00:00:00,1996-05-26T00:00:00,Clay,32,400000,$,MS005,QF,01:09:00,,F,2,M535,"6-4,6-0",F. Mantilla,K. Carlsen,,,ESP,DEN,6-4,6-0,,,,01:09:00,260,/en/stats/leaderboard?page=serve,,0,84,46,55,72,33,46,67,6,9,,0,,8,204,/en/stats/leaderboard?page=serve,,7,57,28,49,75,21,28,19,4,21,64,7,11,8,71,39,55,49,24,49,61,63,104,51,25,49,29,16,55,39,41,104,A,4,,,False,,,,,F. Mantilla,K. Carlsen,M535,C328,ESP,DEN,,
306,1996,St. Polten,GP,1996-05-20T00:00:00,1996-05-26T00:00:00,Clay,32,400000,$,MS006,QF,01:19:00,,F,2,D198,"6-3,6-3",S. Dosedel,S. Edberg,,,CZE,SWE,6-3,6-3,,,,01:19:00,279,/en/stats/leaderboard?page=serve,2,0,76,41,54,71,29,41,46,6,13,50,1,2,9,215,/en/stats/leaderboard?page=serve,,2,61,43,71,58,25,43,43,12,28,43,3,7,9,65,35,54,48,34,71,55,69,125,52,37,71,35,19,54,45,56,125,A,4,,,,,,,,S. Dosedel,S. Edberg,D198,E004,CZE,SWE,,
306,1996,St. Polten,GP,1996-05-20T00:00:00,1996-05-26T00:00:00,Clay,32,400000,$,MS007,QF,01:34:00,,F,3,R286,"6-2,1-6,6-3",M. Rios,F. Clavet,,,CHI,ESP,6-2,1-6,6-3,,,01:34:00,230,/en/stats/leaderboard?page=serve,6,1,52,37,71,70,26,37,47,16,34,20,1,5,12,228,/en/stats/leaderboard?page=serve,,4,58,44,76,64,28,44,47,15,32,29,2,7,12,59,42,71,43,33,76,51,75,147,57,43,76,41,29,71,49,72,147,A,3,,,,,,,,M. Rios,F. Clavet,R286,C252,CHI,ESP,,
306,1996,St. Polten,GP,1996-05-20T00:00:00,1996-05-26T00:00:00,Clay,32,400000,$,MS008,R16,02:14:00,,F,3,M099,"6-7(4),6-4,7-6(9)",T. Muster,M. Goellner,,,AUT,GER,6-7(4),6-4,7-6(9),,,02:14:00,288,/en/stats/leaderboard?page=serve,2,1,68,84,123,73,61,84,54,21,39,67,2,3,17,296,/en/stats/leaderboard?page=serve,,9,67,74,110,70,52,74,64,23,36,67,4,6,17,67,82,123,32,35,110,50,117,233,68,75,110,33,41,123,50,116,233,A,2,4,7,,9,7,,,T. Muster,M. Goellner,M099,G252,AUT,GER,,
306,1996,St. Polten,GP,1996-05-20T00:00:00,1996-05-26T00:00:00,Clay,32,400000,$,MS009,R16,00:50:00,,F,2,G254,"6-0,6-1",A. Gaudenzi,S. Matsuoka,,,ITA,JPN,6-0,6-1,,,,00:50:00,207,/en/stats/leaderboard?page=serve,2,1,75,24,32,83,20,24,50,4,8,0,0,,6,146,/en/stats/leaderboard?page=serve,,1,53,24,45,46,11,24,33,7,21,40,4,10,7,75,24,32,60,27,45,66,51,77,40,18,45,25,8,32,34,26,77,A,1,,,,,,,,A. Gaudenzi,S. Matsuoka,G254,M338,ITA,JPN,,
306,1996,St. Polten,GP,1996-05-20T00:00:00,1996-05-26T00:00:00,Clay,32,400000,$,MS010,R16,01:51:00,,F,3,M535,"6-2,6-7(3),6-3",F. Mantilla,G. Rusedski,,,ESP,GBR,6-2,6-7(3),6-3,,,01:51:00,315,/en/stats/leaderboard?page=serve,2,0,81,83,102,64,53,83,79,15,19,88,7,8,15,252,/en/stats/leaderboard?page=serve,,9,63,57,90,70,40,57,42,14,33,56,5,9,14,67,68,102,40,36,90,54,104,192,60,54,90,33,34,102,46,88,192,A,3,,,,,,3,7,F. Mantilla,G. Rusedski,M535,R237,ESP,GBR,,
306,1996,St. Polten,GP,1996-05-20T00:00:00,1996-05-26T00:00:00,Clay,32,400000,$,MS011,R16,01:05:00,,F,2,C328,"6-1,6-4",K. Carlsen,Y. El Aynaoui,,,DEN,MAR,6-1,6-4,,,,01:05:00,211,/en/stats/leaderboard?page=serve,1,0,61,30,49,83,25,30,68,13,19,0,0,,9,226,/en/stats/leaderboard?page=serve,,0,72,38,53,61,23,38,33,5,15,25,1,4,8,78,38,49,47,25,53,62,63,102,53,28,53,22,11,49,38,39,102,A,2,,,,,,,,K. Carlsen,Y. El Aynaoui,C328,E121,DEN,MAR,,
