event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,settime_tot_winner,settime_tot_loser,player_id_winner,player_id_loser
311,2014,London / Queen's Club,250,2014-06-09T00:00:00,2014-06-15T00:00:00,Grass,56,711010,€,MS001,F,02:31:00,,F,3,D875,"6-7(8),7-6(7),7-6(8)",G. Dimitrov,F. Lopez,,,BUL,ESP,6-7(8),7-6(7),7-6(8),,,02:31:00,A,G. Dimitrov,F. Lopez,BUL,ESP,,,317,/en/stats/leaderboard?page=serve,6,27,74,86,117,86,74,86,42,13,31,50,1,2,18,295,/en/stats/leaderboard?page=serve,5,13,72,91,127,79,72,91,42,15,36,67,2,3,18,74,87,117,31,40,127,52,127,244,69,87,127,26,30,117,48,117,244,8,10,7,1,8,6,02:31:00,02:31:00,D875,L397
311,2014,London / Queen's Club,250,2014-06-09T00:00:00,2014-06-15T00:00:00,Grass,56,711010,€,MS002,SF,01:02:00,,F,2,D875,"6-2,6-4",G. Dimitrov,S. Wawrinka,,,BUL,SUI,6-2,6-4,,,,01:02:00,A,G. Dimitrov,S. Wawrinka,BUL,SUI,,,309,/en/stats/leaderboard?page=serve,2,9,62,33,53,85,28,33,55,11,20,100,4,4,9,250,/en/stats/leaderboard?page=serve,2,6,66,33,50,73,24,33,41,7,17,57,4,7,9,74,39,53,38,19,50,56,58,103,62,31,50,26,14,53,44,45,103,,,,,,,01:02:00,01:02:00,D875,W367
311,2014,London / Queen's Club,250,2014-06-09T00:00:00,2014-06-15T00:00:00,Grass,56,711010,€,MS003,SF,01:42:00,,F,2,L397,"7-6(9),6-4",F. Lopez,R. Stepanek,,,ESP,CZE,7-6(9),6-4,,,,01:42:00,A,F. Lopez,R. Stepanek,ESP,CZE,,,316,/en/stats/leaderboard?page=serve,1,6,59,41,70,80,33,41,72,21,29,100,1,1,11,286,/en/stats/leaderboard?page=serve,3,10,57,45,79,76,34,45,56,19,34,83,5,6,11,77,54,70,33,26,79,54,80,149,67,53,79,23,16,70,46,69,149,9,7,,,,,01:42:00,01:42:00,L397,S694
311,2014,London / Queen's Club,250,2014-06-09T00:00:00,2014-06-15T00:00:00,Grass,56,711010,€,MS004,QF,01:10:00,,F,2,W367,"7-5,6-3",S. Wawrinka,M. Matosevic,,,SUI,AUS,7-5,6-3,,,,01:10:00,A,S. Wawrinka,M. Matosevic,SUI,AUS,,,314,/en/stats/leaderboard?page=serve,3,10,56,33,59,82,27,33,69,18,26,0,0,0,11,261,/en/stats/leaderboard?page=serve,1,2,54,31,57,84,26,31,42,11,26,60,3,5,10,76,45,59,35,20,57,56,65,116,65,37,57,24,14,59,44,51,116,,,,,,,01:10:00,01:10:00,W367,ME05
311,2014,London / Queen's Club,250,2014-06-09T00:00:00,2014-06-15T00:00:00,Grass,56,711010,€,MS006,QF,01:37:00,,F,3,S694,"1-6,6-3,6-2",R. Stepanek,K. Anderson,,,CZE,RSA,1-6,6-3,6-2,,,01:37:00,A,R. Stepanek,K. Anderson,CZE,RSA,,,284,/en/stats/leaderboard?page=serve,1,5,69,49,71,73,36,49,55,12,22,60,3,5,12,264,/en/stats/leaderboard?page=serve,1,15,65,48,74,75,36,48,35,9,26,40,2,5,12,68,48,71,39,29,74,53,77,145,61,45,74,32,23,71,47,68,145,,,,,,,01:37:00,01:37:00,S694,A678
311,2014,London / Queen's Club,250,2014-06-09T00:00:00,2014-06-15T00:00:00,Grass,56,711010,€,MS007,QF,01:37:00,,F,2,L397,"6-4,7-6(9)",F. Lopez,T. Berdych,,,ESP,CZE,6-4,7-6(9),,,,01:37:00,A,F. Lopez,T. Berdych,ESP,CZE,,,322,/en/stats/leaderboard?page=serve,2,13,74,48,65,90,43,48,47,8,17,100,1,1,11,279,/en/stats/leaderboard?page=serve,4,7,62,46,74,78,36,46,46,13,28,75,3,4,11,78,51,65,34,25,74,55,76,139,66,49,74,22,14,65,45,63,139,,,9,7,,,01:37:00,01:37:00,L397,BA47
311,2014,London / Queen's Club,250,2014-06-09T00:00:00,2014-06-15T00:00:00,Grass,56,711010,€,MS008,R16,00:50:00,,F,2,W367,"6-2,6-2",S. Wawrinka,S. Querrey,,,SUI,USA,6-2,6-2,,,,00:50:00,A,S. Wawrinka,S. Querrey,SUI,USA,,,318,/en/stats/leaderboard?page=serve,1,7,62,26,42,81,21,26,69,11,16,0,0,0,8,211,/en/stats/leaderboard?page=serve,4,3,50,24,48,54,13,24,58,14,24,33,2,6,8,76,32,42,44,21,48,59,53,90,56,27,48,24,10,42,41,37,90,,,,,,,00:50:00,00:50:00,W367,Q927
311,2014,London / Queen's Club,250,2014-06-09T00:00:00,2014-06-15T00:00:00,Grass,56,711010,€,MS009,R16,01:15:00,,F,2,ME05,"6-2,6-4",M. Matosevic,J. Tsonga,,,AUS,FRA,6-2,6-4,,,,01:15:00,A,M. Matosevic,J. Tsonga,AUS,FRA,,,312,/en/stats/leaderboard?page=serve,1,1,54,26,48,81,21,26,77,17,22,100,3,3,9,232,/en/stats/leaderboard?page=serve,2,4,59,38,64,63,24,38,42,11,26,63,5,8,9,79,38,48,45,29,64,60,67,112,55,35,64,21,10,48,40,45,112,,,,,,,01:15:00,01:15:00,ME05,T786
311,2014,London / Queen's Club,250,2014-06-09T00:00:00,2014-06-15T00:00:00,Grass,56,711010,€,MS010,R16,01:22:00,,F,2,D875,"7-6(7),6-4",G. Dimitrov,E. Roger-Vasselin,,,BUL,FRA,7-6(7),6-4,,,,01:22:00,A,G. Dimitrov,E. Roger-Vasselin,BUL,FRA,,,300,/en/stats/leaderboard?page=serve,3,15,65,41,63,88,36,41,45,10,22,50,1,2,11,264,/en/stats/leaderboard?page=serve,4,5,69,57,83,67,38,57,46,12,26,67,4,6,11,73,46,63,40,33,83,54,79,146,60,50,83,27,17,63,46,67,146,7,3,,,,,01:22:00,01:22:00,D875,R613
311,2014,London / Queen's Club,250,2014-06-09T00:00:00,2014-06-15T00:00:00,Grass,56,711010,€,MS011,R16,00:56:00,,F,2,D801,"6-4,4-2",A. Dolgopolov,J. Nieminen,,,UKR,FIN,6-4,4-2,,,,00:56:00,A,A. Dolgopolov,J. Nieminen,UKR,FIN,,,300,/en/stats/leaderboard?page=serve,2,11,53,28,53,82,23,28,56,14,25,100,4,4,8,261,/en/stats/leaderboard?page=serve,2,4,73,35,48,57,20,35,54,7,13,50,2,4,8,70,37,53,44,21,48,57,58,101,56,27,48,30,16,53,43,43,101,,,,,,,00:56:00,00:56:00,D801,N289
311,2014,London / Queen's Club,250,2014-06-09T00:00:00,2014-06-15T00:00:00,Grass,56,711010,€,MS012,R16,01:57:00,,F,3,A678,"6-3,3-6,7-6(7)",K. Anderson,S. Stakhovsky,,,RSA,UKR,6-3,3-6,7-6(7),,,01:57:00,A,K. Anderson,S. Stakhovsky,RSA,UKR,,,297,/en/stats/leaderboard?page=serve,2,12,58,47,81,81,38,47,62,21,34,0,0,2,15,271,/en/stats/leaderboard?page=serve,4,10,66,75,114,75,56,75,38,15,39,82,9,11,15,73,59,81,38,43,114,52,102,195,62,71,114,27,22,81,48,93,195,,,,,7,4,01:57:00,01:57:00,A678,SC77
311,2014,London / Queen's Club,250,2014-06-09T00:00:00,2014-06-15T00:00:00,Grass,56,711010,€,MS013,R16,01:55:00,,F,2,S694,"7-6(12),6-2",R. Stepanek,A. Murray,,,CZE,GBR,7-6(12),6-2,,,,01:55:00,A,R. Stepanek,A. Murray,CZE,GBR,,,282,/en/stats/leaderboard?page=serve,4,11,63,42,67,90,38,42,32,8,25,50,1,2,10,242,/en/stats/leaderboard?page=serve,5,6,64,60,94,63,38,60,44,15,34,57,4,7,10,69,46,67,44,41,94,54,87,161,56,53,94,31,21,67,46,74,161,12,10,,,,,01:55:00,01:55:00,S694,MC10
311,2014,London / Queen's Club,250,2014-06-09T00:00:00,2014-06-15T00:00:00,Grass,56,711010,€,MS014,R16,02:08:00,,F,3,L397,"7-6(7),6-7(4),7-6(7)",F. Lopez,K. De Schepper,,,ESP,FRA,7-6(7),6-7(4),7-6(7),,,02:08:00,A,F. Lopez,K. De Schepper,ESP,FRA,,,330,/en/stats/leaderboard?page=serve,2,15,71,76,107,88,67,76,58,18,31,0,0,0,18,325,/en/stats/leaderboard?page=serve,3,24,77,89,116,83,74,89,44,12,27,100,4,4,18,79,85,107,26,30,116,52,115,223,74,86,116,21,22,107,48,108,223,7,3,4,7,7,3,02:08:00,02:08:00,L397,D750
311,2014,London / Queen's Club,250,2014-06-09T00:00:00,2014-06-15T00:00:00,Grass,56,711010,€,MS015,R16,02:04:00,,F,2,BA47,"7-6(7),6-4",T. Berdych,A. Mannarino,,,CZE,FRA,7-6(7),6-4,,,,02:04:00,A,T. Berdych,A. Mannarino,CZE,FRA,,,312,/en/stats/leaderboard?page=serve,2,13,57,34,60,100,34,34,54,14,26,67,2,3,11,255,/en/stats/leaderboard?page=serve,2,8,60,75,125,60,45,75,48,24,50,89,17,19,11,80,48,60,45,56,125,56,104,185,55,69,125,20,12,60,44,81,185,7,2,,,,,02:04:00,02:04:00,BA47,ME82
