event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
314,1998,Gstaad,WS,1998-07-06T00:00:00,1998-07-12T00:00:00,Clay,32,525000,$,MS001,F,02:25:00,,F,3,C344,"7-6(7),7-5,6-3",A. Corretja,B. Becker,,,ESP,GER,7-6(7),7-5,6-3,,,02:25:00,7,5,276,/en/stats/leaderboard?page=serve,3,9,56,54,97,83,45,54,63,27,43,0,16,269,/en/stats/leaderboard?page=serve,4,5,61,65,106,74,48,65,51,21,41,25,1,4,17,74,72,97,35,37,106,54,109,203,65,69,106,26,25,97,46,94,203,A,,,,,,,A. Corretja,B. Becker,C344,B028,ESP,GER,,
314,1998,Gstaad,WS,1998-07-06T00:00:00,1998-07-12T00:00:00,Clay,32,525000,$,MS002,SF,01:33:00,,F,2,B028,"6-4,7-6(7)",B. Becker,M. Rios,,,GER,CHI,6-4,7-6(7),,,,01:33:00,,,220,/en/stats/leaderboard?page=serve,7,8,56,47,84,85,40,47,51,19,37,0,11,285,/en/stats/leaderboard?page=serve,1,5,56,39,70,77,30,39,58,18,31,75,3,4,11,70,59,84,31,22,70,53,81,154,69,48,70,30,25,84,47,73,154,A,7,4,,,,,B. Becker,M. Rios,B028,R286,GER,CHI,,
314,1998,Gstaad,WS,1998-07-06T00:00:00,1998-07-12T00:00:00,Clay,32,525000,$,MS003,SF,02:01:00,,F,3,C344,"6-3,6-7(3),6-3",A. Corretja,F. Dewulf,,,ESP,BEL,6-3,6-7(3),6-3,,,02:01:00,,,280,/en/stats/leaderboard?page=serve,2,9,66,69,104,70,48,69,69,24,35,0,16,278,/en/stats/leaderboard?page=serve,4,3,56,45,80,84,38,45,54,19,35,0,0,2,14,69,72,104,29,23,80,52,95,184,71,57,80,31,32,104,48,89,184,A,3,7,,,,,A. Corretja,F. Dewulf,C344,D228,ESP,BEL,,
314,1998,Gstaad,WS,1998-07-06T00:00:00,1998-07-12T00:00:00,Clay,32,525000,$,MS004,QF,01:19:00,,F,2,R286,"6-3,7-5",M. Rios,F. Clavet,,,CHI,ESP,6-3,7-5,,,,01:19:00,,,293,/en/stats/leaderboard?page=serve,1,3,48,28,58,86,24,28,67,20,30,1,11,248,/en/stats/leaderboard?page=serve,4,0,66,44,67,55,24,44,61,14,23,63,5,8,10,76,44,58,43,29,67,58,73,125,57,38,67,24,14,58,42,52,125,A,,,50,2,,,M. Rios,F. Clavet,R286,C252,CHI,ESP,,
314,1998,Gstaad,WS,1998-07-06T00:00:00,1998-07-12T00:00:00,Clay,32,525000,$,MS005,QF,01:16:00,,F,2,B028,"6-4,6-4",B. Becker,F. Mantilla,,,GER,ESP,6-4,6-4,,,,01:16:00,,,299,/en/stats/leaderboard?page=serve,3,9,62,36,58,86,31,36,55,12,22,0,10,279,/en/stats/leaderboard?page=serve,2,2,83,58,70,66,38,58,50,6,12,67,4,6,10,74,43,58,37,26,70,54,69,128,63,44,70,26,15,58,46,59,128,A,,,,,,,B. Becker,F. Mantilla,B028,M535,GER,ESP,,
314,1998,Gstaad,WS,1998-07-06T00:00:00,1998-07-12T00:00:00,Clay,32,525000,$,MS006,QF,02:12:00,,F,3,C344,"5-7,6-2,6-2",A. Corretja,A. Costa,,,ESP,ESP,5-7,6-2,6-2,,,02:12:00,,,273,/en/stats/leaderboard?page=serve,4,5,57,47,83,77,36,47,53,19,36,4,14,235,/en/stats/leaderboard?page=serve,4,0,76,75,99,57,43,75,42,10,24,75,15,20,14,66,55,83,46,46,99,55,101,182,54,53,99,34,28,83,45,81,182,A,,,67,6,,,A. Corretja,A. Costa,C344,C378,ESP,ESP,,
314,1998,Gstaad,WS,1998-07-06T00:00:00,1998-07-12T00:00:00,Clay,32,525000,$,MS007,QF,01:41:00,,F,3,D228,"1-6,6-3,6-4",F. Dewulf,N. Kiefer,,,BEL,GER,1-6,6-3,6-4,,,01:41:00,,,278,/en/stats/leaderboard?page=serve,3,8,61,47,77,81,38,47,47,14,30,4,13,259,/en/stats/leaderboard?page=serve,6,9,37,34,91,82,28,34,53,30,57,71,5,7,13,68,52,77,36,33,91,51,85,168,64,58,91,32,25,77,49,83,168,A,,,67,6,,,F. Dewulf,N. Kiefer,D228,K316,BEL,GER,,
314,1998,Gstaad,WS,1998-07-06T00:00:00,1998-07-12T00:00:00,Clay,32,525000,$,MS008,R16,00:58:00,,F,2,R286,"6-4,6-1",M. Rios,L. Arnold Ker,,,CHI,ARG,6-4,6-1,,,,00:58:00,,,279,/en/stats/leaderboard?page=serve,3,5,54,25,46,84,21,25,52,11,21,2,8,197,/en/stats/leaderboard?page=serve,1,3,66,38,58,50,19,38,35,7,20,38,3,8,9,70,32,46,55,32,58,62,64,104,45,26,58,30,14,46,38,40,104,A,,,67,3,,,M. Rios,L. Arnold Ker,R286,A228,CHI,ARG,,
314,1998,Gstaad,WS,1998-07-06T00:00:00,1998-07-12T00:00:00,Clay,32,525000,$,MS009,R16,01:36:00,,F,3,C252,"2-6,6-4,6-4",F. Clavet,G. Kuerten,,,ESP,BRA,2-6,6-4,6-4,,,01:36:00,,,238,/en/stats/leaderboard?page=serve,7,2,49,36,73,72,26,36,51,19,37,1,14,246,/en/stats/leaderboard?page=serve,2,7,54,47,87,66,31,47,50,20,40,60,6,10,14,62,45,73,41,36,87,51,81,160,59,51,87,38,28,73,49,79,160,A,,,20,5,,,F. Clavet,G. Kuerten,C252,K293,ESP,BRA,,
314,1998,Gstaad,WS,1998-07-06T00:00:00,1998-07-12T00:00:00,Clay,32,525000,$,MS010,R16,01:55:00,,F,2,B028,"7-6(7),7-5",B. Becker,C. Pioline,,,GER,FRA,7-6(7),7-5,,,,01:55:00,7,2,269,/en/stats/leaderboard?page=serve,5,12,57,48,84,75,36,48,47,17,36,5,12,244,/en/stats/leaderboard?page=serve,3,8,47,39,83,69,27,39,48,21,44,50,3,6,12,63,53,84,42,35,83,53,88,167,58,48,83,37,31,84,47,79,167,A,,,71,7,,,B. Becker,C. Pioline,B028,P226,GER,FRA,,
