event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
315,2000,Newport,WS,2000-07-10T00:00:00,2000-07-16T00:00:00,Grass,32,350000,$,MS001,F,00:58:00,,F,2,W254,"7-6(7),6-3",P. Wessels,J. Knippschild,,,NED,GER,7-6(7),6-3,,,,00:58:00,7,3,328,/en/stats/leaderboard?page=serve,3,10,80,47,59,91,43,47,50,6,12,0,0,0,11,301,/en/stats/leaderboard?page=serve,0,6,57,30,53,87,26,30,61,14,23,0,0,1,10,83,49,59,25,13,53,55,62,112,75,40,53,17,10,59,45,50,112,A,,,,,P. Wessels,J. Knippschild,W254,K260,NED,GER,,
315,2000,Newport,WS,2000-07-10T00:00:00,2000-07-16T00:00:00,Grass,32,350000,$,MS002,SF,01:52:00,,F,3,W254,"7-6(8),6-7(7),6-4",P. Wessels,W. Arthurs,,,NED,AUS,7-6(8),6-7(7),6-4,,,01:52:00,8,6,328,/en/stats/leaderboard?page=serve,1,10,68,70,103,81,57,70,70,23,33,0,0,0,17,331,/en/stats/leaderboard?page=serve,6,30,59,57,96,95,54,57,59,23,39,0,0,1,17,78,80,103,20,19,96,50,99,199,80,77,96,22,23,103,50,100,199,A,7,9,,,P. Wessels,W. Arthurs,W254,A202,NED,AUS,,
315,2000,Newport,WS,2000-07-10T00:00:00,2000-07-16T00:00:00,Grass,32,350000,$,MS003,SF,01:18:00,,F,2,K260,"6-3,6-4",J. Knippschild,J. Stoltenberg,,,GER,AUS,6-3,6-4,,,,01:18:00,,,290,/en/stats/leaderboard?page=serve,1,5,61,53,87,75,40,53,50,17,34,100,10,10,10,256,/en/stats/leaderboard?page=serve,0,1,60,33,55,73,24,33,45,10,22,50,2,4,9,66,57,87,38,21,55,55,78,142,62,34,55,34,30,87,45,64,142,A,,,,,J. Knippschild,J. Stoltenberg,K260,S331,GER,AUS,,
315,2000,Newport,WS,2000-07-10T00:00:00,2000-07-16T00:00:00,Grass,32,350000,$,MS004,QF,00:52:00,,F,2,A202,"6-3,6-2",W. Arthurs,M. Fish,,,AUS,USA,6-3,6-2,,,,00:52:00,,,319,/en/stats/leaderboard?page=serve,4,16,49,23,47,100,23,23,58,14,24,100,1,1,9,233,/en/stats/leaderboard?page=serve,2,3,62,32,52,63,20,32,45,9,20,25,1,4,8,79,37,47,44,23,52,61,60,99,56,29,52,21,10,47,39,39,99,A,,,,,W. Arthurs,M. Fish,A202,F339,AUS,USA,,
315,2000,Newport,WS,2000-07-10T00:00:00,2000-07-16T00:00:00,Grass,32,350000,$,MS005,QF,01:09:00,,F,2,W254,"7-6(7),6-3",P. Wessels,J. Bjorkman,,,NED,SWE,7-6(7),6-3,,,,01:09:00,7,5,300,/en/stats/leaderboard?page=serve,1,5,70,46,66,76,35,46,60,12,20,50,1,2,11,276,/en/stats/leaderboard?page=serve,2,2,71,41,58,66,27,41,59,10,17,67,4,6,10,71,47,66,36,21,58,55,68,124,64,37,58,29,19,66,45,56,124,A,,,,,P. Wessels,J. Bjorkman,W254,B446,NED,SWE,,
315,2000,Newport,WS,2000-07-10T00:00:00,2000-07-16T00:00:00,Grass,32,350000,$,MS006,QF,01:55:00,,F,2,S331,"7-6(7),7-6(7)",J. Stoltenberg,P. Goldstein,,,AUS,USA,7-6(7),7-6(7),,,,01:55:00,7,5,282,/en/stats/leaderboard?page=serve,4,12,58,48,83,73,35,48,60,21,35,50,2,4,12,261,/en/stats/leaderboard?page=serve,2,2,69,75,109,65,49,75,44,15,34,80,8,10,12,67,56,83,41,45,109,53,101,192,59,64,109,33,27,83,47,91,192,A,7,3,,,J. Stoltenberg,P. Goldstein,S331,G333,AUS,USA,,
315,2000,Newport,WS,2000-07-10T00:00:00,2000-07-16T00:00:00,Grass,32,350000,$,MS007,QF,00:59:00,,F,2,K260,"6-4,6-3",J. Knippschild,S. Draper,,,GER,AUS,6-4,6-3,,,,00:59:00,,,319,/en/stats/leaderboard?page=serve,2,4,61,28,46,89,25,28,67,12,18,0,0,0,9,234,/en/stats/leaderboard?page=serve,5,3,50,31,62,71,22,31,45,14,31,40,2,5,10,80,37,46,42,26,62,58,63,108,58,36,62,20,9,46,42,45,108,A,,,,,J. Knippschild,S. Draper,K260,D270,GER,AUS,,
315,2000,Newport,WS,2000-07-10T00:00:00,2000-07-16T00:00:00,Grass,32,350000,$,MS008,R16,01:56:00,,F,3,F339,"6-4,0-6,6-4",M. Fish,C. Woodruff,,,USA,USA,6-4,0-6,6-4,,,01:56:00,,,212,/en/stats/leaderboard?page=serve,5,7,44,44,99,61,27,44,44,24,55,55,6,11,13,239,/en/stats/leaderboard?page=serve,7,7,59,54,92,69,37,54,42,16,38,50,4,8,13,52,51,99,42,39,92,47,90,191,58,53,92,48,48,99,53,101,191,A,,,,,M. Fish,C. Woodruff,F339,W212,USA,USA,,
315,2000,Newport,WS,2000-07-10T00:00:00,2000-07-16T00:00:00,Grass,32,350000,$,MS009,R16,00:50:00,,F,2,A202,"6-3,6-4",W. Arthurs,B. Bryan,,,AUS,USA,6-3,6-4,,,,00:50:00,,,332,/en/stats/leaderboard?page=serve,2,13,51,24,47,96,23,24,74,17,23,0,0,0,10,289,/en/stats/leaderboard?page=serve,0,2,71,37,52,59,22,37,80,12,15,60,3,5,9,85,40,47,35,18,52,59,58,99,65,34,52,15,7,47,41,41,99,A,,,,,W. Arthurs,B. Bryan,A202,B588,AUS,USA,,
315,2000,Newport,WS,2000-07-10T00:00:00,2000-07-16T00:00:00,Grass,32,350000,$,MS010,R16,01:09:00,,F,2,B446,"7-6(8),6-0",J. Bjorkman,C. Vinck,,,SWE,GER,7-6(8),6-0,,,,01:09:00,8,6,295,/en/stats/leaderboard?page=serve,5,6,73,41,56,80,33,41,53,8,15,0,0,1,9,211,/en/stats/leaderboard?page=serve,7,4,47,30,64,77,23,30,35,12,34,64,7,11,9,73,41,56,45,29,64,58,70,120,55,35,64,27,15,56,42,50,120,A,,,,,J. Bjorkman,C. Vinck,B446,V175,SWE,GER,,
