event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_isstatbetter_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_loser,doublefaults_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
321,1997,Stuttgart-1,GP,1997-07-14T00:00:00,1997-07-20T00:00:00,Clay,48,915000,$,MS001,F,01:33:00,,F,2,C344,"6-2,7-5",A. Corretja,K. Kucera,,,ESP,SVK,6-2,7-5,,,,01:33:00,284,/en/stats/leaderboard?page=serve,False,1,67,36,54,64,23,36,72,13,18,60,3,5,10,206,/en/stats/leaderboard?page=serve,3,2,60,38,63,61,23,38,36,9,25,50,5,10,10,67,36,54,49,31,63,57,67,117,51,32,63,33,18,54,43,50,117,A,,,,,,,,,A. Corretja,K. Kucera,C344,K237,ESP,SVK,,
321,1997,Stuttgart-1,GP,1997-07-14T00:00:00,1997-07-20T00:00:00,Clay,48,915000,$,MS002,SF,01:08:00,,F,2,K237,"6-4,6-3",K. Kucera,A. Portas,,,SVK,ESP,6-4,6-3,,,,01:08:00,307,/en/stats/leaderboard?page=serve,False,9,65,35,54,80,28,35,63,12,19,67,2,3,10,243,/en/stats/leaderboard?page=serve,,0,70,46,66,57,26,46,50,10,20,63,5,8,9,74,40,54,45,30,66,58,70,120,55,36,66,26,14,54,42,50,120,A,False,,,,,,,,K. Kucera,A. Portas,K237,P305,SVK,ESP,,
321,1997,Stuttgart-1,GP,1997-07-14T00:00:00,1997-07-20T00:00:00,Clay,48,915000,$,MS003,SF,01:21:00,,F,2,C344,"6-4,6-4",A. Corretja,A. Costa,,,ESP,ESP,6-4,6-4,,,,01:21:00,271,/en/stats/leaderboard?page=serve,,3,64,37,58,78,29,37,57,12,21,,0,,10,288,/en/stats/leaderboard?page=serve,1,0,78,50,64,60,30,50,71,10,14,75,6,8,10,71,41,58,38,24,64,53,65,122,63,40,64,29,17,58,47,57,122,A,,1,,,,,,,A. Corretja,A. Costa,C344,C378,ESP,ESP,,
321,1997,Stuttgart-1,GP,1997-07-14T00:00:00,1997-07-20T00:00:00,Clay,48,915000,$,MS004,QF,01:12:00,,F,2,P305,"6-2,6-4",A. Portas,F. Mantilla,,,ESP,ESP,6-2,6-4,,,,01:12:00,264,/en/stats/leaderboard?page=serve,,3,70,42,60,60,25,42,56,10,18,67,4,6,9,205,/en/stats/leaderboard?page=serve,1,0,81,46,57,54,25,46,27,3,11,38,3,8,9,58,35,60,51,29,57,55,64,117,49,28,57,42,25,60,45,53,117,A,,2,,,,,,,A. Portas,F. Mantilla,P305,M535,ESP,ESP,,
321,1997,Stuttgart-1,GP,1997-07-14T00:00:00,1997-07-20T00:00:00,Clay,48,915000,$,MS005,QF,02:49:00,,F,3,K237,"6-3,2-6,7-5",K. Kucera,S. Bruguera,,,SVK,ESP,6-3,2-6,7-5,,,02:49:00,243,/en/stats/leaderboard?page=serve,,4,61,57,94,72,41,57,41,15,37,50,4,8,14,247,/en/stats/leaderboard?page=serve,1,2,71,96,136,54,52,96,55,22,40,81,21,26,15,60,56,94,46,62,136,51,118,230,54,74,136,40,38,94,49,112,230,A,,6,,,,,,,K. Kucera,S. Bruguera,K237,B350,SVK,ESP,,
321,1997,Stuttgart-1,GP,1997-07-14T00:00:00,1997-07-20T00:00:00,Clay,48,915000,$,MS006,QF,01:33:00,,F,2,C344,"6-4,6-4",A. Corretja,A. Berasategui,,,ESP,ESP,6-4,6-4,,,,01:33:00,242,/en/stats/leaderboard?page=serve,,1,68,45,66,71,32,45,33,7,21,63,5,8,10,205,/en/stats/leaderboard?page=serve,1,0,88,50,57,54,27,50,14,1,7,38,3,8,10,59,39,66,51,29,57,55,68,123,49,28,57,41,27,66,45,55,123,A,,1,,,,,,,A. Corretja,A. Berasategui,C344,B428,ESP,ESP,,
321,1997,Stuttgart-1,GP,1997-07-14T00:00:00,1997-07-20T00:00:00,Clay,48,915000,$,MS007,QF,01:15:00,,F,2,C378,"6-4,6-4",A. Costa,Y. Kafelnikov,,,ESP,RUS,6-4,6-4,,,,01:15:00,282,/en/stats/leaderboard?page=serve,False,1,74,40,54,63,25,40,64,9,14,33,1,3,10,212,/en/stats/leaderboard?page=serve,6,3,44,33,75,73,24,33,38,16,42,50,4,8,10,63,34,54,47,35,75,53,69,129,53,40,75,37,20,54,47,60,129,A,,,,,,,,,A. Costa,Y. Kafelnikov,C378,K267,ESP,RUS,,
321,1997,Stuttgart-1,GP,1997-07-14T00:00:00,1997-07-20T00:00:00,Clay,48,915000,$,MS008,R16,02:13:00,,F,3,P305,"3-6,6-2,7-6(7)",A. Portas,H. Gumy,,,ESP,ARG,3-6,6-2,7-6(7),,,02:13:00,277,/en/stats/leaderboard?page=serve,,3,67,63,94,68,43,63,61,19,31,50,3,6,15,265,/en/stats/leaderboard?page=serve,1,2,76,70,92,74,52,70,36,8,22,40,2,5,14,66,62,94,35,32,92,51,94,186,65,60,92,34,32,94,49,92,186,A,,2,7,5,,,,,A. Portas,H. Gumy,P305,G247,ESP,ARG,,
321,1997,Stuttgart-1,GP,1997-07-14T00:00:00,1997-07-20T00:00:00,Clay,48,915000,$,MS009,R16,00:22:00,,F,1,M535,4-1,F. Mantilla,G. Kuerten,,,ESP,BRA,4-1,,,,,00:22:00,271,/en/stats/leaderboard?page=serve,False,0,80,12,15,58,7,12,67,2,3,0,0,1,3,167,/en/stats/leaderboard?page=serve,2,1,58,11,19,27,3,11,50,4,8,67,4,6,3,60,9,15,63,12,19,62,21,34,37,7,19,40,6,15,38,13,34,A,,,,,,,,,F. Mantilla,G. Kuerten,M535,K293,ESP,BRA,,
321,1997,Stuttgart-1,GP,1997-07-14T00:00:00,1997-07-20T00:00:00,Clay,48,915000,$,MS010,R16,01:35:00,,F,3,B350,"1-6,6-3,7-5",S. Bruguera,W. Ferreira,,,ESP,RSA,1-6,6-3,7-5,,,01:35:00,256,/en/stats/leaderboard?page=serve,,4,61,48,79,69,33,48,52,16,31,20,1,5,14,266,/en/stats/leaderboard?page=serve,1,7,58,42,72,74,31,42,57,17,30,20,1,5,14,62,49,79,33,24,72,48,73,151,67,48,72,38,30,79,52,78,151,A,,1,,,,,,,S. Bruguera,W. Ferreira,B350,F196,ESP,RSA,,
