event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,doublefaults_isstatbetter_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
326,1996,Singapore,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Carpet,32,389250,$,MS001,F,01:17:00,,F,2,S403,"6-4,6-4",J. Stark,M. Chang,,,USA,USA,6-4,6-4,,,,01:17:00,297,/en/stats/leaderboard?page=serve,1,15,64,35,55,94,33,35,45,9,20,0,10,264,/en/stats/leaderboard?page=serve,2,12,53,31,58,84,26,31,37,10,27,0,0,2,10,76,42,55,38,22,58,57,64,113,62,36,58,24,13,55,43,49,113,A,,,,,,,,,,,J. Stark,M. Chang,S403,C274,USA,USA,,
326,1996,Singapore,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Carpet,32,389250,$,MS002,SF,01:33:00,,F,2,C274,"7-6(7),6-3",M. Chang,G. Rusedski,,,USA,GBR,7-6(7),6-3,,,,01:33:00,285,/en/stats/leaderboard?page=serve,1,8,54,43,79,84,36,43,50,18,36,6,11,280,/en/stats/leaderboard?page=serve,4,11,60,36,60,83,30,36,50,12,24,60,3,5,10,68,54,79,30,18,60,52,72,139,70,42,60,32,25,79,48,67,139,A,7,5,86,7,,,,,,,M. Chang,G. Rusedski,C274,R237,USA,GBR,,
326,1996,Singapore,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Carpet,32,389250,$,MS003,SF,01:48:00,,F,3,S403,"3-6,6-2,6-4",J. Stark,T. Johansson,,,USA,SWE,3-6,6-2,6-4,,,01:48:00,305,/en/stats/leaderboard?page=serve,1,21,72,59,82,71,42,59,57,13,23,1,14,261,/en/stats/leaderboard?page=serve,4,6,60,55,91,62,34,55,61,22,36,70,7,10,13,67,55,82,38,35,91,52,90,173,62,56,91,33,27,82,48,83,173,A,,,33,3,,,,,,,J. Stark,T. Johansson,S403,J129,USA,SWE,,
326,1996,Singapore,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Carpet,32,389250,$,MS004,QF,01:07:00,,F,2,C274,"6-4,6-1",M. Chang,J. Frana,,,USA,ARG,6-4,6-1,,,,01:07:00,293,/en/stats/leaderboard?page=serve,3,8,54,25,46,84,21,25,62,13,21,0,9,207,/en/stats/leaderboard?page=serve,,3,52,29,56,72,21,29,30,8,27,56,5,9,8,74,34,46,48,27,56,60,61,102,52,29,56,26,12,46,40,41,102,A,,,0,1,False,,,,,,M. Chang,J. Frana,C274,F041,USA,ARG,,
326,1996,Singapore,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Carpet,32,389250,$,MS005,QF,01:13:00,,F,2,R237,"7-6(7),6-2",G. Rusedski,A. Olhovskiy,,,GBR,RUS,7-6(7),6-2,,,,01:13:00,244,/en/stats/leaderboard?page=serve,1,16,67,35,52,86,30,35,76,13,17,0,10,252,/en/stats/leaderboard?page=serve,6,5,59,41,70,73,30,41,41,12,29,67,4,6,10,83,43,52,40,28,70,58,71,122,60,42,70,17,9,52,42,51,122,A,7,4,0,,,,,,,,G. Rusedski,A. Olhovskiy,R237,O009,GBR,RUS,,
326,1996,Singapore,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Carpet,32,389250,$,MS006,QF,01:40:00,,F,2,S403,"7-6(7),7-6(7)",J. Stark,M. Sinner,,,USA,GER,7-6(7),7-6(7),,,,01:40:00,301,/en/stats/leaderboard?page=serve,1,12,59,47,79,79,37,47,69,22,32,1,12,277,/en/stats/leaderboard?page=serve,4,4,67,55,82,71,39,55,56,15,27,60,3,5,12,75,59,79,34,28,82,54,87,161,66,54,82,25,20,79,46,74,161,A,7,5,33,3,,7,3,,,,J. Stark,M. Sinner,S403,S367,USA,GER,,
326,1996,Singapore,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Carpet,32,389250,$,MS007,QF,01:21:00,,F,2,J129,"5-7,7-6(7)",T. Johansson,R. Krajicek,,,SWE,NED,5-7,7-6(7),,,,01:21:00,268,/en/stats/leaderboard?page=serve,6,10,56,41,73,78,32,41,47,15,32,3,12,295,/en/stats/leaderboard?page=serve,7,22,60,48,80,81,39,48,47,15,32,75,3,4,13,64,47,73,33,26,80,48,73,153,68,54,80,36,26,73,52,80,153,A,,,60,5,,7,3,,,,T. Johansson,R. Krajicek,J129,K214,SWE,NED,,
326,1996,Singapore,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Carpet,32,389250,$,MS008,R16,01:09:00,,F,2,C274,"6-3,6-1",M. Chang,N. Pereira,,,USA,VEN,6-3,6-1,,,,01:09:00,241,/en/stats/leaderboard?page=serve,1,5,59,33,56,85,28,33,43,10,23,0,8,217,/en/stats/leaderboard?page=serve,1,6,62,31,50,58,18,31,42,8,19,33,2,6,8,68,38,56,48,24,50,58,62,106,52,26,50,32,18,56,42,44,106,A,,,,,,,,,,,M. Chang,N. Pereira,C274,P218,USA,VEN,,
326,1996,Singapore,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Carpet,32,389250,$,MS009,R16,02:18:00,,F,3,F041,"6-4,6-7(4),7-6(7)",J. Frana,G. Raoux,,,ARG,FRA,6-4,6-7(4),7-6(7),,,02:18:00,307,/en/stats/leaderboard?page=serve,1,14,71,82,115,77,63,82,52,17,33,2,17,296,/en/stats/leaderboard?page=serve,2,6,56,59,106,80,47,59,68,32,47,71,5,7,17,70,80,115,25,27,106,48,107,221,75,79,106,30,35,115,52,114,221,A,,,67,3,,4,7,7,5,,J. Frana,G. Raoux,F041,R186,ARG,FRA,,
326,1996,Singapore,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Carpet,32,389250,$,MS010,R16,01:07:00,,F,2,O009,"7-5,6-2",A. Olhovskiy,P. Fredriksson,,,RUS,SWE,7-5,6-2,,,,01:07:00,268,/en/stats/leaderboard?page=serve,6,10,59,34,58,71,24,34,54,13,24,5,10,204,/en/stats/leaderboard?page=serve,6,6,59,37,63,68,25,37,27,7,26,58,7,12,10,64,37,58,49,31,63,56,68,121,51,32,63,36,21,58,44,53,121,A,,,71,7,,,,,,,A. Olhovskiy,P. Fredriksson,O009,F278,RUS,SWE,,
