event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
328,1998,Basel,WS,1998-10-05T00:00:00,1998-10-11T00:00:00,Carpet,32,975000,$,MS001,F,02:16:00,,F,4,H336,"6-4,6-3,3-6,6-4",T. Henman,A. Agassi,,,GBR,USA,6-4,6-3,3-6,6-4,,02:16:00,272,/en/stats/leaderboard?page=serve,5,19,57,64,112,81,52,64,42,20,48,43,3,7,19,252,/en/stats/leaderboard?page=serve,1,7,64,73,114,70,51,73,44,18,41,45,5,11,19,64,72,112,39,45,114,52,117,226,61,69,114,36,40,112,48,109,226,A,,,,,,,,,T. Henman,A. Agassi,H336,A092,GBR,USA,,
328,1998,Basel,WS,1998-10-05T00:00:00,1998-10-11T00:00:00,Carpet,32,975000,$,MS002,SF,00:58:00,,F,2,A092,"6-4,6-2",A. Agassi,M. Rosset,,,USA,SUI,6-4,6-2,,,,00:58:00,306,/en/stats/leaderboard?page=serve,1,8,86,44,51,82,36,44,43,3,7,,0,,9,257,/en/stats/leaderboard?page=serve,1,10,61,28,46,71,20,28,50,9,18,0,0,3,9,76,39,51,37,17,46,58,56,97,63,29,46,24,12,51,42,41,97,A,,,,,,,,,A. Agassi,M. Rosset,A092,R214,USA,SUI,,
328,1998,Basel,WS,1998-10-05T00:00:00,1998-10-11T00:00:00,Carpet,32,975000,$,MS003,SF,02:10:00,,F,3,H336,"6-3,2-6,7-6(7)",T. Henman,T. Johansson,,,GBR,SWE,6-3,2-6,7-6(7),,,02:10:00,272,/en/stats/leaderboard?page=serve,,10,55,52,94,75,39,52,52,22,42,70,7,10,15,276,/en/stats/leaderboard?page=serve,2,11,53,48,90,79,38,48,50,21,42,67,4,6,14,65,61,94,34,31,90,50,92,184,66,59,90,35,33,94,50,92,184,A,7,5,False,,,,,,T. Henman,T. Johansson,H336,J129,GBR,SWE,,
328,1998,Basel,WS,1998-10-05T00:00:00,1998-10-11T00:00:00,Carpet,32,975000,$,MS004,QF,01:19:00,,F,2,R214,"6-3,7-6(7)",M. Rosset,D. Prinosil,,,SUI,GER,6-3,7-6(7),,,,01:19:00,316,/en/stats/leaderboard?page=serve,,14,73,45,62,80,36,45,59,10,17,50,1,2,10,254,/en/stats/leaderboard?page=serve,1,7,55,38,69,76,29,38,45,14,31,25,1,4,11,74,46,62,38,26,69,55,72,131,62,43,69,26,16,62,45,59,131,A,,,False,7,2,,,,M. Rosset,D. Prinosil,R214,P273,SUI,GER,,
328,1998,Basel,WS,1998-10-05T00:00:00,1998-10-11T00:00:00,Carpet,32,975000,$,MS005,QF,01:16:00,,F,2,A092,"6-3,6-3",A. Agassi,M. Gustafsson,,,USA,SWE,6-3,6-3,,,,01:16:00,198,/en/stats/leaderboard?page=serve,,1,72,39,54,85,33,39,40,6,15,0,0,,9,230,/en/stats/leaderboard?page=serve,2,5,52,34,66,62,21,34,47,15,32,67,6,9,9,72,39,54,45,30,66,58,69,120,55,36,66,28,15,54,43,51,120,A,,,False,,,,,,A. Agassi,M. Gustafsson,A092,G182,USA,SWE,,
328,1998,Basel,WS,1998-10-05T00:00:00,1998-10-11T00:00:00,Carpet,32,975000,$,MS006,QF,01:16:00,,F,2,H336,"6-3,6-4",T. Henman,N. Kiefer,,,GBR,GER,6-3,6-4,,,,01:16:00,285,/en/stats/leaderboard?page=serve,2,9,61,38,62,79,30,38,58,14,24,,0,,10,278,/en/stats/leaderboard?page=serve,,2,67,31,46,65,20,31,67,10,15,0,0,2,9,71,44,62,35,16,46,56,60,108,65,30,46,29,18,62,44,48,108,A,,,,,,False,,,T. Henman,N. Kiefer,H336,K316,GBR,GER,,
328,1998,Basel,WS,1998-10-05T00:00:00,1998-10-11T00:00:00,Carpet,32,975000,$,MS007,QF,01:17:00,,F,2,J129,"6-3,6-3",T. Johansson,F. Santoro,,,SWE,FRA,6-3,6-3,,,,01:17:00,280,/en/stats/leaderboard?page=serve,2,6,55,30,55,73,22,30,60,15,25,50,1,2,9,212,/en/stats/leaderboard?page=serve,1,0,53,30,57,53,16,30,52,14,27,50,4,8,9,67,37,55,47,27,57,57,64,112,53,30,57,33,18,55,43,48,112,A,,,,,,,,,T. Johansson,F. Santoro,J129,S424,SWE,FRA,,
328,1998,Basel,WS,1998-10-05T00:00:00,1998-10-11T00:00:00,Carpet,32,975000,$,MS008,R16,00:58:00,,F,2,R214,"6-4,6-0",M. Rosset,W. Ferreira,,,SUI,RSA,6-4,6-0,,,,00:58:00,221,/en/stats/leaderboard?page=serve,1,8,51,20,39,95,19,20,68,13,19,0,0,,8,198,/en/stats/leaderboard?page=serve,3,3,46,26,56,62,16,26,40,12,30,64,7,11,8,82,32,39,50,28,56,63,60,95,50,28,56,18,7,39,37,35,95,A,,,,,,,,,M. Rosset,W. Ferreira,R214,F196,SUI,RSA,,
328,1998,Basel,WS,1998-10-05T00:00:00,1998-10-11T00:00:00,Carpet,32,975000,$,MS009,R16,01:26:00,,F,2,P273,"7-6(7),7-5",D. Prinosil,G. Rusedski,,,GER,GBR,7-6(7),7-5,,,,01:26:00,289,/en/stats/leaderboard?page=serve,2,14,49,35,72,94,33,35,51,19,37,33,1,3,12,255,/en/stats/leaderboard?page=serve,4,8,52,40,77,75,30,40,49,18,37,63,5,8,12,72,52,72,38,29,77,54,81,149,62,48,77,28,20,72,46,68,149,A,,,,,,,7,4,D. Prinosil,G. Rusedski,P273,R237,GER,GBR,,
328,1998,Basel,WS,1998-10-05T00:00:00,1998-10-11T00:00:00,Carpet,32,975000,$,MS010,R16,00:54:00,,F,2,A092,"6-2,6-2",A. Agassi,I. Heuberger,,,USA,SUI,6-2,6-2,,,,00:54:00,288,/en/stats/leaderboard?page=serve,3,2,68,30,44,77,23,30,57,8,14,75,3,4,8,174,/en/stats/leaderboard?page=serve,1,3,56,30,54,50,15,30,29,7,24,44,4,9,8,70,31,44,59,32,54,64,63,98,41,22,54,30,13,44,36,35,98,A,,,,,,,,,A. Agassi,I. Heuberger,A092,H380,USA,SUI,,
