event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_winner,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
329,1997,Tokyo,GP,1997-04-14T00:00:00,1997-04-20T00:00:00,Hard,56,935000,$,MS001,F,01:28:00,,F,3,K214,"6-2,3-6,6-1",R. Krajicek,L. Roux,,,NED,FRA,6-2,3-6,6-1,,,01:28:00,306,/en/stats/leaderboard?page=serve,4,16,63,40,63,88,35,40,52,12,23,75,3,4,12,238,/en/stats/leaderboard?page=serve,4,0,63,49,78,65,32,49,48,14,29,56,5,9,12,75,47,63,41,32,78,56,79,141,59,46,78,25,16,63,44,62,141,A,,,,,,,R. Krajicek,L. Roux,K214,R280,NED,FRA,,
329,1997,Tokyo,GP,1997-04-14T00:00:00,1997-04-20T00:00:00,Hard,56,935000,$,MS002,SF,01:16:00,,F,2,K214,"7-6(7),6-3",R. Krajicek,P. Rafter,,,NED,AUS,7-6(7),6-3,,,,01:16:00,291,/en/stats/leaderboard?page=serve,2,8,57,41,72,80,33,41,58,18,31,,0,,11,271,/en/stats/leaderboard?page=serve,4,2,68,41,60,78,32,41,37,7,19,0,0,1,10,71,51,72,35,21,60,55,72,132,65,39,60,29,21,72,45,60,132,A,7,5,,,,,R. Krajicek,P. Rafter,K214,R255,NED,AUS,,
329,1997,Tokyo,GP,1997-04-14T00:00:00,1997-04-20T00:00:00,Hard,56,935000,$,MS003,SF,02:15:00,,F,3,R280,"4-6,7-5,6-3",L. Roux,T. Johansson,,,FRA,SWE,4-6,7-5,6-3,,,02:15:00,219,/en/stats/leaderboard?page=serve,5,3,55,57,103,65,37,57,39,18,46,60,9,15,16,204,/en/stats/leaderboard?page=serve,6,3,47,40,86,70,28,40,37,17,46,30,3,10,15,53,55,103,48,41,86,51,96,189,52,45,86,47,48,103,49,93,189,A,,,,,,,L. Roux,T. Johansson,R280,J129,FRA,SWE,,
329,1997,Tokyo,GP,1997-04-14T00:00:00,1997-04-20T00:00:00,Hard,56,935000,$,MS004,QF,01:03:00,,F,2,K214,"6-4,6-3",R. Krajicek,D. Prinosil,,,NED,GER,6-4,6-3,,,,01:03:00,219,/en/stats/leaderboard?page=serve,2,9,52,24,46,96,23,24,64,14,22,0,0,,9,235,/en/stats/leaderboard?page=serve,6,3,57,41,72,66,27,41,45,14,31,40,2,5,10,80,37,46,43,31,72,58,68,118,57,41,72,20,9,46,42,50,118,A,,,,,,,R. Krajicek,D. Prinosil,K214,P273,NED,GER,,
329,1997,Tokyo,GP,1997-04-14T00:00:00,1997-04-20T00:00:00,Hard,56,935000,$,MS005,QF,01:54:00,,F,2,R255,"6-4,7-6(7)",P. Rafter,T. Woodbridge,,,AUS,AUS,6-4,7-6(7),,,,01:54:00,269,/en/stats/leaderboard?page=serve,3,1,61,43,70,70,30,43,59,16,27,75,6,8,11,245,/en/stats/leaderboard?page=serve,4,2,67,62,92,65,40,62,43,13,30,67,6,9,11,66,46,70,42,39,92,52,85,162,58,53,92,34,24,70,48,77,162,A,,,7,3,,,P. Rafter,T. Woodbridge,R255,W136,AUS,AUS,,
329,1997,Tokyo,GP,1997-04-14T00:00:00,1997-04-20T00:00:00,Hard,56,935000,$,MS006,QF,01:16:00,,F,2,J129,"6-3,6-4",T. Johansson,M. Woodforde,,,SWE,AUS,6-3,6-4,,,,01:16:00,280,/en/stats/leaderboard?page=serve,2,1,56,34,61,79,27,34,56,15,27,67,2,3,10,258,/en/stats/leaderboard?page=serve,2,3,73,38,52,61,23,38,57,8,14,57,4,7,9,69,42,61,40,21,52,56,63,113,60,31,52,31,19,61,44,50,113,A,,,,,,,T. Johansson,M. Woodforde,J129,W035,SWE,AUS,,
329,1997,Tokyo,GP,1997-04-14T00:00:00,1997-04-20T00:00:00,Hard,56,935000,$,MS007,QF,01:04:00,,F,2,R280,"6-3,6-1",L. Roux,M. Damm,,,FRA,CZE,6-3,6-1,,,,01:04:00,296,/en/stats/leaderboard?page=serve,,0,66,33,50,67,22,33,88,15,17,,0,,8,200,/en/stats/leaderboard?page=serve,,2,48,21,44,48,10,21,52,12,23,20,1,5,8,74,37,50,50,22,44,63,59,94,50,22,44,26,13,50,37,35,94,A,,,,,False,False,L. Roux,M. Damm,R280,D214,FRA,CZE,,
329,1997,Tokyo,GP,1997-04-14T00:00:00,1997-04-20T00:00:00,Hard,56,935000,$,MS008,R16,01:07:00,,F,2,K214,"7-5,6-0",R. Krajicek,M. Norman,,,NED,SWE,7-5,6-0,,,,01:07:00,274,/en/stats/leaderboard?page=serve,2,7,52,33,63,76,25,33,53,16,30,89,8,9,9,218,/en/stats/leaderboard?page=serve,,7,66,37,56,59,22,37,42,8,19,29,2,7,9,65,41,63,46,26,56,56,67,119,54,30,56,35,22,63,44,52,119,A,,,,,,False,R. Krajicek,M. Norman,K214,N250,NED,SWE,,
329,1997,Tokyo,GP,1997-04-14T00:00:00,1997-04-20T00:00:00,Hard,56,935000,$,MS009,R16,02:32:00,,F,3,P273,"6-7(4),7-6(8),7-5",D. Prinosil,J. Stark,,,GER,USA,6-7(4),7-6(8),7-5,,,02:32:00,295,/en/stats/leaderboard?page=serve,3,9,58,78,134,71,55,78,66,37,56,90,9,10,18,302,/en/stats/leaderboard?page=serve,4,13,60,67,112,78,52,67,67,30,45,80,8,10,18,69,92,134,27,30,112,50,122,246,73,82,112,31,42,134,50,124,246,A,4,7,8,6,,,D. Prinosil,J. Stark,P273,S403,GER,USA,,
329,1997,Tokyo,GP,1997-04-14T00:00:00,1997-04-20T00:00:00,Hard,56,935000,$,MS010,R16,01:21:00,,F,2,W136,"7-5,6-2",T. Woodbridge,J. Tarango,,,AUS,USA,7-5,6-2,,,,01:21:00,277,/en/stats/leaderboard?page=serve,1,4,72,48,67,69,33,48,53,10,19,78,7,9,10,205,/en/stats/leaderboard?page=serve,3,1,69,45,65,58,26,45,30,6,20,58,7,12,10,64,43,67,51,33,65,58,76,132,49,32,65,36,24,67,42,56,132,A,,,,,,,T. Woodbridge,J. Tarango,W136,T136,AUS,USA,,
