event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_id_winner,player_id_loser
3348,2009,New Haven,250,2009-08-23T00:00:00,2009-08-30T00:00:00,Hard,48,663750,$,MS001,F,01:36:00,,F,2,V306,"6-4,7-6(8)",F. Verdasco,S. Querrey,,,ESP,USA,6-4,7-6(8),,,,01:36:00,A,F. Verdasco,S. Querrey,ESP,USA,,,8,6,294,/en/stats/leaderboard?page=serve,4,4,72,48,67,73,35,48,68,13,19,67,4,6,11,248,/en/stats/leaderboard?page=serve,3,7,58,51,88,71,36,51,43,16,37,57,4,7,11,72,48,67,41,36,88,54,84,155,59,52,88,28,19,67,46,71,155,,,,,V306,Q927
3348,2009,New Haven,250,2009-08-23T00:00:00,2009-08-30T00:00:00,Hard,48,663750,$,MS002,SF,01:04:00,,F,2,Q927,"6-3,6-4",S. Querrey,J. Acasuso,,,USA,ARG,6-3,6-4,,,,01:04:00,A,S. Querrey,J. Acasuso,USA,ARG,,,,,323,/en/stats/leaderboard?page=serve,3,11,63,33,52,94,31,33,58,11,19,100,1,1,10,257,/en/stats/leaderboard?page=serve,1,4,42,21,50,76,16,21,59,17,29,60,3,5,9,81,42,52,34,17,50,58,59,102,66,33,50,19,10,52,42,43,102,,,,,Q927,A389
3348,2009,New Haven,250,2009-08-23T00:00:00,2009-08-30T00:00:00,Hard,48,663750,$,MS003,SF,01:52:00,,F,2,V306,"7-6(7),7-6(7)",F. Verdasco,I. Andreev,,,ESP,RUS,7-6(7),7-6(7),,,,01:52:00,A,F. Verdasco,I. Andreev,ESP,RUS,,,7,5,265,/en/stats/leaderboard?page=serve,11,7,63,57,90,81,46,57,42,14,33,71,5,7,12,270,/en/stats/leaderboard?page=serve,4,7,63,57,91,68,39,57,53,18,34,82,9,11,12,67,60,90,37,34,91,52,94,181,63,57,91,33,30,90,48,87,181,7,4,,,V306,A511
3348,2009,New Haven,250,2009-08-23T00:00:00,2009-08-30T00:00:00,Hard,48,663750,$,MS004,QF,01:42:00,,F,3,Q927,"6-3,3-6,6-4",S. Querrey,N. Davydenko,,,USA,RUS,6-3,3-6,6-4,,,01:42:00,A,S. Querrey,N. Davydenko,USA,RUS,,,,,295,/en/stats/leaderboard?page=serve,1,15,60,47,78,81,38,47,55,17,31,71,5,7,14,261,/en/stats/leaderboard?page=serve,4,3,81,58,72,74,43,58,29,4,14,0,0,3,14,71,55,78,35,25,72,53,80,150,65,47,72,29,23,78,47,70,150,,,,,Q927,D402
3348,2009,New Haven,250,2009-08-23T00:00:00,2009-08-30T00:00:00,Hard,48,663750,$,MS005,QF,01:24:00,,F,2,A389,"7-5,6-4",J. Acasuso,F. Serra,,,ARG,FRA,7-5,6-4,,,,01:24:00,A,J. Acasuso,F. Serra,ARG,FRA,,,,,273,/en/stats/leaderboard?page=serve,3,7,54,39,72,77,30,39,48,16,33,75,3,4,11,246,/en/stats/leaderboard?page=serve,1,2,58,38,65,74,28,38,41,11,27,63,5,8,11,64,46,72,40,26,65,53,72,137,60,39,65,36,26,72,47,65,137,,,,,A389,S963
3348,2009,New Haven,250,2009-08-23T00:00:00,2009-08-30T00:00:00,Hard,48,663750,$,MS006,QF,02:22:00,,F,3,A511,"6-4,6-7(4),6-3",I. Andreev,L. Mayer,,,RUS,ARG,6-4,6-7(4),6-3,,,02:22:00,A,I. Andreev,L. Mayer,RUS,ARG,,,4,7,288,/en/stats/leaderboard?page=serve,6,5,63,63,100,68,43,63,65,24,37,67,2,3,16,255,/en/stats/leaderboard?page=serve,5,3,58,63,109,65,41,63,54,25,46,75,9,12,15,67,67,100,39,43,109,53,110,209,61,66,109,33,33,100,47,99,209,,,,,A511,MD56
3348,2009,New Haven,250,2009-08-23T00:00:00,2009-08-30T00:00:00,Hard,48,663750,$,MS007,QF,00:58:00,,F,2,V306,"6-3,6-1",F. Verdasco,J. Melzer,,,ESP,AUT,6-3,6-1,,,,00:58:00,A,F. Verdasco,J. Melzer,ESP,AUT,,,,,297,/en/stats/leaderboard?page=serve,1,5,66,31,47,65,20,31,75,12,16,67,2,3,8,184,/en/stats/leaderboard?page=serve,1,1,59,27,46,41,11,27,47,9,19,17,1,6,8,68,32,47,57,26,46,62,58,93,43,20,46,32,15,47,38,35,93,,,,,V306,M762
3348,2009,New Haven,250,2009-08-23T00:00:00,2009-08-30T00:00:00,Hard,48,663750,$,MS008,R16,01:33:00,,F,2,D402,"7-5,6-3",N. Davydenko,F. Santoro,,,RUS,FRA,7-5,6-3,,,,01:33:00,A,N. Davydenko,F. Santoro,RUS,FRA,,,,,295,/en/stats/leaderboard?page=serve,3,2,78,51,65,78,40,51,50,7,14,67,2,3,11,231,/en/stats/leaderboard?page=serve,2,0,49,36,74,67,24,36,47,18,38,50,3,6,10,72,47,65,43,32,74,57,79,139,57,42,74,28,18,65,43,60,139,,,,,D402,S424
3348,2009,New Haven,250,2009-08-23T00:00:00,2009-08-30T00:00:00,Hard,48,663750,$,MS009,R16,01:04:00,,F,2,Q927,"7-5,6-3",S. Querrey,B. Phau,,,USA,GER,7-5,6-3,,,,01:04:00,A,S. Querrey,B. Phau,USA,GER,,,,,304,/en/stats/leaderboard?page=serve,2,14,63,38,60,84,32,38,55,12,22,50,1,2,11,228,/en/stats/leaderboard?page=serve,7,2,51,28,55,75,21,28,37,10,27,0,0,3,10,73,44,60,44,24,55,59,68,115,56,31,55,27,16,60,41,47,115,,,,,Q927,P436
3348,2009,New Haven,250,2009-08-23T00:00:00,2009-08-30T00:00:00,Hard,48,663750,$,MS010,R16,02:17:00,,F,3,A389,"3-6,7-6(7),6-3",J. Acasuso,I. Kunitsyn,,,ARG,RUS,3-6,7-6(7),6-3,,,02:17:00,A,J. Acasuso,I. Kunitsyn,ARG,RUS,,,7,3,262,/en/stats/leaderboard?page=serve,2,6,49,43,87,81,35,43,50,22,44,67,6,9,14,243,/en/stats/leaderboard?page=serve,7,3,57,58,101,64,37,58,51,22,43,69,9,13,16,66,57,87,42,42,101,53,99,188,58,59,101,34,30,87,47,89,188,,,,,A389,K403
