event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
348,1998,Ostrava,WS,1998-10-19T00:00:00,1998-10-25T00:00:00,Carpet,32,975000,$,MS001,F,01:42:00,,F,3,A092,"6-2,3-6,6-3",A. Agassi,J. Kroslak,,,USA,SVK,6-2,3-6,6-3,,,01:42:00,294,/en/stats/leaderboard?page=serve,2,8,59,49,83,78,38,49,59,20,34,50,1,2,13,277,/en/stats/leaderboard?page=serve,3,13,71,72,102,67,48,72,53,16,30,75,9,12,13,70,58,83,37,38,102,52,96,185,63,64,102,30,25,83,48,89,185,A,,,,,,,,A. Agassi,J. Kroslak,A092,K296,USA,SVK,,
348,1998,Ostrava,WS,1998-10-19T00:00:00,1998-10-25T00:00:00,Carpet,32,975000,$,MS002,SF,00:24:00,,F,1,K296,4-3,J. Kroslak,T. Enqvist,,,SVK,SWE,4-3,,,,,00:24:00,209,/en/stats/leaderboard?page=serve,,2,67,10,15,100,10,10,40,2,5,0,0,,4,257,/en/stats/leaderboard?page=serve,2,4,48,11,23,82,9,11,50,6,12,0,0,1,4,80,12,15,35,8,23,53,20,38,65,15,23,,0,,,0,,A,False,,,,,,,J. Kroslak,T. Enqvist,K296,E113,SVK,SWE,,
348,1998,Ostrava,WS,1998-10-19T00:00:00,1998-10-25T00:00:00,Carpet,32,975000,$,MS003,SF,01:18:00,,F,2,A092,"7-6(7),6-3",A. Agassi,W. Black,,,USA,ZIM,7-6(7),6-3,,,,01:18:00,276,/en/stats/leaderboard?page=serve,,4,67,43,64,72,31,43,52,11,21,0,0,2,11,222,/en/stats/leaderboard?page=serve,2,3,46,33,71,58,19,33,47,18,38,67,6,9,10,66,42,64,48,34,71,56,76,135,52,37,71,34,22,64,44,59,135,A,False,7,2,,,,,A. Agassi,W. Black,A092,B499,USA,ZIM,,
348,1998,Ostrava,WS,1998-10-19T00:00:00,1998-10-25T00:00:00,Carpet,32,975000,$,MS004,QF,01:13:00,,F,2,E113,"6-3,6-4",T. Enqvist,N. Kulti,,,SWE,SWE,6-3,6-4,,,,01:13:00,211,/en/stats/leaderboard?page=serve,3,8,57,31,54,84,26,31,65,15,23,0,0,,10,252,/en/stats/leaderboard?page=serve,5,13,53,37,70,78,29,37,36,12,33,78,7,9,9,76,41,54,41,29,70,56,70,124,59,41,70,24,13,54,44,54,124,A,,,,,,,,T. Enqvist,N. Kulti,E113,K181,SWE,SWE,,
348,1998,Ostrava,WS,1998-10-19T00:00:00,1998-10-25T00:00:00,Carpet,32,975000,$,MS005,QF,00:50:00,,F,2,K296,"6-3,6-0",J. Kroslak,A. Medvedev,,,SVK,UKR,6-3,6-0,,,,00:50:00,275,/en/stats/leaderboard?page=serve,1,6,63,27,43,78,21,27,44,7,16,75,3,4,7,151,/en/stats/leaderboard?page=serve,7,3,54,30,56,53,16,30,23,6,26,50,6,12,8,65,28,43,61,34,56,63,62,99,39,22,56,35,15,43,37,37,99,A,,,,,,,,J. Kroslak,A. Medvedev,K296,M475,SVK,UKR,,
348,1998,Ostrava,WS,1998-10-19T00:00:00,1998-10-25T00:00:00,Carpet,32,975000,$,MS006,QF,02:31:00,,F,3,B499,"7-6(7),6-7(8),6-3",W. Black,M. Damm,,,ZIM,CZE,7-6(7),6-7(8),6-3,,,02:31:00,277,/en/stats/leaderboard?page=serve,1,6,47,50,106,76,38,50,73,41,56,,0,,17,304,/en/stats/leaderboard?page=serve,3,24,53,56,105,84,47,56,53,26,49,50,1,2,16,75,79,106,30,32,105,53,111,211,70,73,105,25,27,106,47,100,211,A,,7,3,8,10,,,W. Black,M. Damm,B499,D214,ZIM,CZE,,
348,1998,Ostrava,WS,1998-10-19T00:00:00,1998-10-25T00:00:00,Carpet,32,975000,$,MS007,QF,02:20:00,,F,3,A092,"6-7(6),6-4,6-4",A. Agassi,T. Johansson,,,USA,SWE,6-7(6),6-4,6-4,,,02:20:00,273,/en/stats/leaderboard?page=serve,7,8,60,66,110,73,48,66,52,23,44,83,10,12,16,266,/en/stats/leaderboard?page=serve,2,19,51,58,113,76,44,58,47,26,55,67,8,12,16,65,71,110,38,43,113,51,114,223,62,70,113,35,39,110,49,109,223,A,,6,8,,,,,A. Agassi,T. Johansson,A092,J129,USA,SWE,,
348,1998,Ostrava,WS,1998-10-19T00:00:00,1998-10-25T00:00:00,Carpet,32,975000,$,MS008,R16,01:48:00,,F,2,K181,"7-6(7),7-6(7)",N. Kulti,M. Safin,,,SWE,RUS,7-6(7),7-6(7),,,,01:48:00,298,/en/stats/leaderboard?page=serve,3,12,49,36,74,86,31,36,63,24,38,,0,,12,237,/en/stats/leaderboard?page=serve,4,14,54,53,98,79,42,53,44,20,45,,0,,12,74,55,74,37,36,98,53,91,172,63,62,98,26,19,74,47,81,172,A,,7,4,7,1,,,N. Kulti,M. Safin,K181,S741,SWE,RUS,,
348,1998,Ostrava,WS,1998-10-19T00:00:00,1998-10-25T00:00:00,Carpet,32,975000,$,MS009,R16,01:53:00,,F,3,E113,"6-7(4),6-2,6-4",T. Enqvist,B. Ulihrach,,,SWE,CZE,6-7(4),6-2,6-4,,,01:53:00,247,/en/stats/leaderboard?page=serve,4,8,53,50,95,70,35,50,47,21,45,33,2,6,15,219,/en/stats/leaderboard?page=serve,5,4,63,62,99,58,36,62,46,17,37,56,9,16,15,59,56,95,46,46,99,53,102,194,54,53,99,41,39,95,47,92,194,A,,4,7,,,,,T. Enqvist,B. Ulihrach,E113,U032,SWE,CZE,,
348,1998,Ostrava,WS,1998-10-19T00:00:00,1998-10-25T00:00:00,Carpet,32,975000,$,MS010,R16,01:50:00,,F,3,M475,"6-4,6-7(4),6-4",A. Medvedev,K. Kucera,,,UKR,SVK,6-4,6-7(4),6-4,,,01:50:00,284,/en/stats/leaderboard?page=serve,3,6,62,64,103,73,47,64,59,23,39,83,10,12,16,275,/en/stats/leaderboard?page=serve,3,7,64,58,90,76,44,58,56,18,32,20,1,5,16,68,70,103,31,28,90,51,98,193,69,62,90,32,33,103,49,95,193,A,,,,4,7,,,A. Medvedev,K. Kucera,M475,K237,UKR,SVK,,
348,1998,Ostrava,WS,1998-10-19T00:00:00,1998-10-25T00:00:00,Carpet,32,975000,$,MS011,R16,01:08:00,,F,2,K296,"7-5,6-2",J. Kroslak,G. Raoux,,,SVK,FRA,7-5,6-2,,,,01:08:00,197,/en/stats/leaderboard?page=serve,4,3,58,34,59,88,30,34,52,13,25,0,0,,10,248,/en/stats/leaderboard?page=serve,2,1,56,31,55,65,20,31,58,14,24,67,6,9,10,73,43,59,38,21,55,56,64,114,62,34,55,27,16,59,44,50,114,A,,,,,,,,J. Kroslak,G. Raoux,K296,R186,SVK,FRA,,
348,1998,Ostrava,WS,1998-10-19T00:00:00,1998-10-25T00:00:00,Carpet,32,975000,$,MS012,R16,01:40:00,,F,3,B499,"3-6,6-2,6-4",W. Black,D. Prinosil,,,ZIM,GER,3-6,6-2,6-4,,,01:40:00,263,/en/stats/leaderboard?page=serve,2,5,57,43,75,74,32,43,53,17,32,63,5,8,13,237,/en/stats/leaderboard?page=serve,3,15,48,45,93,73,33,45,40,19,48,38,3,8,14,65,49,75,44,41,93,54,90,168,56,52,93,35,26,75,46,78,168,A,,,,,,,,W. Black,D. Prinosil,B499,P273,ZIM,GER,,
348,1998,Ostrava,WS,1998-10-19T00:00:00,1998-10-25T00:00:00,Carpet,32,975000,$,MS013,R16,01:45:00,,F,3,D214,"3-6,6-3,6-2",M. Damm,Y. Kafelnikov,,,CZE,RUS,3-6,6-3,6-2,,,01:45:00,285,/en/stats/leaderboard?page=serve,1,19,61,60,98,80,48,60,34,13,38,89,8,9,13,267,/en/stats/leaderboard?page=serve,6,13,57,39,69,74,29,39,53,16,30,40,2,5,13,62,61,98,35,24,69,51,85,167,65,45,69,38,37,98,49,82,167,A,,,,,,,,M. Damm,Y. Kafelnikov,D214,K267,CZE,RUS,,
348,1998,Ostrava,WS,1998-10-19T00:00:00,1998-10-25T00:00:00,Carpet,32,975000,$,MS014,R16,01:24:00,,F,2,J129,"6-4,7-5",T. Johansson,J. Novak,,,SWE,CZE,6-4,7-5,,,,01:24:00,291,/en/stats/leaderboard?page=serve,2,13,63,40,64,85,34,40,42,10,24,50,1,2,11,242,/en/stats/leaderboard?page=serve,3,2,71,56,79,70,39,56,30,7,23,70,7,10,11,69,44,64,42,33,79,54,77,143,58,46,79,31,20,64,46,66,143,A,,,,,,,,T. Johansson,J. Novak,J129,N254,SWE,CZE,,
348,1998,Ostrava,WS,1998-10-19T00:00:00,1998-10-25T00:00:00,Carpet,32,975000,$,MS015,R16,01:05:00,,F,2,A092,"6-2,7-5",A. Agassi,M. Norman,,,USA,SWE,6-2,7-5,,,,01:05:00,213,/en/stats/leaderboard?page=serve,4,3,53,26,49,96,25,26,65,15,23,0,0,,10,245,/en/stats/leaderboard?page=serve,3,9,55,33,60,73,24,33,41,11,27,0,0,3,10,82,40,49,42,25,60,60,65,109,58,35,60,18,9,49,40,44,109,A,,,,,,,,A. Agassi,M. Norman,A092,N250,USA,SWE,,
348,1998,Ostrava,WS,1998-10-19T00:00:00,1998-10-25T00:00:00,Carpet,32,975000,$,MS016,R32,01:03:00,,F,2,S741,"6-4,6-2",M. Safin,P. Korda,,,RUS,CZE,6-4,6-2,,,,01:03:00,280,/en/stats/leaderboard?page=serve,2,10,57,32,56,84,27,32,54,13,24,,0,,9,233,/en/stats/leaderboard?page=serve,4,5,47,25,53,76,19,25,43,12,28,25,1,4,9,71,40,56,42,22,53,57,62,109,58,31,53,29,16,56,43,47,109,A,,,,,,,,M. Safin,P. Korda,S741,K148,RUS,CZE,,
348,1998,Ostrava,WS,1998-10-19T00:00:00,1998-10-25T00:00:00,Carpet,32,975000,$,MS017,R32,01:42:00,,F,3,K181,"3-6,6-3,6-2",N. Kulti,J. Gambill,,,SWE,USA,3-6,6-3,6-2,,,01:42:00,289,/en/stats/leaderboard?page=serve,10,14,56,43,77,81,35,43,56,19,34,50,1,2,13,258,/en/stats/leaderboard?page=serve,3,14,58,49,84,82,40,49,31,11,35,40,2,5,13,70,54,77,39,33,84,54,87,161,61,51,84,30,23,77,46,74,161,A,,,,,,,,N. Kulti,J. Gambill,K181,G352,SWE,USA,,
348,1998,Ostrava,WS,1998-10-19T00:00:00,1998-10-25T00:00:00,Carpet,32,975000,$,MS018,R32,01:14:00,,F,2,U032,"6-4,6-3",B. Ulihrach,L. Rehmann,,,CZE,GER,6-4,6-3,,,,01:14:00,284,/en/stats/leaderboard?page=serve,1,3,58,31,53,77,24,31,59,13,22,67,2,3,9,220,/en/stats/leaderboard?page=serve,4,5,51,33,65,67,22,33,41,13,32,56,5,9,10,70,37,53,46,30,65,57,67,118,54,35,65,30,16,53,43,51,118,A,,,,,,,,B. Ulihrach,L. Rehmann,U032,R285,CZE,GER,,
348,1998,Ostrava,WS,1998-10-19T00:00:00,1998-10-25T00:00:00,Carpet,32,975000,$,MS019,R32,01:36:00,,F,3,E113,"3-6,6-4,6-2",T. Enqvist,P. Haarhuis,,,SWE,NED,3-6,6-4,6-2,,,01:36:00,277,/en/stats/leaderboard?page=serve,4,8,63,48,76,79,38,48,46,13,28,60,3,5,14,254,/en/stats/leaderboard?page=serve,2,6,56,46,82,74,34,46,44,16,36,63,5,8,13,67,51,76,39,32,82,53,83,158,61,50,82,33,25,76,47,75,158,A,,,,,,,,T. Enqvist,P. Haarhuis,E113,H223,SWE,NED,,
348,1998,Ostrava,WS,1998-10-19T00:00:00,1998-10-25T00:00:00,Carpet,32,975000,$,MS020,R32,02:02:00,,F,3,K237,"4-6,7-6(7),6-3",K. Kucera,D. Vacek,,,SVK,CZE,4-6,7-6(7),6-3,,,02:02:00,274,/en/stats/leaderboard?page=serve,7,14,54,55,102,75,41,55,57,27,47,63,5,8,16,256,/en/stats/leaderboard?page=serve,8,7,54,52,96,73,38,52,50,22,44,57,4,7,15,67,68,102,38,36,96,53,104,198,63,60,96,33,34,102,47,94,198,A,,,,7,3,,,K. Kucera,D. Vacek,K237,V141,SVK,CZE,,
