event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,settime_tot_winner,settime_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,player_id_winner,player_id_loser
360,2012,Casablanca,250,2012-04-09T00:00:00,2012-04-15T00:00:00,Clay,28,398250,€,MS001,F,01:46:00,,F,2,A596,"6-1,7-6(7)",P. Andujar,A. Ramos-Vinolas,,,ESP,ESP,6-1,7-6(7),,,,01:46:00,A,P. Andujar,A. Ramos-Vinolas,ESP,ESP,,,267,/en/stats/leaderboard?page=serve,6,1,70,57,82,70,40,57,44,11,25,75,3,4,9,219,/en/stats/leaderboard?page=serve,0,0,53,29,55,52,15,29,54,14,26,0,0,4,10,62,51,82,47,26,55,56,77,137,53,29,55,38,31,82,44,60,137,7,5,01:46:00,01:46:00,,,A596,R772
360,2012,Casablanca,250,2012-04-09T00:00:00,2012-04-15T00:00:00,Clay,28,398250,€,MS002,SF,01:53:00,,F,2,R772,"6-3,7-6(9)",A. Ramos-Vinolas,I. Andreev,,,ESP,RUS,6-3,7-6(9),,,,01:53:00,A,A. Ramos-Vinolas,I. Andreev,ESP,RUS,,,271,/en/stats/leaderboard?page=serve,3,1,58,52,89,71,37,52,54,20,37,89,8,9,11,276,/en/stats/leaderboard?page=serve,1,5,66,42,64,71,30,42,55,12,22,0,0,2,10,64,57,89,34,22,64,52,79,153,66,42,64,36,32,89,48,74,153,9,7,01:53:00,01:53:00,,,R772,A511
360,2012,Casablanca,250,2012-04-09T00:00:00,2012-04-15T00:00:00,Clay,28,398250,€,MS003,SF,01:55:00,,F,2,A596,"6-3,7-5",P. Andujar,F. Cipolla,,,ESP,ITA,6-3,7-5,,,,01:55:00,A,P. Andujar,F. Cipolla,ESP,ITA,,,239,/en/stats/leaderboard?page=serve,5,0,62,56,90,63,35,56,47,16,34,70,7,10,11,216,/en/stats/leaderboard?page=serve,3,0,75,48,64,56,27,48,38,6,16,55,6,11,10,57,51,90,48,31,64,53,82,154,52,33,64,43,39,90,47,72,154,,,01:55:00,01:55:00,,,A596,C723
360,2012,Casablanca,250,2012-04-09T00:00:00,2012-04-15T00:00:00,Clay,28,398250,€,MS004,QF,01:39:00,,F,2,R772,"6-3,6-4",A. Ramos-Vinolas,J. Chardy,,,ESP,FRA,6-3,6-4,,,,01:39:00,A,A. Ramos-Vinolas,J. Chardy,ESP,FRA,,,265,/en/stats/leaderboard?page=serve,2,1,64,41,64,61,25,41,61,14,23,50,2,4,10,209,/en/stats/leaderboard?page=serve,2,5,49,42,85,60,25,42,42,18,43,64,7,11,9,61,39,64,49,42,85,54,81,149,51,43,85,39,25,64,46,68,149,,,01:39:00,01:39:00,,,R772,CA12
360,2012,Casablanca,250,2012-04-09T00:00:00,2012-04-15T00:00:00,Clay,28,398250,€,MS005,QF,01:27:00,,F,2,A511,"6-4,6-2",I. Andreev,G. Garcia-Lopez,,,RUS,ESP,6-4,6-2,,,,01:27:00,A,I. Andreev,G. Garcia-Lopez,RUS,ESP,,,299,/en/stats/leaderboard?page=serve,1,3,62,28,45,82,23,28,65,11,17,50,1,2,9,207,/en/stats/leaderboard?page=serve,8,0,57,40,70,60,24,40,43,13,30,69,9,13,9,76,34,45,47,33,70,58,67,115,53,37,70,24,11,45,42,48,115,,,01:27:00,01:27:00,,,A511,G476
360,2012,Casablanca,250,2012-04-09T00:00:00,2012-04-15T00:00:00,Clay,28,398250,€,MS006,QF,01:33:00,,F,3,A596,"6-4,1-6,6-3",P. Andujar,S. Gutierrez-Ferrol,,,ESP,ESP,6-4,1-6,6-3,,,01:33:00,A,P. Andujar,S. Gutierrez-Ferrol,ESP,ESP,,,248,/en/stats/leaderboard?page=serve,4,0,55,39,71,72,28,39,56,18,32,20,1,5,13,246,/en/stats/leaderboard?page=serve,2,9,55,41,74,76,31,41,39,13,33,33,2,6,13,65,46,71,41,30,74,52,76,145,59,44,74,35,25,71,48,69,145,,,01:33:00,01:33:00,,,A596,G935
360,2012,Casablanca,250,2012-04-09T00:00:00,2012-04-15T00:00:00,Clay,28,398250,€,MS007,QF,01:33:00,,F,2,C723,"6-3,6-4",F. Cipolla,B. Paire,,,ITA,FRA,6-3,6-4,,,,01:33:00,A,F. Cipolla,B. Paire,ITA,FRA,,,250,/en/stats/leaderboard?page=serve,2,1,76,55,72,69,38,55,29,5,17,83,10,12,9,191,/en/stats/leaderboard?page=serve,6,3,41,27,66,67,18,27,36,14,39,44,4,9,10,60,43,72,52,34,66,56,77,138,48,32,66,40,29,72,44,61,138,,,01:33:00,01:33:00,,,C723,PD31
360,2012,Casablanca,250,2012-04-09T00:00:00,2012-04-15T00:00:00,Clay,28,398250,€,MS008,R16,00:58:00,,F,2,CA12,"6-3,6-1",J. Chardy,F. Mayer,,,FRA,GER,6-3,6-1,,,,00:58:00,A,J. Chardy,F. Mayer,FRA,GER,,,252,/en/stats/leaderboard?page=serve,3,6,52,22,42,82,18,22,40,8,20,0,0,2,8,159,/en/stats/leaderboard?page=serve,2,1,65,35,54,49,17,35,21,4,19,45,5,11,8,62,26,42,61,33,54,61,59,96,39,21,54,38,16,42,39,37,96,,,00:58:00,00:58:00,,,CA12,MB02
360,2012,Casablanca,250,2012-04-09T00:00:00,2012-04-15T00:00:00,Clay,28,398250,€,MS009,R16,01:23:00,,F,2,R772,"6-2,6-4",A. Ramos-Vinolas,V. Hanescu,,,ESP,ROU,6-2,6-4,,,,01:23:00,A,A. Ramos-Vinolas,V. Hanescu,ESP,ROU,,,294,/en/stats/leaderboard?page=serve,1,4,45,25,56,72,18,25,74,23,31,100,1,1,9,250,/en/stats/leaderboard?page=serve,0,2,73,41,56,56,23,41,53,8,15,25,1,4,9,73,41,56,45,25,56,59,66,112,55,31,56,27,15,56,41,46,112,,,01:23:00,01:23:00,,,R772,H528
360,2012,Casablanca,250,2012-04-09T00:00:00,2012-04-15T00:00:00,Clay,28,398250,€,MS010,R16,02:17:00,,F,3,A511,"6-7(3),6-3,6-2",I. Andreev,D. Istomin,,,RUS,UZB,6-7(3),6-3,6-2,,,02:17:00,A,I. Andreev,D. Istomin,RUS,UZB,,,286,/en/stats/leaderboard?page=serve,5,4,60,62,103,71,44,62,63,26,41,89,8,9,15,258,/en/stats/leaderboard?page=serve,2,6,61,54,88,69,37,54,53,18,34,60,6,10,14,68,70,103,38,33,88,54,103,191,63,55,88,32,33,103,46,88,191,,,02:17:00,02:17:00,3,7,A511,I165
360,2012,Casablanca,250,2012-04-09T00:00:00,2012-04-15T00:00:00,Clay,28,398250,€,MS011,R16,01:38:00,,F,2,G476,"6-4,6-2",G. Garcia-Lopez,P. Mathieu,,,ESP,FRA,6-4,6-2,,,,01:38:00,A,G. Garcia-Lopez,P. Mathieu,ESP,FRA,,,272,/en/stats/leaderboard?page=serve,2,2,63,39,62,69,27,39,52,12,23,75,3,4,9,204,/en/stats/leaderboard?page=serve,4,0,48,26,54,62,16,26,43,12,28,33,2,6,9,63,39,62,48,26,54,56,65,116,52,28,54,37,23,62,44,51,116,,,01:38:00,01:38:00,,,G476,M850
360,2012,Casablanca,250,2012-04-09T00:00:00,2012-04-15T00:00:00,Clay,28,398250,€,MS012,R16,01:00:00,,F,2,G935,"6-4,6-1",S. Gutierrez-Ferrol,L. Ouahab,,,ESP,MAR,6-4,6-1,,,,01:00:00,A,S. Gutierrez-Ferrol,L. Ouahab,ESP,MAR,,,273,/en/stats/leaderboard?page=serve,5,8,54,26,48,88,23,26,41,9,22,75,3,4,8,198,/en/stats/leaderboard?page=serve,3,0,61,33,54,58,19,33,38,8,21,29,2,7,9,67,32,48,50,27,54,58,59,102,50,27,54,33,16,48,42,43,102,,,01:00:00,01:00:00,,,G935,O207
360,2012,Casablanca,250,2012-04-09T00:00:00,2012-04-15T00:00:00,Clay,28,398250,€,MS013,R16,01:09:00,,F,2,A596,"6-3,6-0",P. Andujar,P. Starace,,,ESP,ITA,6-3,6-0,,,,01:09:00,A,P. Andujar,P. Starace,ESP,ITA,,,273,/en/stats/leaderboard?page=serve,3,1,60,26,43,65,17,26,65,11,17,75,3,4,7,158,/en/stats/leaderboard?page=serve,2,1,54,30,56,53,16,30,27,7,26,50,6,12,8,65,28,43,59,33,56,62,61,99,41,23,56,35,15,43,38,38,99,,,01:09:00,01:09:00,,,A596,S843
360,2012,Casablanca,250,2012-04-09T00:00:00,2012-04-15T00:00:00,Clay,28,398250,€,MS014,R16,02:35:00,,F,3,PD31,"6-7(3),6-3,6-2",B. Paire,M. Bachinger,,,FRA,GER,6-7(3),6-3,6-2,,,02:35:00,A,B. Paire,M. Bachinger,FRA,GER,,,255,/en/stats/leaderboard?page=serve,4,8,46,59,128,73,43,59,46,32,69,86,12,14,15,231,/en/stats/leaderboard?page=serve,3,7,47,50,107,76,38,50,40,23,57,71,12,17,14,59,75,128,43,46,107,51,121,235,57,61,107,41,53,128,49,114,235,,,02:35:00,02:35:00,3,7,PD31,BC65
360,2012,Casablanca,250,2012-04-09T00:00:00,2012-04-15T00:00:00,Clay,28,398250,€,MS015,R16,01:03:00,,F,2,C723,"6-4,6-1",F. Cipolla,A. Dolgopolov,,,ITA,UKR,6-4,6-1,,,,01:03:00,A,F. Cipolla,A. Dolgopolov,ITA,UKR,,,307,/en/stats/leaderboard?page=serve,3,1,74,35,47,77,27,35,58,7,12,0,0,0,8,214,/en/stats/leaderboard?page=serve,2,3,48,22,46,64,14,22,46,11,24,20,1,5,9,72,34,47,46,21,46,59,55,93,54,25,46,28,13,47,41,38,93,,,01:03:00,01:03:00,,,C723,D801
360,2012,Casablanca,250,2012-04-09T00:00:00,2012-04-15T00:00:00,Clay,28,398250,€,MS017,R32,01:40:00,,F,2,CA12,"6-4,7-5",J. Chardy,F. Delbonis,,,FRA,ARG,6-4,7-5,,,,01:40:00,A,J. Chardy,F. Delbonis,FRA,ARG,,,269,/en/stats/leaderboard?page=serve,5,3,53,42,79,69,29,42,59,22,37,89,8,9,11,239,/en/stats/leaderboard?page=serve,8,2,62,41,66,71,29,41,40,10,25,25,1,4,11,65,51,79,41,27,66,54,78,145,59,39,66,35,28,79,46,67,145,,,01:40:00,01:40:00,,,CA12,D874
