event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_loser,secondservepointswon_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
403,1998,ATP Masters 1000 Miami,1000,1998-03-16T00:00:00,1998-03-29T00:00:00,Hard,96,2450000,$,MS001,F,01:57:00,,F,3,R286,"7-5,6-3,6-4",M. Rios,A. Agassi,,,CHI,USA,7-5,6-3,6-4,,,01:57:00,305,/en/stats/leaderboard?page=serve,2,12,65,59,91,78,46,59,59,19,32,0,0,1,16,245,/en/stats/leaderboard?page=serve,4,5,50,49,98,82,40,49,39,19,49,67,8,12,15,71,65,91,40,39,98,55,104,189,60,59,98,29,26,91,45,85,189,A,,,,,,,,,,M. Rios,A. Agassi,R286,A092,CHI,USA,,
403,1998,ATP Masters 1000 Miami,1000,1998-03-16T00:00:00,1998-03-29T00:00:00,Hard,96,2450000,$,MS002,SF,01:22:00,,F,2,A092,"6-4,6-2",A. Agassi,A. Corretja,,,USA,ESP,6-4,6-2,,,,01:22:00,281,/en/stats/leaderboard?page=serve,1,2,58,32,55,69,22,32,65,15,23,80,4,5,9,209,/en/stats/leaderboard?page=serve,4,3,53,32,60,63,20,32,39,11,28,64,7,11,9,67,37,55,48,29,60,57,66,115,52,31,60,33,18,55,43,49,115,A,,,,,,,,,,A. Agassi,A. Corretja,A092,C344,USA,ESP,,
403,1998,ATP Masters 1000 Miami,1000,1998-03-16T00:00:00,1998-03-29T00:00:00,Hard,96,2450000,$,MS003,SF,01:35:00,,F,3,R286,"6-2,4-6,6-0",M. Rios,T. Henman,,,CHI,GBR,6-2,4-6,6-0,,,01:35:00,255,/en/stats/leaderboard?page=serve,1,3,52,34,65,74,25,34,52,16,31,57,4,7,12,176,/en/stats/leaderboard?page=serve,7,3,51,39,77,59,23,39,29,11,38,36,4,11,12,63,41,65,56,43,77,59,84,142,44,34,77,37,24,65,41,58,142,A,,,,,,,,,,M. Rios,T. Henman,R286,H336,CHI,GBR,,
403,1998,ATP Masters 1000 Miami,1000,1998-03-16T00:00:00,1998-03-29T00:00:00,Hard,96,2450000,$,MS004,QF,01:09:00,,F,2,C344,"6-3,6-1",A. Corretja,S. Campbell,,,ESP,USA,6-3,6-1,,,,01:09:00,202,/en/stats/leaderboard?page=serve,1,3,53,25,47,88,22,25,59,13,22,0,0,,8,202,/en/stats/leaderboard?page=serve,4,0,49,22,45,59,13,22,48,11,23,33,2,6,8,74,35,47,47,21,45,61,56,92,53,24,45,26,12,47,39,36,92,A,,,,,,,,,,A. Corretja,S. Campbell,C344,C355,ESP,USA,,
403,1998,ATP Masters 1000 Miami,1000,1998-03-16T00:00:00,1998-03-29T00:00:00,Hard,96,2450000,$,MS005,QF,01:11:00,,F,2,A092,"6-4,6-3",A. Agassi,J. Tarango,,,USA,USA,6-4,6-3,,,,01:11:00,274,/en/stats/leaderboard?page=serve,1,8,62,38,61,84,32,38,61,14,23,,0,,10,252,/en/stats/leaderboard?page=serve,2,3,58,38,66,66,25,38,50,14,28,80,8,10,9,75,46,61,41,27,66,57,73,127,59,39,66,25,15,61,43,54,127,A,,,,,,,,,,A. Agassi,J. Tarango,A092,T136,USA,USA,,
403,1998,ATP Masters 1000 Miami,1000,1998-03-16T00:00:00,1998-03-29T00:00:00,Hard,96,2450000,$,MS006,QF,00:47:00,,F,2,R286,"6-3,2-0",M. Rios,T. Enqvist,,,CHI,SWE,6-3,2-0,,,,00:47:00,195,/en/stats/leaderboard?page=serve,,3,59,19,32,79,15,19,54,7,13,0,0,,6,200,/en/stats/leaderboard?page=serve,3,2,44,17,39,71,12,17,36,8,22,40,2,5,6,69,22,32,49,19,39,58,41,71,51,20,39,31,10,32,42,30,71,A,False,,,,,,,,,M. Rios,T. Enqvist,R286,E113,CHI,SWE,,
403,1998,ATP Masters 1000 Miami,1000,1998-03-16T00:00:00,1998-03-29T00:00:00,Hard,96,2450000,$,MS007,QF,01:10:00,,F,2,H336,"6-2,6-4",T. Henman,G. Kuerten,,,GBR,BRA,6-2,6-4,,,,01:10:00,210,/en/stats/leaderboard?page=serve,1,3,47,21,45,90,19,21,71,17,24,0,0,,9,240,/en/stats/leaderboard?page=serve,2,3,57,33,58,52,17,33,64,16,25,67,6,9,9,80,36,45,43,25,58,59,61,103,57,33,58,20,9,45,41,42,103,A,,,,,,,,,,T. Henman,G. Kuerten,H336,K293,GBR,BRA,,
403,1998,ATP Masters 1000 Miami,1000,1998-03-16T00:00:00,1998-03-29T00:00:00,Hard,96,2450000,$,MS008,R16,02:16:00,,F,3,C355,"6-7(3),6-2,7-5",S. Campbell,W. Ferreira,,,USA,RSA,6-7(3),6-2,7-5,,,02:16:00,270,/en/stats/leaderboard?page=serve,4,4,56,62,111,68,42,62,59,29,49,71,5,7,16,237,/en/stats/leaderboard?page=serve,5,9,47,54,115,72,39,54,46,28,61,50,5,10,16,64,71,111,42,48,115,53,119,226,58,67,115,36,40,111,47,107,226,A,,3,7,,,,,,,S. Campbell,W. Ferreira,C355,F196,USA,RSA,,
403,1998,ATP Masters 1000 Miami,1000,1998-03-16T00:00:00,1998-03-29T00:00:00,Hard,96,2450000,$,MS009,R16,01:53:00,,F,3,C344,"6-1,3-6,6-3",A. Corretja,F. Santoro,,,ESP,FRA,6-1,3-6,6-3,,,01:53:00,265,/en/stats/leaderboard?page=serve,,2,48,38,80,74,28,38,57,24,42,60,3,5,13,238,/en/stats/leaderboard?page=serve,3,3,62,46,74,67,31,46,43,12,28,60,6,10,12,65,52,80,42,31,74,54,83,154,58,43,74,35,28,80,46,71,154,A,False,,,,,,,,,A. Corretja,F. Santoro,C344,S424,ESP,FRA,,
403,1998,ATP Masters 1000 Miami,1000,1998-03-16T00:00:00,1998-03-29T00:00:00,Hard,96,2450000,$,MS010,R16,01:46:00,,F,3,A092,"7-6(7),4-6,6-1",A. Agassi,A. Costa,,,USA,ESP,7-6(7),4-6,6-1,,,01:46:00,275,/en/stats/leaderboard?page=serve,4,5,57,50,87,80,40,50,51,19,37,60,3,5,15,276,/en/stats/leaderboard?page=serve,1,5,76,62,82,68,42,62,50,10,20,50,3,6,14,68,59,87,37,30,82,53,89,169,63,52,82,32,28,87,47,80,169,A,,7,5,,,,,,,A. Agassi,A. Costa,A092,C378,USA,ESP,,
