event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
403,2006,ATP Masters 1000 Miami,1000,2006-03-20T00:00:00,2006-04-02T00:00:00,Hard,96,3200000,$,MS001,F,02:57:00,,F,3,F324,"7-6(7),7-6(7),7-6(8)",R. Federer,I. Ljubicic,,,SUI,CRO,7-6(7),7-6(7),7-6(8),,,02:57:00,7,5,7,4,8,6,293,/en/stats/leaderboard?page=serve,3,8,63,78,124,74,58,78,63,29,46,71,5,7,18,298,/en/stats/leaderboard?page=serve,3,21,56,68,121,78,53,68,58,31,53,71,5,7,18,70,87,124,31,37,121,51,124,245,69,84,121,30,37,124,49,121,245,A,R. Federer,I. Ljubicic,F324,L360,SUI,CRO,,
403,2006,ATP Masters 1000 Miami,1000,2006-03-20T00:00:00,2006-04-02T00:00:00,Hard,96,3200000,$,MS002,SF,01:00:00,,F,2,F324,"6-1,6-4",R. Federer,D. Ferrer,,,SUI,ESP,6-1,6-4,,,,01:00:00,,,,,,,292,/en/stats/leaderboard?page=serve,1,2,67,35,52,77,27,35,59,10,17,67,2,3,9,219,/en/stats/leaderboard?page=serve,2,0,73,38,52,55,21,38,43,6,14,20,1,5,8,71,37,52,48,25,52,60,62,104,52,27,52,29,15,52,40,42,104,A,R. Federer,D. Ferrer,F324,F401,SUI,ESP,,
403,2006,ATP Masters 1000 Miami,1000,2006-03-20T00:00:00,2006-04-02T00:00:00,Hard,96,3200000,$,MS003,SF,01:13:00,,F,2,L360,"6-1,6-2",I. Ljubicic,D. Nalbandian,,,CRO,ARG,6-1,6-2,,,,01:13:00,,,,,,,342,/en/stats/leaderboard?page=serve,0,12,70,26,37,96,25,26,64,7,11,0,0,0,8,220,/en/stats/leaderboard?page=serve,0,1,71,47,66,43,20,47,63,12,19,76,13,17,7,86,32,37,52,34,66,64,66,103,48,32,66,14,5,37,36,37,103,A,I. Ljubicic,D. Nalbandian,L360,N301,CRO,ARG,,
403,2006,ATP Masters 1000 Miami,1000,2006-03-20T00:00:00,2006-04-02T00:00:00,Hard,96,3200000,$,MS004,QF,01:27:00,,F,2,F324,"7-6(7),6-4",R. Federer,J. Blake,,,SUI,USA,7-6(7),6-4,,,,01:27:00,7,2,,,,,293,/en/stats/leaderboard?page=serve,1,6,59,46,78,70,32,46,69,22,32,67,2,3,11,262,/en/stats/leaderboard?page=serve,4,4,51,36,71,81,29,36,49,17,35,50,2,4,11,69,54,78,35,25,71,53,79,149,65,46,71,31,24,78,47,70,149,A,R. Federer,J. Blake,F324,B676,SUI,USA,,
403,2006,ATP Masters 1000 Miami,1000,2006-03-20T00:00:00,2006-04-02T00:00:00,Hard,96,3200000,$,MS005,QF,01:52:00,,F,3,F401,"6-3,4-6,6-4",D. Ferrer,A. Roddick,,,ESP,USA,6-3,4-6,6-4,,,01:52:00,,,,,,,267,/en/stats/leaderboard?page=serve,1,0,64,54,84,74,40,54,50,15,30,40,2,5,15,253,/en/stats/leaderboard?page=serve,2,10,63,50,80,78,39,50,33,10,30,50,4,8,14,65,55,84,39,31,80,52,86,164,61,49,80,35,29,84,48,78,164,A,D. Ferrer,A. Roddick,F401,R485,ESP,USA,,
403,2006,ATP Masters 1000 Miami,1000,2006-03-20T00:00:00,2006-04-02T00:00:00,Hard,96,3200000,$,MS006,QF,00:57:00,,F,2,N301,"6-2,6-2",D. Nalbandian,M. Ancic,,,ARG,CRO,6-2,6-2,,,,00:57:00,,,,,,,336,/en/stats/leaderboard?page=serve,0,3,78,32,41,88,28,32,67,6,9,100,1,1,8,200,/en/stats/leaderboard?page=serve,3,7,56,23,41,57,13,23,33,6,18,0,0,4,8,83,34,41,54,22,41,68,56,82,46,19,41,17,7,41,32,26,82,A,D. Nalbandian,M. Ancic,N301,A385,ARG,CRO,,
403,2006,ATP Masters 1000 Miami,1000,2006-03-20T00:00:00,2006-04-02T00:00:00,Hard,96,3200000,$,MS007,QF,01:40:00,,F,2,L360,"7-6(7),6-3",I. Ljubicic,A. Calleri,,,CRO,ARG,7-6(7),6-3,,,,01:40:00,7,4,,,,,323,/en/stats/leaderboard?page=serve,3,14,65,37,57,97,36,37,50,10,20,0,0,0,10,260,/en/stats/leaderboard?page=serve,4,2,57,47,83,74,35,47,50,18,36,75,6,8,11,81,46,57,36,30,83,54,76,140,64,53,83,19,11,57,46,64,140,A,I. Ljubicic,A. Calleri,L360,C478,CRO,ARG,,
403,2006,ATP Masters 1000 Miami,1000,2006-03-20T00:00:00,2006-04-02T00:00:00,Hard,96,3200000,$,MS008,R16,00:58:00,,F,2,F324,"6-3,6-3",R. Federer,D. Tursunov,,,SUI,RUS,6-3,6-3,,,,00:58:00,,,,,,,301,/en/stats/leaderboard?page=serve,2,5,67,29,43,86,25,29,57,8,14,0,0,1,9,212,/en/stats/leaderboard?page=serve,3,4,59,33,56,67,22,33,30,7,23,43,3,7,9,77,33,43,48,27,56,61,60,99,52,29,56,23,10,43,39,39,99,A,R. Federer,D. Tursunov,F324,T315,SUI,RUS,,
403,2006,ATP Masters 1000 Miami,1000,2006-03-20T00:00:00,2006-04-02T00:00:00,Hard,96,3200000,$,MS009,R16,01:40:00,,F,3,B676,"4-6,6-1,6-0",J. Blake,J. Chela,,,USA,ARG,4-6,6-1,6-0,,,01:40:00,,,,,,,272,/en/stats/leaderboard?page=serve,5,5,52,44,84,66,29,44,63,25,40,50,1,2,12,205,/en/stats/leaderboard?page=serve,6,2,48,38,79,61,23,38,46,19,41,55,6,11,11,64,54,84,47,37,79,56,91,163,53,42,79,36,30,84,44,72,163,A,J. Blake,J. Chela,B676,C514,USA,ARG,,
403,2006,ATP Masters 1000 Miami,1000,2006-03-20T00:00:00,2006-04-02T00:00:00,Hard,96,3200000,$,MS010,R16,01:34:00,,F,3,R485,"6-3,3-6,6-2",A. Roddick,S. Greul,,,USA,GER,6-3,3-6,6-2,,,01:34:00,,,,,,,328,/en/stats/leaderboard?page=serve,0,9,68,43,63,84,36,43,75,15,20,50,1,2,13,252,/en/stats/leaderboard?page=serve,5,4,58,48,83,65,31,48,54,19,35,50,3,6,13,81,51,63,40,33,83,58,84,146,60,50,83,19,12,63,42,62,146,A,A. Roddick,S. Greul,R485,G511,USA,GER,,
