event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
403,2019,ATP Masters 1000 Miami,1000,2019-03-20T00:00:00,2019-03-31T00:00:00,Hard,96,8359455,$,MS001,F,01:04:00,,F,2,F324,"6-1,6-4",R. Federer,J. Isner,,,SUI,USA,6-1,6-4,,,,01:04:00,342,/en/stats/leaderboard?page=serve,1,6,57,20,35,100,20,20,80,12,15,0,0,0,8,245,/en/stats/leaderboard?page=serve,2,9,74,39,53,59,23,39,50,7,14,60,6,10,9,91,32,35,43,23,53,63,55,88,57,30,53,9,3,35,38,33,88,A,,,,,,,R. Federer,J. Isner,F324,I186,SUI,USA,,
403,2019,ATP Masters 1000 Miami,1000,2019-03-20T00:00:00,2019-03-31T00:00:00,Hard,96,8359455,$,MS002,SF,01:54:00,,F,2,I186,"7-6(7),7-6(7)",J. Isner,F. Auger-Aliassime,,,USA,CAN,7-6(7),7-6(7),,,,01:54:00,299,/en/stats/leaderboard?page=serve,2,21,72,56,78,75,42,56,50,11,22,67,4,6,12,267,/en/stats/leaderboard?page=serve,7,6,64,52,81,69,36,52,52,15,29,50,2,4,12,68,53,78,37,30,81,52,83,159,63,51,81,32,25,78,48,76,159,A,7,3,7,4,,,J. Isner,F. Auger-Aliassime,I186,AG37,USA,CAN,,
403,2019,ATP Masters 1000 Miami,1000,2019-03-20T00:00:00,2019-03-31T00:00:00,Hard,96,8359455,$,MS003,SF,01:13:00,,F,2,F324,"6-2,6-4",R. Federer,D. Shapovalov,,,SUI,CAN,6-2,6-4,,,,01:13:00,315,/en/stats/leaderboard?page=serve,1,2,49,22,45,91,20,22,74,17,23,100,2,2,9,224,/en/stats/leaderboard?page=serve,5,3,52,35,67,77,27,35,31,10,32,73,8,11,9,82,37,45,45,30,67,60,67,112,55,37,67,18,8,45,40,45,112,A,,,,,,,R. Federer,D. Shapovalov,F324,SU55,SUI,CAN,,
403,2019,ATP Masters 1000 Miami,1000,2019-03-20T00:00:00,2019-03-31T00:00:00,Hard,96,8359455,$,MS004,QF,01:46:00,,F,2,I186,"7-6(7),7-6(7)",J. Isner,R. Bautista Agut,,,USA,ESP,7-6(7),7-6(7),,,,01:46:00,333,/en/stats/leaderboard?page=serve,1,24,74,61,82,79,48,61,57,12,21,100,1,1,12,309,/en/stats/leaderboard?page=serve,2,3,65,49,75,78,38,49,65,17,26,100,3,3,12,73,60,82,27,20,75,51,80,157,73,55,75,27,22,82,49,77,157,A,7,1,7,5,,,J. Isner,R. Bautista Agut,I186,BD06,USA,ESP,,
403,2019,ATP Masters 1000 Miami,1000,2019-03-20T00:00:00,2019-03-31T00:00:00,Hard,96,8359455,$,MS005,QF,01:49:00,,F,2,AG37,"7-6(7),6-2",F. Auger-Aliassime,B. Coric,,,CAN,CRO,7-6(7),6-2,,,,01:49:00,304,/en/stats/leaderboard?page=serve,2,8,74,51,69,73,37,51,61,11,18,50,1,2,10,250,/en/stats/leaderboard?page=serve,1,7,68,56,82,64,36,56,42,11,26,50,3,6,10,70,48,69,43,35,82,55,83,151,57,47,82,30,21,69,45,68,151,A,7,3,,,,,F. Auger-Aliassime,B. Coric,AG37,CG80,CAN,CRO,,
403,2019,ATP Masters 1000 Miami,1000,2019-03-20T00:00:00,2019-03-31T00:00:00,Hard,96,8359455,$,MS006,QF,01:25:00,,F,2,F324,"6-0,6-4",R. Federer,K. Anderson,,,SUI,RSA,6-0,6-4,,,,01:25:00,281,/en/stats/leaderboard?page=serve,2,3,60,25,42,80,20,25,53,9,17,0,0,1,8,186,/en/stats/leaderboard?page=serve,4,4,56,42,75,60,25,42,33,11,33,62,8,13,8,69,29,42,52,39,75,58,68,117,48,36,75,31,13,42,42,49,117,A,,,,,,,R. Federer,K. Anderson,F324,A678,SUI,RSA,,
403,2019,ATP Masters 1000 Miami,1000,2019-03-20T00:00:00,2019-03-31T00:00:00,Hard,96,8359455,$,MS007,QF,02:15:00,,F,3,SU55,"6-7(5),6-4,6-2",D. Shapovalov,F. Tiafoe,,,CAN,USA,6-7(5),6-4,6-2,,,02:15:00,308,/en/stats/leaderboard?page=serve,1,7,69,63,91,76,48,63,64,18,28,83,5,6,15,257,/en/stats/leaderboard?page=serve,6,5,61,64,105,63,40,64,61,25,41,67,8,12,15,73,66,91,38,40,105,54,106,196,62,65,105,27,25,91,46,90,196,A,5,7,,,,,D. Shapovalov,F. Tiafoe,SU55,TD51,CAN,USA,,
403,2019,ATP Masters 1000 Miami,1000,2019-03-20T00:00:00,2019-03-31T00:00:00,Hard,96,8359455,$,MS008,R16,02:29:00,,F,3,BD06,"1-6,7-5,6-3",R. Bautista Agut,N. Djokovic,,,ESP,SRB,1-6,7-5,6-3,,,02:29:00,237,/en/stats/leaderboard?page=serve,3,1,59,55,94,71,39,55,38,15,39,69,9,13,14,242,/en/stats/leaderboard?page=serve,4,5,57,50,87,64,32,50,49,18,37,43,3,7,14,57,54,94,43,37,87,50,91,181,57,50,87,43,40,94,50,90,181,A,,,,,,,R. Bautista Agut,N. Djokovic,BD06,D643,ESP,SRB,,
403,2019,ATP Masters 1000 Miami,1000,2019-03-20T00:00:00,2019-03-31T00:00:00,Hard,96,8359455,$,MS009,R16,01:41:00,,F,2,I186,"7-6(7),7-6(7)",J. Isner,K. Edmund,,,USA,GBR,7-6(7),7-6(7),,,,01:41:00,314,/en/stats/leaderboard?page=serve,1,17,79,57,72,81,46,57,47,7,15,0,0,1,12,296,/en/stats/leaderboard?page=serve,2,10,62,45,73,71,32,45,64,18,28,0,0,1,12,74,53,72,32,23,73,52,76,145,68,50,73,26,19,72,48,69,145,A,7,5,7,3,,,J. Isner,K. Edmund,I186,E831,USA,GBR,,
403,2019,ATP Masters 1000 Miami,1000,2019-03-20T00:00:00,2019-03-31T00:00:00,Hard,96,8359455,$,MS010,R16,01:37:00,,F,2,AG37,"7-6(7),6-4",F. Auger-Aliassime,N. Basilashvili,,,CAN,GEO,7-6(7),6-4,,,,01:37:00,276,/en/stats/leaderboard?page=serve,4,13,62,45,73,78,35,45,46,13,28,75,6,8,11,234,/en/stats/leaderboard?page=serve,8,4,39,25,64,68,17,25,59,23,39,40,2,5,11,66,48,73,38,24,64,53,72,137,63,40,64,34,25,73,47,65,137,A,7,4,,,,,F. Auger-Aliassime,N. Basilashvili,AG37,BG23,CAN,GEO,,
