event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
408,1998,London-1,CS,1998-02-23T00:00:00,1998-03-01T00:00:00,Carpet,32,689250,$,MS001,F,01:14:00,,F,2,K267,"7-5,6-4",Y. Kafelnikov,C. Pioline,,,RUS,FRA,7-5,6-4,,,,01:14:00,309,/en/stats/leaderboard?page=serve,1,1,64,35,55,80,28,35,75,15,20,80,4,5,11,250,/en/stats/leaderboard?page=serve,2,6,65,45,69,71,32,45,38,9,24,63,5,8,11,78,43,55,41,28,69,57,71,124,59,41,69,22,12,55,43,53,124,A,,,,,,,Y. Kafelnikov,C. Pioline,K267,P226,RUS,FRA,,
408,1998,London-1,CS,1998-02-23T00:00:00,1998-03-01T00:00:00,Carpet,32,689250,$,MS002,SF,01:14:00,,F,2,P226,"6-3,7-6(7)",C. Pioline,J. Siemerink,,,FRA,NED,6-3,7-6(7),,,,01:14:00,235,/en/stats/leaderboard?page=serve,2,6,72,43,60,88,38,43,71,12,17,0,0,,11,289,/en/stats/leaderboard?page=serve,3,4,55,34,62,82,28,34,61,17,28,0,0,1,10,83,50,60,27,17,62,55,67,122,73,45,62,17,10,60,45,55,122,A,7,4,,,,,C. Pioline,J. Siemerink,P226,S381,FRA,NED,,
408,1998,London-1,CS,1998-02-23T00:00:00,1998-03-01T00:00:00,Carpet,32,689250,$,MS003,SF,01:18:00,,F,2,K267,"7-5,6-4",Y. Kafelnikov,W. Ferreira,,,RUS,RSA,7-5,6-4,,,,01:18:00,284,/en/stats/leaderboard?page=serve,1,5,61,43,70,77,33,43,52,14,27,80,4,5,11,258,/en/stats/leaderboard?page=serve,3,15,59,43,73,72,31,43,43,13,30,70,7,10,11,67,47,70,40,29,73,53,76,143,60,44,73,33,23,70,47,67,143,A,,,,,,,Y. Kafelnikov,W. Ferreira,K267,F196,RUS,RSA,,
408,1998,London-1,CS,1998-02-23T00:00:00,1998-03-01T00:00:00,Carpet,32,689250,$,MS004,QF,01:44:00,,F,3,P226,"6-3,4-6,6-2",C. Pioline,K. Kucera,,,FRA,SVK,6-3,4-6,6-2,,,01:44:00,271,/en/stats/leaderboard?page=serve,4,6,62,56,91,73,41,56,49,17,35,67,4,6,14,248,/en/stats/leaderboard?page=serve,2,4,53,40,76,60,24,40,64,23,36,50,4,8,13,64,58,91,38,29,76,52,87,167,62,47,76,36,33,91,48,80,167,A,,,,,,,C. Pioline,K. Kucera,P226,K237,FRA,SVK,,
408,1998,London-1,CS,1998-02-23T00:00:00,1998-03-01T00:00:00,Carpet,32,689250,$,MS005,QF,00:58:00,,F,2,S381,"6-3,6-4",J. Siemerink,M. Goellner,,,NED,GER,6-3,6-4,,,,00:58:00,232,/en/stats/leaderboard?page=serve,2,10,58,28,48,86,24,28,80,16,20,0,0,,10,260,/en/stats/leaderboard?page=serve,6,12,55,32,58,72,23,32,50,13,26,75,6,8,9,83,40,48,38,22,58,58,62,106,62,36,58,17,8,48,42,44,106,A,,,,,,,J. Siemerink,M. Goellner,S381,G252,NED,GER,,
408,1998,London-1,CS,1998-02-23T00:00:00,1998-03-01T00:00:00,Carpet,32,689250,$,MS006,QF,02:00:00,,F,3,K267,"4-6,6-4,6-2",Y. Kafelnikov,T. Henman,,,RUS,GBR,4-6,6-4,6-2,,,02:00:00,266,/en/stats/leaderboard?page=serve,5,9,59,62,105,74,46,62,44,19,43,85,11,13,14,248,/en/stats/leaderboard?page=serve,5,17,52,51,98,75,38,51,38,18,47,60,6,10,14,62,65,105,43,42,98,53,107,203,57,56,98,38,40,105,47,96,203,A,,,,,,,Y. Kafelnikov,T. Henman,K267,H336,RUS,GBR,,
408,1998,London-1,CS,1998-02-23T00:00:00,1998-03-01T00:00:00,Carpet,32,689250,$,MS007,QF,01:04:00,,F,2,F196,"6-4,6-4",W. Ferreira,P. Rafter,,,RSA,AUS,6-4,6-4,,,,01:04:00,308,/en/stats/leaderboard?page=serve,,4,67,34,51,76,26,34,71,12,17,50,1,2,10,250,/en/stats/leaderboard?page=serve,3,4,59,34,58,74,25,34,46,11,24,40,2,5,10,75,38,51,38,22,58,55,60,109,62,36,58,25,13,51,45,49,109,A,,,False,,,,W. Ferreira,P. Rafter,F196,R255,RSA,AUS,,
408,1998,London-1,CS,1998-02-23T00:00:00,1998-03-01T00:00:00,Carpet,32,689250,$,MS008,R16,01:17:00,,F,2,P226,"6-3,6-3",C. Pioline,P. Korda,,,FRA,CZE,6-3,6-3,,,,01:17:00,287,/en/stats/leaderboard?page=serve,,6,68,39,57,69,27,39,67,12,18,,0,,9,226,/en/stats/leaderboard?page=serve,4,5,49,35,71,63,22,35,47,17,36,67,6,9,9,68,39,57,45,32,71,55,71,128,55,39,71,32,18,57,45,57,128,A,,,False,,,,C. Pioline,P. Korda,P226,K148,FRA,CZE,,
408,1998,London-1,CS,1998-02-23T00:00:00,1998-03-01T00:00:00,Carpet,32,689250,$,MS009,R16,01:00:00,,F,2,K237,"6-3,6-4",K. Kucera,F. Dewulf,,,SVK,BEL,6-3,6-4,,,,01:00:00,281,/en/stats/leaderboard?page=serve,2,3,56,30,54,73,22,30,63,15,24,67,2,3,9,224,/en/stats/leaderboard?page=serve,5,3,56,31,55,68,21,31,42,10,24,33,2,6,10,69,37,54,44,24,55,56,61,109,56,31,55,31,17,54,44,48,109,A,,,,,,,K. Kucera,F. Dewulf,K237,D228,SVK,BEL,,
408,1998,London-1,CS,1998-02-23T00:00:00,1998-03-01T00:00:00,Carpet,32,689250,$,MS010,R16,01:52:00,,F,3,G252,"6-4,6-7(4),7-5",M. Goellner,A. Richardson,,,GER,GBR,6-4,6-7(4),7-5,,,01:52:00,288,/en/stats/leaderboard?page=serve,13,20,56,59,105,88,52,59,43,20,46,50,1,2,17,297,/en/stats/leaderboard?page=serve,2,17,71,66,93,77,51,66,52,14,27,40,2,5,17,69,72,105,30,28,93,51,100,198,70,65,93,31,33,105,49,98,198,A,4,7,,,,,M. Goellner,A. Richardson,G252,R266,GER,GBR,,
