event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,settime_tot_winner,settime_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set1_winner,tiebreak_set1_loser,player_id_winner,player_id_loser
410,2022,ATP Masters 1000 Monte-Carlo,1000,2022-04-10T00:00:00,2022-04-17T00:00:00,Clay,56,5415410,€,MS001,F,01:36:00,,F,2,TE51,"6-3,7-6(7)",S. Tsitsipas,A. Davidovich Fokina,,,GRE,ESP,6-3,7-6(7),,,,01:36:00,A,S. Tsitsipas,A. Davidovich Fokina,GRE,ESP,,,269,/en/stats/leaderboard?page=serve,1,3,74,45,61,71,32,45,50,8,16,25,1,4,11,244,/en/stats/leaderboard?page=serve,1,1,76,52,68,52,27,52,56,9,16,33,2,6,10,66,40,61,47,32,68,56,72,129,53,36,68,34,21,61,44,57,129,7,3,01:36:00,01:36:00,,,,,TE51,DH50
410,2022,ATP Masters 1000 Monte-Carlo,1000,2022-04-10T00:00:00,2022-04-17T00:00:00,Clay,56,5415410,€,MS002,SF,02:44:00,,F,3,DH50,"6-4,6-7(2),6-3",A. Davidovich Fokina,G. Dimitrov,,,ESP,BUL,6-4,6-7(2),6-3,,,02:44:00,A,A. Davidovich Fokina,G. Dimitrov,ESP,BUL,,,278,/en/stats/leaderboard?page=serve,3,3,77,87,113,62,54,87,58,15,26,70,7,10,16,239,/en/stats/leaderboard?page=serve,6,2,53,47,89,64,30,47,60,25,42,17,1,6,15,61,69,113,38,34,89,51,103,202,62,55,89,39,44,113,49,99,202,2,7,02:44:00,02:44:00,,,,,DH50,D875
410,2022,ATP Masters 1000 Monte-Carlo,1000,2022-04-10T00:00:00,2022-04-17T00:00:00,Clay,56,5415410,€,MS003,SF,01:15:00,,F,2,TE51,"6-4,6-2",S. Tsitsipas,A. Zverev,,,GRE,GER,6-4,6-2,,,,01:15:00,A,S. Tsitsipas,A. Zverev,GRE,GER,,,277,/en/stats/leaderboard?page=serve,1,8,60,28,47,75,21,28,58,11,19,50,2,4,9,196,/en/stats/leaderboard?page=serve,4,3,65,32,49,53,17,32,35,6,17,38,3,8,9,68,32,47,53,26,49,60,58,96,47,23,49,32,15,47,40,38,96,,,01:15:00,01:15:00,,,,,TE51,Z355
410,2022,ATP Masters 1000 Monte-Carlo,1000,2022-04-10T00:00:00,2022-04-17T00:00:00,Clay,56,5415410,€,MS004,QF,02:25:00,,F,3,DH50,"2-6,6-4,6-3",A. Davidovich Fokina,T. Fritz,,,ESP,USA,2-6,6-4,6-3,,,02:25:00,A,A. Davidovich Fokina,T. Fritz,ESP,USA,,,262,/en/stats/leaderboard?page=serve,4,0,73,61,84,69,42,61,48,11,23,70,7,10,13,241,/en/stats/leaderboard?page=serve,1,5,59,67,114,58,39,67,49,23,47,79,15,19,14,63,53,84,46,52,114,53,105,198,54,62,114,37,31,84,47,93,198,,,02:25:00,02:25:00,,,,,DH50,FB98
410,2022,ATP Masters 1000 Monte-Carlo,1000,2022-04-10T00:00:00,2022-04-17T00:00:00,Clay,56,5415410,€,MS005,QF,02:27:00,,F,3,D875,"6-4,3-6,7-6(7)",G. Dimitrov,H. Hurkacz,,,BUL,POL,6-4,3-6,7-6(7),,,02:27:00,A,G. Dimitrov,H. Hurkacz,BUL,POL,,,275,/en/stats/leaderboard?page=serve,2,4,54,46,85,83,38,46,56,22,39,25,1,4,15,271,/en/stats/leaderboard?page=serve,0,11,52,53,101,75,40,53,52,25,48,63,5,8,16,71,60,85,36,36,101,52,96,186,64,65,101,29,25,85,48,90,186,,,02:27:00,02:27:00,7,2,,,D875,HB71
410,2022,ATP Masters 1000 Monte-Carlo,1000,2022-04-10T00:00:00,2022-04-17T00:00:00,Clay,56,5415410,€,MS006,QF,02:43:00,,F,3,TE51,"6-2,6-7(3),6-4",S. Tsitsipas,D. Schwartzman,,,GRE,ARG,6-2,6-7(3),6-4,,,02:43:00,A,S. Tsitsipas,D. Schwartzman,GRE,ARG,,,244,/en/stats/leaderboard?page=serve,4,4,52,53,102,66,35,53,53,26,49,43,3,7,15,222,/en/stats/leaderboard?page=serve,5,0,73,72,98,63,45,72,38,10,26,30,3,10,15,60,61,102,44,43,98,52,104,200,56,55,98,40,41,102,48,96,200,3,7,02:43:00,02:43:00,,,,,TE51,SM37
410,2022,ATP Masters 1000 Monte-Carlo,1000,2022-04-10T00:00:00,2022-04-17T00:00:00,Clay,56,5415410,€,MS007,QF,03:07:00,,F,3,Z355,"5-7,6-3,7-6(7)",A. Zverev,J. Sinner,,,GER,ITA,5-7,6-3,7-6(7),,,03:07:00,A,A. Zverev,J. Sinner,GER,ITA,,,251,/en/stats/leaderboard?page=serve,6,5,71,80,113,69,55,80,42,14,33,58,7,12,17,234,/en/stats/leaderboard?page=serve,3,3,55,55,100,73,40,55,38,17,45,38,3,8,16,61,69,113,43,43,100,53,112,213,57,57,100,39,44,113,47,101,213,,,03:07:00,03:07:00,7,5,,,Z355,S0AG
410,2022,ATP Masters 1000 Monte-Carlo,1000,2022-04-10T00:00:00,2022-04-17T00:00:00,Clay,56,5415410,€,MS008,R16,01:32:00,,F,2,DH50,"6-4,6-1",A. Davidovich Fokina,D. Goffin,,,ESP,BEL,6-4,6-1,,,,01:32:00,A,A. Davidovich Fokina,D. Goffin,ESP,BEL,,,275,/en/stats/leaderboard?page=serve,0,1,82,42,51,71,30,42,44,4,9,60,3,5,9,171,/en/stats/leaderboard?page=serve,3,1,36,24,67,58,14,24,42,18,43,71,12,17,8,67,34,51,52,35,67,58,69,118,48,32,67,33,17,51,42,49,118,,,01:32:00,01:32:00,,,,,DH50,GB88
410,2022,ATP Masters 1000 Monte-Carlo,1000,2022-04-10T00:00:00,2022-04-17T00:00:00,Clay,56,5415410,€,MS009,R16,01:34:00,,F,2,FB98,"7-6(7),7-5",T. Fritz,S. Korda,,,USA,USA,7-6(7),7-5,,,,01:34:00,A,T. Fritz,S. Korda,USA,USA,,,309,/en/stats/leaderboard?page=serve,1,11,58,39,67,82,32,39,68,19,28,50,1,2,12,285,/en/stats/leaderboard?page=serve,2,8,58,38,65,79,30,38,59,16,27,50,2,4,12,76,51,67,29,19,65,53,70,132,71,46,65,24,16,67,47,62,132,,,01:34:00,01:34:00,,,7,4,FB98,K0AH
410,2022,ATP Masters 1000 Monte-Carlo,1000,2022-04-10T00:00:00,2022-04-17T00:00:00,Clay,56,5415410,€,MS010,R16,01:32:00,,F,2,D875,"6-3,7-5",G. Dimitrov,C. Ruud,,,BUL,NOR,6-3,7-5,,,,01:32:00,A,G. Dimitrov,C. Ruud,BUL,NOR,,,298,/en/stats/leaderboard?page=serve,2,4,60,29,48,93,27,29,53,10,19,50,1,2,10,238,/en/stats/leaderboard?page=serve,2,2,58,37,64,65,24,37,52,14,27,56,5,9,11,77,37,48,41,26,64,56,63,112,59,38,64,23,11,48,44,49,112,,,01:32:00,01:32:00,,,,,D875,RH16
410,2022,ATP Masters 1000 Monte-Carlo,1000,2022-04-10T00:00:00,2022-04-17T00:00:00,Clay,56,5415410,€,MS011,R16,01:28:00,,F,2,HB71,"7-6(7),6-2",H. Hurkacz,A. Ramos-Vinolas,,,POL,ESP,7-6(7),6-2,,,,01:28:00,A,H. Hurkacz,A. Ramos-Vinolas,POL,ESP,,,338,/en/stats/leaderboard?page=serve,1,13,65,37,57,81,30,37,80,16,20,0,0,0,10,270,/en/stats/leaderboard?page=serve,1,0,76,51,67,65,33,51,50,8,16,67,4,6,10,81,46,57,39,26,67,58,72,124,61,41,67,19,11,57,42,52,124,,,01:28:00,01:28:00,,,7,2,HB71,R772
410,2022,ATP Masters 1000 Monte-Carlo,1000,2022-04-10T00:00:00,2022-04-17T00:00:00,Clay,56,5415410,€,MS012,R16,02:33:00,,F,3,SM37,"2-6,6-4,6-3",D. Schwartzman,L. Musetti,,,ARG,ITA,2-6,6-4,6-3,,,02:33:00,A,D. Schwartzman,L. Musetti,ARG,ITA,,,197,/en/stats/leaderboard?page=serve,6,1,73,61,84,57,35,61,26,6,23,50,7,14,13,185,/en/stats/leaderboard?page=serve,6,0,56,46,82,46,21,46,47,17,36,38,5,13,14,49,41,84,54,44,82,51,85,166,46,38,82,51,43,84,49,81,166,,,02:33:00,02:33:00,,,,,SM37,M0EJ
410,2022,ATP Masters 1000 Monte-Carlo,1000,2022-04-10T00:00:00,2022-04-17T00:00:00,Clay,56,5415410,€,MS013,R16,01:53:00,,F,2,TE51,"7-5,7-6(7)",S. Tsitsipas,L. Djere,,,GRE,SRB,7-5,7-6(7),,,,01:53:00,A,S. Tsitsipas,L. Djere,GRE,SRB,,,313,/en/stats/leaderboard?page=serve,2,5,62,45,73,84,38,45,64,18,28,100,2,2,12,268,/en/stats/leaderboard?page=serve,6,6,56,46,82,85,39,46,36,13,36,50,1,2,12,77,56,73,37,30,82,55,86,155,63,52,82,23,17,73,45,69,155,7,1,01:53:00,01:53:00,,,,,TE51,DB63
410,2022,ATP Masters 1000 Monte-Carlo,1000,2022-04-10T00:00:00,2022-04-17T00:00:00,Clay,56,5415410,€,MS014,R16,02:21:00,,F,3,S0AG,"5-7,6-1,6-3",J. Sinner,A. Rublev,,,ITA,RUS,5-7,6-1,6-3,,,02:21:00,A,J. Sinner,A. Rublev,ITA,RUS,,,253,/en/stats/leaderboard?page=serve,2,6,56,48,85,71,34,48,51,19,37,60,6,10,14,202,/en/stats/leaderboard?page=serve,7,0,65,65,100,60,39,65,34,12,35,42,5,12,14,62,53,85,49,49,100,55,102,185,51,51,100,38,32,85,45,83,185,,,02:21:00,02:21:00,,,,,S0AG,RE44
410,2022,ATP Masters 1000 Monte-Carlo,1000,2022-04-10T00:00:00,2022-04-17T00:00:00,Clay,56,5415410,€,MS015,R16,01:36:00,,F,2,Z355,"6-2,7-5",A. Zverev,P. Carreno Busta,,,GER,ESP,6-2,7-5,,,,01:36:00,A,A. Zverev,P. Carreno Busta,GER,ESP,,,277,/en/stats/leaderboard?page=serve,2,8,68,38,56,79,30,38,44,8,18,67,4,6,10,211,/en/stats/leaderboard?page=serve,1,0,65,47,72,57,27,47,40,10,25,64,9,14,10,68,38,56,49,35,72,57,73,128,51,37,72,32,18,56,43,55,128,,,01:36:00,01:36:00,,,,,Z355,CD85
410,2022,ATP Masters 1000 Monte-Carlo,1000,2022-04-10T00:00:00,2022-04-17T00:00:00,Clay,56,5415410,€,MS016,R32,02:55:00,,F,3,DH50,"6-3,6-7(5),6-1",A. Davidovich Fokina,N. Djokovic,,,ESP,SRB,6-3,6-7(5),6-1,,,02:55:00,A,A. Davidovich Fokina,N. Djokovic,ESP,SRB,,,236,/en/stats/leaderboard?page=serve,5,0,71,66,93,64,42,66,37,10,27,64,7,11,13,193,/en/stats/leaderboard?page=serve,5,1,61,76,125,55,42,76,41,20,49,55,11,20,15,56,52,93,50,63,125,53,115,218,50,62,125,44,41,93,47,103,218,5,7,02:55:00,02:55:00,,,,,DH50,D643
410,2022,ATP Masters 1000 Monte-Carlo,1000,2022-04-10T00:00:00,2022-04-17T00:00:00,Clay,56,5415410,€,MS017,R32,02:01:00,,F,2,GB88,"7-6(7),6-2",D. Goffin,D. Evans,,,BEL,GBR,7-6(7),6-2,,,,02:01:00,A,D. Goffin,D. Evans,BEL,GBR,,,295,/en/stats/leaderboard?page=serve,2,4,56,32,57,75,24,32,72,18,25,50,1,2,10,247,/en/stats/leaderboard?page=serve,2,3,66,55,83,67,37,55,43,12,28,70,7,10,10,74,42,57,41,34,83,54,76,140,59,49,83,26,15,57,46,64,140,,,02:01:00,02:01:00,,,7,5,GB88,E687
410,2022,ATP Masters 1000 Monte-Carlo,1000,2022-04-10T00:00:00,2022-04-17T00:00:00,Clay,56,5415410,€,MS018,R32,02:15:00,,F,3,FB98,"6-3,4-6,6-4",T. Fritz,M. Cilic,,,USA,CRO,6-3,4-6,6-4,,,02:15:00,A,T. Fritz,M. Cilic,USA,CRO,,,266,/en/stats/leaderboard?page=serve,2,4,55,61,110,72,44,61,51,25,49,71,5,7,15,250,/en/stats/leaderboard?page=serve,9,10,48,41,86,83,34,41,40,18,45,57,4,7,14,63,69,110,40,34,86,53,103,196,60,52,86,37,41,110,47,93,196,,,02:15:00,02:15:00,,,,,FB98,C977
410,2022,ATP Masters 1000 Monte-Carlo,1000,2022-04-10T00:00:00,2022-04-17T00:00:00,Clay,56,5415410,€,MS019,R32,03:02:00,,F,3,K0AH,"7-6(7),6-7(5),6-3",S. Korda,C. Alcaraz,,,USA,ESP,7-6(7),6-7(5),6-3,,,03:02:00,A,S. Korda,C. Alcaraz,USA,ESP,,,224,/en/stats/leaderboard?page=serve,9,2,59,87,147,66,57,87,42,25,60,68,13,19,17,224,/en/stats/leaderboard?page=serve,4,1,64,68,106,62,42,68,45,17,38,30,3,10,16,56,82,147,44,47,106,51,129,253,56,59,106,44,65,147,49,124,253,5,7,03:02:00,03:02:00,,,7,2,K0AH,A0E2
410,2022,ATP Masters 1000 Monte-Carlo,1000,2022-04-10T00:00:00,2022-04-17T00:00:00,Clay,56,5415410,€,MS020,R32,01:55:00,,F,2,RH16,"7-6(7),7-5",C. Ruud,H. Rune,,,NOR,DEN,7-6(7),7-5,,,,01:55:00,A,C. Ruud,H. Rune,NOR,DEN,,,251,/en/stats/leaderboard?page=serve,4,2,56,45,80,76,34,45,46,16,35,40,2,5,12,235,/en/stats/leaderboard?page=serve,4,0,62,48,77,63,30,48,48,14,29,20,1,5,12,63,50,80,43,33,77,53,83,157,57,44,77,38,30,80,47,74,157,,,01:55:00,01:55:00,,,7,5,RH16,R0DG
410,2022,ATP Masters 1000 Monte-Carlo,1000,2022-04-10T00:00:00,2022-04-17T00:00:00,Clay,56,5415410,€,MS021,R32,02:05:00,,F,3,D875,"4-6,6-3,6-2",G. Dimitrov,D. Lajovic,,,BUL,SRB,4-6,6-3,6-2,,,02:05:00,A,G. Dimitrov,D. Lajovic,BUL,SRB,,,272,/en/stats/leaderboard?page=serve,3,5,60,51,85,78,40,51,47,16,34,50,2,4,14,258,/en/stats/leaderboard?page=serve,3,3,71,60,85,62,37,60,56,14,25,60,6,10,13,66,56,85,40,34,85,53,90,170,60,51,85,34,29,85,47,80,170,,,02:05:00,02:05:00,,,,,D875,L987
410,2022,ATP Masters 1000 Monte-Carlo,1000,2022-04-10T00:00:00,2022-04-17T00:00:00,Clay,56,5415410,€,MS022,R32,02:12:00,,F,3,HB71,"6-3,4-6,6-4",H. Hurkacz,P. Martinez,,,POL,ESP,6-3,4-6,6-4,,,02:12:00,A,H. Hurkacz,P. Martinez,POL,ESP,,,316,/en/stats/leaderboard?page=serve,0,11,65,52,80,83,43,52,64,18,28,75,3,4,15,276,/en/stats/leaderboard?page=serve,2,1,61,51,84,73,37,51,58,19,33,60,3,5,14,76,61,80,33,28,84,54,89,164,67,56,84,24,19,80,46,75,164,,,02:12:00,02:12:00,,,,,HB71,MO44
410,2022,ATP Masters 1000 Monte-Carlo,1000,2022-04-10T00:00:00,2022-04-17T00:00:00,Clay,56,5415410,€,MS023,R32,02:32:00,,F,3,R772,"6-4,2-6,6-4",A. Ramos-Vinolas,C. Norrie,,,ESP,GBR,6-4,2-6,6-4,,,02:32:00,A,A. Ramos-Vinolas,C. Norrie,ESP,GBR,,,274,/en/stats/leaderboard?page=serve,2,4,69,61,88,69,42,61,56,15,27,57,4,7,14,266,/en/stats/leaderboard?page=serve,1,8,69,67,97,69,46,67,43,13,30,73,8,11,14,65,57,88,39,38,97,51,95,185,61,59,97,35,31,88,49,90,185,,,02:32:00,02:32:00,,,,,R772,N771
410,2022,ATP Masters 1000 Monte-Carlo,1000,2022-04-10T00:00:00,2022-04-17T00:00:00,Clay,56,5415410,€,MS024,R32,01:43:00,,F,2,M0EJ,"6-2,7-6(7)",L. Musetti,F. Auger-Aliassime,,,ITA,CAN,6-2,7-6(7),,,,01:43:00,A,L. Musetti,F. Auger-Aliassime,ITA,CAN,,,293,/en/stats/leaderboard?page=serve,1,1,67,42,63,69,29,42,67,14,21,0,0,1,10,252,/en/stats/leaderboard?page=serve,2,2,63,40,64,65,26,40,54,13,24,0,0,3,10,68,43,63,39,25,64,54,68,127,61,39,64,32,20,63,46,59,127,7,2,01:43:00,01:43:00,,,,,M0EJ,AG37
410,2022,ATP Masters 1000 Monte-Carlo,1000,2022-04-10T00:00:00,2022-04-17T00:00:00,Clay,56,5415410,€,MS025,R32,01:52:00,,F,2,SM37,"6-0,7-6(7)",D. Schwartzman,M. Fucsovics,,,ARG,HUN,6-0,7-6(7),,,,01:52:00,A,D. Schwartzman,M. Fucsovics,ARG,HUN,,,280,/en/stats/leaderboard?page=serve,2,0,64,37,58,78,29,37,52,11,21,67,2,3,9,204,/en/stats/leaderboard?page=serve,4,0,60,42,70,57,24,42,36,10,28,60,6,10,9,69,40,58,51,36,70,59,76,128,49,34,70,31,18,58,41,52,128,7,4,01:52:00,01:52:00,,,,,SM37,F724
410,2022,ATP Masters 1000 Monte-Carlo,1000,2022-04-10T00:00:00,2022-04-17T00:00:00,Clay,56,5415410,€,MS026,R32,01:41:00,,F,2,DB63,"6-4,6-4",L. Djere,L. Sonego,,,SRB,ITA,6-4,6-4,,,,01:41:00,A,L. Djere,L. Sonego,SRB,ITA,,,289,/en/stats/leaderboard?page=serve,4,1,59,33,56,82,27,33,61,14,23,83,5,6,10,251,/en/stats/leaderboard?page=serve,1,3,70,45,64,62,28,45,47,9,19,50,3,6,10,73,41,56,42,27,64,57,68,120,58,37,64,27,15,56,43,52,120,,,01:41:00,01:41:00,,,,,DB63,SU87
410,2022,ATP Masters 1000 Monte-Carlo,1000,2022-04-10T00:00:00,2022-04-17T00:00:00,Clay,56,5415410,€,MS027,R32,01:10:00,,F,2,TE51,"6-3,6-0",S. Tsitsipas,F. Fognini,,,GRE,ITA,6-3,6-0,,,,01:10:00,A,S. Tsitsipas,F. Fognini,GRE,ITA,,,276,/en/stats/leaderboard?page=serve,1,3,53,29,55,69,20,29,65,17,26,86,6,7,8,169,/en/stats/leaderboard?page=serve,5,0,58,26,45,46,12,26,42,8,19,29,2,7,7,67,37,55,56,25,45,62,62,100,44,20,45,33,18,55,38,38,100,,,01:10:00,01:10:00,,,,,TE51,F510
410,2022,ATP Masters 1000 Monte-Carlo,1000,2022-04-10T00:00:00,2022-04-17T00:00:00,Clay,56,5415410,€,MS028,R32,02:03:00,,F,3,RE44,"2-6,6-1,6-4",A. Rublev,A. de Minaur,,,RUS,AUS,2-6,6-1,6-4,,,02:03:00,A,A. Rublev,A. de Minaur,RUS,AUS,,,260,/en/stats/leaderboard?page=serve,7,3,75,72,96,63,45,72,50,12,24,75,9,12,13,237,/en/stats/leaderboard?page=serve,1,1,65,52,80,63,33,52,43,12,28,43,3,7,12,59,57,96,44,35,80,52,92,176,56,45,80,41,39,96,48,84,176,,,02:03:00,02:03:00,,,,,RE44,DH58
410,2022,ATP Masters 1000 Monte-Carlo,1000,2022-04-10T00:00:00,2022-04-17T00:00:00,Clay,56,5415410,€,MS029,R32,01:43:00,,F,2,S0AG,"7-5,6-3",J. Sinner,E. Ruusuvuori,,,ITA,FIN,7-5,6-3,,,,01:43:00,A,J. Sinner,E. Ruusuvuori,ITA,FIN,,,249,/en/stats/leaderboard?page=serve,3,3,54,41,76,66,27,41,49,17,35,75,6,8,10,222,/en/stats/leaderboard?page=serve,6,2,75,45,60,64,29,45,33,5,15,50,5,10,11,58,44,76,43,26,60,51,70,136,57,34,60,42,32,76,49,66,136,,,01:43:00,01:43:00,,,,,S0AG,RH24
410,2022,ATP Masters 1000 Monte-Carlo,1000,2022-04-10T00:00:00,2022-04-17T00:00:00,Clay,56,5415410,€,MS030,R32,01:41:00,,F,3,CD85,"4-6,7-6(7),4-3",P. Carreno Busta,A. Bublik,,,ESP,KAZ,4-6,7-6(7),4-3,,,01:41:00,A,P. Carreno Busta,A. Bublik,ESP,KAZ,,,298,/en/stats/leaderboard?page=serve,2,2,68,55,81,64,35,55,81,21,26,50,2,4,14,278,/en/stats/leaderboard?page=serve,7,11,59,55,93,76,42,55,53,20,38,50,2,4,15,69,56,81,33,31,93,50,87,174,67,62,93,31,25,81,50,87,174,7,3,01:41:00,01:41:00,,,,,CD85,BK92
410,2022,ATP Masters 1000 Monte-Carlo,1000,2022-04-10T00:00:00,2022-04-17T00:00:00,Clay,56,5415410,€,MS031,R32,01:27:00,,F,2,Z355,"6-1,7-5",A. Zverev,F. Delbonis,,,GER,ARG,6-1,7-5,,,,01:27:00,A,A. Zverev,F. Delbonis,GER,ARG,,,267,/en/stats/leaderboard?page=serve,1,4,66,37,56,68,25,37,53,10,19,50,2,4,9,195,/en/stats/leaderboard?page=serve,4,2,63,41,65,44,18,41,50,12,24,45,5,11,10,63,35,56,54,35,65,58,70,121,46,30,65,38,21,56,42,51,121,,,01:27:00,01:27:00,,,,,Z355,D874
