event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
419,1996,Indianapolis,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Hard,56,915000,$,MS001,F,01:18:00,,F,2,S402,"7-6(7),7-5",P. Sampras,G. Ivanisevic,,,USA,CRO,7-6(7),7-5,,,,01:18:00,7,3,284,/en/stats/leaderboard?page=serve,4,8,55,34,62,88,30,34,54,15,28,33,1,3,12,264,/en/stats/leaderboard?page=serve,5,15,49,35,71,77,27,35,53,19,36,57,4,7,12,73,45,62,35,25,71,53,70,133,65,46,71,27,17,62,47,63,133,A,,,,,,P. Sampras,G. Ivanisevic,S402,I034,USA,CRO,,
419,1996,Indianapolis,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Hard,56,915000,$,MS002,SF,01:07:00,,F,2,S402,"6-1,6-4",P. Sampras,B. Ulihrach,,,USA,CZE,6-1,6-4,,,,01:07:00,,,289,/en/stats/leaderboard?page=serve,2,6,65,33,51,76,25,33,56,10,18,50,1,2,9,207,/en/stats/leaderboard?page=serve,1,5,51,29,57,59,17,29,43,12,28,50,4,8,8,69,35,51,49,28,57,58,63,108,51,29,57,31,16,51,42,45,108,A,,,,,,P. Sampras,B. Ulihrach,S402,U032,USA,CZE,,
419,1996,Indianapolis,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Hard,56,915000,$,MS003,SF,01:08:00,,F,2,I034,"6-2,6-4",G. Ivanisevic,T. Martin,,,CRO,USA,6-2,6-4,,,,01:08:00,,,285,/en/stats/leaderboard?page=serve,3,11,45,24,53,96,23,24,59,17,29,,0,,9,234,/en/stats/leaderboard?page=serve,2,8,50,34,68,74,25,34,38,13,34,50,3,6,9,75,40,53,44,30,68,58,70,121,56,38,68,25,13,53,42,51,121,A,,,,,,G. Ivanisevic,T. Martin,I034,M442,CRO,USA,,
419,1996,Indianapolis,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Hard,56,915000,$,MS004,QF,01:00:00,,F,2,S402,"6-3,6-4",P. Sampras,T. Haas,,,USA,GER,6-3,6-4,,,,01:00:00,,,224,/en/stats/leaderboard?page=serve,2,11,71,37,52,84,31,37,60,9,15,0,0,,10,249,/en/stats/leaderboard?page=serve,3,3,42,22,52,73,16,22,57,17,30,33,1,3,9,77,40,52,37,19,52,57,59,104,63,33,52,23,12,52,43,45,104,A,,,,,,P. Sampras,T. Haas,S402,H355,USA,GER,,
419,1996,Indianapolis,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Hard,56,915000,$,MS005,QF,01:30:00,,F,2,U032,"6-4,7-5",B. Ulihrach,A. Corretja,,,CZE,ESP,6-4,7-5,,,,01:30:00,,,274,/en/stats/leaderboard?page=serve,2,1,46,27,59,67,18,27,72,23,32,0,0,1,11,245,/en/stats/leaderboard?page=serve,2,3,58,45,78,69,31,45,45,15,33,63,5,8,11,69,41,59,41,32,78,53,73,137,59,46,78,31,18,59,47,64,137,A,,,,,,B. Ulihrach,A. Corretja,U032,C344,CZE,ESP,,
419,1996,Indianapolis,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Hard,56,915000,$,MS006,QF,01:53:00,,F,3,M442,"6-3,1-6,7-6(7)",T. Martin,T. Enqvist,,,USA,SWE,6-3,1-6,7-6(7),,,01:53:00,,,259,/en/stats/leaderboard?page=serve,3,11,59,52,88,71,37,52,50,18,36,60,6,10,14,253,/en/stats/leaderboard?page=serve,10,11,53,51,97,75,38,51,46,21,46,70,7,10,14,63,55,88,39,38,97,50,93,185,61,59,97,38,33,88,50,92,185,A,7,3,,,,T. Martin,T. Enqvist,M442,E113,USA,SWE,,
419,1996,Indianapolis,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Hard,56,915000,$,MS007,QF,02:17:00,,F,3,I034,"6-7(5),7-6(7),6-2",G. Ivanisevic,L. Roux,,,CRO,FRA,6-7(5),7-6(7),6-2,,,02:17:00,5,7,262,/en/stats/leaderboard?page=serve,11,21,47,45,96,91,41,45,39,20,51,43,3,7,16,232,/en/stats/leaderboard?page=serve,2,5,59,67,114,61,41,67,47,22,47,50,6,12,16,64,61,96,45,51,114,53,112,210,55,63,114,36,35,96,47,98,210,A,,,7,5,,G. Ivanisevic,L. Roux,I034,R280,CRO,FRA,,
419,1996,Indianapolis,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Hard,56,915000,$,MS008,R16,01:04:00,,F,2,S402,"6-1,6-2",P. Sampras,M. Ondruska,,,USA,RSA,6-1,6-2,,,,01:04:00,,,276,/en/stats/leaderboard?page=serve,1,5,39,18,46,89,16,18,57,16,28,0,0,1,8,160,/en/stats/leaderboard?page=serve,4,2,54,27,50,63,17,27,17,4,23,69,11,16,7,70,32,46,58,29,50,64,61,96,42,21,50,30,14,46,36,35,96,A,,,,,,P. Sampras,M. Ondruska,S402,O098,USA,RSA,,
419,1996,Indianapolis,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Hard,56,915000,$,MS009,R16,01:24:00,,F,2,H355,"7-6(7),6-2",T. Haas,M. Woodforde,,,GER,AUS,7-6(7),6-2,,,,01:24:00,7,3,296,/en/stats/leaderboard?page=serve,2,4,67,46,69,72,33,46,65,15,23,86,6,7,10,239,/en/stats/leaderboard?page=serve,5,7,43,29,67,79,23,29,45,17,38,40,2,5,10,70,48,69,40,27,67,55,75,136,60,40,67,30,21,69,45,61,136,A,,,,,,T. Haas,M. Woodforde,H355,W035,GER,AUS,,
419,1996,Indianapolis,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Hard,56,915000,$,MS010,R16,01:03:00,,F,2,U032,"6-2,6-2",B. Ulihrach,D. Nestor,,,CZE,CAN,6-2,6-2,,,,01:03:00,,,216,/en/stats/leaderboard?page=serve,2,3,56,33,59,76,25,33,58,15,26,,0,,8,199,/en/stats/leaderboard?page=serve,5,3,45,23,51,74,17,23,32,9,28,33,2,6,8,68,40,59,49,25,51,59,65,110,51,26,51,32,19,59,41,45,110,A,,,,,,B. Ulihrach,D. Nestor,U032,N210,CZE,CAN,,
