event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
419,1998,Indianapolis,CS,1998-08-17T00:00:00,1998-08-23T00:00:00,Hard,56,915000,$,MS001,F,01:58:00,,F,3,C344,"2-6,6-2,6-3",A. Corretja,A. Agassi,,,ESP,USA,2-6,6-2,6-3,,,01:58:00,261,/en/stats/leaderboard?page=serve,5,7,52,47,90,72,34,47,51,22,43,71,5,7,13,260,/en/stats/leaderboard?page=serve,5,2,68,50,74,66,33,50,54,13,24,50,3,6,12,62,56,90,38,28,74,51,84,164,62,46,74,38,34,90,49,80,164,A,,,,,,,,,A. Corretja,A. Agassi,C344,A092,ESP,USA,,
419,1998,Indianapolis,CS,1998-08-17T00:00:00,1998-08-23T00:00:00,Hard,56,915000,$,MS002,SF,01:44:00,,F,2,A092,"7-6(8),6-3",A. Agassi,R. Delgado,,,USA,PAR,7-6(8),6-3,,,,01:44:00,284,/en/stats/leaderboard?page=serve,4,7,67,57,85,70,40,57,54,15,28,90,9,10,11,258,/en/stats/leaderboard?page=serve,1,9,56,45,81,67,30,45,47,17,36,80,8,10,10,65,55,85,42,34,81,54,89,166,58,47,81,35,30,85,46,77,166,A,8,6,,,,,,,A. Agassi,R. Delgado,A092,D316,USA,PAR,,
419,1998,Indianapolis,CS,1998-08-17T00:00:00,1998-08-23T00:00:00,Hard,56,915000,$,MS003,SF,01:32:00,,F,2,C344,"6-2,7-6(7)",A. Corretja,T. Martin,,,ESP,USA,6-2,7-6(7),,,,01:32:00,286,/en/stats/leaderboard?page=serve,2,8,56,39,70,79,31,39,55,17,31,80,4,5,10,241,/en/stats/leaderboard?page=serve,3,4,56,32,57,66,21,32,48,12,25,40,2,5,10,69,48,70,42,24,57,57,72,127,58,33,57,31,22,70,43,55,127,A,,,7,4,,,,,A. Corretja,T. Martin,C344,M442,ESP,USA,,
419,1998,Indianapolis,CS,1998-08-17T00:00:00,1998-08-23T00:00:00,Hard,56,915000,$,MS004,QF,01:35:00,,F,3,D316,"6-1,2-6,6-4",R. Delgado,B. Black,,,PAR,ZIM,6-1,2-6,6-4,,,01:35:00,269,/en/stats/leaderboard?page=serve,5,16,52,48,92,77,37,48,45,20,44,67,4,6,13,245,/en/stats/leaderboard?page=serve,3,4,44,28,63,71,20,28,54,19,35,0,0,3,12,62,57,92,38,24,63,52,81,155,62,39,63,38,35,92,48,74,155,A,,,,,,,,,R. Delgado,B. Black,D316,B397,PAR,ZIM,,
419,1998,Indianapolis,CS,1998-08-17T00:00:00,1998-08-23T00:00:00,Hard,56,915000,$,MS005,QF,00:54:00,,F,2,A092,"6-2,6-1",A. Agassi,W. Ferreira,,,USA,RSA,6-2,6-1,,,,00:54:00,291,/en/stats/leaderboard?page=serve,,1,71,30,42,73,22,30,75,9,12,,0,,7,176,/en/stats/leaderboard?page=serve,3,3,37,19,51,68,13,19,34,11,32,44,4,9,8,74,31,42,53,27,51,62,58,93,47,24,51,26,11,42,38,35,93,A,,,,,False,,,,A. Agassi,W. Ferreira,A092,F196,USA,RSA,,
419,1998,Indianapolis,CS,1998-08-17T00:00:00,1998-08-23T00:00:00,Hard,56,915000,$,MS006,QF,01:06:00,,F,2,C344,"6-4,6-3",A. Corretja,G. Rusedski,,,ESP,GBR,6-4,6-3,,,,01:06:00,239,/en/stats/leaderboard?page=serve,1,4,71,35,49,86,30,35,79,11,14,0,0,,10,257,/en/stats/leaderboard?page=serve,2,5,55,30,55,70,21,30,52,13,25,75,6,8,9,84,41,49,38,21,55,60,62,104,62,34,55,16,8,49,40,42,104,A,,,,,,,,,A. Corretja,G. Rusedski,C344,R237,ESP,GBR,,
419,1998,Indianapolis,CS,1998-08-17T00:00:00,1998-08-23T00:00:00,Hard,56,915000,$,MS007,QF,02:06:00,,F,2,M442,"7-6(7),7-6(13)",T. Martin,H. Arazi,,,USA,MAR,7-6(7),7-6(13),,,,02:06:00,279,/en/stats/leaderboard?page=serve,8,7,54,50,92,78,39,50,57,24,42,50,1,2,12,269,/en/stats/leaderboard?page=serve,6,4,64,68,106,69,47,68,47,18,38,86,6,7,12,68,63,92,39,41,106,53,104,198,61,65,106,32,29,92,47,94,198,A,7,4,13,11,,,,,T. Martin,H. Arazi,M442,A226,USA,MAR,,
419,1998,Indianapolis,CS,1998-08-17T00:00:00,1998-08-23T00:00:00,Hard,56,915000,$,MS008,R16,01:53:00,,F,3,B397,"5-7,6-1,7-5",B. Black,M. Rios,,,ZIM,CHI,5-7,6-1,7-5,,,01:53:00,274,/en/stats/leaderboard?page=serve,3,4,48,40,84,75,30,40,64,28,44,50,2,4,15,240,/en/stats/leaderboard?page=serve,5,8,62,59,95,63,37,59,44,16,36,55,6,11,16,69,58,84,44,42,95,56,100,179,56,53,95,31,26,84,44,79,179,A,,,,,,,,,B. Black,M. Rios,B397,R286,ZIM,CHI,,
419,1998,Indianapolis,CS,1998-08-17T00:00:00,1998-08-23T00:00:00,Hard,56,915000,$,MS009,R16,01:26:00,,F,2,D316,"7-5,7-5",R. Delgado,B. MacPhie,,,PAR,USA,7-5,7-5,,,,01:26:00,274,/en/stats/leaderboard?page=serve,4,8,54,45,84,69,31,45,56,22,39,83,5,6,12,270,/en/stats/leaderboard?page=serve,4,11,64,47,74,72,34,47,52,14,27,57,4,7,12,63,53,84,35,26,74,50,79,158,65,48,74,37,31,84,50,79,158,A,,,,,,,,,R. Delgado,B. MacPhie,D316,M448,PAR,USA,,
419,1998,Indianapolis,CS,1998-08-17T00:00:00,1998-08-23T00:00:00,Hard,56,915000,$,MS010,R16,02:31:00,,F,3,F196,"3-6,7-5,7-6(12)",W. Ferreira,J. Stoltenberg,,,RSA,AUS,3-6,7-5,7-6(12),,,02:31:00,232,/en/stats/leaderboard?page=serve,3,5,50,54,109,74,40,54,44,24,55,57,8,14,16,217,/en/stats/leaderboard?page=serve,11,2,50,65,131,71,46,65,41,27,66,67,12,18,17,59,64,109,44,58,131,51,122,240,56,73,131,41,45,109,49,118,240,A,,,,,,12,10,,W. Ferreira,J. Stoltenberg,F196,S331,RSA,AUS,,
419,1998,Indianapolis,CS,1998-08-17T00:00:00,1998-08-23T00:00:00,Hard,56,915000,$,MS011,R16,01:54:00,,F,3,A092,"7-6(7),3-6,6-1",A. Agassi,W. Black,,,USA,ZIM,7-6(7),3-6,6-1,,,01:54:00,257,/en/stats/leaderboard?page=serve,7,2,57,59,103,81,48,59,39,17,44,71,5,7,14,266,/en/stats/leaderboard?page=serve,3,4,67,60,89,68,41,60,52,15,29,40,2,5,14,63,65,103,37,33,89,51,98,192,63,56,89,37,38,103,49,94,192,A,7,4,,,,,,,A. Agassi,W. Black,A092,B499,USA,ZIM,,
419,1998,Indianapolis,CS,1998-08-17T00:00:00,1998-08-23T00:00:00,Hard,56,915000,$,MS012,R16,01:54:00,,F,3,C344,"4-6,6-4,6-3",A. Corretja,M. Philippoussis,,,ESP,AUS,4-6,6-4,6-3,,,01:54:00,293,/en/stats/leaderboard?page=serve,4,5,62,53,86,85,45,53,52,17,33,0,0,1,15,274,/en/stats/leaderboard?page=serve,5,11,61,54,89,76,41,54,46,16,35,75,6,8,14,72,62,86,36,32,89,54,94,175,64,57,89,28,24,86,46,81,175,A,,,,,,,,,A. Corretja,M. Philippoussis,C344,P338,ESP,AUS,,
419,1998,Indianapolis,CS,1998-08-17T00:00:00,1998-08-23T00:00:00,Hard,56,915000,$,MS013,R16,01:30:00,,F,2,R237,"6-1,7-6(8)",G. Rusedski,F. Clavet,,,GBR,ESP,6-1,7-6(8),,,,01:30:00,286,/en/stats/leaderboard?page=serve,3,4,61,39,64,82,32,39,52,13,25,50,1,2,10,243,/en/stats/leaderboard?page=serve,,2,72,58,81,60,35,58,43,10,23,63,5,8,9,70,45,64,44,36,81,56,81,145,56,45,81,30,19,64,44,64,145,A,,,8,6,,,,False,G. Rusedski,F. Clavet,R237,C252,GBR,ESP,,
419,1998,Indianapolis,CS,1998-08-17T00:00:00,1998-08-23T00:00:00,Hard,56,915000,$,MS014,R16,01:10:00,,F,2,A226,"6-3,6-2",H. Arazi,D. Wheaton,,,MAR,USA,6-3,6-2,,,,01:10:00,283,/en/stats/leaderboard?page=serve,2,7,66,38,58,74,28,38,50,10,20,75,3,4,9,190,/en/stats/leaderboard?page=serve,9,3,45,25,55,68,17,25,33,10,30,56,5,9,8,66,38,58,51,28,55,58,66,113,49,27,55,34,20,58,42,47,113,A,,,,,,,,,H. Arazi,D. Wheaton,A226,W123,MAR,USA,,
419,1998,Indianapolis,CS,1998-08-17T00:00:00,1998-08-23T00:00:00,Hard,56,915000,$,MS015,R16,01:24:00,,F,2,M442,"6-1,7-6(7)",T. Martin,T. Johansson,,,USA,SWE,6-1,7-6(7),,,,01:24:00,301,/en/stats/leaderboard?page=serve,3,7,67,40,60,85,34,40,55,11,20,0,0,1,10,228,/en/stats/leaderboard?page=serve,7,5,39,26,67,81,21,26,44,18,41,67,6,9,9,75,45,60,42,28,67,57,73,127,58,39,67,25,15,60,43,54,127,A,,,7,5,,,,,T. Martin,T. Johansson,M442,J129,USA,SWE,,
419,1998,Indianapolis,CS,1998-08-17T00:00:00,1998-08-23T00:00:00,Hard,56,915000,$,MS016,R32,01:07:00,,F,2,R286,"6-4,6-4",M. Rios,B. Bryan,,,CHI,USA,6-4,6-4,,,,01:07:00,292,/en/stats/leaderboard?page=serve,3,9,50,27,54,93,25,27,63,17,27,,0,,10,261,/en/stats/leaderboard?page=serve,3,5,56,35,63,66,23,35,57,16,28,71,5,7,10,78,42,54,38,24,63,56,66,117,62,39,63,22,12,54,44,51,117,A,,,,,,,,,M. Rios,B. Bryan,R286,B588,CHI,USA,,
419,1998,Indianapolis,CS,1998-08-17T00:00:00,1998-08-23T00:00:00,Hard,56,915000,$,MS017,R32,01:38:00,,F,2,B397,"7-6(7),6-4",B. Black,G. Pozzi,,,ZIM,ITA,7-6(7),6-4,,,,01:38:00,234,/en/stats/leaderboard?page=serve,1,3,59,47,80,49,23,47,61,20,33,50,4,8,11,194,/en/stats/leaderboard?page=serve,4,3,33,22,67,68,15,22,40,18,45,38,3,8,11,54,43,80,51,34,67,52,77,147,49,33,67,46,37,80,48,70,147,A,7,1,,,,,,,B. Black,G. Pozzi,B397,P045,ZIM,ITA,,
419,1998,Indianapolis,CS,1998-08-17T00:00:00,1998-08-23T00:00:00,Hard,56,915000,$,MS018,R32,01:14:00,,F,2,D316,"7-6(7),6-1",R. Delgado,C. Pioline,,,PAR,FRA,7-6(7),6-1,,,,01:14:00,259,/en/stats/leaderboard?page=serve,3,12,54,38,70,82,31,38,34,11,32,50,2,4,10,195,/en/stats/leaderboard?page=serve,2,1,35,17,49,47,8,17,59,19,32,43,3,7,9,60,42,70,45,22,49,54,64,119,55,27,49,40,28,70,46,55,119,A,7,3,,,,,,,R. Delgado,C. Pioline,D316,P226,PAR,FRA,,
419,1998,Indianapolis,CS,1998-08-17T00:00:00,1998-08-23T00:00:00,Hard,56,915000,$,MS019,R32,00:50:00,,F,2,M448,"6-1,6-4",B. MacPhie,A. Berasategui,,,USA,ESP,6-1,6-4,,,,00:50:00,253,/en/stats/leaderboard?page=serve,4,7,59,33,56,79,26,33,57,13,23,,0,,9,217,/en/stats/leaderboard?page=serve,7,0,60,27,45,63,17,27,39,7,18,25,1,4,8,70,39,56,47,21,45,59,60,101,53,24,45,30,17,56,41,41,101,A,,,,,,,,,B. MacPhie,A. Berasategui,M448,B428,USA,ESP,,
