event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_isstatbetter_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_tot_winner,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
422,1996,ATP Masters 1000 Cincinnati,1000,1996-08-05T00:00:00,1996-08-11T00:00:00,Hard,56,1950000,$,MS001,F,01:43:00,,F,2,A092,"7-6(7),6-4",A. Agassi,M. Chang,,,USA,USA,7-6(7),6-4,,,,01:43:00,7,4,274,/en/stats/leaderboard?page=serve,False,7,60,42,70,69,29,42,57,16,28,67,4,6,11,238,/en/stats/leaderboard?page=serve,3,5,46,39,85,77,30,39,41,19,46,67,6,9,11,64,45,70,42,36,85,52,81,155,58,49,85,36,25,70,48,74,155,A,,,,,,,A. Agassi,M. Chang,A092,C274,USA,USA,,
422,1996,ATP Masters 1000 Cincinnati,1000,1996-08-05T00:00:00,1996-08-11T00:00:00,Hard,56,1950000,$,MS002,SF,01:44:00,,F,3,C274,"6-1,2-6,6-2",M. Chang,T. Enqvist,,,USA,SWE,6-1,2-6,6-2,,,01:44:00,,,256,/en/stats/leaderboard?page=serve,,11,46,32,70,78,25,32,50,19,38,50,3,6,12,206,/en/stats/leaderboard?page=serve,3,4,46,34,74,62,21,34,43,17,40,58,7,12,11,63,44,70,49,36,74,56,80,144,51,38,74,37,26,70,44,64,144,A,4,,,,,,M. Chang,T. Enqvist,C274,E113,USA,SWE,,
422,1996,ATP Masters 1000 Cincinnati,1000,1996-08-05T00:00:00,1996-08-11T00:00:00,Hard,56,1950000,$,MS003,SF,01:03:00,,F,2,A092,"6-4,6-1",A. Agassi,T. Muster,,,USA,AUT,6-4,6-1,,,,01:03:00,,,312,/en/stats/leaderboard?page=serve,False,3,73,29,40,76,22,29,73,8,11,0,0,1,8,191,/en/stats/leaderboard?page=serve,4,3,53,32,60,59,19,32,36,10,28,55,6,11,9,75,30,40,52,31,60,61,61,100,48,29,60,25,10,40,39,39,100,A,,,,,,,A. Agassi,T. Muster,A092,M099,USA,AUT,,
422,1996,ATP Masters 1000 Cincinnati,1000,1996-08-05T00:00:00,1996-08-11T00:00:00,Hard,56,1950000,$,MS004,QF,00:58:00,,F,2,E113,"6-3,6-3",T. Enqvist,P. Sampras,,,SWE,USA,6-3,6-3,,,,00:58:00,,,296,/en/stats/leaderboard?page=serve,,18,66,35,53,83,29,35,44,8,18,0,0,1,9,220,/en/stats/leaderboard?page=serve,3,10,62,32,52,66,21,32,30,6,20,33,2,6,9,70,37,53,48,25,52,59,62,105,52,27,52,30,16,53,41,43,105,A,3,,,,,,T. Enqvist,P. Sampras,E113,S402,SWE,USA,,
422,1996,ATP Masters 1000 Cincinnati,1000,1996-08-05T00:00:00,1996-08-11T00:00:00,Hard,56,1950000,$,MS005,QF,01:16:00,,F,2,C274,"6-3,7-5",M. Chang,G. Ivanisevic,,,USA,CRO,6-3,7-5,,,,01:16:00,,,266,/en/stats/leaderboard?page=serve,,5,52,34,65,82,28,34,65,20,31,,0,,11,264,/en/stats/leaderboard?page=serve,5,12,67,38,57,89,34,38,21,4,19,60,3,5,10,74,48,65,33,19,57,55,67,122,67,38,57,26,17,65,45,55,122,A,1,,,,,,M. Chang,G. Ivanisevic,C274,I034,USA,CRO,,
422,1996,ATP Masters 1000 Cincinnati,1000,1996-08-05T00:00:00,1996-08-11T00:00:00,Hard,56,1950000,$,MS006,QF,01:48:00,,F,3,A092,"7-6(7),3-6,6-3",A. Agassi,Y. Kafelnikov,,,USA,RUS,7-6(7),3-6,6-3,,,01:48:00,7,1,249,/en/stats/leaderboard?page=serve,,4,68,59,87,56,33,59,57,16,28,0,0,5,15,234,/en/stats/leaderboard?page=serve,2,3,57,56,99,68,38,56,42,18,43,58,7,12,15,56,49,87,43,43,99,49,92,186,57,56,99,44,38,87,51,94,186,A,2,,,,,,A. Agassi,Y. Kafelnikov,A092,K267,USA,RUS,,
422,1996,ATP Masters 1000 Cincinnati,1000,1996-08-05T00:00:00,1996-08-11T00:00:00,Hard,56,1950000,$,MS007,QF,02:06:00,,F,2,M099,"7-6(7),7-6(16)",T. Muster,W. Ferreira,,,AUT,RSA,7-6(7),7-6(16),,,,02:06:00,7,4,284,/en/stats/leaderboard?page=serve,,3,56,49,88,80,39,49,56,22,39,,0,,12,176,/en/stats/leaderboard?page=serve,1,13,57,68,120,71,48,68,44,23,52,,0,,12,69,61,88,41,49,120,53,110,208,59,71,120,31,27,88,47,98,208,A,2,16,14,,,,T. Muster,W. Ferreira,M099,F196,AUT,RSA,,
422,1996,ATP Masters 1000 Cincinnati,1000,1996-08-05T00:00:00,1996-08-11T00:00:00,Hard,56,1950000,$,MS008,R16,02:56:00,,F,3,S402,"6-7(5),7-5,7-6(7)",P. Sampras,M. Woodforde,,,USA,AUS,6-7(5),7-5,7-6(7),,,02:56:00,5,7,285,/en/stats/leaderboard?page=serve,,16,57,72,126,86,62,72,46,25,54,80,8,10,18,277,/en/stats/leaderboard?page=serve,5,18,60,88,147,74,65,88,47,28,59,84,16,19,18,69,87,126,37,54,147,52,141,273,63,93,147,31,39,126,48,132,273,A,8,,,7,4,,P. Sampras,M. Woodforde,S402,W035,USA,AUS,,
422,1996,ATP Masters 1000 Cincinnati,1000,1996-08-05T00:00:00,1996-08-11T00:00:00,Hard,56,1950000,$,MS009,R16,01:21:00,,F,2,E113,"7-6(9),6-2",T. Enqvist,R. Krajicek,,,SWE,NED,7-6(9),6-2,,,,01:21:00,9,7,275,/en/stats/leaderboard?page=serve,,13,66,49,74,86,42,49,44,11,25,,0,,10,269,/en/stats/leaderboard?page=serve,5,11,54,37,69,76,28,37,53,17,32,60,3,5,10,72,53,74,35,24,69,54,77,143,65,45,69,28,21,74,46,66,143,A,4,,,,,,T. Enqvist,R. Krajicek,E113,K214,SWE,NED,,
422,1996,ATP Masters 1000 Cincinnati,1000,1996-08-05T00:00:00,1996-08-11T00:00:00,Hard,56,1950000,$,MS010,R16,01:28:00,,F,2,C274,"7-6(7),6-2",M. Chang,C. Caratti,,,USA,ITA,7-6(7),6-2,,,,01:28:00,7,3,283,/en/stats/leaderboard?page=serve,,6,45,27,60,89,24,27,55,18,33,67,2,3,10,234,/en/stats/leaderboard?page=serve,1,0,54,37,69,73,27,37,38,12,32,0,0,3,10,70,42,60,43,30,69,56,72,129,57,39,69,30,18,60,44,57,129,A,2,,,,,,M. Chang,C. Caratti,C274,C270,USA,ITA,,
