event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_id_winner,player_id_loser
422,2010,ATP Masters 1000 Cincinnati,1000,2010-08-15T00:00:00,2010-08-22T00:00:00,Hard,56,2430000,$,MS001,F,02:40:00,,F,3,F324,"6-7(5),7-6(7),6-4",R. Federer,M. Fish,,,SUI,USA,6-7(5),7-6(7),6-4,,,02:40:00,A,R. Federer,M. Fish,SUI,USA,,,5.0,7.0,7.0,1.0,319,/en/stats/leaderboard?page=serve,1,11,64,70,110,77,54,70,68,27,40,100,1,1,17,293,/en/stats/leaderboard?page=serve,3,17,56,72,128,72,52,72,57,32,56,80,4,5,17,74,81,110,34,44,128,53,125,238,66,84,128,26,29,110,47,113,238,,,F324,F339
422,2010,ATP Masters 1000 Cincinnati,1000,2010-08-15T00:00:00,2010-08-22T00:00:00,Hard,56,2430000,$,MS002,SF,01:11:00,,F,2,F324,"6-4,6-3",R. Federer,M. Baghdatis,,,SUI,CYP,6-4,6-3,,,,01:11:00,A,R. Federer,M. Baghdatis,SUI,CYP,,,,,,,316,/en/stats/leaderboard?page=serve,2,7,59,30,51,90,27,30,62,13,21,0,0,0,10,234,/en/stats/leaderboard?page=serve,1,3,40,23,58,52,12,23,63,22,35,0,0,2,9,78,40,51,41,24,58,59,64,109,59,34,58,22,11,51,41,45,109,,,F324,B837
422,2010,ATP Masters 1000 Cincinnati,1000,2010-08-15T00:00:00,2010-08-22T00:00:00,Hard,56,2430000,$,MS003,SF,02:16:00,,F,3,F339,"4-6,7-6(7),6-1",M. Fish,A. Roddick,,,USA,USA,4-6,7-6(7),6-1,,,02:16:00,A,M. Fish,A. Roddick,USA,USA,,,,,7.0,3.0,284,/en/stats/leaderboard?page=serve,6,17,46,43,93,91,39,43,50,25,50,50,2,4,15,260,/en/stats/leaderboard?page=serve,4,11,60,61,101,67,41,61,48,19,40,63,5,8,14,69,64,93,41,41,101,54,105,194,59,60,101,31,29,93,46,89,194,,,F339,R485
422,2010,ATP Masters 1000 Cincinnati,1000,2010-08-15T00:00:00,2010-08-22T00:00:00,Hard,56,2430000,$,MS004,QF,02:32:00,,F,3,B837,"6-4,4-6,6-4",M. Baghdatis,R. Nadal,,,CYP,ESP,6-4,4-6,6-4,,,02:32:00,A,M. Baghdatis,R. Nadal,CYP,ESP,,,,,,,291,/en/stats/leaderboard?page=serve,4,18,62,54,87,87,47,54,42,14,33,75,6,8,15,264,/en/stats/leaderboard?page=serve,3,4,62,60,97,72,43,60,49,18,37,57,4,7,15,70,61,87,37,36,97,53,97,184,63,61,97,30,26,87,47,87,184,,,B837,N409
422,2010,ATP Masters 1000 Cincinnati,1000,2010-08-15T00:00:00,2010-08-22T00:00:00,Hard,56,2430000,$,MS005,QF,01:39:00,,F,2,F324,"6-4,7-5",R. Federer,N. Davydenko,,,SUI,RUS,6-4,7-5,,,,01:39:00,A,R. Federer,N. Davydenko,SUI,RUS,,,,,,,284,/en/stats/leaderboard?page=serve,1,12,58,41,71,78,32,41,47,14,30,75,3,4,11,254,/en/stats/leaderboard?page=serve,1,5,64,54,84,54,29,54,60,18,30,73,8,11,11,65,46,71,44,37,84,54,83,155,56,47,84,35,25,71,46,72,155,,,F324,D402
422,2010,ATP Masters 1000 Cincinnati,1000,2010-08-15T00:00:00,2010-08-22T00:00:00,Hard,56,2430000,$,MS006,QF,02:56:00,,F,3,F339,"6-7(7),6-1,7-6(7)",M. Fish,A. Murray,,,USA,GBR,6-7(7),6-1,7-6(7),,,02:56:00,A,M. Fish,A. Murray,USA,GBR,,,7.0,9.0,,,297,/en/stats/leaderboard?page=serve,1,13,53,64,120,78,50,64,54,30,56,100,4,4,15,271,/en/stats/leaderboard?page=serve,2,8,56,60,108,70,42,60,58,28,48,63,5,8,16,67,80,120,35,38,108,52,118,228,65,70,108,33,40,120,48,110,228,7.0,5.0,F339,MC10
422,2010,ATP Masters 1000 Cincinnati,1000,2010-08-15T00:00:00,2010-08-22T00:00:00,Hard,56,2430000,$,MS007,QF,01:23:00,,F,2,R485,"6-4,7-5",A. Roddick,N. Djokovic,,,USA,SRB,6-4,7-5,,,,01:23:00,A,A. Roddick,N. Djokovic,USA,SRB,,,,,,,288,/en/stats/leaderboard?page=serve,4,8,57,35,61,83,29,35,54,14,26,67,2,3,11,258,/en/stats/leaderboard?page=serve,2,5,60,37,62,59,22,37,64,16,25,50,3,6,11,70,43,61,39,24,62,54,67,123,61,38,62,30,18,61,46,56,123,,,R485,D643
422,2010,ATP Masters 1000 Cincinnati,1000,2010-08-15T00:00:00,2010-08-22T00:00:00,Hard,56,2430000,$,MS008,R16,02:48:00,,F,3,N409,"5-7,7-6(8),6-2",R. Nadal,J. Benneteau,,,ESP,FRA,5-7,7-6(8),6-2,,,02:48:00,A,R. Nadal,J. Benneteau,ESP,FRA,,,,,8.0,6.0,249,/en/stats/leaderboard?page=serve,3,5,60,65,108,72,47,65,47,20,43,58,7,12,16,231,/en/stats/leaderboard?page=serve,10,12,59,60,102,65,39,60,43,18,42,54,7,13,16,62,67,108,44,45,102,53,112,210,56,57,102,38,41,108,47,98,210,,,N409,B747
422,2010,ATP Masters 1000 Cincinnati,1000,2010-08-15T00:00:00,2010-08-22T00:00:00,Hard,56,2430000,$,MS009,R16,02:01:00,,F,2,B837,"7-5,6-4",M. Baghdatis,T. Berdych,,,CYP,CZE,7-5,6-4,,,,02:01:00,A,M. Baghdatis,T. Berdych,CYP,CZE,,,,,,,292,/en/stats/leaderboard?page=serve,3,10,48,36,75,83,30,36,54,21,39,100,3,3,11,258,/en/stats/leaderboard?page=serve,3,6,58,46,80,78,36,46,38,13,34,83,10,12,11,68,51,75,39,31,80,53,82,155,61,49,80,32,24,75,47,73,155,,,B837,BA47
422,2010,ATP Masters 1000 Cincinnati,1000,2010-08-15T00:00:00,2010-08-22T00:00:00,Hard,56,2430000,$,MS011,R16,02:17:00,,F,3,D402,"4-6,6-3,7-5",N. Davydenko,D. Ferrer,,,RUS,ESP,4-6,6-3,7-5,,,02:17:00,A,N. Davydenko,D. Ferrer,RUS,ESP,,,,,,,240,/en/stats/leaderboard?page=serve,2,4,62,59,95,69,41,59,39,14,36,50,5,10,16,229,/en/stats/leaderboard?page=serve,2,3,63,56,89,57,32,56,48,16,33,33,3,9,15,58,55,95,46,41,89,52,96,184,54,48,89,42,40,95,48,88,184,,,D402,F401
422,2010,ATP Masters 1000 Cincinnati,1000,2010-08-15T00:00:00,2010-08-22T00:00:00,Hard,56,2430000,$,MS012,R16,01:10:00,,F,2,F339,"7-5,6-2",M. Fish,R. Gasquet,,,USA,FRA,7-5,6-2,,,,01:10:00,A,M. Fish,R. Gasquet,USA,FRA,,,,,,,340,/en/stats/leaderboard?page=serve,2,18,67,32,48,94,30,32,63,10,16,0,0,0,10,264,/en/stats/leaderboard?page=serve,1,3,63,34,54,59,20,34,70,14,20,50,3,6,10,83,40,48,37,20,54,59,60,102,63,34,54,17,8,48,41,42,102,,,F339,G628
422,2010,ATP Masters 1000 Cincinnati,1000,2010-08-15T00:00:00,2010-08-22T00:00:00,Hard,56,2430000,$,MS013,R16,02:34:00,,F,3,MC10,"4-6,6-3,7-6(7)",A. Murray,E. Gulbis,,,GBR,LAT,4-6,6-3,7-6(7),,,02:34:00,A,A. Murray,E. Gulbis,GBR,LAT,,,,,,,270,/en/stats/leaderboard?page=serve,1,3,62,66,107,79,52,66,46,19,41,67,6,9,16,263,/en/stats/leaderboard?page=serve,7,7,58,56,96,77,43,56,48,19,40,50,3,6,15,66,71,107,35,34,96,52,105,203,65,62,96,34,36,107,48,98,203,7.0,4.0,MC10,G858
422,2010,ATP Masters 1000 Cincinnati,1000,2010-08-15T00:00:00,2010-08-22T00:00:00,Hard,56,2430000,$,MS014,R16,02:44:00,,F,3,R485,"6-4,6-7(7),7-6(7)",A. Roddick,R. Soderling,,,USA,SWE,6-4,6-7(7),7-6(7),,,02:44:00,A,A. Roddick,R. Soderling,USA,SWE,,,,,7.0,9.0,319,/en/stats/leaderboard?page=serve,4,26,60,64,107,80,51,64,63,27,43,0,0,1,17,277,/en/stats/leaderboard?page=serve,8,15,57,79,139,73,58,79,52,31,60,83,10,12,17,73,78,107,36,50,139,52,128,246,64,89,139,27,29,107,48,118,246,7.0,5.0,R485,SA49
422,2010,ATP Masters 1000 Cincinnati,1000,2010-08-15T00:00:00,2010-08-22T00:00:00,Hard,56,2430000,$,MS015,R16,01:37:00,,F,2,D643,"6-1,7-6(9)",N. Djokovic,D. Nalbandian,,,SRB,ARG,6-1,7-6(9),,,,01:37:00,A,N. Djokovic,D. Nalbandian,SRB,ARG,,,,,9.0,7.0,247,/en/stats/leaderboard?page=serve,3,2,67,46,69,72,33,46,39,9,23,63,5,8,10,201,/en/stats/leaderboard?page=serve,5,3,69,43,62,58,25,43,32,6,19,17,1,6,9,61,42,69,50,31,62,56,73,131,50,31,62,39,27,69,44,58,131,,,D643,N301
422,2010,ATP Masters 1000 Cincinnati,1000,2010-08-15T00:00:00,2010-08-22T00:00:00,Hard,56,2430000,$,MS016,R32,01:24:00,,F,2,N409,"6-2,7-5",R. Nadal,T. Dent,,,ESP,USA,6-2,7-5,,,,01:24:00,A,R. Nadal,T. Dent,ESP,USA,,,,,,,282,/en/stats/leaderboard?page=serve,1,0,65,36,55,75,27,36,53,10,19,50,1,2,10,224,/en/stats/leaderboard?page=serve,4,7,61,44,72,68,30,44,32,9,28,33,2,6,10,67,37,55,46,33,72,55,70,127,54,39,72,33,18,55,45,57,127,,,N409,D362
422,2010,ATP Masters 1000 Cincinnati,1000,2010-08-15T00:00:00,2010-08-22T00:00:00,Hard,56,2430000,$,MS017,R32,01:11:00,,F,2,B747,"6-4,6-2",J. Benneteau,S. Wawrinka,,,FRA,SUI,6-4,6-2,,,,01:11:00,A,J. Benneteau,S. Wawrinka,FRA,SUI,,,,,,,299,/en/stats/leaderboard?page=serve,2,6,65,40,62,75,30,40,55,12,22,100,3,3,9,239,/en/stats/leaderboard?page=serve,3,4,52,25,48,68,17,25,52,12,23,57,4,7,9,68,42,62,40,19,48,55,61,110,60,29,48,32,20,62,45,49,110,,,B747,W367
