event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set3_winner,tiebreak_set3_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
429,1996,Stockholm,GP,1996-11-04T00:00:00,1996-11-10T00:00:00,Hard,32,800000,$,MS001,F,02:09:00,,F,3,E113,"7-5,6-4,7-6(7)",T. Enqvist,T. Martin,,,SWE,USA,7-5,6-4,7-6(7),,,02:09:00,7,0,304,/en/stats/leaderboard?page=serve,3,14,60,54,90,87,47,54,58,21,36,33,1,3,17,264,/en/stats/leaderboard?page=serve,5,21,60,73,122,71,52,73,41,20,49,71,10,14,17,76,68,90,41,50,122,56,118,212,59,72,122,24,22,90,44,94,212,A,,,,,,,T. Enqvist,T. Martin,E113,M442,SWE,USA,,
429,1996,Stockholm,GP,1996-11-04T00:00:00,1996-11-10T00:00:00,Hard,32,800000,$,MS002,SF,01:43:00,,F,3,E113,"6-3,3-6,6-3",T. Enqvist,T. Johansson,,,SWE,SWE,6-3,3-6,6-3,,,01:43:00,,,284,/en/stats/leaderboard?page=serve,1,11,70,54,77,78,42,54,48,11,23,57,4,7,14,242,/en/stats/leaderboard?page=serve,4,10,51,48,94,73,35,48,43,20,46,69,9,13,13,69,53,77,41,39,94,54,92,171,59,55,94,31,24,77,46,79,171,A,,,,,,,T. Enqvist,T. Johansson,E113,J129,SWE,SWE,,
429,1996,Stockholm,GP,1996-11-04T00:00:00,1996-11-10T00:00:00,Hard,32,800000,$,MS003,SF,00:43:00,,F,2,M442,"6-3,3-0",T. Martin,M. Norman,,,USA,SWE,6-3,3-0,,,,00:43:00,,,299,/en/stats/leaderboard?page=serve,1,6,71,20,28,75,15,20,63,5,8,0,0,1,7,170,/en/stats/leaderboard?page=serve,6,2,50,21,42,67,14,21,24,5,21,43,3,7,6,71,20,28,55,23,42,61,43,70,45,19,42,29,8,28,39,27,70,A,,,,,,,T. Martin,M. Norman,M442,N250,USA,SWE,,
429,1996,Stockholm,GP,1996-11-04T00:00:00,1996-11-10T00:00:00,Hard,32,800000,$,MS004,QF,02:11:00,,F,3,J129,"6-7(5),6-3,7-6(8)",T. Johansson,G. Rusedski,,,SWE,GBR,6-7(5),6-3,7-6(8),,,02:11:00,8,6,292,/en/stats/leaderboard?page=serve,3,8,58,70,120,81,57,70,54,27,50,67,2,3,17,310,/en/stats/leaderboard?page=serve,1,30,64,65,101,77,50,65,53,19,36,33,1,3,16,70,84,120,32,32,101,52,116,221,68,69,101,30,36,120,48,105,221,A,5,7,,,,,T. Johansson,G. Rusedski,J129,R237,SWE,GBR,,
429,1996,Stockholm,GP,1996-11-04T00:00:00,1996-11-10T00:00:00,Hard,32,800000,$,MS005,QF,00:49:00,,F,2,E113,"6-2,6-0",T. Enqvist,P. Fredriksson,,,SWE,SWE,6-2,6-0,,,,00:49:00,,,302,/en/stats/leaderboard?page=serve,1,7,65,24,37,92,22,24,54,7,13,,0,,7,155,/en/stats/leaderboard?page=serve,3,2,42,19,45,63,12,19,23,6,26,55,6,11,7,78,29,37,60,27,45,68,56,82,40,18,45,22,8,37,32,26,82,A,,,,,,,T. Enqvist,P. Fredriksson,E113,F278,SWE,SWE,,
429,1996,Stockholm,GP,1996-11-04T00:00:00,1996-11-10T00:00:00,Hard,32,800000,$,MS006,QF,01:38:00,,F,2,N250,"6-3,7-6(9)",M. Norman,V. Spadea,,,SWE,USA,6-3,7-6(9),,,,01:38:00,,,292,/en/stats/leaderboard?page=serve,2,10,59,39,66,82,32,39,63,17,27,,0,,10,261,/en/stats/leaderboard?page=serve,,3,59,46,78,74,34,46,44,14,32,50,2,4,11,74,49,66,38,30,78,55,79,144,62,48,78,26,17,66,45,65,144,A,,,9,7,False,,M. Norman,V. Spadea,N250,S544,SWE,USA,,
429,1996,Stockholm,GP,1996-11-04T00:00:00,1996-11-10T00:00:00,Hard,32,800000,$,MS007,QF,01:01:00,,F,2,M442,"6-2,6-2",T. Martin,R. Reneberg,,,USA,USA,6-2,6-2,,,,01:01:00,,,295,/en/stats/leaderboard?page=serve,2,9,65,30,46,80,24,30,56,9,16,50,1,2,8,189,/en/stats/leaderboard?page=serve,1,4,62,42,68,52,22,42,35,9,26,64,9,14,8,72,33,46,54,37,68,61,70,114,46,31,68,28,13,46,39,44,114,A,,,,,,,T. Martin,R. Reneberg,M442,R016,USA,USA,,
429,1996,Stockholm,GP,1996-11-04T00:00:00,1996-11-10T00:00:00,Hard,32,800000,$,MS008,R16,00:55:00,,F,2,R237,"6-4,6-3",G. Rusedski,S. Stolle,,,GBR,AUS,6-4,6-3,,,,00:55:00,,,295,/en/stats/leaderboard?page=serve,4,9,56,29,52,79,23,29,65,15,23,67,2,3,10,238,/en/stats/leaderboard?page=serve,3,4,56,29,52,76,22,29,39,9,23,50,3,6,9,73,38,52,40,21,52,57,59,104,60,31,52,27,14,52,43,45,104,A,,,,,,,G. Rusedski,S. Stolle,R237,S443,GBR,AUS,,
429,1996,Stockholm,GP,1996-11-04T00:00:00,1996-11-10T00:00:00,Hard,32,800000,$,MS009,R16,00:55:00,,F,2,J129,"6-3,6-3",T. Johansson,F. Dewulf,,,SWE,BEL,6-3,6-3,,,,00:55:00,,,220,/en/stats/leaderboard?page=serve,,8,56,25,45,96,24,25,60,12,20,0,0,,9,247,/en/stats/leaderboard?page=serve,,2,65,36,55,61,22,36,53,10,19,40,2,5,9,80,36,45,42,23,55,59,59,100,58,32,55,20,9,45,41,41,100,A,,,,,False,False,T. Johansson,F. Dewulf,J129,D228,SWE,BEL,,
429,1996,Stockholm,GP,1996-11-04T00:00:00,1996-11-10T00:00:00,Hard,32,800000,$,MS010,R16,01:39:00,,F,2,E113,"7-6(7),7-6(7)",T. Enqvist,C. Woodruff,,,SWE,USA,7-6(7),7-6(7),,,,01:39:00,,,280,/en/stats/leaderboard?page=serve,3,7,59,49,83,69,34,49,65,22,34,33,1,3,12,275,/en/stats/leaderboard?page=serve,3,13,59,51,87,73,37,51,50,18,36,71,5,7,12,67,56,83,37,32,87,52,88,170,63,55,87,33,27,83,48,82,170,A,7,3,7,2,,,T. Enqvist,C. Woodruff,E113,W212,SWE,USA,,
