event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,settime_tot_winner,settime_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_id_winner,player_id_loser
429,2014,Stockholm,250,2014-10-13T00:00:00,2014-10-19T00:00:00,Hard,28,521405,€,MS001,F,02:21:00,,F,3,BA47,"5-7,6-4,6-4",T. Berdych,G. Dimitrov,,,CZE,BUL,5-7,6-4,6-4,,,02:21:00,A,T. Berdych,G. Dimitrov,CZE,BUL,,,291,/en/stats/leaderboard?page=serve,1,13,57,53,93,75,40,53,60,24,40,67,4,6,16,281,/en/stats/leaderboard?page=serve,3,8,70,72,103,64,46,72,61,19,31,63,5,8,16,69,64,93,37,38,103,52,102,196,63,65,103,31,29,93,48,94,196,02:21:00,02:21:00,,,,,,,BA47,D875
429,2014,Stockholm,250,2014-10-13T00:00:00,2014-10-19T00:00:00,Hard,28,521405,€,MS002,SF,01:26:00,,F,2,BA47,"7-6(9),6-4",T. Berdych,M. Bachinger,,,CZE,GER,7-6(9),6-4,,,,01:26:00,A,T. Berdych,M. Bachinger,CZE,GER,,,288,/en/stats/leaderboard?page=serve,1,9,67,44,66,77,34,44,55,12,22,50,2,4,11,256,/en/stats/leaderboard?page=serve,2,8,62,42,68,74,31,42,42,11,26,25,1,4,11,70,46,66,38,26,68,54,72,134,62,42,68,30,20,66,46,62,134,01:26:00,01:26:00,9,7,,,,,BA47,BC65
429,2014,Stockholm,250,2014-10-13T00:00:00,2014-10-19T00:00:00,Hard,28,521405,€,MS003,SF,01:19:00,,F,2,D875,"6-3,7-5",G. Dimitrov,B. Tomic,,,BUL,AUS,6-3,7-5,,,,01:19:00,A,G. Dimitrov,B. Tomic,BUL,AUS,,,285,/en/stats/leaderboard?page=serve,3,7,62,42,68,79,33,42,50,13,26,75,3,4,11,247,/en/stats/leaderboard?page=serve,1,4,63,40,63,68,27,40,43,10,23,25,1,4,10,68,46,68,41,26,63,55,72,131,59,37,63,32,22,68,45,59,131,01:19:00,01:19:00,,,,,,,D875,TA46
429,2014,Stockholm,250,2014-10-13T00:00:00,2014-10-19T00:00:00,Hard,28,521405,€,MS004,QF,01:07:00,,F,2,BA47,"6-2,6-2",T. Berdych,M. Copil,,,CZE,ROU,6-2,6-2,,,,01:07:00,A,T. Berdych,M. Copil,CZE,ROU,,,308,/en/stats/leaderboard?page=serve,4,8,51,24,47,92,22,24,61,14,23,100,3,3,8,217,/en/stats/leaderboard?page=serve,3,10,63,39,62,62,24,39,35,8,23,56,5,9,8,77,36,47,48,30,62,61,66,109,52,32,62,23,11,47,39,43,109,01:07:00,01:07:00,,,,,,,BA47,CA99
429,2014,Stockholm,250,2014-10-13T00:00:00,2014-10-19T00:00:00,Hard,28,521405,€,MS005,QF,01:42:00,,F,3,BC65,"4-6,6-1,6-4",M. Bachinger,A. Mannarino,,,GER,FRA,4-6,6-1,6-4,,,01:42:00,A,M. Bachinger,A. Mannarino,GER,FRA,,,293,/en/stats/leaderboard?page=serve,0,13,56,38,68,92,35,38,47,14,30,33,1,3,14,241,/en/stats/leaderboard?page=serve,4,4,67,58,87,64,37,58,41,12,29,43,3,7,13,72,49,68,44,38,87,56,87,155,56,49,87,28,19,68,44,68,155,01:42:00,01:42:00,,,,,,,BC65,ME82
429,2014,Stockholm,250,2014-10-13T00:00:00,2014-10-19T00:00:00,Hard,28,521405,€,MS006,QF,02:00:00,,F,3,TA46,"0-6,6-4,7-6(8)",B. Tomic,F. Verdasco,,,AUS,ESP,0-6,6-4,7-6(8),,,02:00:00,A,B. Tomic,F. Verdasco,AUS,ESP,,,249,/en/stats/leaderboard?page=serve,2,7,64,58,90,69,40,58,47,15,32,44,4,9,14,270,/en/stats/leaderboard?page=serve,4,10,68,66,97,70,46,66,48,15,31,50,3,6,14,61,55,90,37,36,97,49,91,187,63,61,97,39,35,90,51,96,187,02:00:00,02:00:00,,,8,6,,,TA46,V306
429,2014,Stockholm,250,2014-10-13T00:00:00,2014-10-19T00:00:00,Hard,28,521405,€,MS007,QF,01:59:00,,F,3,D875,"5-7,6-4,6-3",G. Dimitrov,J. Sock,,,BUL,USA,5-7,6-4,6-3,,,01:59:00,A,G. Dimitrov,J. Sock,BUL,USA,,,308,/en/stats/leaderboard?page=serve,2,5,71,65,92,78,51,65,63,17,27,86,6,7,16,285,/en/stats/leaderboard?page=serve,2,9,66,63,95,67,42,63,59,19,32,75,6,8,15,74,68,92,36,34,95,55,102,187,64,61,95,26,24,92,45,85,187,01:59:00,01:59:00,,,,,,,D875,SM25
429,2014,Stockholm,250,2014-10-13T00:00:00,2014-10-19T00:00:00,Hard,28,521405,€,MS008,R16,01:24:00,,F,2,BA47,"7-5,6-3",T. Berdych,D. Brown,,,CZE,JAM,7-5,6-3,,,,01:24:00,A,T. Berdych,D. Brown,CZE,JAM,,,313,/en/stats/leaderboard?page=serve,2,7,53,32,60,94,30,32,61,17,28,100,3,3,11,262,/en/stats/leaderboard?page=serve,4,5,65,45,69,78,35,45,38,9,24,75,6,8,10,78,47,60,36,25,69,56,72,129,64,44,69,22,13,60,44,57,129,01:24:00,01:24:00,,,,,,,BA47,BA65
429,2014,Stockholm,250,2014-10-13T00:00:00,2014-10-19T00:00:00,Hard,28,521405,€,MS009,R16,01:11:00,,F,2,CA99,"6-4,6-3",M. Copil,P. Herbert,,,ROU,FRA,6-4,6-3,,,,01:11:00,A,M. Copil,P. Herbert,ROU,FRA,,,320,/en/stats/leaderboard?page=serve,0,6,65,31,48,84,26,31,65,11,17,0,0,0,9,240,/en/stats/leaderboard?page=serve,7,7,58,43,74,67,29,43,45,14,31,67,6,9,10,77,37,48,42,31,74,56,68,122,58,43,74,23,11,48,44,54,122,01:11:00,01:11:00,,,,,,,CA99,H996
429,2014,Stockholm,250,2014-10-13T00:00:00,2014-10-19T00:00:00,Hard,28,521405,€,MS010,R16,02:40:00,,F,3,ME82,"6-4,6-7(2),7-6(7)",A. Mannarino,A. Dolgopolov,,,FRA,UKR,6-4,6-7(2),7-6(7),,,02:40:00,A,A. Mannarino,A. Dolgopolov,FRA,UKR,,,288,/en/stats/leaderboard?page=serve,3,7,64,75,117,75,56,75,57,24,42,83,10,12,17,267,/en/stats/leaderboard?page=serve,3,11,46,58,126,81,47,58,50,34,68,67,6,9,17,68,80,117,36,45,126,51,125,243,64,81,126,32,37,117,49,118,243,02:40:00,02:40:00,,,7,4,2,7,ME82,D801
