event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
430,1997,Antwerp,GP,1997-02-17T00:00:00,1997-02-23T00:00:00,Hard,32,875000,$,MS001,F,02:10:00,,F,3,R214,"6-2,7-5,6-4",M. Rosset,T. Henman,,,SUI,GBR,6-2,7-5,6-4,,,02:10:00,288,/en/stats/leaderboard?page=serve,8,16,53,50,95,90,45,50,44,20,45,86,6,7,15,221,/en/stats/leaderboard?page=serve,7,7,39,40,103,75,30,40,41,26,63,38,3,8,15,68,65,95,46,47,103,57,112,198,54,56,103,32,30,95,43,86,198,A,,,,,,,,M. Rosset,T. Henman,R214,H336,SUI,GBR,,
430,1997,Antwerp,GP,1997-02-17T00:00:00,1997-02-23T00:00:00,Hard,32,875000,$,MS002,SF,01:34:00,,F,2,R214,"7-6(7),6-3",M. Rosset,P. Korda,,,SUI,CZE,7-6(7),6-3,,,,01:34:00,280,/en/stats/leaderboard?page=serve,4,11,51,40,79,88,35,40,44,17,39,83,5,6,11,252,/en/stats/leaderboard?page=serve,2,3,47,30,64,77,23,30,47,16,34,0,0,2,10,66,52,79,39,25,64,54,77,143,61,39,64,34,27,79,46,66,143,A,7,2,,,,,,M. Rosset,P. Korda,R214,K148,SUI,CZE,,
430,1997,Antwerp,GP,1997-02-17T00:00:00,1997-02-23T00:00:00,Hard,32,875000,$,MS003,SF,01:16:00,,F,2,H336,"6-4,6-4",T. Henman,M. Goellner,,,GBR,GER,6-4,6-4,,,,01:16:00,275,/en/stats/leaderboard?page=serve,3,9,42,27,64,78,21,27,59,22,37,86,6,7,10,231,/en/stats/leaderboard?page=serve,5,6,45,28,62,68,19,28,47,16,34,40,2,5,10,67,43,64,44,27,62,56,70,126,56,35,62,33,21,64,44,56,126,A,,,,,,,,T. Henman,M. Goellner,H336,G252,GBR,GER,,
430,1997,Antwerp,GP,1997-02-17T00:00:00,1997-02-23T00:00:00,Hard,32,875000,$,MS004,QF,01:39:00,,F,3,R214,"4-6,6-1,6-4",M. Rosset,F. Dewulf,,,SUI,BEL,4-6,6-1,6-4,,,01:39:00,268,/en/stats/leaderboard?page=serve,8,11,52,44,84,75,33,44,53,21,40,50,2,4,14,248,/en/stats/leaderboard?page=serve,6,3,58,45,77,71,32,45,53,17,32,50,4,8,13,64,54,84,36,28,77,51,82,161,64,49,77,36,30,84,49,79,161,A,,,,,,,,M. Rosset,F. Dewulf,R214,D228,SUI,BEL,,
430,1997,Antwerp,GP,1997-02-17T00:00:00,1997-02-23T00:00:00,Hard,32,875000,$,MS005,QF,01:00:00,,F,2,K148,"6-3,6-4",P. Korda,D. Norman,,,CZE,BEL,6-3,6-4,,,,01:00:00,244,/en/stats/leaderboard?page=serve,3,3,65,39,60,82,32,39,57,12,21,,0,,10,256,/en/stats/leaderboard?page=serve,4,9,73,36,49,78,28,36,23,3,13,0,0,2,9,73,44,60,37,18,49,57,62,109,63,31,49,27,16,60,43,47,109,A,,,,,,,,P. Korda,D. Norman,K148,N233,CZE,BEL,,
430,1997,Antwerp,GP,1997-02-17T00:00:00,1997-02-23T00:00:00,Hard,32,875000,$,MS006,QF,01:45:00,,F,2,H336,"7-6(7),6-4",T. Henman,F. Clavet,,,GBR,ESP,7-6(7),6-4,,,,01:45:00,246,/en/stats/leaderboard?page=serve,3,5,47,33,70,82,27,33,43,16,37,40,2,5,11,232,/en/stats/leaderboard?page=serve,3,0,52,39,75,62,24,39,58,21,36,33,2,6,11,61,43,70,40,30,75,50,73,145,60,45,75,39,27,70,50,72,145,A,7,4,,,,,,T. Henman,F. Clavet,H336,C252,GBR,ESP,,
430,1997,Antwerp,GP,1997-02-17T00:00:00,1997-02-23T00:00:00,Hard,32,875000,$,MS007,QF,00:17:00,,F,1,G252,3-1,M. Goellner,M. Damm,,,GER,CZE,3-1,,,,,00:17:00,266,/en/stats/leaderboard?page=serve,,3,63,5,8,100,5,5,100,3,3,0,0,,3,197,/en/stats/leaderboard?page=serve,1,0,55,11,20,82,9,11,11,1,9,67,2,3,2,100,8,8,50,10,20,64,18,28,50,10,20,,0,,,0,,A,,,False,,,,,M. Goellner,M. Damm,G252,D214,GER,CZE,,
430,1997,Antwerp,GP,1997-02-17T00:00:00,1997-02-23T00:00:00,Hard,32,875000,$,MS008,R16,01:50:00,,F,2,D228,"7-6(10),6-4",F. Dewulf,C. Pioline,,,BEL,FRA,7-6(10),6-4,,,,01:50:00,259,/en/stats/leaderboard?page=serve,5,3,55,47,86,66,31,47,59,23,39,78,7,9,11,245,/en/stats/leaderboard?page=serve,4,8,59,52,88,63,33,52,47,17,36,50,3,6,11,63,54,86,43,38,88,53,92,174,57,50,88,37,32,86,47,82,174,A,10,8,,,,,,F. Dewulf,C. Pioline,D228,P226,BEL,FRA,,
430,1997,Antwerp,GP,1997-02-17T00:00:00,1997-02-23T00:00:00,Hard,32,875000,$,MS009,R16,01:34:00,,F,3,R214,"3-6,6-3,6-1",M. Rosset,N. Kiefer,,,SUI,GER,3-6,6-3,6-1,,,01:34:00,281,/en/stats/leaderboard?page=serve,4,3,49,33,68,76,25,33,66,23,35,80,4,5,12,240,/en/stats/leaderboard?page=serve,3,7,59,51,87,69,35,51,39,14,36,20,1,5,13,71,48,68,44,38,87,55,86,155,56,49,87,29,20,68,45,69,155,A,,,,,,,,M. Rosset,N. Kiefer,R214,K316,SUI,GER,,
430,1997,Antwerp,GP,1997-02-17T00:00:00,1997-02-23T00:00:00,Hard,32,875000,$,MS010,R16,01:09:00,,F,2,K148,"6-3,6-3",P. Korda,J. Sanchez,,,CZE,ESP,6-3,6-3,,,,01:09:00,274,/en/stats/leaderboard?page=serve,2,3,52,31,60,74,23,31,59,17,29,80,4,5,9,203,/en/stats/leaderboard?page=serve,4,2,57,29,51,66,19,29,27,6,22,0,0,4,9,67,40,60,51,26,51,59,66,111,49,25,51,33,20,60,41,45,111,A,,,,,,,,P. Korda,J. Sanchez,K148,S015,CZE,ESP,,
