event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_isstatbetter_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,doublefaults_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
439,1996,Umag,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Clay,32,375000,$,MS001,F,01:16:00,,F,2,M605,"6-0,7-6(7)",C. Moya,F. Mantilla,,,ESP,ESP,6-0,7-6(7),,,,01:16:00,7,4,264,/en/stats/leaderboard?page=serve,2,1,71,37,52,68,25,37,60,9,15,0,0,3,9,201,/en/stats/leaderboard?page=serve,False,0,75,47,63,49,23,47,44,7,16,45,5,11,9,65,34,52,52,33,63,58,67,115,48,30,63,35,18,52,42,48,115,A,,,,,C. Moya,F. Mantilla,M605,M535,ESP,ESP,,
439,1996,Umag,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Clay,32,375000,$,MS002,SF,00:23:00,,F,1,M535,4-2,F. Mantilla,S. Dosedel,,,ESP,CZE,4-2,,,,,00:23:00,,,253,/en/stats/leaderboard?page=serve,,1,65,13,20,69,9,13,43,3,7,67,2,3,4,167,/en/stats/leaderboard?page=serve,False,0,69,11,16,45,5,11,20,1,5,0,0,2,3,60,12,20,63,10,16,61,22,36,38,6,16,40,8,20,39,14,36,A,False,,,,F. Mantilla,S. Dosedel,M535,D198,ESP,CZE,,
439,1996,Umag,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Clay,32,375000,$,MS003,SF,00:54:00,,F,2,M605,"6-1,6-2",C. Moya,C. Ruud,,,ESP,NOR,6-1,6-2,,,,00:54:00,,,289,/en/stats/leaderboard?page=serve,,2,76,34,45,79,27,34,82,9,11,,0,,8,185,/en/stats/leaderboard?page=serve,,0,68,25,37,52,13,25,25,3,12,0,0,4,7,80,36,45,57,21,37,70,57,82,43,16,37,20,9,45,30,25,82,A,False,2,,,C. Moya,C. Ruud,M605,R219,ESP,NOR,,
439,1996,Umag,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Clay,32,375000,$,MS004,QF,01:14:00,,F,2,D198,"6-3,6-4",S. Dosedel,A. Costa,,,CZE,ESP,6-3,6-4,,,,01:14:00,,,271,/en/stats/leaderboard?page=serve,1,2,79,49,62,59,29,49,62,8,13,40,2,5,10,191,/en/stats/leaderboard?page=serve,,2,57,32,56,50,16,32,42,10,24,0,0,5,9,60,37,62,54,30,56,57,67,118,46,26,56,40,25,62,43,51,118,A,,4,,,S. Dosedel,A. Costa,D198,C378,CZE,ESP,,
439,1996,Umag,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Clay,32,375000,$,MS005,QF,01:39:00,,F,2,M535,"6-3,7-6(7)",F. Mantilla,G. Schaller,,,ESP,AUT,6-3,7-6(7),,,,01:39:00,7,4,237,/en/stats/leaderboard?page=serve,2,0,69,58,84,57,33,58,50,13,26,60,6,10,11,218,/en/stats/leaderboard?page=serve,False,0,80,48,60,63,30,48,25,3,12,29,2,7,10,55,46,84,45,27,60,51,73,144,55,33,60,45,38,84,49,71,144,A,,,,,F. Mantilla,G. Schaller,M535,S315,ESP,AUT,,
439,1996,Umag,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Clay,32,375000,$,MS006,QF,01:10:00,,F,2,M605,"6-2,6-1",C. Moya,M. Gorriz,,,ESP,ESP,6-2,6-1,,,,01:10:00,,,268,/en/stats/leaderboard?page=serve,,0,61,33,54,70,23,33,62,13,21,,0,,8,190,/en/stats/leaderboard?page=serve,,1,52,26,50,50,13,26,46,11,24,43,3,7,7,67,36,54,52,26,50,60,62,104,48,24,50,33,18,54,40,42,104,A,False,1,,,C. Moya,M. Gorriz,M605,G028,ESP,ESP,,
439,1996,Umag,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Clay,32,375000,$,MS007,QF,01:31:00,,F,2,R219,"7-5,6-4",C. Ruud,G. Kuerten,,,NOR,BRA,7-5,6-4,,,,01:31:00,,,268,/en/stats/leaderboard?page=serve,3,1,69,49,71,65,32,49,55,12,22,33,1,3,11,230,/en/stats/leaderboard?page=serve,False,0,54,35,65,66,23,35,47,14,30,33,2,6,11,62,44,71,43,28,65,53,72,136,57,37,65,38,27,71,47,64,136,A,,,,,C. Ruud,G. Kuerten,R219,K293,NOR,BRA,,
439,1996,Umag,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Clay,32,375000,$,MS008,R16,01:18:00,,F,2,C378,"7-6(7),6-1",A. Costa,O. Ogorodov,,,ESP,UZB,7-6(7),6-1,,,,01:18:00,,,304,/en/stats/leaderboard?page=serve,2,1,67,43,64,67,29,43,81,17,21,0,0,1,10,237,/en/stats/leaderboard?page=serve,,3,65,43,66,74,32,43,30,7,23,57,4,7,9,72,46,64,41,27,66,56,73,130,59,39,66,28,18,64,44,57,130,A,,1,7,5,A. Costa,O. Ogorodov,C378,O127,ESP,UZB,,
439,1996,Umag,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Clay,32,375000,$,MS009,R16,00:45:00,,F,2,D198,"6-0,6-2",S. Dosedel,S. Koubek,,,CZE,AUT,6-0,6-2,,,,00:45:00,,,263,/en/stats/leaderboard?page=serve,1,0,88,37,42,65,24,37,40,2,5,50,2,4,7,124,/en/stats/leaderboard?page=serve,,0,63,29,46,34,10,29,29,5,17,22,2,9,7,62,26,42,67,31,46,65,57,88,33,15,46,38,16,42,35,31,88,A,,2,,,S. Dosedel,S. Koubek,D198,K310,CZE,AUT,,
439,1996,Umag,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Clay,32,375000,$,MS010,R16,01:30:00,,F,2,M535,"6-3,6-3",F. Mantilla,M. Zabaleta,,,ESP,ARG,6-3,6-3,,,,01:30:00,,,251,/en/stats/leaderboard?page=serve,1,0,62,41,66,61,25,41,52,13,25,71,5,7,9,204,/en/stats/leaderboard?page=serve,,0,78,49,63,55,27,49,29,4,14,38,3,8,9,58,38,66,51,32,63,54,70,129,49,31,63,42,28,66,46,59,129,A,,2,,,F. Mantilla,M. Zabaleta,M535,Z073,ESP,ARG,,
