event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
439,2000,Umag,WS,2000-07-17T00:00:00,2000-07-23T00:00:00,Clay,32,375000,$,MS001,F,02:34:00,,F,3,R286,"7-6(7),4-6,6-3",M. Rios,M. Puerta,,,CHI,ARG,7-6(7),4-6,6-3,,,02:34:00,7,1,269,/en/stats/leaderboard?page=serve,7,13,51,58,113,81,47,58,45,25,55,75,6,8,15,255,/en/stats/leaderboard?page=serve,3,5,62,86,138,62,53,86,48,25,52,84,16,19,16,64,72,113,43,60,138,53,132,251,57,78,138,36,41,113,47,119,251,A,,,M. Rios,M. Puerta,R286,P372,CHI,ARG,,
439,2000,Umag,WS,2000-07-17T00:00:00,2000-07-23T00:00:00,Clay,32,375000,$,MS002,SF,01:55:00,,F,3,P372,"4-6,6-2,6-3",M. Puerta,B. Ulihrach,,,ARG,CZE,4-6,6-2,6-3,,,01:55:00,,,242,/en/stats/leaderboard?page=serve,1,3,63,59,93,64,38,59,44,15,34,60,6,10,13,207,/en/stats/leaderboard?page=serve,6,5,60,52,87,58,30,52,40,14,35,36,4,11,14,57,53,93,49,43,87,53,96,180,51,44,87,43,40,93,47,84,180,A,,,M. Puerta,B. Ulihrach,P372,U032,ARG,CZE,,
439,2000,Umag,WS,2000-07-17T00:00:00,2000-07-23T00:00:00,Clay,32,375000,$,MS003,SF,01:21:00,,F,2,R286,"6-2,7-5",M. Rios,C. Moya,,,CHI,ESP,6-2,7-5,,,,01:21:00,,,278,/en/stats/leaderboard?page=serve,2,1,49,28,57,61,17,28,79,23,29,67,2,3,10,221,/en/stats/leaderboard?page=serve,1,1,52,37,71,65,24,37,44,15,34,50,4,8,10,70,40,57,45,32,71,56,72,128,55,39,71,30,17,57,44,56,128,A,,,M. Rios,C. Moya,R286,M605,CHI,ESP,,
439,2000,Umag,WS,2000-07-17T00:00:00,2000-07-23T00:00:00,Clay,32,375000,$,MS004,QF,00:59:00,,F,2,P372,"6-3,6-2",M. Puerta,M. Damm,,,ARG,CZE,6-3,6-2,,,,00:59:00,,,309,/en/stats/leaderboard?page=serve,2,4,75,36,48,69,25,36,75,9,12,50,1,2,9,207,/en/stats/leaderboard?page=serve,2,5,50,25,50,52,13,25,52,13,25,60,6,10,8,71,34,48,48,24,50,59,58,98,52,26,50,29,14,48,41,40,98,A,,,M. Puerta,M. Damm,P372,D214,ARG,CZE,,
439,2000,Umag,WS,2000-07-17T00:00:00,2000-07-23T00:00:00,Clay,32,375000,$,MS005,QF,02:03:00,,F,3,U032,"6-3,4-6,6-4",B. Ulihrach,A. Martin,,,CZE,ESP,6-3,4-6,6-4,,,02:03:00,,,258,/en/stats/leaderboard?page=serve,3,4,63,50,80,66,33,50,57,17,30,67,8,12,14,248,/en/stats/leaderboard?page=serve,2,1,76,71,94,52,37,71,61,14,23,25,2,8,15,63,50,80,46,43,94,53,93,174,54,51,94,38,30,80,47,81,174,A,,,B. Ulihrach,A. Martin,U032,M590,CZE,ESP,,
439,2000,Umag,WS,2000-07-17T00:00:00,2000-07-23T00:00:00,Clay,32,375000,$,MS006,QF,02:04:00,,F,3,M605,"5-7,6-3,6-4",C. Moya,R. Carretero,,,ESP,ESP,5-7,6-3,6-4,,,02:04:00,,,253,/en/stats/leaderboard?page=serve,4,8,59,52,88,73,38,52,44,16,36,67,8,12,15,226,/en/stats/leaderboard?page=serve,5,3,55,59,107,61,36,59,50,24,48,60,9,15,16,61,54,88,44,47,107,52,101,195,56,60,107,39,34,88,48,94,195,A,,,C. Moya,R. Carretero,M605,C383,ESP,ESP,,
439,2000,Umag,WS,2000-07-17T00:00:00,2000-07-23T00:00:00,Clay,32,375000,$,MS007,QF,01:37:00,,F,2,R286,"7-6(8),6-2",M. Rios,D. Sanchez,,,CHI,ESP,7-6(8),6-2,,,,01:37:00,8,6,250,/en/stats/leaderboard?page=serve,5,6,48,39,82,77,30,39,44,19,43,80,8,10,10,219,/en/stats/leaderboard?page=serve,3,0,63,55,88,60,33,55,39,13,33,60,6,10,10,60,49,82,48,42,88,54,91,170,52,46,88,40,33,82,46,79,170,A,,,M. Rios,D. Sanchez,R286,S677,CHI,ESP,,
439,2000,Umag,WS,2000-07-17T00:00:00,2000-07-23T00:00:00,Clay,32,375000,$,MS008,R16,02:09:00,,F,3,P372,"6-4,4-6,6-4",M. Puerta,I. Ljubicic,,,ARG,CRO,6-4,4-6,6-4,,,02:09:00,,,287,/en/stats/leaderboard?page=serve,2,0,65,55,85,75,41,55,63,19,30,50,2,4,15,265,/en/stats/leaderboard?page=serve,4,12,53,50,94,76,38,50,48,21,44,57,4,7,15,71,60,85,37,35,94,53,95,179,63,59,94,29,25,85,47,84,179,A,,,M. Puerta,I. Ljubicic,P372,L360,ARG,CRO,,
439,2000,Umag,WS,2000-07-17T00:00:00,2000-07-23T00:00:00,Clay,32,375000,$,MS009,R16,01:20:00,,F,3,D214,"6-3,1-6,6-3",M. Damm,S. Bruguera,,,CZE,ESP,6-3,1-6,6-3,,,01:20:00,,,258,/en/stats/leaderboard?page=serve,7,8,52,41,79,76,31,41,53,20,38,25,1,4,13,271,/en/stats/leaderboard?page=serve,1,1,86,56,65,66,37,56,44,4,9,40,2,5,12,65,51,79,37,24,65,52,75,144,63,41,65,35,28,79,48,69,144,A,,,M. Damm,S. Bruguera,D214,B350,CZE,ESP,,
439,2000,Umag,WS,2000-07-17T00:00:00,2000-07-23T00:00:00,Clay,32,375000,$,MS010,R16,01:52:00,,F,3,U032,"4-6,6-4,6-1",B. Ulihrach,A. Portas,,,CZE,ESP,4-6,6-4,6-1,,,01:52:00,,,261,/en/stats/leaderboard?page=serve,5,2,64,66,103,73,48,66,43,16,37,67,4,6,13,223,/en/stats/leaderboard?page=serve,7,5,45,39,87,74,29,39,42,20,48,58,7,12,14,62,64,103,44,38,87,54,102,190,56,49,87,38,39,103,46,88,190,A,,,B. Ulihrach,A. Portas,U032,P305,CZE,ESP,,
