event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_winner,tiebreak_set1_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
439,2004,Umag,WS,2004-07-19T00:00:00,2004-07-25T00:00:00,Clay,32,375000,$,MS001,F,01:38:00,,F,2,C433,"7-5,6-3",G. Canas,F. Volandri,,,ARG,ITA,7-5,6-3,,,,01:38:00,237,/en/stats/leaderboard?page=serve,5,1,56,35,62,71,25,35,44,12,27,57,4,7,10,193,/en/stats/leaderboard?page=serve,0,0,64,43,67,51,22,43,33,8,24,50,6,12,11,60,37,62,55,37,67,57,74,129,45,30,67,40,25,62,43,55,129,A,,,,,G. Canas,F. Volandri,C433,V254,ARG,ITA,,
439,2004,Umag,WS,2004-07-19T00:00:00,2004-07-25T00:00:00,Clay,32,375000,$,MS002,SF,01:09:00,,F,2,V254,"6-3,6-2",F. Volandri,C. Moya,,,ITA,ESP,6-3,6-2,,,,01:09:00,303,/en/stats/leaderboard?page=serve,1,0,64,34,53,82,28,34,58,11,19,100,1,1,9,227,/en/stats/leaderboard?page=serve,2,3,58,31,53,65,20,31,41,9,22,57,4,7,8,74,39,53,45,24,53,59,63,106,55,29,53,26,14,53,41,43,106,A,,,,,F. Volandri,C. Moya,V254,M605,ITA,ESP,,
439,2004,Umag,WS,2004-07-19T00:00:00,2004-07-25T00:00:00,Clay,32,375000,$,MS003,SF,01:16:00,,F,2,C433,"6-2,6-2",G. Canas,G. Garcia-Lopez,,,ARG,ESP,6-2,6-2,,,,01:16:00,290,/en/stats/leaderboard?page=serve,0,3,63,29,46,72,21,29,65,11,17,50,1,2,8,173,/en/stats/leaderboard?page=serve,1,0,60,32,53,53,17,32,24,5,21,44,4,9,8,70,32,46,58,31,53,64,63,99,42,22,53,30,14,46,36,36,99,A,,,,,G. Canas,G. Garcia-Lopez,C433,G476,ARG,ESP,,
439,2004,Umag,WS,2004-07-19T00:00:00,2004-07-25T00:00:00,Clay,32,375000,$,MS004,QF,01:27:00,,F,2,M605,"6-1,7-6(7)",C. Moya,A. Martin,,,ESP,ESP,6-1,7-6(7),,,,01:27:00,268,/en/stats/leaderboard?page=serve,4,3,51,37,72,84,31,37,46,16,35,86,6,7,9,219,/en/stats/leaderboard?page=serve,2,0,70,43,61,58,25,43,33,6,18,43,3,7,10,65,47,72,49,30,61,58,77,133,51,31,61,35,25,72,42,56,133,A,7.0,2.0,,,C. Moya,A. Martin,M605,M590,ESP,ESP,,
439,2004,Umag,WS,2004-07-19T00:00:00,2004-07-25T00:00:00,Clay,32,375000,$,MS005,QF,01:07:00,,F,2,V254,"6-2,6-2",F. Volandri,K. Vliegen,,,ITA,BEL,6-2,6-2,,,,01:07:00,253,/en/stats/leaderboard?page=serve,3,0,67,36,54,64,23,36,50,9,18,75,6,8,8,163,/en/stats/leaderboard?page=serve,2,0,61,30,49,47,14,30,32,6,19,25,2,8,8,59,32,54,59,29,49,59,61,103,41,20,49,41,22,54,41,42,103,A,,,,,F. Volandri,K. Vliegen,V254,V309,ITA,BEL,,
439,2004,Umag,WS,2004-07-19T00:00:00,2004-07-25T00:00:00,Clay,32,375000,$,MS006,QF,01:45:00,,F,2,C433,"6-2,7-6(7)",G. Canas,A. Calatrava,,,ARG,ESP,6-2,7-6(7),,,,01:45:00,291,/en/stats/leaderboard?page=serve,0,8,63,36,57,69,25,36,71,15,21,33,1,3,10,230,/en/stats/leaderboard?page=serve,2,1,61,36,59,53,19,36,57,13,23,0,0,4,10,70,40,57,46,27,59,58,67,116,54,32,59,30,17,57,42,49,116,A,7.0,4.0,,,G. Canas,A. Calatrava,C433,C361,ARG,ESP,,
439,2004,Umag,WS,2004-07-19T00:00:00,2004-07-25T00:00:00,Clay,32,375000,$,MS007,QF,01:06:00,,F,2,G476,"6-3,6-3",G. Garcia-Lopez,J. Novak,,,ESP,CZE,6-3,6-3,,,,01:06:00,298,/en/stats/leaderboard?page=serve,2,1,61,36,59,64,23,36,74,17,23,0,0,0,9,233,/en/stats/leaderboard?page=serve,3,5,60,28,47,79,22,28,26,5,19,0,0,3,9,68,40,59,43,20,47,57,60,106,57,27,47,32,19,59,43,46,106,A,,,,,G. Garcia-Lopez,J. Novak,G476,N254,ESP,CZE,,
439,2004,Umag,WS,2004-07-19T00:00:00,2004-07-25T00:00:00,Clay,32,375000,$,MS008,R16,00:26:00,,F,1,M605,3-3,C. Moya,Z. Krajan,,,ESP,CRO,3-3,,,,,00:26:00,245,/en/stats/leaderboard?page=serve,1,0,63,10,16,50,5,10,67,4,6,0,0,1,3,257,/en/stats/leaderboard?page=serve,0,0,74,14,19,57,8,14,60,3,5,67,2,3,3,56,9,16,42,8,19,49,17,35,58,11,19,44,7,16,51,18,35,A,,,,,C. Moya,Z. Krajan,M605,K313,ESP,CRO,,
439,2004,Umag,WS,2004-07-19T00:00:00,2004-07-25T00:00:00,Clay,32,375000,$,MS009,R16,01:16:00,,F,2,M590,"6-3,6-1",A. Martin,N. Almagro,,,ESP,ESP,6-3,6-1,,,,01:16:00,285,/en/stats/leaderboard?page=serve,5,1,53,29,55,86,25,29,50,13,26,100,3,3,8,198,/en/stats/leaderboard?page=serve,5,4,47,28,60,61,17,28,41,13,32,60,6,10,8,69,38,55,50,30,60,59,68,115,50,30,60,31,17,55,41,47,115,A,,,,,A. Martin,N. Almagro,M590,A479,ESP,ESP,,
439,2004,Umag,WS,2004-07-19T00:00:00,2004-07-25T00:00:00,Clay,32,375000,$,MS010,R16,01:17:00,,F,2,V254,"7-5,6-0",F. Volandri,F. Serra,,,ITA,FRA,7-5,6-0,,,,01:17:00,278,/en/stats/leaderboard?page=serve,1,1,59,32,54,72,23,32,59,13,22,67,2,3,9,193,/en/stats/leaderboard?page=serve,0,2,59,32,54,56,18,32,32,7,22,29,2,7,9,67,36,54,54,29,54,60,65,108,46,25,54,33,18,54,40,43,108,A,,,,,F. Volandri,F. Serra,V254,S963,ITA,FRA,,
