event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,settime_tot_winner,settime_tot_loser,player_id_winner,player_id_loser
440,2023,'s-Hertogenbosch,250,2023-06-12T00:00:00,2023-06-18T00:00:00,Grass,28,673630,€,MS001,F,02:35:00,,F,3,GJ37,"6-7(4),7-6(7),6-3",T. Griekspoor,J. Thompson,,,NED,AUS,6-7(4),7-6(7),6-3,,,02:35:00,A,T. Griekspoor,J. Thompson,NED,AUS,,,293,/en/stats/leaderboard?page=serve,1,9,74,93,126,68,63,93,55,18,33,71,5,7,17,296,/en/stats/leaderboard?page=serve,0,12,64,57,89,70,40,57,69,22,32,40,2,5,16,64,81,126,30,27,89,50,108,215,70,62,89,36,45,126,50,107,215,4,7,7,3,02:35:00,02:35:00,GJ37,TC61
440,2023,'s-Hertogenbosch,250,2023-06-12T00:00:00,2023-06-18T00:00:00,Grass,28,673630,€,MS002,SF,01:56:00,,F,2,TC61,"7-6(7),6-3",J. Thompson,R. Hijikata,,,AUS,AUS,7-6(7),6-3,,,,01:56:00,A,J. Thompson,R. Hijikata,AUS,AUS,,,312,/en/stats/leaderboard?page=serve,0,4,57,39,68,79,31,39,72,21,29,100,1,1,11,281,/en/stats/leaderboard?page=serve,1,3,58,44,76,68,30,44,63,20,32,50,1,2,10,76,52,68,34,26,76,54,78,144,66,50,76,24,16,68,46,66,144,7,5,,,01:56:00,01:56:00,TC61,H0BH
440,2023,'s-Hertogenbosch,250,2023-06-12T00:00:00,2023-06-18T00:00:00,Grass,28,673630,€,MS003,SF,01:29:00,,F,2,GJ37,"6-4,7-5",T. Griekspoor,E. Ruusuvuori,,,NED,FIN,6-4,7-5,,,,01:29:00,A,T. Griekspoor,E. Ruusuvuori,NED,FIN,,,311,/en/stats/leaderboard?page=serve,2,9,59,38,64,87,33,38,58,15,26,100,4,4,11,288,/en/stats/leaderboard?page=serve,2,12,58,35,60,83,29,35,56,14,25,67,4,6,11,75,48,64,28,17,60,52,65,124,72,43,60,25,16,64,48,59,124,,,,,01:29:00,01:29:00,GJ37,RH24
440,2023,'s-Hertogenbosch,250,2023-06-12T00:00:00,2023-06-18T00:00:00,Grass,28,673630,€,MS004,QF,02:32:00,,F,3,TC61,"5-7,7-6(7),6-2",J. Thompson,A. Mannarino,,,AUS,FRA,5-7,7-6(7),6-2,,,02:32:00,A,J. Thompson,A. Mannarino,AUS,FRA,,,307,/en/stats/leaderboard?page=serve,1,12,56,48,85,77,37,48,76,28,37,0,0,2,16,260,/en/stats/leaderboard?page=serve,6,4,59,64,108,67,43,64,55,24,44,67,6,9,16,76,65,85,38,41,108,55,106,193,62,67,108,24,20,85,45,87,193,,,7,2,02:32:00,02:32:00,TC61,ME82
440,2023,'s-Hertogenbosch,250,2023-06-12T00:00:00,2023-06-18T00:00:00,Grass,28,673630,€,MS005,QF,02:14:00,,F,3,H0BH,"5-7,6-3,6-1",R. Hijikata,M. McDonald,,,AUS,USA,5-7,6-3,6-1,,,02:14:00,A,R. Hijikata,M. McDonald,AUS,USA,,,270,/en/stats/leaderboard?page=serve,2,5,59,54,91,74,40,54,49,18,37,78,7,9,14,237,/en/stats/leaderboard?page=serve,4,8,60,52,86,56,29,52,53,18,34,44,4,9,14,64,58,91,45,39,86,55,97,177,55,47,86,36,33,91,45,80,177,,,,,02:14:00,02:14:00,H0BH,MK66
440,2023,'s-Hertogenbosch,250,2023-06-12T00:00:00,2023-06-18T00:00:00,Grass,28,673630,€,MS006,QF,01:51:00,,F,3,GJ37,"4-6,6-3,6-4",T. Griekspoor,A. de Minaur,,,NED,AUS,4-6,6-3,6-4,,,01:51:00,A,T. Griekspoor,A. de Minaur,NED,AUS,,,294,/en/stats/leaderboard?page=serve,4,14,68,67,99,79,53,67,44,14,32,93,13,14,15,299,/en/stats/leaderboard?page=serve,1,8,58,40,69,83,33,40,66,19,29,33,1,3,14,68,67,99,25,17,69,50,84,168,75,52,69,32,32,99,50,84,168,,,,,01:51:00,01:51:00,GJ37,DH58
440,2023,'s-Hertogenbosch,250,2023-06-12T00:00:00,2023-06-18T00:00:00,Grass,28,673630,€,MS007,QF,01:21:00,,F,2,RH24,"6-3,6-4",E. Ruusuvuori,J. Sinner,,,FIN,ITA,6-3,6-4,,,,01:21:00,A,E. Ruusuvuori,J. Sinner,FIN,ITA,,,303,/en/stats/leaderboard?page=serve,3,2,56,29,52,100,29,29,48,11,23,0,0,0,10,262,/en/stats/leaderboard?page=serve,1,3,67,38,57,63,24,38,53,10,19,50,2,4,9,77,40,52,40,23,57,58,63,109,60,34,57,23,12,52,42,46,109,,,,,01:21:00,01:21:00,RH24,S0AG
440,2023,'s-Hertogenbosch,250,2023-06-12T00:00:00,2023-06-18T00:00:00,Grass,28,673630,€,MS008,R16,01:59:00,,F,3,ME82,"4-6,6-4,6-2",A. Mannarino,D. Medvedev,,,FRA,RUS,4-6,6-4,6-2,,,01:59:00,A,A. Mannarino,D. Medvedev,FRA,RUS,,,266,/en/stats/leaderboard?page=serve,1,1,54,42,78,62,26,42,72,26,36,57,4,7,14,243,/en/stats/leaderboard?page=serve,5,8,58,45,77,71,32,45,47,15,32,17,1,6,14,67,52,78,39,30,77,53,82,155,61,47,77,33,26,78,47,73,155,,,,,01:59:00,01:59:00,ME82,MM58
440,2023,'s-Hertogenbosch,250,2023-06-12T00:00:00,2023-06-18T00:00:00,Grass,28,673630,€,MS009,R16,01:33:00,,F,2,TC61,"7-6(7),6-1",J. Thompson,M. Raonic,,,AUS,CAN,7-6(7),6-1,,,,01:33:00,A,J. Thompson,M. Raonic,AUS,CAN,,,326,/en/stats/leaderboard?page=serve,0,5,68,41,60,85,35,41,68,13,19,100,2,2,10,258,/en/stats/leaderboard?page=serve,8,9,64,44,69,68,30,44,48,12,25,50,2,4,9,80,48,60,39,27,69,58,75,129,61,42,69,20,12,60,42,54,129,7,4,,,01:33:00,01:33:00,TC61,R975
440,2023,'s-Hertogenbosch,250,2023-06-12T00:00:00,2023-06-18T00:00:00,Grass,28,673630,€,MS010,R16,01:27:00,,F,2,MK66,"6-4,6-4",M. McDonald,B. Coric,,,USA,CRO,6-4,6-4,,,,01:27:00,A,M. McDonald,B. Coric,USA,CRO,,,310,/en/stats/leaderboard?page=serve,0,4,60,33,55,82,27,33,64,14,22,100,1,1,10,247,/en/stats/leaderboard?page=serve,7,5,57,36,63,75,27,36,37,10,27,67,4,6,10,75,41,55,41,26,63,57,67,118,59,37,63,25,14,55,43,51,118,,,,,01:27:00,01:27:00,MK66,CG80
440,2023,'s-Hertogenbosch,250,2023-06-12T00:00:00,2023-06-18T00:00:00,Grass,28,673630,€,MS011,R16,02:03:00,,F,3,H0BH,"2-6,7-5,6-3",R. Hijikata,M. Huesler,,,AUS,SUI,2-6,7-5,6-3,,,02:03:00,A,R. Hijikata,M. Huesler,AUS,SUI,,,285,/en/stats/leaderboard?page=serve,4,2,60,49,81,82,40,49,59,19,32,50,2,4,15,276,/en/stats/leaderboard?page=serve,5,12,55,52,94,69,36,52,60,25,42,80,8,10,14,73,59,81,35,33,94,53,92,175,65,61,94,27,22,81,47,83,175,,,,,02:03:00,02:03:00,H0BH,HH06
440,2023,'s-Hertogenbosch,250,2023-06-12T00:00:00,2023-06-18T00:00:00,Grass,28,673630,€,MS012,R16,01:00:00,,F,2,GJ37,"6-3,6-2",T. Griekspoor,A. Popyrin,,,NED,AUS,6-3,6-2,,,,01:00:00,A,T. Griekspoor,A. Popyrin,NED,AUS,,,314,/en/stats/leaderboard?page=serve,1,5,54,25,46,80,20,25,76,16,21,0,0,0,9,239,/en/stats/leaderboard?page=serve,0,5,49,20,41,80,16,20,43,9,21,0,0,3,8,78,36,46,39,16,41,60,52,87,61,25,41,22,10,46,40,35,87,,,,,01:00:00,01:00:00,GJ37,P09Z
440,2023,'s-Hertogenbosch,250,2023-06-12T00:00:00,2023-06-18T00:00:00,Grass,28,673630,€,MS013,R16,02:12:00,,F,3,DH58,"6-1,6-7(5),6-3",A. de Minaur,L. Djere,,,AUS,SRB,6-1,6-7(5),6-3,,,02:12:00,A,A. de Minaur,L. Djere,AUS,SRB,,,296,/en/stats/leaderboard?page=serve,6,7,61,63,104,73,46,63,61,25,41,100,5,5,15,264,/en/stats/leaderboard?page=serve,1,7,62,56,90,70,39,56,50,17,34,63,5,8,13,68,71,104,38,34,90,54,105,194,62,56,90,32,33,104,46,89,194,,,5,7,02:12:00,02:12:00,DH58,DB63
440,2023,'s-Hertogenbosch,250,2023-06-12T00:00:00,2023-06-18T00:00:00,Grass,28,673630,€,MS014,R16,02:36:00,,F,3,RH24,"6-2,6-7(6),6-4",E. Ruusuvuori,U. Humbert,,,FIN,FRA,6-2,6-7(6),6-4,,,02:36:00,A,E. Ruusuvuori,U. Humbert,FIN,FRA,,,297,/en/stats/leaderboard?page=serve,2,8,69,71,103,70,50,71,59,19,32,88,7,8,15,253,/en/stats/leaderboard?page=serve,6,7,56,56,100,75,42,56,48,21,44,50,4,8,15,67,69,103,37,37,100,52,106,203,63,63,100,33,34,103,48,97,203,,,6,8,02:36:00,02:36:00,RH24,HH26
440,2023,'s-Hertogenbosch,250,2023-06-12T00:00:00,2023-06-18T00:00:00,Grass,28,673630,€,MS015,R16,01:24:00,,F,2,S0AG,"6-4,6-2",J. Sinner,A. Bublik,,,ITA,KAZ,6-4,6-2,,,,01:24:00,A,J. Sinner,A. Bublik,ITA,KAZ,,,316,/en/stats/leaderboard?page=serve,0,8,65,32,49,84,27,32,59,10,17,100,1,1,9,232,/en/stats/leaderboard?page=serve,6,9,58,45,77,64,29,45,41,13,32,75,9,12,9,76,37,49,45,35,77,57,72,126,55,42,77,24,12,49,43,54,126,,,,,01:24:00,01:24:00,S0AG,BK92
440,2023,'s-Hertogenbosch,250,2023-06-12T00:00:00,2023-06-18T00:00:00,Grass,28,673630,€,MS017,R32,01:40:00,,F,2,ME82,"7-6(7),6-4",A. Mannarino,A. Fils,,,FRA,FRA,7-6(7),6-4,,,,01:40:00,A,A. Mannarino,A. Fils,FRA,FRA,,,296,/en/stats/leaderboard?page=serve,6,5,57,42,74,81,34,42,59,19,32,100,4,4,11,279,/en/stats/leaderboard?page=serve,4,11,58,42,72,81,34,42,43,13,30,50,1,2,11,72,53,74,35,25,72,53,78,146,65,47,72,28,21,74,47,68,146,7,1,,,01:40:00,01:40:00,ME82,F0F1
