event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,doublefaults_isstatbetter_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
468,1997,Estoril,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Clay,32,600000,$,MS001,F,01:45:00,,F,2,C344,"6-3,7-5",A. Corretja,F. Clavet,,,ESP,ESP,6-3,7-5,,,,01:45:00,255,/en/stats/leaderboard?page=serve,3,4,56,41,73,73,30,41,44,14,32,60,3,5,11,218,/en/stats/leaderboard?page=serve,4,1,63,40,64,60,24,40,38,9,24,50,4,8,10,60,44,73,48,31,64,55,75,137,52,33,64,40,29,73,45,62,137,A,,,,,,,A. Corretja,F. Clavet,C344,C252,ESP,ESP,,
468,1997,Estoril,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Clay,32,600000,$,MS002,SF,01:07:00,,F,2,C344,"6-3,6-1",A. Corretja,J. Sanchez,,,ESP,ESP,6-3,6-1,,,,01:07:00,274,/en/stats/leaderboard?page=serve,6,1,59,32,54,78,25,32,55,12,22,,0,,8,209,/en/stats/leaderboard?page=serve,2,2,72,36,50,58,21,36,29,4,14,33,2,6,8,69,37,54,50,25,50,60,62,104,50,25,50,31,17,54,40,42,104,A,,,,,,,A. Corretja,J. Sanchez,C344,S015,ESP,ESP,,
468,1997,Estoril,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Clay,32,600000,$,MS003,SF,02:09:00,,F,3,C252,"3-6,7-5,6-0",F. Clavet,F. Mantilla,,,ESP,ESP,3-6,7-5,6-0,,,02:09:00,242,/en/stats/leaderboard?page=serve,4,1,66,60,91,62,37,60,48,15,31,75,12,16,13,210,/en/stats/leaderboard?page=serve,2,2,66,56,85,63,35,56,31,9,29,46,6,13,14,57,52,91,48,41,85,53,93,176,52,44,85,43,39,91,47,83,176,A,,,,,,,F. Clavet,F. Mantilla,C252,M535,ESP,ESP,,
468,1997,Estoril,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Clay,32,600000,$,MS004,QF,00:54:00,,F,2,S015,"6-0,4-1",J. Sanchez,G. Schaller,,,ESP,AUT,6-0,4-1,,,,00:54:00,202,/en/stats/leaderboard?page=serve,,2,44,12,27,83,10,12,73,11,15,0,0,,6,182,/en/stats/leaderboard?page=serve,1,0,79,34,43,32,11,34,56,5,9,17,1,6,6,78,21,27,63,27,43,69,48,70,37,16,43,22,6,27,31,22,70,A,False,,,,,,J. Sanchez,G. Schaller,S015,S315,ESP,AUT,,
468,1997,Estoril,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Clay,32,600000,$,MS005,QF,00:58:00,,F,2,C344,"6-3,4-0",A. Corretja,F. Santoro,,,ESP,FRA,6-3,4-0,,,,00:58:00,269,/en/stats/leaderboard?page=serve,4,0,57,24,42,75,18,24,56,10,18,75,3,4,7,164,/en/stats/leaderboard?page=serve,4,0,41,14,34,50,7,14,35,7,20,43,3,7,7,67,28,42,59,20,34,63,48,76,41,14,34,33,14,42,37,28,76,A,,,,,,,A. Corretja,F. Santoro,C344,S424,ESP,FRA,,
468,1997,Estoril,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Clay,32,600000,$,MS006,QF,01:11:00,,F,2,M535,"6-4,6-1",F. Mantilla,A. Berasategui,,,ESP,ESP,6-4,6-1,,,,01:11:00,276,/en/stats/leaderboard?page=serve,,0,68,41,60,78,32,41,42,8,19,75,3,4,9,208,/en/stats/leaderboard?page=serve,3,0,84,47,56,55,26,47,22,2,9,60,6,10,8,67,40,60,50,28,56,59,68,116,50,28,56,33,20,60,41,48,116,A,False,,,,,,F. Mantilla,A. Berasategui,M535,B428,ESP,ESP,,
468,1997,Estoril,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Clay,32,600000,$,MS007,QF,01:03:00,,F,2,C252,"6-1,6-3",F. Clavet,C. Moya,,,ESP,ESP,6-1,6-3,,,,01:03:00,241,/en/stats/leaderboard?page=serve,2,0,65,31,48,68,21,31,35,6,17,0,0,2,8,151,/en/stats/leaderboard?page=serve,1,0,64,29,45,38,11,29,25,4,16,14,1,7,8,56,27,48,67,30,45,61,57,93,33,15,45,44,21,48,39,36,93,A,,,,,,,F. Clavet,C. Moya,C252,M605,ESP,ESP,,
468,1997,Estoril,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Clay,32,600000,$,MS008,R16,01:40:00,,F,2,S315,"6-3,7-5",G. Schaller,N. Marques,,,AUT,POR,6-3,7-5,,,,01:40:00,304,/en/stats/leaderboard?page=serve,1,1,93,66,71,59,39,66,80,4,5,70,7,10,11,202,/en/stats/leaderboard?page=serve,4,0,67,46,69,59,27,46,30,7,23,55,6,11,10,61,43,71,51,35,69,56,78,140,49,34,69,39,28,71,44,62,140,A,,,,,,,G. Schaller,N. Marques,S315,M197,AUT,POR,,
468,1997,Estoril,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Clay,32,600000,$,MS009,R16,02:34:00,,F,3,S015,"6-4,3-6,7-5",J. Sanchez,F. Fontang,,,ESP,FRA,6-4,3-6,7-5,,,02:34:00,242,/en/stats/leaderboard?page=serve,4,4,69,84,122,60,50,84,47,18,38,71,12,17,15,243,/en/stats/leaderboard?page=serve,1,0,71,73,103,58,42,73,53,16,30,54,7,13,16,56,68,122,44,45,103,50,113,225,56,58,103,44,54,122,50,112,225,A,,,,,,,J. Sanchez,F. Fontang,S015,F200,ESP,FRA,,
468,1997,Estoril,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Clay,32,600000,$,MS010,R16,01:05:00,,F,2,S424,"6-1,6-2",F. Santoro,F. Cabello,,,FRA,ARG,6-1,6-2,,,,01:05:00,265,/en/stats/leaderboard?page=serve,2,0,39,15,38,73,11,15,70,16,23,50,1,2,7,160,/en/stats/leaderboard?page=serve,3,2,60,28,47,50,14,28,26,5,19,14,1,7,8,71,27,38,60,28,47,65,55,85,40,19,47,29,11,38,35,30,85,A,,,,,,,F. Santoro,F. Cabello,S424,C457,FRA,ARG,,
