event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_winner,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
495,1997,Dubai,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,1014250,$,MS001,F,01:42:00,,F,2,M099,"7-5,7-6(7)",T. Muster,G. Ivanisevic,,,AUT,CRO,7-5,7-6(7),,,,01:42:00,7,3,215,/en/stats/leaderboard?page=serve,4,2,67,66,98,71,47,66,63,20,32,0,12,295,/en/stats/leaderboard?page=serve,2,21,55,40,73,85,34,40,45,15,33,50,1,2,12,68,67,98,33,24,73,53,91,171,67,49,73,32,31,98,47,80,171,A,,,,,,,T. Muster,G. Ivanisevic,M099,I034,AUT,CRO,,
495,1997,Dubai,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,1014250,$,MS002,SF,01:35:00,,F,3,I034,"6-1,3-6,6-3",G. Ivanisevic,J. Novak,,,CRO,CZE,6-1,3-6,6-3,,,01:35:00,,,256,/en/stats/leaderboard?page=serve,9,7,41,34,82,79,27,34,54,26,48,7,13,233,/en/stats/leaderboard?page=serve,2,2,56,44,78,70,31,44,41,14,34,60,6,10,12,65,53,82,42,33,78,54,86,160,58,45,78,35,29,82,46,74,160,A,78,9,,,,,G. Ivanisevic,J. Novak,I034,N254,CRO,CZE,,
495,1997,Dubai,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,1014250,$,MS003,SF,02:28:00,,F,3,M099,"7-6(7),2-6,6-3",T. Muster,J. Courier,,,AUT,USA,7-6(7),2-6,6-3,,,02:28:00,,,210,/en/stats/leaderboard?page=serve,2,3,59,63,106,57,36,63,40,17,43,7,15,214,/en/stats/leaderboard?page=serve,2,2,58,57,99,54,31,57,45,19,42,40,4,10,14,50,53,106,49,49,99,50,102,205,51,50,99,50,53,106,50,103,205,A,50,14,7,3,,,T. Muster,J. Courier,M099,C243,AUT,USA,,
495,1997,Dubai,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,1014250,$,MS005,QF,00:55:00,,F,2,N254,"6-2,6-2",J. Novak,R. Krajicek,,,CZE,NED,6-2,6-2,,,,00:55:00,,,283,/en/stats/leaderboard?page=serve,1,2,60,27,45,74,20,27,61,11,18,0,8,179,/en/stats/leaderboard?page=serve,3,5,49,26,53,58,15,26,33,9,27,44,4,9,8,69,31,45,55,29,53,61,60,98,45,24,53,31,14,45,39,38,98,A,0,1,,,,,J. Novak,R. Krajicek,N254,K214,CZE,NED,,
495,1997,Dubai,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,1014250,$,MS006,QF,01:14:00,,F,2,C243,"6-2,7-5",J. Courier,W. Ferreira,,,USA,RSA,6-2,7-5,,,,01:14:00,,,219,/en/stats/leaderboard?page=serve,2,7,64,32,50,94,30,32,56,10,18,0,10,237,/en/stats/leaderboard?page=serve,3,4,47,27,58,67,18,27,52,16,31,25,1,4,10,80,40,50,41,24,58,59,64,108,59,34,58,20,10,50,41,44,108,A,0,,,,,,J. Courier,W. Ferreira,C243,F196,USA,RSA,,
495,1997,Dubai,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,1014250,$,MS007,QF,02:35:00,,F,3,M099,"6-4,6-7(3),7-5",T. Muster,C. Ruud,,,AUT,NOR,6-4,6-7(3),7-5,,,02:35:00,3,7,292,/en/stats/leaderboard?page=serve,2,7,59,63,106,83,52,63,51,22,43,6,17,265,/en/stats/leaderboard?page=serve,5,5,61,72,119,71,51,72,51,24,47,67,6,9,17,70,74,106,37,44,119,52,118,225,63,75,119,30,32,106,48,107,225,A,86,7,,,,,T. Muster,C. Ruud,M099,R219,AUT,NOR,,
495,1997,Dubai,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,1014250,$,MS008,R16,01:20:00,,F,2,I034,"7-6(10),6-4",G. Ivanisevic,B. Ulihrach,,,CRO,CZE,7-6(10),6-4,,,,01:20:00,,,288,/en/stats/leaderboard?page=serve,2,8,53,37,70,81,30,37,58,19,33,1,11,269,/en/stats/leaderboard?page=serve,3,5,54,38,71,68,26,38,64,21,33,50,2,4,11,70,49,70,34,24,71,52,73,141,66,47,71,30,21,70,48,68,141,A,50,2,10,8,,,G. Ivanisevic,B. Ulihrach,I034,U032,CRO,CZE,,
495,1997,Dubai,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,1014250,$,MS009,R16,01:28:00,,F,2,B028,"7-6(9),6-1",B. Becker,S. Stolle,,,GER,AUS,7-6(9),6-1,,,,01:28:00,,,312,/en/stats/leaderboard?page=serve,3,13,67,40,60,80,32,40,65,13,20,0,10,231,/en/stats/leaderboard?page=serve,5,5,57,38,67,74,28,38,34,10,29,40,2,5,9,75,45,60,43,29,67,58,74,127,57,38,67,25,15,60,42,53,127,A,0,1,9,7,,,B. Becker,S. Stolle,B028,S443,GER,AUS,,
495,1997,Dubai,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,1014250,$,MS010,R16,00:58:00,,F,2,K214,"6-3,6-2",R. Krajicek,J. Sanchez,,,NED,ESP,6-3,6-2,,,,00:58:00,,,269,/en/stats/leaderboard?page=serve,,9,51,27,53,78,21,27,54,14,26,4,9,182,/en/stats/leaderboard?page=serve,4,1,67,32,48,56,18,32,25,4,16,0,0,5,8,66,35,53,54,26,48,60,61,101,46,22,48,34,18,53,40,40,101,A,67,6,,,False,,R. Krajicek,J. Sanchez,K214,S015,NED,ESP,,
495,1997,Dubai,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,1014250,$,MS011,R16,01:05:00,,F,2,N254,"6-3,6-3",J. Novak,H. Davids,,,CZE,NED,6-3,6-3,,,,01:05:00,,,247,/en/stats/leaderboard?page=serve,3,0,57,35,61,74,26,35,42,11,26,7,9,194,/en/stats/leaderboard?page=serve,,2,55,27,49,52,14,27,41,9,22,0,0,5,9,61,37,61,53,26,49,57,63,110,47,23,49,39,24,61,43,47,110,A,78,9,,,,False,J. Novak,H. Davids,N254,D170,CZE,NED,,
495,1997,Dubai,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,1014250,$,MS012,R16,01:20:00,,F,2,C243,"6-2,6-3",J. Courier,A. Costa,,,USA,ESP,6-2,6-3,,,,01:20:00,,,270,/en/stats/leaderboard?page=serve,6,12,54,39,72,77,30,39,45,15,33,5,9,213,/en/stats/leaderboard?page=serve,4,1,75,42,56,55,23,42,36,5,14,43,3,7,8,63,45,72,50,28,56,57,73,128,50,28,56,38,27,72,43,55,128,A,83,6,,,,,J. Courier,A. Costa,C243,C378,USA,ESP,,
