event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
496,1998,Marseille,WS,1998-02-02T00:00:00,1998-02-08T00:00:00,Hard,32,514250,$,MS001,F,00:58:00,,F,2,E113,"6-4,6-1",T. Enqvist,Y. Kafelnikov,,,SWE,RUS,6-4,6-1,,,,00:58:00,278,/en/stats/leaderboard?page=serve,4,5,28,11,39,91,10,11,71,20,28,67,2,3,8,191,/en/stats/leaderboard?page=serve,4,6,56,35,63,57,20,35,32,9,28,64,9,14,9,77,30,39,54,34,63,63,64,102,46,29,63,23,9,39,37,38,102,A,,,,,,,,T. Enqvist,Y. Kafelnikov,E113,K267,SWE,RUS,,
496,1998,Marseille,WS,1998-02-02T00:00:00,1998-02-08T00:00:00,Hard,32,514250,$,MS002,SF,01:24:00,,F,2,K267,"7-6(7),6-4",Y. Kafelnikov,M. Tillstrom,,,RUS,SWE,7-6(7),6-4,,,,01:24:00,274,/en/stats/leaderboard?page=serve,2,4,62,44,71,73,32,44,56,15,27,0,0,2,11,245,/en/stats/leaderboard?page=serve,9,6,49,34,70,71,24,34,56,20,36,40,2,5,11,66,47,71,37,26,70,52,73,141,63,44,70,34,24,71,48,68,141,A,7,5,,,,,,Y. Kafelnikov,M. Tillstrom,K267,T166,RUS,SWE,,
496,1998,Marseille,WS,1998-02-02T00:00:00,1998-02-08T00:00:00,Hard,32,514250,$,MS003,SF,01:58:00,,F,3,E113,"6-3,6-7(1),6-3",T. Enqvist,R. Krajicek,,,SWE,NED,6-3,6-7(1),6-3,,,01:58:00,286,/en/stats/leaderboard?page=serve,4,10,61,62,101,77,48,62,49,19,39,75,3,4,16,275,/en/stats/leaderboard?page=serve,2,15,61,60,99,72,43,60,51,20,39,70,7,10,14,66,67,101,36,36,99,52,103,200,64,63,99,34,34,101,49,97,200,A,,,1,7,,,,T. Enqvist,R. Krajicek,E113,K214,SWE,NED,,
496,1998,Marseille,WS,1998-02-02T00:00:00,1998-02-08T00:00:00,Hard,32,514250,$,MS004,QF,01:35:00,,F,3,K267,"6-2,3-6,6-4",Y. Kafelnikov,A. Clement,,,RUS,FRA,6-2,3-6,6-4,,,01:35:00,269,/en/stats/leaderboard?page=serve,5,3,55,41,75,76,31,41,56,19,34,50,2,4,13,241,/en/stats/leaderboard?page=serve,5,5,46,38,82,74,28,38,50,22,44,33,2,6,14,67,50,75,39,32,82,52,82,157,61,50,82,33,25,75,48,75,157,A,,,,,,,,Y. Kafelnikov,A. Clement,K267,C487,RUS,FRA,,
496,1998,Marseille,WS,1998-02-02T00:00:00,1998-02-08T00:00:00,Hard,32,514250,$,MS005,QF,01:56:00,,F,3,T166,"4-6,6-0,7-6(7)",M. Tillstrom,A. Boetsch,,,SWE,FRA,4-6,6-0,7-6(7),,,01:56:00,272,/en/stats/leaderboard?page=serve,3,5,56,55,99,84,46,55,45,20,44,71,5,7,14,239,/en/stats/leaderboard?page=serve,5,0,50,48,96,73,35,48,50,24,48,60,6,10,14,67,66,99,39,37,96,53,103,195,61,59,96,33,33,99,47,92,195,A,,,,,7,2,,M. Tillstrom,A. Boetsch,T166,B053,SWE,FRA,,
496,1998,Marseille,WS,1998-02-02T00:00:00,1998-02-08T00:00:00,Hard,32,514250,$,MS006,QF,01:37:00,,F,3,E113,"6-2,1-6,6-3",T. Enqvist,M. Gustafsson,,,SWE,SWE,6-2,1-6,6-3,,,01:37:00,240,/en/stats/leaderboard?page=serve,6,12,58,43,74,65,28,43,45,14,31,50,4,8,12,218,/en/stats/leaderboard?page=serve,6,3,54,44,81,66,29,44,43,16,37,58,7,12,12,57,42,74,44,36,81,50,78,155,56,45,81,43,32,74,50,77,155,A,,,,,,,,T. Enqvist,M. Gustafsson,E113,G182,SWE,SWE,,
496,1998,Marseille,WS,1998-02-02T00:00:00,1998-02-08T00:00:00,Hard,32,514250,$,MS007,QF,01:43:00,,F,3,K214,"4-6,6-4,6-4",R. Krajicek,D. Vacek,,,NED,CZE,4-6,6-4,6-4,,,01:43:00,328,/en/stats/leaderboard?page=serve,,15,63,44,70,84,37,44,73,19,26,0,0,1,15,270,/en/stats/leaderboard?page=serve,4,5,58,56,96,77,43,56,48,19,40,60,3,5,15,80,56,70,35,34,96,54,90,166,65,62,96,20,14,70,46,76,166,A,,,,,,,False,R. Krajicek,D. Vacek,K214,V141,NED,CZE,,
496,1998,Marseille,WS,1998-02-02T00:00:00,1998-02-08T00:00:00,Hard,32,514250,$,MS008,R16,01:27:00,,F,3,K267,"6-1,3-6,6-4",Y. Kafelnikov,A. Voinea,,,RUS,ROU,6-1,3-6,6-4,,,01:27:00,283,/en/stats/leaderboard?page=serve,2,13,51,38,74,84,32,38,53,19,36,33,1,3,13,250,/en/stats/leaderboard?page=serve,2,13,54,40,74,75,30,40,41,14,34,71,10,14,13,69,51,74,41,30,74,55,81,148,59,44,74,31,23,74,45,67,148,A,,,,,,,,Y. Kafelnikov,A. Voinea,K267,V166,RUS,ROU,,
496,1998,Marseille,WS,1998-02-02T00:00:00,1998-02-08T00:00:00,Hard,32,514250,$,MS009,R16,00:45:00,,F,2,C487,"6-1,6-4",A. Clement,J. Alonso,,,FRA,ESP,6-1,6-4,,,,00:45:00,225,/en/stats/leaderboard?page=serve,,8,57,26,46,85,22,26,75,15,20,0,0,,9,236,/en/stats/leaderboard?page=serve,5,6,58,26,45,73,19,26,42,8,19,50,3,6,8,80,37,46,40,18,45,60,55,91,60,27,45,20,9,46,40,36,91,A,,,,,,,False,A. Clement,J. Alonso,C487,A272,FRA,ESP,,
496,1998,Marseille,WS,1998-02-02T00:00:00,1998-02-08T00:00:00,Hard,32,514250,$,MS010,R16,01:17:00,,F,2,B053,"7-5,6-2",A. Boetsch,G. Kuerten,,,FRA,BRA,7-5,6-2,,,,01:17:00,275,/en/stats/leaderboard?page=serve,3,4,48,31,64,84,26,31,52,17,33,50,1,2,10,231,/en/stats/leaderboard?page=serve,1,10,59,42,71,62,26,42,41,12,29,64,7,11,10,67,43,64,46,33,71,56,76,135,54,38,71,33,21,64,44,59,135,A,,,,,,,,A. Boetsch,G. Kuerten,B053,K293,FRA,BRA,,
496,1998,Marseille,WS,1998-02-02T00:00:00,1998-02-08T00:00:00,Hard,32,514250,$,MS011,R16,01:02:00,,F,2,T166,"7-5,6-1",M. Tillstrom,M. Goellner,,,SWE,GER,7-5,6-1,,,,01:02:00,284,/en/stats/leaderboard?page=serve,4,1,42,21,50,86,18,21,69,20,29,50,1,2,10,218,/en/stats/leaderboard?page=serve,4,12,52,36,69,67,24,36,36,12,33,69,9,13,9,76,38,50,48,33,69,60,71,119,52,36,69,24,12,50,40,48,119,A,,,,,,,,M. Tillstrom,M. Goellner,T166,G252,SWE,GER,,
496,1998,Marseille,WS,1998-02-02T00:00:00,1998-02-08T00:00:00,Hard,32,514250,$,MS012,R16,00:56:00,,F,2,E113,"6-2,6-3",T. Enqvist,F. Roig,,,SWE,ESP,6-2,6-3,,,,00:56:00,263,/en/stats/leaderboard?page=serve,4,7,54,28,52,71,20,28,58,14,24,33,1,3,9,181,/en/stats/leaderboard?page=serve,2,2,51,24,47,54,13,24,39,9,23,0,0,5,8,65,34,52,53,25,47,60,59,99,47,22,47,35,18,52,40,40,99,A,,,,,,,,T. Enqvist,F. Roig,E113,R177,SWE,ESP,,
496,1998,Marseille,WS,1998-02-02T00:00:00,1998-02-08T00:00:00,Hard,32,514250,$,MS013,R16,01:05:00,,F,2,G182,"6-3,6-3",M. Gustafsson,S. Bruguera,,,SWE,ESP,6-3,6-3,,,,01:05:00,288,/en/stats/leaderboard?page=serve,1,9,62,32,52,75,24,32,55,11,20,67,2,3,9,212,/en/stats/leaderboard?page=serve,1,4,54,28,52,54,15,28,46,11,24,33,2,6,9,67,35,52,50,26,52,59,61,104,50,26,52,33,17,52,41,43,104,A,,,,,,,,M. Gustafsson,S. Bruguera,G182,B350,SWE,ESP,,
496,1998,Marseille,WS,1998-02-02T00:00:00,1998-02-08T00:00:00,Hard,32,514250,$,MS014,R16,00:54:00,,F,2,V141,"6-1,6-2",D. Vacek,A. Portas,,,CZE,ESP,6-1,6-2,,,,00:54:00,285,/en/stats/leaderboard?page=serve,6,12,56,27,48,93,25,27,43,9,21,,0,,8,184,/en/stats/leaderboard?page=serve,2,0,65,26,40,50,13,26,29,4,14,33,2,6,7,71,34,48,58,23,40,65,57,88,43,17,40,29,14,48,35,31,88,A,,,,,,,,D. Vacek,A. Portas,V141,P305,CZE,ESP,,
496,1998,Marseille,WS,1998-02-02T00:00:00,1998-02-08T00:00:00,Hard,32,514250,$,MS015,R16,01:10:00,,F,2,K214,"6-3,5-5",R. Krajicek,S. Grosjean,,,NED,FRA,6-3,5-5,,,,01:10:00,298,/en/stats/leaderboard?page=serve,1,8,55,29,53,83,24,29,63,15,24,50,1,2,10,259,/en/stats/leaderboard?page=serve,2,4,47,28,59,82,23,28,48,15,31,60,3,5,10,74,39,53,36,21,59,54,60,112,64,38,59,26,14,53,46,52,112,A,,,,,,,,R. Krajicek,S. Grosjean,K214,G379,NED,FRA,,
496,1998,Marseille,WS,1998-02-02T00:00:00,1998-02-08T00:00:00,Hard,32,514250,$,MS016,R32,01:07:00,,F,2,K267,"6-4,6-3",Y. Kafelnikov,J. Viloca-Puig,,,RUS,ESP,6-4,6-3,,,,01:07:00,252,/en/stats/leaderboard?page=serve,7,4,54,35,65,74,26,35,47,14,30,60,3,5,10,210,/en/stats/leaderboard?page=serve,3,4,44,26,59,62,16,26,48,16,33,71,10,14,9,62,40,65,46,27,59,54,67,124,54,32,59,38,25,65,46,57,124,A,,,,,,,,Y. Kafelnikov,J. Viloca-Puig,K267,V161,RUS,ESP,,
