event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,settime_tot_winner,settime_tot_loser,tiebreak_set4_winner,tiebreak_set4_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_id_winner,player_id_loser
520,2012,Roland Garros,GS,2012-05-27T00:00:00,2012-06-10T00:00:00,Clay,128,8487000,€,MS001,F,03:49:00,,F,4,N409,"6-4,6-3,2-6,7-5",R. Nadal,N. Djokovic,,,ESP,SRB,6-4,6-3,2-6,7-5,,03:49:00,A,R. Nadal,N. Djokovic,ESP,SRB,,,240,/en/stats/leaderboard?page=serve,4,4,62,73,118,62,45,73,53,24,45,30,3,10,19,219,/en/stats/leaderboard?page=serve,4,3,59,73,123,62,45,73,44,22,50,47,8,17,20,58,69,118,46,56,123,52,125,241,54,67,123,42,49,118,48,116,241,03:49:00,03:49:00,,,,,,,,,N409,D643
520,2012,Roland Garros,GS,2012-05-27T00:00:00,2012-06-10T00:00:00,Clay,128,8487000,€,MS002,SF,02:05:00,,F,3,D643,"6-4,7-5,6-3",N. Djokovic,R. Federer,,,SRB,SUI,6-4,7-5,6-3,,,02:05:00,A,N. Djokovic,R. Federer,SRB,SUI,,,268,/en/stats/leaderboard?page=serve,2,6,68,62,91,73,45,62,48,14,29,50,4,8,16,216,/en/stats/leaderboard?page=serve,3,9,56,48,86,56,27,48,45,17,38,30,3,10,15,65,59,91,49,42,86,57,101,177,51,44,86,35,32,91,43,76,177,02:05:00,02:05:00,,,,,,,,,D643,F324
520,2012,Roland Garros,GS,2012-05-27T00:00:00,2012-06-10T00:00:00,Clay,128,8487000,€,MS003,SF,01:46:00,,F,3,N409,"6-2,6-2,6-1",R. Nadal,D. Ferrer,,,ESP,ESP,6-2,6-2,6-1,,,01:46:00,A,R. Nadal,D. Ferrer,ESP,ESP,,,304,/en/stats/leaderboard?page=serve,1,2,60,39,65,85,33,39,58,15,26,100,2,2,11,187,/en/stats/leaderboard?page=serve,3,1,56,37,66,51,19,37,41,12,29,30,3,10,12,74,48,65,53,35,66,63,83,131,47,31,66,26,17,65,37,48,131,01:46:00,01:46:00,,,,,,,,,N409,F401
520,2012,Roland Garros,GS,2012-05-27T00:00:00,2012-06-10T00:00:00,Clay,128,8487000,€,MS004,QF,04:09:00,,F,5,D643,"6-1,5-7,5-7,7-6(8),6-1",N. Djokovic,J. Tsonga,,,SRB,FRA,6-1,5-7,5-7,7-6(8),6-1,04:09:00,A,N. Djokovic,J. Tsonga,SRB,FRA,,,280,/en/stats/leaderboard?page=serve,2,7,67,114,169,71,81,114,53,29,55,64,7,11,26,253,/en/stats/leaderboard?page=serve,3,6,68,106,156,65,69,106,42,21,50,54,7,13,24,65,110,169,42,66,156,54,176,325,58,90,156,35,59,169,46,149,325,04:09:00,04:09:00,8,6,,,,,,,D643,T786
520,2012,Roland Garros,GS,2012-05-27T00:00:00,2012-06-10T00:00:00,Clay,128,8487000,€,MS005,QF,03:14:00,,F,5,F324,"3-6,6-7(4),6-2,6-0,6-3",R. Federer,J. del Potro,,,SUI,ARG,3-6,6-7(4),6-2,6-0,6-3,03:14:00,A,R. Federer,J. del Potro,SUI,ARG,,,279,/en/stats/leaderboard?page=serve,1,11,58,80,138,69,55,80,60,35,58,60,6,10,23,227,/en/stats/leaderboard?page=serve,4,6,59,80,135,74,59,80,31,17,55,56,10,18,21,65,90,138,44,59,135,55,149,273,56,76,135,35,48,138,45,124,273,03:14:00,03:14:00,,,4,7,,,,,F324,D683
520,2012,Roland Garros,GS,2012-05-27T00:00:00,2012-06-10T00:00:00,Clay,128,8487000,€,MS006,QF,03:45:00,,F,4,F401,"6-4,6-7(3),6-3,6-2",D. Ferrer,A. Murray,,,ESP,GBR,6-4,6-7(3),6-3,6-2,,03:45:00,A,D. Ferrer,A. Murray,ESP,GBR,,,242,/en/stats/leaderboard?page=serve,5,3,64,90,141,68,61,90,39,20,51,67,10,15,19,204,/en/stats/leaderboard?page=serve,1,3,53,84,158,60,50,84,39,29,74,47,9,19,20,57,81,141,50,79,158,54,160,299,50,79,158,43,60,141,46,139,299,03:45:00,03:45:00,,,3,7,,,,,F401,MC10
520,2012,Roland Garros,GS,2012-05-27T00:00:00,2012-06-10T00:00:00,Clay,128,8487000,€,MS007,QF,02:46:00,,F,3,N409,"7-6(7),6-2,6-3",R. Nadal,N. Almagro,,,ESP,ESP,7-6(7),6-2,6-3,,,02:46:00,A,R. Nadal,N. Almagro,ESP,ESP,,,309,/en/stats/leaderboard?page=serve,1,10,66,67,101,84,56,67,50,17,34,100,4,4,15,259,/en/stats/leaderboard?page=serve,1,4,63,66,104,70,46,66,45,17,38,50,3,6,14,72,73,101,39,41,104,56,114,205,61,63,104,28,28,101,44,91,205,02:46:00,02:46:00,,,,,7,4,,,N409,A479
520,2012,Roland Garros,GS,2012-05-27T00:00:00,2012-06-10T00:00:00,Clay,128,8487000,€,MS008,R16,04:18:00,,F,5,D643,"4-6,6-7(5),6-3,7-5,6-3",N. Djokovic,A. Seppi,,,SRB,ITA,4-6,6-7(5),6-3,7-5,6-3,04:18:00,A,N. Djokovic,A. Seppi,SRB,ITA,,,271,/en/stats/leaderboard?page=serve,2,5,63,91,144,69,63,91,60,32,53,40,4,10,26,234,/en/stats/leaderboard?page=serve,4,6,55,113,206,57,64,113,55,51,93,59,13,22,26,66,95,144,44,91,206,53,186,350,56,115,206,34,49,144,47,164,350,04:18:00,04:18:00,,,5,7,,,,,D643,SA93
520,2012,Roland Garros,GS,2012-05-27T00:00:00,2012-06-10T00:00:00,Clay,128,8487000,€,MS009,R16,04:06:00,,F,5,T786,"6-4,7-6(8),3-6,3-6,6-4",J. Tsonga,S. Wawrinka,,,FRA,SUI,6-4,7-6(8),3-6,3-6,6-4,04:06:00,A,J. Tsonga,S. Wawrinka,FRA,SUI,,,261,/en/stats/leaderboard?page=serve,2,4,64,105,164,68,71,105,51,30,59,65,11,17,25,260,/en/stats/leaderboard?page=serve,2,4,63,110,174,71,78,110,44,28,64,62,8,13,25,62,101,164,39,68,174,50,169,338,61,106,174,38,63,164,50,169,338,04:06:00,04:06:00,,,8,6,,,,,T786,W367
520,2012,Roland Garros,GS,2012-05-27T00:00:00,2012-06-10T00:00:00,Clay,128,8487000,€,MS010,R16,02:54:00,,F,4,F324,"5-7,7-5,6-2,6-4",R. Federer,D. Goffin,,,SUI,BEL,5-7,7-5,6-2,6-4,,02:54:00,A,R. Federer,D. Goffin,SUI,BEL,,,312,/en/stats/leaderboard?page=serve,1,12,61,76,125,82,62,76,63,31,49,88,7,8,21,257,/en/stats/leaderboard?page=serve,8,4,58,87,150,64,56,87,59,37,63,69,9,13,21,74,93,125,38,57,150,55,150,275,62,93,150,26,32,125,45,125,275,02:54:00,02:54:00,,,,,,,,,F324,GB88
520,2012,Roland Garros,GS,2012-05-27T00:00:00,2012-06-10T00:00:00,Clay,128,8487000,€,MS011,R16,03:26:00,,F,4,D683,"7-6(8),1-6,6-3,7-5",J. del Potro,T. Berdych,,,ARG,CZE,7-6(8),1-6,6-3,7-5,,03:26:00,A,J. del Potro,T. Berdych,ARG,CZE,,,266,/en/stats/leaderboard?page=serve,3,8,65,82,127,70,57,82,51,23,45,64,9,14,20,262,/en/stats/leaderboard?page=serve,2,12,61,81,133,68,55,81,48,25,52,67,10,15,20,63,80,127,40,53,133,51,133,260,60,80,133,37,47,127,49,127,260,03:26:00,03:26:00,,,,,8,6,,,D683,BA47
520,2012,Roland Garros,GS,2012-05-27T00:00:00,2012-06-10T00:00:00,Clay,128,8487000,€,MS012,R16,01:51:00,,F,3,F401,"6-3,6-2,6-0",D. Ferrer,M. Granollers,,,ESP,ESP,6-3,6-2,6-0,,,01:51:00,A,D. Ferrer,M. Granollers,ESP,ESP,,,314,/en/stats/leaderboard?page=serve,2,0,71,50,70,80,40,50,65,13,20,100,3,3,12,192,/en/stats/leaderboard?page=serve,4,0,70,55,79,60,33,55,21,5,24,57,8,14,11,76,53,70,52,41,79,63,94,149,48,38,79,24,17,70,37,55,149,01:51:00,01:51:00,,,,,,,,,F401,G710
520,2012,Roland Garros,GS,2012-05-27T00:00:00,2012-06-10T00:00:00,Clay,128,8487000,€,MS013,R16,02:30:00,,F,4,MC10,"1-6,6-4,6-1,6-2",A. Murray,R. Gasquet,,,GBR,FRA,1-6,6-4,6-1,6-2,,02:30:00,A,A. Murray,R. Gasquet,GBR,FRA,,,284,/en/stats/leaderboard?page=serve,1,8,65,60,92,78,47,60,53,17,32,67,6,9,16,234,/en/stats/leaderboard?page=serve,3,2,72,77,107,61,47,77,40,12,30,50,6,12,16,70,64,92,45,48,107,56,112,199,55,59,107,30,28,92,44,87,199,02:30:00,02:30:00,,,,,,,,,MC10,G628
520,2012,Roland Garros,GS,2012-05-27T00:00:00,2012-06-10T00:00:00,Clay,128,8487000,€,MS014,R16,02:13:00,,F,3,A479,"6-4,6-4,6-4",N. Almagro,J. Tipsarevic,,,ESP,SRB,6-4,6-4,6-4,,,02:13:00,A,N. Almagro,J. Tipsarevic,ESP,SRB,,,282,/en/stats/leaderboard?page=serve,3,9,51,43,85,77,33,43,62,26,42,60,3,5,15,240,/en/stats/leaderboard?page=serve,5,3,69,69,100,65,45,69,42,13,31,58,7,12,15,69,59,85,42,42,100,55,101,185,58,58,100,31,26,85,45,84,185,02:13:00,02:13:00,,,,,,,,,A479,T742
