event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set4_winner,tiebreak_set4_loser,servicegamesplayed_isstatbetter_tot_winner,doublefaults_isstatbetter_tot_loser,servicegamesplayed_isstatbetter_tot_loser,tiebreak_set5_winner,tiebreak_set5_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
540,1997,Wimbledon,GS,1997-06-23T00:00:00,1997-07-06T00:00:00,Grass,128,5445815,$,MS001,F,01:34:00,,F,3,S402,"6-4,6-2,6-4",P. Sampras,C. Pioline,,,USA,FRA,6-4,6-2,6-4,,,01:34:00,326,/en/stats/leaderboard?page=serve,2,17,64,61.0,95,90,55.0,61.0,65,22.0,34.0,0,14,275,/en/stats/leaderboard?page=serve,1,13,65,60.0,92,77,46.0,60.0,50,16.0,32.0,50,4,8.0,14,81,77,95,33,30,92,57,107,187,67,62,92,19,18,95,43,80,187,A,,,,,,,,,,,,,,,,,P. Sampras,C. Pioline,S402,P226,USA,FRA,,
540,1997,Wimbledon,GS,1997-06-23T00:00:00,1997-07-06T00:00:00,Grass,128,5445815,$,MS002,SF,01:44:00,,F,3,S402,"6-2,6-1,7-6(7)",P. Sampras,T. Woodbridge,,,USA,AUS,6-2,6-1,7-6(7),,,01:44:00,304,/en/stats/leaderboard?page=serve,,10,65,64.0,99,83,53.0,64.0,54,19.0,35.0,5,14,233,/en/stats/leaderboard?page=serve,3,4,63,58.0,92,67,39.0,58.0,41,14.0,34.0,38,3,8.0,13,73,72,99,42,39,92,58,111,191,58,53,92,27,27,99,42,80,191,A,7,3,False,83,6,,,,,,,,,,,,P. Sampras,T. Woodbridge,S402,W136,USA,AUS,,
540,1997,Wimbledon,GS,1997-06-23T00:00:00,1997-07-06T00:00:00,Grass,128,5445815,$,MS003,SF,03:00:00,,F,5,P226,"6-7,6-2,6-1,5-7,6-4",C. Pioline,M. Stich,,,FRA,GER,6-7,6-2,6-1,5-7,6-4,03:00:00,300,/en/stats/leaderboard?page=serve,4,8,69,84.0,121,82,69.0,84.0,51,19.0,37.0,4,19,249,/en/stats/leaderboard?page=serve,9,11,59,73.0,123,78,57.0,73.0,38,19.0,50.0,55,6,11.0,18,73,88,121,38,47,123,55,135,244,62,76,123,27,33,121,45,109,244,A,,,,80,5,,,,,,,,,,,,C. Pioline,M. Stich,P226,S351,FRA,GER,,
540,1997,Wimbledon,GS,1997-06-23T00:00:00,1997-07-06T00:00:00,Grass,128,5445815,$,MS004,QF,02:06:00,,F,4,S402,"6-1,6-7(5),6-1,6-4",P. Sampras,B. Becker,,,USA,GER,6-1,6-7(5),6-1,6-4,,02:06:00,302,/en/stats/leaderboard?page=serve,4,17,69,90.0,131,91,82.0,90.0,51,21.0,41.0,0,19,256,/en/stats/leaderboard?page=serve,2,6,64,70.0,109,74,52.0,70.0,44,17.0,39.0,44,4,9.0,17,79,103,131,37,40,109,60,143,240,63,69,109,21,28,131,40,97,240,A,,,,,,5,7,,,,,,,,,,P. Sampras,B. Becker,S402,B028,USA,GER,,
540,1997,Wimbledon,GS,1997-06-23T00:00:00,1997-07-06T00:00:00,Grass,128,5445815,$,MS005,QF,02:42:00,,F,4,W136,"7-6(9),2-6,6-0,6-4",T. Woodbridge,N. Kiefer,,,AUS,GER,7-6(9),2-6,6-0,6-4,,02:42:00,238,/en/stats/leaderboard?page=serve,11,5,56,88.0,157,72,63.0,88.0,39,27.0,69.0,11,18,241,/en/stats/leaderboard?page=serve,4,9,60,78.0,129,73,57.0,78.0,37,19.0,51.0,57,8,14.0,18,57,90,157,41,53,129,50,143,286,59,76,129,43,67,157,50,143,286,A,,,,73,15,,,9,7,,,,,,,,T. Woodbridge,N. Kiefer,W136,K316,AUS,GER,,
540,1997,Wimbledon,GS,1997-06-23T00:00:00,1997-07-06T00:00:00,Grass,128,5445815,$,MS006,QF,01:28:00,,F,3,S351,"6-3,6-2,6-4",M. Stich,T. Henman,,,GER,GBR,6-3,6-2,6-4,,,01:28:00,293,/en/stats/leaderboard?page=serve,4,9,53,48.0,90,83,40.0,48.0,67,28.0,42.0,0,14,213,/en/stats/leaderboard?page=serve,10,1,48,42.0,87,76,32.0,42.0,29,13.0,45.0,56,5,9.0,13,76,68,90,48,42,87,62,110,177,52,45,87,24,22,90,38,67,177,A,,,,,,,,,,,,,,,,,M. Stich,T. Henman,S351,H336,GER,GBR,,
540,1997,Wimbledon,GS,1997-06-23T00:00:00,1997-07-06T00:00:00,Grass,128,5445815,$,MS007,QF,02:01:00,,F,4,P226,"6-4,4-6,6-4,6-3",C. Pioline,G. Rusedski,,,FRA,GBR,6-4,4-6,6-4,6-3,,02:01:00,277,/en/stats/leaderboard?page=serve,7,4,62,69.0,111,84,58.0,69.0,45,19.0,42.0,1,19,259,/en/stats/leaderboard?page=serve,10,19,58,86.0,149,85,73.0,86.0,32,20.0,63.0,55,6,11.0,20,69,77,111,38,56,149,51,133,260,62,93,149,31,34,111,49,127,260,A,,,,33,3,,,,,,,,,,,,C. Pioline,G. Rusedski,P226,R237,FRA,GBR,,
540,1997,Wimbledon,GS,1997-06-23T00:00:00,1997-07-06T00:00:00,Grass,128,5445815,$,MS008,R16,03:23:00,,F,5,S402,"6-4,6-3,6-7(8),6-7(1),6-4",P. Sampras,P. Korda,,,USA,CZE,6-4,6-3,6-7(8),6-7(1),6-4,03:23:00,330,/en/stats/leaderboard?page=serve,4,27,72,136.0,188,85,116.0,136.0,62,32.0,52.0,0,27,273,/en/stats/leaderboard?page=serve,10,13,53,113.0,212,75,85.0,113.0,54,53.0,99.0,73,8,11.0,26,79,148,188,35,74,212,56,222,400,65,138,212,21,40,188,45,178,400,A,8,10,,,,,,,,1,7,,,,,,P. Sampras,P. Korda,S402,K148,USA,CZE,,
540,1997,Wimbledon,GS,1997-06-23T00:00:00,1997-07-06T00:00:00,Grass,128,5445815,$,MS009,R16,01:42:00,,F,3,B028,"6-2,6-2,7-6(7)",B. Becker,M. Rios,,,GER,CHI,6-2,6-2,7-6(7),,,01:42:00,289,/en/stats/leaderboard?page=serve,5,15,68,69.0,102,87,60.0,69.0,39,13.0,33.0,1,14,225,/en/stats/leaderboard?page=serve,2,4,55,56.0,102,61,34.0,56.0,50,23.0,46.0,45,5,11.0,14,72,73,102,44,45,102,58,118,204,56,57,102,28,29,102,42,86,204,A,7,5,,33,3,,,,,,,,,,,,B. Becker,M. Rios,B028,R286,GER,CHI,,
540,1997,Wimbledon,GS,1997-06-23T00:00:00,1997-07-06T00:00:00,Grass,128,5445815,$,MS010,R16,01:52:00,,F,4,K316,"6-2,7-5,2-6,6-1",N. Kiefer,Y. Kafelnikov,,,GER,RUS,6-2,7-5,2-6,6-1,,01:52:00,269,/en/stats/leaderboard?page=serve,7,12,50,65.0,130,80,52.0,65.0,51,33.0,65.0,8,18,215,/en/stats/leaderboard?page=serve,11,7,46,59.0,128,71,42.0,59.0,38,26.0,69.0,57,8,14.0,17,65,85,130,47,60,128,56,145,258,53,68,128,35,45,130,44,113,258,A,,,,73,11,,,,,,,,,,,,N. Kiefer,Y. Kafelnikov,K316,K267,GER,RUS,,
