event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,settime_tot_winner,settime_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set4_winner,tiebreak_set4_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set5_winner,tiebreak_set5_loser,player_id_winner,player_id_loser
560,2025,US Open,GS,2025-08-24T00:00:00,2025-09-07T00:00:00,Hard,128,40412800,$,MS001,F,02:42:00,,F,4,A0E2,"6-2,3-6,6-1,6-4",C. Alcaraz,J. Sinner,,,ESP,ITA,6-2,3-6,6-1,6-4,,02:42:00,A,C. Alcaraz,J. Sinner,ESP,ITA,,,305,/en/stats/leaderboard?page=serve,0,10,61,54,89,83,45,54,57,20,35,0,0,1,17,233,/en/stats/leaderboard?page=serve,4,2,48,54,112,69,37,54,48,28,58,55,6,11,17,73,65,89,42,47,112,56,112,201,58,65,112,27,24,89,44,89,201,02:42:00,02:42:00,,,,,,,,,,,A0E2,S0AG
560,2025,US Open,GS,2025-08-24T00:00:00,2025-09-07T00:00:00,Hard,128,40412800,$,MS002,SF,03:21:00,,F,4,S0AG,"6-1,3-6,6-3,6-4",J. Sinner,F. Auger-Aliassime,,,ITA,CAN,6-1,3-6,6-3,6-4,,03:21:00,A,J. Sinner,F. Auger-Aliassime,ITA,CAN,,,297,/en/stats/leaderboard?page=serve,4,11,53,58,109,76,44,58,67,34,51,90,9,10,18,262,/en/stats/leaderboard?page=serve,5,9,65,72,111,71,51,72,46,18,39,64,7,11,17,72,78,109,38,42,111,55,120,220,62,69,111,28,31,109,45,100,220,03:21:00,03:21:00,,,,,,,,,,,S0AG,AG37
560,2025,US Open,GS,2025-08-24T00:00:00,2025-09-07T00:00:00,Hard,128,40412800,$,MS003,SF,02:23:00,,F,3,A0E2,"6-4,7-6(7),6-2",C. Alcaraz,N. Djokovic,,,ESP,SRB,6-4,7-6(7),6-2,,,02:23:00,A,C. Alcaraz,N. Djokovic,ESP,SRB,,,292,/en/stats/leaderboard?page=serve,2,7,56,50,89,84,42,50,54,21,39,0,0,1,15,247,/en/stats/leaderboard?page=serve,5,4,60,56,93,66,37,56,49,18,37,43,3,7,15,71,63,89,41,38,93,55,101,182,59,55,93,29,26,89,45,81,182,02:23:00,02:23:00,7,4,,,,,,,,,A0E2,D643
560,2025,US Open,GS,2025-08-24T00:00:00,2025-09-07T00:00:00,Hard,128,40412800,$,MS004,QF,02:00:00,,F,3,S0AG,"6-1,6-4,6-2",J. Sinner,L. Musetti,,,ITA,ITA,6-1,6-4,6-2,,,02:00:00,A,J. Sinner,L. Musetti,ITA,ITA,,,314,/en/stats/leaderboard?page=serve,0,10,61,46,75,91,42,46,52,15,29,100,7,7,13,226,/en/stats/leaderboard?page=serve,1,2,62,41,66,73,30,41,32,8,25,17,1,6,12,76,57,75,42,28,66,60,85,141,58,38,66,24,18,75,40,56,141,02:00:00,02:00:00,,,,,,,,,,,S0AG,M0EJ
560,2025,US Open,GS,2025-08-24T00:00:00,2025-09-07T00:00:00,Hard,128,40412800,$,MS005,QF,04:10:00,,F,4,AG37,"4-6,7-6(9),7-5,7-6(7)",F. Auger-Aliassime,A. de Minaur,,,CAN,AUS,4-6,7-6(9),7-5,7-6(7),,04:10:00,A,F. Auger-Aliassime,A. de Minaur,CAN,AUS,,,271,/en/stats/leaderboard?page=serve,11,22,64,95,148,82,78,95,32,17,53,60,6,10,23,248,/en/stats/leaderboard?page=serve,11,8,42,69,163,77,53,69,50,47,94,56,5,9,23,64,95,148,39,63,163,51,158,311,61,100,163,36,53,148,49,153,311,04:10:00,04:10:00,9,7,7,4,,,,,,,AG37,DH58
560,2025,US Open,GS,2025-08-24T00:00:00,2025-09-07T00:00:00,Hard,128,40412800,$,MS006,QF,03:24:00,,F,4,D643,"6-3,7-5,3-6,6-4",N. Djokovic,T. Fritz,,,SRB,USA,6-3,7-5,3-6,6-4,,03:24:00,A,N. Djokovic,T. Fritz,SRB,USA,,,282,/en/stats/leaderboard?page=serve,8,10,63,88,139,72,63,88,55,28,51,85,11,13,20,272,/en/stats/leaderboard?page=serve,5,12,56,66,117,82,54,66,47,24,51,56,5,9,20,65,91,139,33,39,117,51,130,256,67,78,117,35,48,139,49,126,256,03:24:00,03:24:00,,,,,,,,,,,D643,FB98
560,2025,US Open,GS,2025-08-24T00:00:00,2025-09-07T00:00:00,Hard,128,40412800,$,MS007,QF,01:56:00,,F,3,A0E2,"6-4,6-2,6-4",C. Alcaraz,J. Lehecka,,,ESP,CZE,6-4,6-2,6-4,,,01:56:00,A,C. Alcaraz,J. Lehecka,ESP,CZE,,,323,/en/stats/leaderboard?page=serve,2,5,63,45,71,84,38,45,73,19,26,0,0,0,14,247,/en/stats/leaderboard?page=serve,4,4,64,55,86,67,37,55,45,14,31,56,5,9,14,80,57,71,41,35,86,59,92,157,59,51,86,20,14,71,41,65,157,01:56:00,01:56:00,,,,,,,,,,,A0E2,L0BV
560,2025,US Open,GS,2025-08-24T00:00:00,2025-09-07T00:00:00,Hard,128,40412800,$,MS008,R16,01:21:00,,F,3,S0AG,"6-1,6-1,6-1",J. Sinner,A. Bublik,,,ITA,KAZ,6-1,6-1,6-1,,,01:21:00,A,J. Sinner,A. Bublik,ITA,KAZ,,,319,/en/stats/leaderboard?page=serve,1,8,58,31,53,81,25,31,73,16,22,100,1,1,10,154,/en/stats/leaderboard?page=serve,13,2,59,47,79,60,28,47,19,6,32,53,9,17,11,77,41,53,57,45,79,65,86,132,43,34,79,23,12,53,35,46,132,01:21:00,01:21:00,,,,,,,,,,,S0AG,BK92
560,2025,US Open,GS,2025-08-24T00:00:00,2025-09-07T00:00:00,Hard,128,40412800,$,MS009,R16,01:37:00,,F,3,M0EJ,"6-3,6-0,6-1",L. Musetti,J. Munar,,,ITA,ESP,6-3,6-0,6-1,,,01:37:00,A,L. Musetti,J. Munar,ITA,ESP,,,302,/en/stats/leaderboard?page=serve,4,7,51,33,65,82,27,33,66,21,32,100,4,4,11,170,/en/stats/leaderboard?page=serve,5,2,48,27,56,48,13,27,41,12,29,13,1,8,11,74,48,65,55,31,56,65,79,121,45,25,56,26,17,65,35,42,121,01:37:00,01:37:00,,,,,,,,,,,M0EJ,MU94
560,2025,US Open,GS,2025-08-24T00:00:00,2025-09-07T00:00:00,Hard,128,40412800,$,MS010,R16,02:16:00,,F,3,AG37,"7-5,6-3,6-4",F. Auger-Aliassime,A. Rublev,,,CAN,RUS,7-5,6-3,6-4,,,02:16:00,A,F. Auger-Aliassime,A. Rublev,CAN,RUS,,,306,/en/stats/leaderboard?page=serve,4,13,66,60,91,83,50,60,55,17,31,75,3,4,16,248,/en/stats/leaderboard?page=serve,4,6,54,50,93,70,35,50,49,21,43,43,3,7,15,74,67,91,40,37,93,57,104,184,60,56,93,26,24,91,43,80,184,02:16:00,02:16:00,,,,,,,,,,,AG37,RE44
560,2025,US Open,GS,2025-08-24T00:00:00,2025-09-07T00:00:00,Hard,128,40412800,$,MS011,R16,01:33:00,,F,3,DH58,"6-3,6-2,6-1",A. de Minaur,L. Riedi,,,AUS,SUI,6-3,6-2,6-1,,,01:33:00,A,A. de Minaur,L. Riedi,AUS,SUI,,,272,/en/stats/leaderboard?page=serve,3,9,62,48,77,73,35,48,48,14,29,67,4,6,12,160,/en/stats/leaderboard?page=serve,9,3,51,36,70,47,17,36,35,12,34,47,7,15,12,64,49,77,59,41,70,61,90,147,41,29,70,36,28,77,39,57,147,01:33:00,01:33:00,,,,,,,,,,,DH58,R0FS
560,2025,US Open,GS,2025-08-24T00:00:00,2025-09-07T00:00:00,Hard,128,40412800,$,MS012,R16,01:49:00,,F,3,D643,"6-3,6-3,6-2",N. Djokovic,J. Struff,,,SRB,GER,6-3,6-3,6-2,,,01:49:00,A,N. Djokovic,J. Struff,SRB,GER,,,306,/en/stats/leaderboard?page=serve,0,12,65,48,74,79,38,48,58,15,26,0,0,1,13,208,/en/stats/leaderboard?page=serve,6,6,49,38,78,66,25,38,40,16,40,25,2,8,13,72,53,74,47,37,78,59,90,152,53,41,78,28,21,74,41,62,152,01:49:00,01:49:00,,,,,,,,,,,D643,SL28
560,2025,US Open,GS,2025-08-24T00:00:00,2025-09-07T00:00:00,Hard,128,40412800,$,MS013,R16,01:38:00,,F,3,FB98,"6-4,6-3,6-3",T. Fritz,T. Machac,,,USA,CZE,6-4,6-3,6-3,,,01:38:00,A,T. Fritz,T. Machac,USA,CZE,,,330,/en/stats/leaderboard?page=serve,2,14,62,43,69,91,39,43,65,17,26,0,0,0,14,247,/en/stats/leaderboard?page=serve,3,4,54,44,81,70,31,44,51,19,37,50,4,8,14,81,56,69,38,31,81,58,87,150,62,50,81,19,13,69,42,63,150,01:38:00,01:38:00,,,,,,,,,,,FB98,M0FH
560,2025,US Open,GS,2025-08-24T00:00:00,2025-09-07T00:00:00,Hard,128,40412800,$,MS014,R16,03:14:00,,F,4,L0BV,"7-6(7),6-4,2-6,6-2",J. Lehecka,A. Mannarino,,,CZE,FRA,7-6(7),6-4,2-6,6-2,,03:14:00,A,J. Lehecka,A. Mannarino,CZE,FRA,,,251,/en/stats/leaderboard?page=serve,10,18,52,61,117,72,44,61,46,26,56,29,2,7,19,230,/en/stats/leaderboard?page=serve,4,4,54,74,137,59,44,74,49,31,63,65,11,17,19,60,70,117,45,62,137,52,132,254,55,75,137,40,47,117,48,122,254,03:14:00,03:14:00,,,,,7,4,,,,,L0BV,ME82
560,2025,US Open,GS,2025-08-24T00:00:00,2025-09-07T00:00:00,Hard,128,40412800,$,MS015,R16,02:12:00,,F,3,A0E2,"7-6(7),6-3,6-4",C. Alcaraz,A. Rinderknech,,,ESP,FRA,7-6(7),6-3,6-4,,,02:12:00,A,C. Alcaraz,A. Rinderknech,ESP,FRA,,,328,/en/stats/leaderboard?page=serve,1,6,62,53,86,85,45,53,76,25,33,100,2,2,16,277,/en/stats/leaderboard?page=serve,4,11,57,51,89,80,41,51,47,18,38,60,3,5,15,81,70,86,34,30,89,57,100,175,66,59,89,19,16,86,43,75,175,02:12:00,02:12:00,,,,,7,3,,,,,A0E2,RC91
