event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_winner,tiebreak_set1_loser,player_id_winner,player_id_loser
568,2007,St. Petersburg,WS,2007-10-22T00:00:00,2007-10-28T00:00:00,Carpet,32,975000,$,MS001,F,01:17:00,,F,2,MC10,"6-2,6-3",A. Murray,F. Verdasco,,,GBR,ESP,6-2,6-3,,,,01:17:00,A,A. Murray,F. Verdasco,GBR,ESP,,,286,/en/stats/leaderboard?page=serve,0,1,45,23,51,83,19,23,57,16,28,100,1,1,8,221,/en/stats/leaderboard?page=serve,0,1,68,40,59,55,22,40,42,8,19,43,3,7,9,69,35,51,49,29,59,58,64,110,51,30,59,31,16,51,42,46,110,,,,,,,MC10,V306
568,2007,St. Petersburg,WS,2007-10-22T00:00:00,2007-10-28T00:00:00,Carpet,32,975000,$,MS002,SF,01:09:00,,F,2,V306,"6-2,6-3",F. Verdasco,M. Cilic,,,ESP,CRO,6-2,6-3,,,,01:09:00,A,F. Verdasco,M. Cilic,ESP,CRO,,,321,/en/stats/leaderboard?page=serve,0,1,83,43,52,81,35,43,56,5,9,100,1,1,9,225,/en/stats/leaderboard?page=serve,2,4,51,25,49,64,16,25,46,11,24,40,2,5,8,77,40,52,45,22,49,61,62,101,55,27,49,23,12,52,39,39,101,,,,,,,V306,C977
568,2007,St. Petersburg,WS,2007-10-22T00:00:00,2007-10-28T00:00:00,Carpet,32,975000,$,MS003,SF,02:31:00,,F,3,MC10,"6-2,5-7,7-6(7)",A. Murray,M. Youzhny,,,GBR,RUS,6-2,5-7,7-6(7),,,02:31:00,A,A. Murray,M. Youzhny,GBR,RUS,,,281,/en/stats/leaderboard?page=serve,2,10,53,54,102,83,45,54,50,24,48,50,2,4,16,266,/en/stats/leaderboard?page=serve,3,3,64,67,104,75,50,67,46,17,37,63,5,8,16,68,69,102,36,37,104,51,106,206,64,67,104,32,33,102,49,100,206,7.0,1.0,,,,,MC10,Y061
568,2007,St. Petersburg,WS,2007-10-22T00:00:00,2007-10-28T00:00:00,Carpet,32,975000,$,MS004,QF,01:24:00,,F,2,C977,"6-4,6-4",M. Cilic,E. Gulbis,,,CRO,LAT,6-4,6-4,,,,01:24:00,A,M. Cilic,E. Gulbis,CRO,LAT,,,305,/en/stats/leaderboard?page=serve,1,9,50,30,60,77,23,30,70,21,30,100,1,1,10,255,/en/stats/leaderboard?page=serve,4,2,61,44,72,73,32,44,43,12,28,78,7,9,10,73,44,60,39,28,72,55,72,132,61,44,72,27,16,60,45,60,132,,,,,,,C977,G858
568,2007,St. Petersburg,WS,2007-10-22T00:00:00,2007-10-28T00:00:00,Carpet,32,975000,$,MS006,QF,00:42:00,,F,1,Y061,6-4,M. Youzhny,P. Kohlschreiber,,,RUS,GER,6-4,,,,,00:42:00,A,M. Youzhny,P. Kohlschreiber,RUS,GER,,,229,/en/stats/leaderboard?page=serve,0,0,52,14,27,71,10,14,46,6,13,33,1,3,5,185,/en/stats/leaderboard?page=serve,1,1,59,16,27,50,8,16,36,4,11,0,0,3,5,59,16,27,56,15,27,57,31,54,44,12,27,41,11,27,43,23,54,,,,,,,Y061,K435
568,2007,St. Petersburg,WS,2007-10-22T00:00:00,2007-10-28T00:00:00,Carpet,32,975000,$,MS007,QF,02:14:00,,F,3,MC10,"3-6,7-6(7),6-4",A. Murray,D. Tursunov,,,GBR,RUS,3-6,7-6(7),6-4,,,02:14:00,A,A. Murray,D. Tursunov,GBR,RUS,,,274,/en/stats/leaderboard?page=serve,4,9,51,57,111,82,47,57,50,27,54,86,12,14,15,288,/en/stats/leaderboard?page=serve,2,6,63,57,91,75,43,57,59,20,34,33,1,3,16,67,74,111,31,28,91,50,102,202,69,63,91,33,37,111,50,100,202,,,7.0,2.0,,,MC10,T315
568,2007,St. Petersburg,WS,2007-10-22T00:00:00,2007-10-28T00:00:00,Carpet,32,975000,$,MS008,R16,01:56:00,,F,3,C977,"1-6,7-5,6-1",M. Cilic,N. Davydenko,,,CRO,RUS,1-6,7-5,6-1,,,01:56:00,A,M. Cilic,N. Davydenko,CRO,RUS,,,253,/en/stats/leaderboard?page=serve,0,4,55,45,82,64,29,45,54,20,37,57,4,7,13,231,/en/stats/leaderboard?page=serve,10,1,71,58,82,67,39,58,33,8,24,50,4,8,13,60,49,82,43,35,82,51,84,164,57,47,82,40,33,82,49,80,164,,,,,,,C977,D402
568,2007,St. Petersburg,WS,2007-10-22T00:00:00,2007-10-28T00:00:00,Carpet,32,975000,$,MS009,R16,00:51:00,,F,2,G858,"6-1,6-2",E. Gulbis,N. Massu,,,LAT,CHI,6-1,6-2,,,,00:51:00,A,E. Gulbis,N. Massu,LAT,CHI,,,332,/en/stats/leaderboard?page=serve,0,14,71,29,41,97,28,29,50,6,12,100,1,1,8,185,/en/stats/leaderboard?page=serve,2,1,51,23,45,57,13,23,36,8,22,50,4,8,7,83,34,41,53,24,45,67,58,86,47,21,45,17,7,41,33,28,86,,,,,,,G858,M655
568,2007,St. Petersburg,WS,2007-10-22T00:00:00,2007-10-28T00:00:00,Carpet,32,975000,$,MS010,R16,01:28:00,,F,2,S843,"7-6(7),6-2",P. Starace,M. Ledovskikh,,,ITA,RUS,7-6(7),6-2,,,,01:28:00,A,P. Starace,M. Ledovskikh,ITA,RUS,,,295,/en/stats/leaderboard?page=serve,1,2,71,51,72,71,36,51,62,13,21,83,5,6,10,241,/en/stats/leaderboard?page=serve,4,7,53,34,64,68,23,34,47,14,30,25,1,4,10,68,49,72,42,27,64,56,76,136,58,37,64,32,23,72,44,60,136,,,,,7.0,4.0,S843,L702
568,2007,St. Petersburg,WS,2007-10-22T00:00:00,2007-10-28T00:00:00,Carpet,32,975000,$,MS011,R16,01:17:00,,F,2,V306,"6-4,6-4",F. Verdasco,S. Bolelli,,,ESP,ITA,6-4,6-4,,,,01:17:00,A,F. Verdasco,S. Bolelli,ESP,ITA,,,333,/en/stats/leaderboard?page=serve,1,5,84,46,55,78,36,46,67,6,9,100,1,1,10,260,/en/stats/leaderboard?page=serve,2,1,54,37,69,68,25,37,59,19,32,78,7,9,10,76,42,55,36,25,69,54,67,124,64,44,69,24,13,55,46,57,124,,,,,,,V306,BA98
