event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_loser,tiebreak_set4_winner,tiebreak_set4_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
580,1996,Australian Open,GS,1996-01-15T00:00:00,1996-01-28T00:00:00,Hard,128,3180318,$,MS001,F,00:03:00,,F,4,B028,"6-2,6-4,2-6,6-2",B. Becker,M. Chang,,,GER,USA,6-2,6-4,2-6,6-2,,00:03:00,275,/en/stats/leaderboard?page=serve,6,11,52,64,123,84,54,64,46,27,59,78,7,9,17,245,/en/stats/leaderboard?page=serve,6,11,49,65,132,78,51,65,43,29,67,78,18,23,17,66,81,123,39,52,132,52,133,255,61,80,132,34,42,123,48,122,255,A,,,,,,,,,,,B. Becker,M. Chang,B028,C274,GER,USA,,
580,1996,Australian Open,GS,1996-01-15T00:00:00,1996-01-28T00:00:00,Hard,128,3180318,$,MS002,SF,00:02:00,,F,3,B028,"6-4,6-2,6-0",B. Becker,M. Woodforde,,,GER,AUS,6-4,6-2,6-0,,,00:02:00,297,/en/stats/leaderboard?page=serve,3,12,60,48,80,90,43,48,47,15,32,50,1,2,12,183,/en/stats/leaderboard?page=serve,9,5,57,57,100,61,35,57,28,12,43,63,12,19,12,73,58,80,53,53,100,62,111,180,47,47,100,28,22,80,38,69,180,A,,,,,,,,,,,B. Becker,M. Woodforde,B028,W035,GER,AUS,,
580,1996,Australian Open,GS,1996-01-15T00:00:00,1996-01-28T00:00:00,Hard,128,3180318,$,MS003,SF,00:03:00,,F,3,C274,"6-1,6-4,7-6(7)",M. Chang,A. Agassi,,,USA,USA,6-1,6-4,7-6(7),,,00:03:00,288,/en/stats/leaderboard?page=serve,2,13,55,54,98,81,44,54,61,27,44,50,3,6,15,213,/en/stats/leaderboard?page=serve,5,2,60,82,137,52,43,82,47,26,55,68,13,19,14,72,71,98,50,68,137,59,139,235,50,69,137,28,27,98,41,96,235,A,7,1,,,,,,,,,M. Chang,A. Agassi,C274,A092,USA,USA,,
580,1996,Australian Open,GS,1996-01-15T00:00:00,1996-01-28T00:00:00,Hard,128,3180318,$,MS004,QF,00:03:00,,F,3,W035,"6-4,6-4,6-4",M. Woodforde,T. Enqvist,,,AUS,SWE,6-4,6-4,6-4,,,00:03:00,312,/en/stats/leaderboard?page=serve,,16,69,73,106,89,65,73,58,19,33,,0,,15,259,/en/stats/leaderboard?page=serve,5,8,58,69,118,75,52,69,43,21,49,73,8,11,15,79,84,106,38,45,118,58,129,224,62,73,118,21,22,106,42,95,224,A,,,False,,,,,,,,M. Woodforde,T. Enqvist,W035,E113,AUS,SWE,,
580,1996,Australian Open,GS,1996-01-15T00:00:00,1996-01-28T00:00:00,Hard,128,3180318,$,MS005,QF,00:02:00,,F,3,B028,"6-4,7-6(11),6-1",B. Becker,Y. Kafelnikov,,,GER,RUS,6-4,7-6(11),6-1,,,00:02:00,231,/en/stats/leaderboard?page=serve,4,26,60,73,122,96,70,73,53,26,49,0,0,,15,255,/en/stats/leaderboard?page=serve,4,3,60,59,99,78,46,59,40,16,40,57,4,7,14,79,96,122,37,37,99,60,133,221,63,62,99,21,26,122,40,88,221,A,,,,11,9,,,,,,B. Becker,Y. Kafelnikov,B028,K267,GER,RUS,,
580,1996,Australian Open,GS,1996-01-15T00:00:00,1996-01-28T00:00:00,Hard,128,3180318,$,MS006,QF,00:01:00,,F,3,C274,"6-0,6-2,6-4",M. Chang,M. Tillstrom,,,USA,SWE,6-0,6-2,6-4,,,00:01:00,324,/en/stats/leaderboard?page=serve,,8,65,44,68,93,41,44,67,16,24,,0,,12,206,/en/stats/leaderboard?page=serve,2,1,67,50,75,62,31,50,28,7,25,25,2,8,12,84,57,68,49,37,75,66,94,143,51,38,75,16,11,68,34,49,143,A,,,False,,,,,,,,M. Chang,M. Tillstrom,C274,T166,USA,SWE,,
580,1996,Australian Open,GS,1996-01-15T00:00:00,1996-01-28T00:00:00,Hard,128,3180318,$,MS007,QF,00:04:00,,F,5,A092,"6-7(7),2-6,6-3,6-4,6-2",A. Agassi,J. Courier,,,USA,USA,6-7(7),2-6,6-3,6-4,6-2,00:04:00,284,/en/stats/leaderboard?page=serve,4,8,72,112,156,68,76,112,57,25,44,50,4,8,24,271,/en/stats/leaderboard?page=serve,5,13,67,108,162,69,74,108,54,29,54,63,10,16,23,65,101,156,36,59,162,50,160,318,64,103,162,35,55,156,50,158,318,A,,,,,,7,9,,,,A. Agassi,J. Courier,A092,C243,USA,USA,,
580,1996,Australian Open,GS,1996-01-15T00:00:00,1996-01-28T00:00:00,Hard,128,3180318,$,MS008,R16,00:02:00,,F,3,W035,"6-2,6-2,6-2",M. Woodforde,M. Philippoussis,,,AUS,AUS,6-2,6-2,6-2,,,00:02:00,292,/en/stats/leaderboard?page=serve,1,4,56,40,72,83,33,40,59,19,32,75,3,4,12,201,/en/stats/leaderboard?page=serve,8,12,62,69,112,61,42,69,33,14,43,46,6,13,12,72,52,72,50,56,112,59,108,184,50,56,112,28,20,72,41,76,184,A,,,,,,,,,,,M. Woodforde,M. Philippoussis,W035,P338,AUS,AUS,,
580,1996,Australian Open,GS,1996-01-15T00:00:00,1996-01-28T00:00:00,Hard,128,3180318,$,MS009,R16,00:01:00,,F,3,E113,"7-5,6-0,6-3",T. Enqvist,R. Furlan,,,SWE,ITA,7-5,6-0,6-3,,,00:01:00,263,/en/stats/leaderboard?page=serve,1,4,64,56,88,71,40,56,47,15,32,25,1,4,14,184,/en/stats/leaderboard?page=serve,2,3,58,45,77,53,24,45,34,11,32,43,6,14,13,63,55,88,55,42,77,59,97,165,45,35,77,38,33,88,41,68,165,A,,,,,,,,,,,T. Enqvist,R. Furlan,E113,F192,SWE,ITA,,
580,1996,Australian Open,GS,1996-01-15T00:00:00,1996-01-28T00:00:00,Hard,128,3180318,$,MS010,R16,00:02:00,,F,4,B028,"1-6,6-4,6-3,6-2",B. Becker,B. Steven,,,GER,NZL,1-6,6-4,6-3,6-2,,00:02:00,272,/en/stats/leaderboard?page=serve,3,6,65,76,117,78,59,76,44,18,41,75,9,12,17,265,/en/stats/leaderboard?page=serve,1,2,75,80,107,56,45,80,63,17,27,58,7,12,17,66,77,117,42,45,107,54,122,224,58,62,107,34,40,117,46,102,224,A,,,,,,,,,,,B. Becker,B. Steven,B028,S321,GER,NZL,,
