event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,settime_tot_winner,settime_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set5_winner,tiebreak_set5_loser,tiebreak_set4_winner,tiebreak_set4_loser,player_id_winner,player_id_loser
580,2023,Australian Open,GS,2023-01-16T00:00:00,2023-01-29T00:00:00,Hard,128,34848000,A$,MS001,F,02:56:00,,F,3,D643,"6-3,7-6(7),7-6(7)",N. Djokovic,S. Tsitsipas,,,SRB,GRE,6-3,7-6(7),7-6(7),,,02:56:00,A,N. Djokovic,S. Tsitsipas,SRB,GRE,,,308,/en/stats/leaderboard?page=serve,3,7,66,66,100,82,54,66,62,21,34,67,2,3,17,287,/en/stats/leaderboard?page=serve,3,15,65,69,106,72,50,69,51,19,37,60,3,5,16,75,75,100,35,37,106,54,112,206,65,69,106,25,25,100,46,94,206,7,4,7,5,02:56:00,02:56:00,,,,,,,D643,TE51
580,2023,Australian Open,GS,2023-01-16T00:00:00,2023-01-29T00:00:00,Hard,128,34848000,A$,MS002,SF,03:21:00,,F,4,TE51,"7-6(7),6-4,6-7(6),6-3",S. Tsitsipas,K. Khachanov,,,GRE,RUS,7-6(7),6-4,6-7(6),6-3,,03:21:00,A,S. Tsitsipas,K. Khachanov,GRE,RUS,,,300,/en/stats/leaderboard?page=serve,5,18,64,82,129,84,69,82,53,25,47,25,1,4,22,277,/en/stats/leaderboard?page=serve,1,10,68,94,139,66,62,94,58,26,45,58,7,12,21,73,94,129,37,51,139,54,145,268,63,88,139,27,35,129,46,123,268,,,6,8,03:21:00,03:21:00,7,2,,,,,TE51,KE29
580,2023,Australian Open,GS,2023-01-16T00:00:00,2023-01-29T00:00:00,Hard,128,34848000,A$,MS003,SF,02:20:00,,F,3,D643,"7-5,6-1,6-2",N. Djokovic,T. Paul,,,SRB,USA,7-5,6-1,6-2,,,02:20:00,A,N. Djokovic,T. Paul,SRB,USA,,,280,/en/stats/leaderboard?page=serve,5,12,58,53,91,75,40,53,55,21,38,78,7,9,14,205,/en/stats/leaderboard?page=serve,0,4,58,45,77,53,24,45,44,14,32,36,4,11,13,67,61,91,51,39,77,60,100,168,49,38,77,33,30,91,40,68,168,,,,,02:20:00,02:20:00,,,,,,,D643,PL56
580,2023,Australian Open,GS,2023-01-16T00:00:00,2023-01-29T00:00:00,Hard,128,34848000,A$,MS004,QF,01:50:00,,F,3,KE29,"7-6(7),6-3,3-0",K. Khachanov,S. Korda,,,RUS,USA,7-6(7),6-3,3-0,,,01:50:00,A,K. Khachanov,S. Korda,RUS,USA,,,302,/en/stats/leaderboard?page=serve,0,12,67,50,75,80,40,50,52,13,25,67,2,3,12,241,/en/stats/leaderboard?page=serve,2,4,64,49,76,61,30,49,48,13,27,60,6,10,12,71,53,75,43,33,76,57,86,151,57,43,76,29,22,75,43,65,151,,,,,01:50:00,01:50:00,7,5,,,,,KE29,K0AH
580,2023,Australian Open,GS,2023-01-16T00:00:00,2023-01-29T00:00:00,Hard,128,34848000,A$,MS005,QF,02:17:00,,F,3,TE51,"6-3,7-6(7),6-4",S. Tsitsipas,J. Lehecka,,,GRE,CZE,6-3,7-6(7),6-4,,,02:17:00,A,S. Tsitsipas,J. Lehecka,GRE,CZE,,,318,/en/stats/leaderboard?page=serve,2,9,66,66,100,80,53,66,65,22,34,100,8,8,16,275,/en/stats/leaderboard?page=serve,4,7,64,62,97,79,49,62,43,15,35,67,4,6,15,75,75,100,34,33,97,55,108,197,66,64,97,25,25,100,45,89,197,7,2,,,02:17:00,02:17:00,,,,,,,TE51,L0BV
580,2023,Australian Open,GS,2023-01-16T00:00:00,2023-01-29T00:00:00,Hard,128,34848000,A$,MS006,QF,02:03:00,,F,3,D643,"6-1,6-2,6-4",N. Djokovic,A. Rublev,,,SRB,RUS,6-1,6-2,6-4,,,02:03:00,A,N. Djokovic,A. Rublev,SRB,RUS,,,303,/en/stats/leaderboard?page=serve,5,14,64,56,88,80,45,56,50,16,32,100,5,5,13,224,/en/stats/leaderboard?page=serve,3,6,70,64,92,61,39,64,32,9,28,64,9,14,12,69,61,88,48,44,92,58,105,180,52,48,92,31,27,88,42,75,180,,,,,02:03:00,02:03:00,,,,,,,D643,RE44
580,2023,Australian Open,GS,2023-01-16T00:00:00,2023-01-29T00:00:00,Hard,128,34848000,A$,MS007,QF,03:06:00,,F,4,PL56,"7-6(8),6-3,5-7,6-4",T. Paul,B. Shelton,,,USA,USA,7-6(8),6-3,5-7,6-4,,03:06:00,A,T. Paul,B. Shelton,USA,USA,,,314,/en/stats/leaderboard?page=serve,3,7,66,77,117,86,66,77,68,27,40,50,2,4,22,284,/en/stats/leaderboard?page=serve,6,24,58,94,162,76,71,94,47,32,68,80,12,15,21,79,93,117,36,59,162,54,152,279,64,103,162,21,24,117,46,127,279,,,,,03:06:00,03:06:00,8,6,,,,,PL56,S0S1
580,2023,Australian Open,GS,2023-01-16T00:00:00,2023-01-29T00:00:00,Hard,128,34848000,A$,MS008,R16,01:58:00,,F,3,KE29,"6-0,6-0,7-6(7)",K. Khachanov,Y. Nishioka,,,RUS,JPN,6-0,6-0,7-6(7),,,01:58:00,A,K. Khachanov,Y. Nishioka,RUS,JPN,,,300,/en/stats/leaderboard?page=serve,2,15,59,46,78,93,43,46,44,14,32,75,3,4,12,192,/en/stats/leaderboard?page=serve,3,1,60,42,70,43,18,42,50,14,28,30,3,10,12,73,57,78,54,38,70,64,95,148,46,32,70,27,21,78,36,53,148,,,7,4,01:58:00,01:58:00,,,,,,,KE29,N732
580,2023,Australian Open,GS,2023-01-16T00:00:00,2023-01-29T00:00:00,Hard,128,34848000,A$,MS009,R16,03:28:00,,F,5,K0AH,"3-6,6-3,6-2,1-6,7-6(10)",S. Korda,H. Hurkacz,,,USA,POL,3-6,6-3,6-2,1-6,7-6(10),03:28:00,A,S. Korda,H. Hurkacz,USA,POL,,,275,/en/stats/leaderboard?page=serve,5,8,58,87,149,75,65,87,53,33,62,70,7,10,22,290,/en/stats/leaderboard?page=serve,3,19,62,88,141,75,66,88,51,27,53,67,6,9,23,66,98,149,34,48,141,50,146,290,66,93,141,34,51,149,50,144,290,,,,,03:28:00,03:28:00,,,10,7,,,K0AH,HB71
580,2023,Australian Open,GS,2023-01-16T00:00:00,2023-01-29T00:00:00,Hard,128,34848000,A$,MS010,R16,04:00:00,,F,5,TE51,"6-4,6-4,3-6,4-6,6-3",S. Tsitsipas,J. Sinner,,,GRE,ITA,6-4,6-4,3-6,4-6,6-3,04:00:00,A,S. Tsitsipas,J. Sinner,GRE,ITA,,,285,/en/stats/leaderboard?page=serve,3,12,72,121,169,67,81,121,54,26,48,85,22,26,24,279,/en/stats/leaderboard?page=serve,3,11,68,92,136,72,66,92,52,23,44,55,6,11,24,63,107,169,35,47,136,50,154,305,65,89,136,37,62,169,50,151,305,,,,,04:00:00,04:00:00,,,,,,,TE51,S0AG
