event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,settime_tot_winner,settime_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_id_winner,player_id_loser
6116,2014,Atlanta,250,2014-07-21T00:00:00,2014-07-27T00:00:00,Hard,28,568805,$,MS001,F,01:11:00,,F,2,I186,"6-3,6-4",J. Isner,D. Sela,,,USA,ISR,6-3,6-4,,,,01:11:00,A,J. Isner,D. Sela,USA,ISR,,,311,/en/stats/leaderboard?page=serve,2,15,57,33,58,85,28,33,56,14,25,100,1,1,10,258,/en/stats/leaderboard?page=serve,4,2,65,33,51,79,26,33,39,7,18,0,0,2,9,72,42,58,35,18,51,55,60,109,65,33,51,28,16,58,45,49,109,01:11:00,01:11:00,,,,,I186,SC56
6116,2014,Atlanta,250,2014-07-21T00:00:00,2014-07-27T00:00:00,Hard,28,568805,$,MS002,SF,01:38:00,,F,2,I186,"7-5,6-4",J. Isner,J. Sock,,,USA,USA,7-5,6-4,,,,01:38:00,A,J. Isner,J. Sock,USA,USA,,,301,/en/stats/leaderboard?page=serve,4,8,53,34,64,94,32,34,50,15,30,100,2,2,11,264,/en/stats/leaderboard?page=serve,5,9,53,46,87,67,31,46,59,24,41,75,6,8,11,73,47,64,37,32,87,52,79,151,63,55,87,27,17,64,48,72,151,01:38:00,01:38:00,,,,,I186,SM25
6116,2014,Atlanta,250,2014-07-21T00:00:00,2014-07-27T00:00:00,Hard,28,568805,$,MS003,SF,01:51:00,,F,3,SC56,"6-3,3-6,6-3",D. Sela,B. Becker,,,ISR,GER,6-3,3-6,6-3,,,01:51:00,A,D. Sela,B. Becker,ISR,GER,,,267,/en/stats/leaderboard?page=serve,4,3,56,48,85,73,35,48,54,20,37,71,5,7,14,253,/en/stats/leaderboard?page=serve,3,7,58,47,81,74,35,47,41,14,34,70,7,10,13,65,55,85,40,32,81,52,87,166,60,49,81,35,30,85,48,79,166,01:51:00,01:51:00,,,,,SC56,B896
6116,2014,Atlanta,250,2014-07-21T00:00:00,2014-07-27T00:00:00,Hard,28,568805,$,MS004,QF,01:41:00,,F,2,I186,"7-6(10),6-4",J. Isner,M. Matosevic,,,USA,AUS,7-6(10),6-4,,,,01:41:00,A,J. Isner,M. Matosevic,USA,AUS,,,295,/en/stats/leaderboard?page=serve,2,17,49,39,80,85,33,39,56,23,41,67,2,3,11,267,/en/stats/leaderboard?page=serve,6,7,64,47,73,79,37,47,42,11,26,60,3,5,11,70,56,80,34,25,73,53,81,153,66,48,73,30,24,80,47,72,153,01:41:00,01:41:00,10,8,,,I186,ME05
6116,2014,Atlanta,250,2014-07-21T00:00:00,2014-07-27T00:00:00,Hard,28,568805,$,MS005,QF,01:21:00,,F,2,SM25,"7-6(8),6-2",J. Sock,L. Lacko,,,USA,SVK,7-6(8),6-2,,,,01:21:00,A,J. Sock,L. Lacko,USA,SVK,,,274,/en/stats/leaderboard?page=serve,3,6,60,39,65,69,27,39,62,16,26,50,2,4,10,223,/en/stats/leaderboard?page=serve,2,5,58,36,62,67,24,36,35,9,26,0,0,4,10,66,43,65,47,29,62,57,72,127,53,33,62,34,22,65,43,55,127,01:21:00,01:21:00,8,6,,,SM25,L797
6116,2014,Atlanta,250,2014-07-21T00:00:00,2014-07-27T00:00:00,Hard,28,568805,$,MS006,QF,01:43:00,,F,3,SC56,"7-5,1-6,6-2",D. Sela,V. Pospisil,,,ISR,CAN,7-5,1-6,6-2,,,01:43:00,A,D. Sela,V. Pospisil,ISR,CAN,,,232,/en/stats/leaderboard?page=serve,2,0,51,36,70,67,24,36,47,16,34,33,2,6,13,233,/en/stats/leaderboard?page=serve,5,6,60,43,72,67,29,43,41,12,29,17,1,6,14,57,40,70,43,31,72,50,71,142,57,41,72,43,30,70,50,71,142,01:43:00,01:43:00,,,,,SC56,PD07
6116,2014,Atlanta,250,2014-07-21T00:00:00,2014-07-27T00:00:00,Hard,28,568805,$,MS007,QF,01:05:00,,F,2,B896,"6-4,6-2",B. Becker,T. de Bakker,,,GER,NED,6-4,6-2,,,,01:05:00,A,B. Becker,T. de Bakker,GER,NED,,,309,/en/stats/leaderboard?page=serve,0,6,53,27,51,67,18,27,83,20,24,100,1,1,9,246,/en/stats/leaderboard?page=serve,1,10,57,32,56,72,23,32,42,10,24,57,4,7,9,75,38,51,41,23,56,57,61,107,59,33,56,25,13,51,43,46,107,01:05:00,01:05:00,,,,,B896,D776
6116,2014,Atlanta,250,2014-07-21T00:00:00,2014-07-27T00:00:00,Hard,28,568805,$,MS008,R16,02:27:00,,F,3,I186,"4-6,7-6(7),7-5",J. Isner,R. Ginepri,,,USA,USA,4-6,7-6(7),7-5,,,02:27:00,A,J. Isner,R. Ginepri,USA,USA,,,322,/en/stats/leaderboard?page=serve,3,30,65,71,109,75,53,71,61,23,38,83,5,6,17,291,/en/stats/leaderboard?page=serve,3,8,62,72,116,78,56,72,52,23,44,90,9,10,17,70,76,109,32,37,116,50,113,225,68,79,116,30,33,109,50,112,225,02:27:00,02:27:00,,,7,5,I186,G569
6116,2014,Atlanta,250,2014-07-21T00:00:00,2014-07-27T00:00:00,Hard,28,568805,$,MS009,R16,01:36:00,,F,2,ME05,"6-4,7-5",M. Matosevic,T. Smyczek,,,AUS,USA,6-4,7-5,,,,01:36:00,A,M. Matosevic,T. Smyczek,AUS,USA,,,253,/en/stats/leaderboard?page=serve,5,6,68,48,71,69,33,48,43,10,23,50,3,6,11,214,/en/stats/leaderboard?page=serve,2,2,60,47,78,55,26,47,45,14,31,29,2,7,11,61,43,71,49,38,78,54,81,149,51,40,78,39,28,71,46,68,149,01:36:00,01:36:00,,,,,ME05,SF62
6116,2014,Atlanta,250,2014-07-21T00:00:00,2014-07-27T00:00:00,Hard,28,568805,$,MS010,R16,01:07:00,,F,2,SM25,"6-4,6-2",J. Sock,M. Venus,,,USA,NZL,6-4,6-2,,,,01:07:00,A,J. Sock,M. Venus,USA,NZL,,,289,/en/stats/leaderboard?page=serve,5,2,53,29,55,93,27,29,46,12,26,100,2,2,9,239,/en/stats/leaderboard?page=serve,3,10,55,27,49,70,19,27,41,9,22,40,2,5,9,71,39,55,43,21,49,58,60,104,57,28,49,29,16,55,42,44,104,01:07:00,01:07:00,,,,,SM25,V576
6116,2014,Atlanta,250,2014-07-21T00:00:00,2014-07-27T00:00:00,Hard,28,568805,$,MS011,R16,01:54:00,,F,3,L797,"5-7,6-1,6-4",L. Lacko,D. Istomin,,,SVK,UZB,5-7,6-1,6-4,,,01:54:00,A,L. Lacko,D. Istomin,SVK,UZB,,,243,/en/stats/leaderboard?page=serve,6,5,54,58,108,71,41,58,46,23,50,67,8,12,15,218,/en/stats/leaderboard?page=serve,6,4,59,44,75,75,33,44,29,9,31,14,1,7,14,59,64,108,44,33,75,53,97,183,56,42,75,41,44,108,47,86,183,01:54:00,01:54:00,,,,,L797,I165
6116,2014,Atlanta,250,2014-07-21T00:00:00,2014-07-27T00:00:00,Hard,28,568805,$,MS012,R16,01:02:00,,F,2,SC56,"6-2,6-4",D. Sela,S. Querrey,,,ISR,USA,6-2,6-4,,,,01:02:00,A,D. Sela,S. Querrey,ISR,USA,,,278,/en/stats/leaderboard?page=serve,3,0,50,23,46,78,18,23,65,15,23,50,1,2,9,220,/en/stats/leaderboard?page=serve,5,8,53,29,55,86,25,29,23,6,26,56,5,9,9,72,33,46,44,24,55,56,57,101,56,31,55,28,13,46,44,44,101,01:02:00,01:02:00,,,,,SC56,Q927
6116,2014,Atlanta,250,2014-07-21T00:00:00,2014-07-27T00:00:00,Hard,28,568805,$,MS013,R16,01:34:00,,F,2,PD07,"7-5,6-3",V. Pospisil,I. Marchenko,,,CAN,UKR,7-5,6-3,,,,01:34:00,A,V. Pospisil,I. Marchenko,CAN,UKR,,,301,/en/stats/leaderboard?page=serve,3,10,49,34,69,85,29,34,60,21,35,100,1,1,11,261,/en/stats/leaderboard?page=serve,4,8,63,40,63,75,30,40,39,9,23,50,2,4,10,72,50,69,38,24,63,56,74,132,62,39,63,28,19,69,44,58,132,01:34:00,01:34:00,,,,,PD07,ME89
6116,2014,Atlanta,250,2014-07-21T00:00:00,2014-07-27T00:00:00,Hard,28,568805,$,MS014,R16,01:19:00,,F,2,B896,"6-4,6-3",B. Becker,Y. Lu,,,GER,TPE,6-4,6-3,,,,01:19:00,A,B. Becker,Y. Lu,GER,TPE,,,294,/en/stats/leaderboard?page=serve,2,6,51,30,59,87,26,30,52,15,29,100,2,2,9,241,/en/stats/leaderboard?page=serve,6,2,61,44,72,64,28,44,50,14,28,57,4,7,10,69,41,59,42,30,72,54,71,131,58,42,72,31,18,59,46,60,131,01:19:00,01:19:00,,,,,B896,L575
6116,2014,Atlanta,250,2014-07-21T00:00:00,2014-07-27T00:00:00,Hard,28,568805,$,MS015,R16,01:49:00,,F,2,D776,"6-4,7-5",T. de Bakker,K. Anderson,,,NED,RSA,6-4,7-5,,,,01:49:00,A,T. de Bakker,K. Anderson,NED,RSA,,,270,/en/stats/leaderboard?page=serve,3,4,49,35,71,80,28,35,50,18,36,75,3,4,11,242,/en/stats/leaderboard?page=serve,5,9,55,47,85,66,31,47,45,17,38,77,10,13,11,65,46,71,44,37,85,53,83,156,56,48,85,35,25,71,47,73,156,01:49:00,01:49:00,,,,,D776,A678
6116,2014,Atlanta,250,2014-07-21T00:00:00,2014-07-27T00:00:00,Hard,28,568805,$,MS017,R32,01:41:00,,F,3,G569,"7-6(7),3-6,6-0",R. Ginepri,S. Stakhovsky,,,USA,UKR,7-6(7),3-6,6-0,,,01:41:00,A,R. Ginepri,S. Stakhovsky,USA,UKR,,,266,/en/stats/leaderboard?page=serve,4,5,64,55,86,73,40,55,52,16,31,73,8,11,13,223,/en/stats/leaderboard?page=serve,11,11,63,59,94,73,43,59,23,8,35,38,3,8,14,65,56,86,46,43,94,55,99,180,54,51,94,35,30,86,45,81,180,01:41:00,01:41:00,7,3,,,G569,SC77
6116,2014,Atlanta,250,2014-07-21T00:00:00,2014-07-27T00:00:00,Hard,28,568805,$,MS018,R32,00:53:00,,F,2,SF62,"6-0,6-2",T. Smyczek,R. Harrison,,,USA,USA,6-0,6-2,,,,00:53:00,A,T. Smyczek,R. Harrison,USA,USA,,,322,/en/stats/leaderboard?page=serve,1,3,82,36,44,75,27,36,63,5,8,100,2,2,7,164,/en/stats/leaderboard?page=serve,4,7,57,25,44,44,11,25,32,6,19,50,5,10,7,73,32,44,61,27,44,67,59,88,39,17,44,27,12,44,33,29,88,00:53:00,00:53:00,,,,,SF62,H940
6116,2014,Atlanta,250,2014-07-21T00:00:00,2014-07-27T00:00:00,Hard,28,568805,$,MS019,R32,00:43:00,,F,2,ME05,"6-0,6-2",M. Matosevic,V. Estrella Burgos,,,AUS,DOM,6-0,6-2,,,,00:43:00,A,M. Matosevic,V. Estrella Burgos,AUS,DOM,,,307,/en/stats/leaderboard?page=serve,1,6,54,21,39,76,16,21,72,13,18,0,0,0,7,161,/en/stats/leaderboard?page=serve,4,1,65,26,40,42,11,26,29,4,14,38,3,8,7,74,29,39,63,25,40,68,54,79,38,15,40,26,10,39,32,25,79,00:43:00,00:43:00,,,,,ME05,E224
6116,2014,Atlanta,250,2014-07-21T00:00:00,2014-07-27T00:00:00,Hard,28,568805,$,MS021,R32,01:06:00,,F,2,SM25,"6-2,6-4",J. Sock,A. Gonzalez,,,USA,COL,6-2,6-4,,,,01:06:00,A,J. Sock,A. Gonzalez,USA,COL,,,317,/en/stats/leaderboard?page=serve,1,9,55,28,51,89,25,28,65,15,23,100,1,1,9,240,/en/stats/leaderboard?page=serve,2,2,57,29,51,62,18,29,55,12,22,50,3,6,9,78,40,51,41,21,51,60,61,102,59,30,51,22,11,51,40,41,102,01:06:00,01:06:00,,,,,SM25,G892
6116,2014,Atlanta,250,2014-07-21T00:00:00,2014-07-27T00:00:00,Hard,28,568805,$,MS022,R32,01:10:00,,F,2,L797,"6-2,7-5",L. Lacko,N. Pasha,,,SVK,USA,6-2,7-5,,,,01:10:00,A,L. Lacko,N. Pasha,SVK,USA,,,289,/en/stats/leaderboard?page=serve,2,6,48,25,52,84,21,25,63,17,27,0,0,1,10,208,/en/stats/leaderboard?page=serve,10,6,48,29,60,72,21,29,32,10,31,0,0,4,10,73,38,52,48,29,60,60,67,112,52,31,60,27,14,52,40,45,112,01:10:00,01:10:00,,,,,L797,PE00
6116,2014,Atlanta,250,2014-07-21T00:00:00,2014-07-27T00:00:00,Hard,28,568805,$,MS023,R32,01:09:00,,F,2,I165,"6-1,6-4",D. Istomin,R. Ram,,,UZB,USA,6-1,6-4,,,,01:09:00,A,D. Istomin,R. Ram,UZB,USA,,,316,/en/stats/leaderboard?page=serve,0,8,59,29,49,79,23,29,70,14,20,0,0,0,9,226,/en/stats/leaderboard?page=serve,3,2,57,33,58,64,21,33,44,11,25,40,2,5,8,76,37,49,45,26,58,59,63,107,55,32,58,24,12,49,41,44,107,01:09:00,01:09:00,,,,,I165,R548
6116,2014,Atlanta,250,2014-07-21T00:00:00,2014-07-27T00:00:00,Hard,28,568805,$,MS024,R32,01:32:00,,F,2,Q927,"7-6(7),7-5",S. Querrey,S. Johnson,,,USA,USA,7-6(7),7-5,,,,01:32:00,A,S. Querrey,S. Johnson,USA,USA,,,330,/en/stats/leaderboard?page=serve,2,20,62,42,68,88,37,42,62,16,26,100,1,1,12,277,/en/stats/leaderboard?page=serve,3,8,56,45,81,67,30,45,58,21,36,50,1,2,12,78,53,68,37,30,81,56,83,149,63,51,81,22,15,68,44,66,149,01:32:00,01:32:00,7,3,,,Q927,J386
6116,2014,Atlanta,250,2014-07-21T00:00:00,2014-07-27T00:00:00,Hard,28,568805,$,MS025,R32,01:01:00,,F,2,SC56,"6-3,6-0",D. Sela,D. Young,,,ISR,USA,6-3,6-0,,,,01:01:00,A,D. Sela,D. Young,ISR,USA,,,285,/en/stats/leaderboard?page=serve,5,0,74,40,54,73,29,40,43,6,14,100,3,3,7,179,/en/stats/leaderboard?page=serve,1,0,57,27,47,56,15,27,30,6,20,38,3,8,8,65,35,54,55,26,47,60,61,101,45,21,47,35,19,54,40,40,101,01:01:00,01:01:00,,,,,SC56,Y124
6116,2014,Atlanta,250,2014-07-21T00:00:00,2014-07-27T00:00:00,Hard,28,568805,$,MS026,R32,01:28:00,,F,2,ME89,"6-4,6-4",I. Marchenko,J. Smith,,,UKR,AUS,6-4,6-4,,,,01:28:00,A,I. Marchenko,J. Smith,UKR,AUS,,,276,/en/stats/leaderboard?page=serve,4,7,57,39,68,85,33,39,41,12,29,67,2,3,10,245,/en/stats/leaderboard?page=serve,3,3,58,33,57,67,22,33,50,12,24,40,2,5,10,66,45,68,40,23,57,54,68,125,60,34,57,34,23,68,46,57,125,01:28:00,01:28:00,,,,,ME89,SJ55
6116,2014,Atlanta,250,2014-07-21T00:00:00,2014-07-27T00:00:00,Hard,28,568805,$,MS028,R32,01:22:00,,F,2,L575,"6-4,6-4",Y. Lu,A. Kuznetsov,,,TPE,USA,6-4,6-4,,,,01:22:00,A,Y. Lu,A. Kuznetsov,TPE,USA,,,274,/en/stats/leaderboard?page=serve,6,4,56,35,63,80,28,35,50,14,28,86,6,7,10,238,/en/stats/leaderboard?page=serve,5,3,66,39,59,69,27,39,35,7,20,63,5,8,10,67,42,63,42,25,59,55,67,122,58,34,59,33,21,63,45,55,122,01:22:00,01:22:00,,,,,L575,K737
6116,2014,Atlanta,250,2014-07-21T00:00:00,2014-07-27T00:00:00,Hard,28,568805,$,MS029,R32,01:05:00,,F,2,B896,"6-4,6-2",B. Becker,M. Ebden,,,GER,AUS,6-4,6-2,,,,01:05:00,A,B. Becker,M. Ebden,GER,AUS,,,291,/en/stats/leaderboard?page=serve,4,4,57,25,44,88,22,25,58,11,19,50,1,2,9,197,/en/stats/leaderboard?page=serve,13,4,52,36,69,78,28,36,21,7,33,69,9,13,9,75,33,44,49,34,69,59,67,113,51,35,69,25,11,44,41,46,113,01:05:00,01:05:00,,,,,B896,E690
6116,2014,Atlanta,250,2014-07-21T00:00:00,2014-07-27T00:00:00,Hard,28,568805,$,MS030,R32,01:05:00,,F,2,D776,"6-1,6-2",T. de Bakker,S. Diez,,,NED,CAN,6-1,6-2,,,,01:05:00,A,T. de Bakker,S. Diez,NED,CAN,,,301,/en/stats/leaderboard?page=serve,1,10,52,23,44,83,19,23,57,12,21,100,1,1,7,169,/en/stats/leaderboard?page=serve,7,1,48,26,54,58,15,26,32,9,28,55,6,11,8,70,31,44,56,30,54,62,61,98,44,24,54,30,13,44,38,37,98,01:05:00,01:05:00,,,,,D776,D916
