event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,breakpointssaved_percent_tot_loser,breakpointssaved_divisor_tot_loser,doublefaults_isstatbetter_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
7301,1997,Zagreb,GP,1997-01-27T00:00:00,1997-02-02T00:00:00,Carpet,32,375000,$,MS001,F,02:05:00,,F,3,I034,"7-6(7),4-6,7-6(8)",G. Ivanisevic,G. Rusedski,,,CRO,GBR,7-6(7),4-6,7-6(8),,,02:05:00,7,4,8,6,320,/en/stats/leaderboard?page=serve,7,22,65,62,96,90,56,62,56,19,34,0,0,1,17,277,/en/stats/leaderboard?page=serve,8,19,54,67,125,81,54,67,55,32,58,0,17,78,75,96,31,39,125,52,114,221,69,86,125,22,21,96,48,107,221,A,,,,,,,G. Ivanisevic,G. Rusedski,I034,R237,CRO,GBR,,
7301,1997,Zagreb,GP,1997-01-27T00:00:00,1997-02-02T00:00:00,Carpet,32,375000,$,MS002,SF,01:01:00,,F,2,I034,"6-2,6-4",G. Ivanisevic,J. Sanchez,,,CRO,ESP,6-2,6-4,,,,01:01:00,,,,,320,/en/stats/leaderboard?page=serve,2,15,63,27,43,93,25,27,63,10,16,67,2,3,9,215,/en/stats/leaderboard?page=serve,6,3,54,33,61,73,24,33,36,10,28,7,9,81,35,43,44,27,61,60,62,104,56,34,61,19,8,43,40,42,104,A,64,11,,,,,G. Ivanisevic,J. Sanchez,I034,S015,CRO,ESP,,
7301,1997,Zagreb,GP,1997-01-27T00:00:00,1997-02-02T00:00:00,Carpet,32,375000,$,MS003,SF,01:04:00,,F,2,R237,"6-4,6-4",G. Rusedski,T. Enqvist,,,GBR,SWE,6-4,6-4,,,,01:04:00,,,,,232,/en/stats/leaderboard?page=serve,2,17,65,33,51,91,30,33,61,11,18,0,0,,10,270,/en/stats/leaderboard?page=serve,,5,50,28,56,71,20,28,64,18,28,2,10,80,41,51,32,18,56,55,59,107,68,38,56,20,10,51,45,48,107,A,50,4,False,,,,G. Rusedski,T. Enqvist,R237,E113,GBR,SWE,,
7301,1997,Zagreb,GP,1997-01-27T00:00:00,1997-02-02T00:00:00,Carpet,32,375000,$,MS004,QF,00:26:00,,F,2,I034,"6-0,1-1",G. Ivanisevic,A. Radulescu,,,CRO,GER,6-0,1-1,,,,00:26:00,,,,,234,/en/stats/leaderboard?page=serve,2,10,63,12,19,92,11,12,71,5,7,0,0,,4,178,/en/stats/leaderboard?page=serve,3,1,42,11,26,91,10,11,7,1,15,0,5,84,16,19,58,15,26,69,31,45,42,11,26,16,3,19,31,14,45,A,0,3,,,,,G. Ivanisevic,A. Radulescu,I034,R284,CRO,GER,,
7301,1997,Zagreb,GP,1997-01-27T00:00:00,1997-02-02T00:00:00,Carpet,32,375000,$,MS005,QF,01:18:00,,F,2,S015,"6-0,7-6(7)",J. Sanchez,G. Etlis,,,ESP,ARG,6-0,7-6(7),,,,01:18:00,,,,,274,/en/stats/leaderboard?page=serve,1,3,58,43,74,74,32,43,52,16,31,88,7,8,9,223,/en/stats/leaderboard?page=serve,2,1,61,38,62,66,25,38,42,10,24,5,9,65,48,74,44,27,62,55,75,136,56,35,62,35,26,74,45,61,136,A,56,9,,7,5,,J. Sanchez,G. Etlis,S015,E138,ESP,ARG,,
7301,1997,Zagreb,GP,1997-01-27T00:00:00,1997-02-02T00:00:00,Carpet,32,375000,$,MS006,QF,01:20:00,,F,2,R237,"7-5,6-3",G. Rusedski,M. Damm,,,GBR,CZE,7-5,6-3,,,,01:20:00,,,,,282,/en/stats/leaderboard?page=serve,1,9,61,41,67,83,34,41,58,15,26,,0,,11,264,/en/stats/leaderboard?page=serve,,7,59,40,68,75,30,40,43,12,28,3,10,73,49,67,38,26,68,56,75,135,62,42,68,27,18,67,44,60,135,A,60,5,False,,,,G. Rusedski,M. Damm,R237,D214,GBR,CZE,,
7301,1997,Zagreb,GP,1997-01-27T00:00:00,1997-02-02T00:00:00,Carpet,32,375000,$,MS007,QF,00:57:00,,F,2,E113,"6-2,6-3",T. Enqvist,H. Arazi,,,SWE,MAR,6-2,6-3,,,,00:57:00,,,,,204,/en/stats/leaderboard?page=serve,1,6,55,29,53,90,26,29,54,13,24,0,0,,9,238,/en/stats/leaderboard?page=serve,1,8,43,19,44,74,14,19,52,13,25,1,8,74,39,53,39,17,44,58,56,97,61,27,44,26,14,53,42,41,97,A,25,4,,,,,T. Enqvist,H. Arazi,E113,A226,SWE,MAR,,
7301,1997,Zagreb,GP,1997-01-27T00:00:00,1997-02-02T00:00:00,Carpet,32,375000,$,MS008,R16,01:18:00,,F,2,I034,"7-6(7),6-4",G. Ivanisevic,T. Johansson,,,CRO,SWE,7-6(7),6-4,,,,01:18:00,7,4,,,286,/en/stats/leaderboard?page=serve,7,21,60,37,62,95,35,37,36,9,25,0,0,2,11,251,/en/stats/leaderboard?page=serve,1,7,61,40,66,70,28,40,42,11,26,1,11,71,44,62,41,27,66,55,71,128,59,39,66,29,18,62,45,57,128,A,25,4,,,,,G. Ivanisevic,T. Johansson,I034,J129,CRO,SWE,,
7301,1997,Zagreb,GP,1997-01-27T00:00:00,1997-02-02T00:00:00,Carpet,32,375000,$,MS009,R16,02:04:00,,F,2,R284,"7-6(9),7-6(7)",A. Radulescu,A. Voinea,,,GER,ROU,7-6(9),7-6(7),,,,02:04:00,9,7,,,248,/en/stats/leaderboard?page=serve,3,17,57,55,97,84,46,55,43,18,42,,0,,12,248,/en/stats/leaderboard?page=serve,2,11,53,49,92,76,37,49,60,26,43,0,12,66,64,97,32,29,92,49,93,189,68,63,92,34,33,97,51,96,189,A,,,,7,5,,A. Radulescu,A. Voinea,R284,V166,GER,ROU,,
7301,1997,Zagreb,GP,1997-01-27T00:00:00,1997-02-02T00:00:00,Carpet,32,375000,$,MS010,R16,01:23:00,,F,2,E138,"6-3,7-6(7)",G. Etlis,M. Rosset,,,ARG,SUI,6-3,7-6(7),,,,01:23:00,,,,,280,/en/stats/leaderboard?page=serve,,2,67,51,76,67,34,51,72,18,25,,0,,11,294,/en/stats/leaderboard?page=serve,4,11,51,27,53,96,26,27,50,13,26,0,10,68,52,76,26,14,53,51,66,129,74,39,53,32,24,76,49,63,129,A,0,1,,7,1,False,G. Etlis,M. Rosset,E138,R214,ARG,SUI,,
