event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,player_id_winner,player_id_loser
747,2009,Beijing,500,2009-10-05T00:00:00,2009-10-11T00:00:00,Hard,32,2100500,$,MS001,F,01:54:00,,F,2,D643,"6-2,7-6(7)",N. Djokovic,M. Cilic,,,SRB,CRO,6-2,7-6(7),,,,01:54:00,A,N. Djokovic,M. Cilic,SRB,CRO,,,7.0,4.0,251,/en/stats/leaderboard?page=serve,1,2,68,50,74,66,33,50,46,11,24,73,8,11,10,209,/en/stats/leaderboard?page=serve,1,1,62,41,66,61,25,41,36,9,25,44,4,9,10,59,44,74,48,32,66,54,76,140,52,34,66,41,30,74,46,64,140,,,D643,C977
747,2009,Beijing,500,2009-10-05T00:00:00,2009-10-11T00:00:00,Hard,32,2100500,$,MS002,SF,01:22:00,,F,2,C977,"6-1,6-3",M. Cilic,R. Nadal,,,CRO,ESP,6-1,6-3,,,,01:22:00,A,M. Cilic,R. Nadal,CRO,ESP,,,,,290,/en/stats/leaderboard?page=serve,0,8,65,31,48,77,24,31,53,9,17,50,1,2,8,190,/en/stats/leaderboard?page=serve,0,0,68,36,53,50,18,36,35,6,17,62,8,13,8,69,33,48,55,29,53,61,62,101,45,24,53,31,15,48,39,39,101,,,C977,N409
747,2009,Beijing,500,2009-10-05T00:00:00,2009-10-11T00:00:00,Hard,32,2100500,$,MS003,SF,01:21:00,,F,2,D643,"6-3,6-3",N. Djokovic,R. Soderling,,,SRB,SWE,6-3,6-3,,,,01:21:00,A,N. Djokovic,R. Soderling,SRB,SWE,,,,,292,/en/stats/leaderboard?page=serve,2,6,60,30,50,80,24,30,60,12,20,50,1,2,9,214,/en/stats/leaderboard?page=serve,4,4,55,36,66,64,23,36,40,12,30,67,8,12,9,72,36,50,47,31,66,58,67,116,53,35,66,28,14,50,42,49,116,,,D643,SA49
747,2009,Beijing,500,2009-10-05T00:00:00,2009-10-11T00:00:00,Hard,32,2100500,$,MS004,QF,01:18:00,,F,2,N409,"6-3,6-1",R. Nadal,M. Safin,,,ESP,RUS,6-3,6-1,,,,01:18:00,A,R. Nadal,M. Safin,ESP,RUS,,,,,312,/en/stats/leaderboard?page=serve,1,1,78,43,55,67,29,43,67,8,12,100,3,3,8,199,/en/stats/leaderboard?page=serve,3,1,63,32,51,56,18,32,32,6,19,20,1,5,8,67,37,55,53,27,51,60,64,106,47,24,51,33,18,55,40,42,106,,,N409,S741
747,2009,Beijing,500,2009-10-05T00:00:00,2009-10-11T00:00:00,Hard,32,2100500,$,MS005,QF,01:36:00,,F,2,C977,"6-4,6-4",M. Cilic,N. Davydenko,,,CRO,RUS,6-4,6-4,,,,01:36:00,A,M. Cilic,N. Davydenko,CRO,RUS,,,,,266,/en/stats/leaderboard?page=serve,2,5,62,40,65,65,26,40,56,14,25,60,3,5,10,246,/en/stats/leaderboard?page=serve,2,4,72,39,54,59,23,39,53,8,15,33,2,6,10,62,40,65,43,23,54,53,63,119,57,31,54,38,25,65,47,56,119,,,C977,D402
747,2009,Beijing,500,2009-10-05T00:00:00,2009-10-11T00:00:00,Hard,32,2100500,$,MS006,QF,01:37:00,,F,2,SA49,"7-6(7),6-4",R. Soderling,I. Ljubicic,,,SWE,CRO,7-6(7),6-4,,,,01:37:00,A,R. Soderling,I. Ljubicic,SWE,CRO,,,,,330,/en/stats/leaderboard?page=serve,1,9,68,43,63,84,36,43,70,14,20,100,1,1,11,275,/en/stats/leaderboard?page=serve,6,12,57,51,89,75,38,51,47,18,38,86,6,7,11,79,50,63,37,33,89,55,83,152,63,56,89,21,13,63,45,69,152,7.0,3.0,SA49,L360
747,2009,Beijing,500,2009-10-05T00:00:00,2009-10-11T00:00:00,Hard,32,2100500,$,MS007,QF,01:45:00,,F,3,D643,"6-3,1-6,6-1",N. Djokovic,F. Verdasco,,,SRB,ESP,6-3,1-6,6-1,,,01:45:00,A,N. Djokovic,F. Verdasco,SRB,ESP,,,,,250,/en/stats/leaderboard?page=serve,5,3,64,51,80,65,33,51,48,14,29,57,4,7,12,236,/en/stats/leaderboard?page=serve,3,6,66,56,85,63,35,56,41,12,29,64,7,11,11,59,47,80,45,38,85,52,85,165,55,47,85,41,33,80,48,80,165,,,D643,V306
747,2009,Beijing,500,2009-10-05T00:00:00,2009-10-11T00:00:00,Hard,32,2100500,$,MS008,R16,02:24:00,,F,3,N409,"7-5,6-7(4),6-3",R. Nadal,J. Blake,,,ESP,USA,7-5,6-7(4),6-3,,,02:24:00,A,R. Nadal,J. Blake,ESP,USA,,,4.0,7.0,281,/en/stats/leaderboard?page=serve,2,6,67,72,108,67,48,72,61,22,36,73,8,11,17,239,/en/stats/leaderboard?page=serve,2,6,55,56,101,70,39,56,42,19,45,17,1,6,16,65,70,108,43,43,101,54,113,209,57,58,101,35,38,108,46,96,209,,,N409,B676
747,2009,Beijing,500,2009-10-05T00:00:00,2009-10-11T00:00:00,Hard,32,2100500,$,MS009,R16,01:09:00,,F,2,S741,"6-3,6-4",M. Safin,F. Gonzalez,,,RUS,CHI,6-3,6-4,,,,01:09:00,A,M. Safin,F. Gonzalez,RUS,CHI,,,,,324,/en/stats/leaderboard?page=serve,0,12,62,34,55,88,30,34,62,13,21,100,1,1,10,258,/en/stats/leaderboard?page=serve,2,1,60,35,58,74,26,35,48,11,23,60,3,5,9,78,43,55,36,21,58,57,64,113,64,37,58,22,12,55,43,49,113,,,S741,G415
747,2009,Beijing,500,2009-10-05T00:00:00,2009-10-11T00:00:00,Hard,32,2100500,$,MS010,R16,00:56:00,,F,2,D402,"6-1,6-0",N. Davydenko,P. Kohlschreiber,,,RUS,GER,6-1,6-0,,,,00:56:00,A,N. Davydenko,P. Kohlschreiber,RUS,GER,,,,,313,/en/stats/leaderboard?page=serve,0,5,67,22,33,86,19,22,55,6,11,0,0,0,6,162,/en/stats/leaderboard?page=serve,0,2,72,38,53,47,18,38,27,4,15,45,5,11,7,76,25,33,58,31,53,65,56,86,42,22,53,24,8,33,35,30,86,,,D402,K435
