event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
7650,2019,Antalya,250,2019-06-23T00:00:00,2019-06-29T00:00:00,Grass,28,445690,€,MS001,F,02:47:00,,F,3,SU87,"6-7(5),7-6(7),6-1",L. Sonego,M. Kecmanovic,,,ITA,SRB,6-7(5),7-6(7),6-1,,,02:47:00,5,7,7,5,350,/en/stats/leaderboard?page=serve,1,25,76,71,94,85,60,71,65,15,23,100,1,1,16,262,/en/stats/leaderboard?page=serve,8,5,56,64,114,77,49,64,46,23,50,78,7,9,15,80,75,94,37,42,114,56,117,208,63,72,114,20,19,94,44,91,208,A,,,L. Sonego,M. Kecmanovic,SU87,KI95,ITA,SRB,,
7650,2019,Antalya,250,2019-06-23T00:00:00,2019-06-29T00:00:00,Grass,28,445690,€,MS002,SF,02:51:00,,F,3,KI95,"6-7(5),7-6(7),7-6(7)",M. Kecmanovic,J. Thompson,,,SRB,AUS,6-7(5),7-6(7),7-6(7),,,02:51:00,5,7,7,5,334,/en/stats/leaderboard?page=serve,3,14,68,74,109,86,64,74,69,24,35,100,3,3,18,315,/en/stats/leaderboard?page=serve,4,22,67,92,137,77,71,92,53,24,45,100,6,6,18,81,88,109,31,42,137,53,130,246,69,95,137,19,21,109,47,116,246,A,7,1,M. Kecmanovic,J. Thompson,KI95,TC61,SRB,AUS,,
7650,2019,Antalya,250,2019-06-23T00:00:00,2019-06-29T00:00:00,Grass,28,445690,€,MS003,SF,01:34:00,,F,2,SU87,"6-3,7-6(7)",L. Sonego,P. Carreno Busta,,,ITA,ESP,6-3,7-6(7),,,,01:34:00,,,7,2,313,/en/stats/leaderboard?page=serve,1,12,73,49,67,78,38,49,61,11,18,75,3,4,11,269,/en/stats/leaderboard?page=serve,2,1,67,45,67,64,29,45,59,13,22,71,5,7,10,73,49,67,37,25,67,55,74,134,63,42,67,27,18,67,45,60,134,A,,,L. Sonego,P. Carreno Busta,SU87,CD85,ITA,ESP,,
7650,2019,Antalya,250,2019-06-23T00:00:00,2019-06-29T00:00:00,Grass,28,445690,€,MS004,QF,01:12:00,,F,2,KI95,"6-3,6-4",M. Kecmanovic,V. Troicki,,,SRB,SRB,6-3,6-4,,,,01:12:00,,,,,313,/en/stats/leaderboard?page=serve,2,5,64,37,58,84,31,37,62,13,21,100,3,3,10,269,/en/stats/leaderboard?page=serve,5,6,63,33,52,70,23,33,58,11,19,50,2,4,9,76,44,58,35,18,52,56,62,110,65,34,52,24,14,58,44,48,110,A,,,M. Kecmanovic,V. Troicki,KI95,T840,SRB,SRB,,
7650,2019,Antalya,250,2019-06-23T00:00:00,2019-06-29T00:00:00,Grass,28,445690,€,MS005,QF,01:06:00,,F,2,TC61,"7-5,1-0",J. Thompson,D. Dzumhur,,,AUS,BIH,7-5,1-0,,,,01:06:00,,,,,302,/en/stats/leaderboard?page=serve,1,9,67,30,45,80,24,30,47,7,15,100,2,2,7,246,/en/stats/leaderboard?page=serve,3,3,66,35,53,69,24,35,28,5,18,83,5,6,6,69,31,45,45,24,53,56,55,98,55,29,53,31,14,45,44,43,98,A,,,J. Thompson,D. Dzumhur,TC61,D923,AUS,BIH,,
7650,2019,Antalya,250,2019-06-23T00:00:00,2019-06-29T00:00:00,Grass,28,445690,€,MS006,QF,02:03:00,,F,3,CD85,"6-7(7),6-4,6-4",P. Carreno Busta,B. Tomic,,,ESP,AUS,6-7(7),6-4,6-4,,,02:03:00,7,9,,,320,/en/stats/leaderboard?page=serve,1,18,70,65,93,86,56,65,54,15,28,89,8,9,16,289,/en/stats/leaderboard?page=serve,3,18,66,77,116,68,52,77,59,23,39,57,4,7,16,76,71,93,35,41,116,54,112,209,65,75,116,24,22,93,46,97,209,A,,,P. Carreno Busta,B. Tomic,CD85,TA46,ESP,AUS,,
7650,2019,Antalya,250,2019-06-23T00:00:00,2019-06-29T00:00:00,Grass,28,445690,€,MS007,QF,02:26:00,,F,3,SU87,"3-6,7-6(7),6-3",L. Sonego,A. Mannarino,,,ITA,FRA,3-6,7-6(7),6-3,,,02:26:00,,,7,3,305,/en/stats/leaderboard?page=serve,1,10,66,58,88,76,44,58,67,20,30,33,1,3,16,289,/en/stats/leaderboard?page=serve,3,3,62,59,95,71,42,59,64,23,36,83,5,6,14,73,64,88,32,30,95,51,94,183,68,65,95,27,24,88,49,89,183,A,,,L. Sonego,A. Mannarino,SU87,ME82,ITA,FRA,,
7650,2019,Antalya,250,2019-06-23T00:00:00,2019-06-29T00:00:00,Grass,28,445690,€,MS008,R16,01:40:00,,F,2,T840,"7-6(7),7-6(7)",V. Troicki,B. Paire,,,SRB,FRA,7-6(7),7-6(7),,,,01:40:00,7,4,7,5,275,/en/stats/leaderboard?page=serve,3,5,65,54,83,70,38,54,55,16,29,60,3,5,12,266,/en/stats/leaderboard?page=serve,5,11,43,34,79,85,29,34,49,22,45,33,1,3,12,65,54,83,35,28,79,51,82,162,65,51,79,35,29,83,49,80,162,A,,,V. Troicki,B. Paire,T840,PD31,SRB,FRA,,
7650,2019,Antalya,250,2019-06-23T00:00:00,2019-06-29T00:00:00,Grass,28,445690,€,MS009,R16,01:26:00,,F,2,KI95,"6-4,7-5",M. Kecmanovic,U. Humbert,,,SRB,FRA,6-4,7-5,,,,01:26:00,,,,,296,/en/stats/leaderboard?page=serve,2,4,66,44,67,68,30,44,70,16,23,67,2,3,11,255,/en/stats/leaderboard?page=serve,3,7,60,38,63,87,33,38,32,8,25,57,4,7,11,69,46,67,35,22,63,52,68,130,65,41,63,31,21,67,48,62,130,A,,,M. Kecmanovic,U. Humbert,KI95,HH26,SRB,FRA,,
7650,2019,Antalya,250,2019-06-23T00:00:00,2019-06-29T00:00:00,Grass,28,445690,€,MS010,R16,01:45:00,,F,2,TC61,"7-6(9),6-3",J. Thompson,B. Klahn,,,AUS,USA,7-6(9),6-3,,,,01:45:00,9,7,,,297,/en/stats/leaderboard?page=serve,1,1,71,52,73,83,43,52,43,9,21,100,5,5,11,279,/en/stats/leaderboard?page=serve,5,8,66,46,70,74,34,46,46,11,24,86,6,7,10,71,52,73,36,25,70,54,77,143,64,45,70,29,21,73,46,66,143,A,,,J. Thompson,B. Klahn,TC61,KA98,AUS,USA,,
