event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
891,1996,New Delhi,GP,1996-04-08T00:00:00,1996-04-14T00:00:00,Hard,32,405000,$,MS001,F,01:18:00,,F,2,E113,"6-2,7-6(7)",T. Enqvist,B. Black,,,SWE,ZIM,6-2,7-6(7),,,,01:18:00,7,3,296,/en/stats/leaderboard?page=serve,1,18,73,46,63,85,39,46,41,7,17,0,10,260,/en/stats/leaderboard?page=serve,1,1,70,51,73,65,33,51,45,10,22,67,4,6,10,73,46,63,41,30,73,56,76,136,59,43,73,27,17,63,44,60,136,A,,,,,,,,,T. Enqvist,B. Black,E113,B397,SWE,ZIM,,
891,1996,New Delhi,GP,1996-04-08T00:00:00,1996-04-14T00:00:00,Hard,32,405000,$,MS002,SF,01:43:00,,F,2,E113,"7-6(8),7-5",T. Enqvist,J. Stark,,,SWE,USA,7-6(8),7-5,,,,01:43:00,,,251,/en/stats/leaderboard?page=serve,3,1,54,47,87,74,35,47,50,20,40,8,12,241,/en/stats/leaderboard?page=serve,4,9,49,38,78,68,26,38,53,21,40,43,3,7,12,63,55,87,40,31,78,52,86,165,60,47,78,37,32,87,48,79,165,A,8,6,73,11,,,,,T. Enqvist,J. Stark,E113,S403,SWE,USA,,
891,1996,New Delhi,GP,1996-04-08T00:00:00,1996-04-14T00:00:00,Hard,32,405000,$,MS003,SF,01:11:00,,F,2,B397,"6-4,6-4",B. Black,A. Radulescu,,,ZIM,GER,6-4,6-4,,,,01:11:00,,,289,/en/stats/leaderboard?page=serve,1,2,61,36,59,67,24,36,70,16,23,3,10,244,/en/stats/leaderboard?page=serve,5,9,52,33,64,76,25,33,42,13,31,57,4,7,10,68,40,59,41,26,64,54,66,123,59,38,64,32,19,59,46,57,123,A,,,75,4,,,,,B. Black,A. Radulescu,B397,R284,ZIM,GER,,
891,1996,New Delhi,GP,1996-04-08T00:00:00,1996-04-14T00:00:00,Hard,32,405000,$,MS004,QF,01:09:00,,F,2,E113,"6-3,6-3",T. Enqvist,J. Fleurian,,,SWE,FRA,6-3,6-3,,,,01:09:00,,,206,/en/stats/leaderboard?page=serve,2,5,60,32,53,72,23,32,71,15,21,0,9,233,/en/stats/leaderboard?page=serve,1,1,54,28,52,71,20,28,42,10,24,40,2,5,9,72,38,53,42,22,52,57,60,105,58,30,52,28,15,53,43,45,105,A,,,0,,,,,,T. Enqvist,J. Fleurian,E113,F031,SWE,FRA,,
891,1996,New Delhi,GP,1996-04-08T00:00:00,1996-04-14T00:00:00,Hard,32,405000,$,MS005,QF,01:55:00,,F,3,S403,"6-2,3-6,7-6(7)",J. Stark,S. Stolle,,,USA,AUS,6-2,3-6,7-6(7),,,01:55:00,,,284,/en/stats/leaderboard?page=serve,4,9,57,46,81,80,37,46,57,20,35,3,14,259,/en/stats/leaderboard?page=serve,7,8,59,61,103,74,45,61,45,19,42,70,7,10,15,70,57,81,38,39,103,52,96,184,62,64,103,30,24,81,48,88,184,A,,,60,5,7,3,,,J. Stark,S. Stolle,S403,S443,USA,AUS,,
891,1996,New Delhi,GP,1996-04-08T00:00:00,1996-04-14T00:00:00,Hard,32,405000,$,MS006,QF,01:41:00,,F,3,B397,"3-6,6-1,7-5",B. Black,C. Caratti,,,ZIM,ITA,3-6,6-1,7-5,,,01:41:00,,,269,/en/stats/leaderboard?page=serve,1,6,53,42,79,76,32,42,57,21,37,6,14,229,/en/stats/leaderboard?page=serve,4,2,65,55,85,62,34,55,40,12,30,55,6,11,14,67,53,79,46,39,85,56,92,164,54,46,85,33,26,79,44,72,164,A,,,67,9,,,,,B. Black,C. Caratti,B397,C270,ZIM,ITA,,
891,1996,New Delhi,GP,1996-04-08T00:00:00,1996-04-14T00:00:00,Hard,32,405000,$,MS007,QF,01:37:00,,F,3,R284,"4-6,7-5,6-0",A. Radulescu,J. Golmard,,,GER,FRA,4-6,7-5,6-0,,,01:37:00,,,300,/en/stats/leaderboard?page=serve,4,19,52,43,83,86,37,43,55,22,40,5,14,255,/en/stats/leaderboard?page=serve,2,6,60,49,81,73,36,49,47,15,32,67,8,12,14,71,59,83,37,30,81,54,89,164,63,51,81,29,24,83,46,75,164,A,,,83,6,,,,,A. Radulescu,J. Golmard,R284,G319,GER,FRA,,
891,1996,New Delhi,GP,1996-04-08T00:00:00,1996-04-14T00:00:00,Hard,32,405000,$,MS008,R16,00:46:00,,F,2,E113,"6-3,6-0",T. Enqvist,M. Bhupathi,,,SWE,IND,6-3,6-0,,,,00:46:00,,,278,/en/stats/leaderboard?page=serve,1,2,40,16,40,75,12,16,75,18,24,1,8,162,/en/stats/leaderboard?page=serve,4,4,39,17,44,65,11,17,30,8,27,50,5,10,7,75,30,40,57,25,44,65,55,84,43,19,44,25,10,40,35,29,84,A,,,50,2,,,,,T. Enqvist,M. Bhupathi,E113,B471,SWE,IND,,
891,1996,New Delhi,GP,1996-04-08T00:00:00,1996-04-14T00:00:00,Hard,32,405000,$,MS009,R16,01:04:00,,F,2,F031,"6-1,6-4",J. Fleurian,J. Van Herck,,,FRA,BEL,6-1,6-4,,,,01:04:00,,,291,/en/stats/leaderboard?page=serve,1,3,75,42,56,76,32,42,50,7,14,3,9,209,/en/stats/leaderboard?page=serve,,1,48,21,44,71,15,21,39,9,23,20,1,5,8,70,39,56,45,20,44,59,59,100,55,24,44,30,17,56,41,41,100,A,,,75,4,,,False,,J. Fleurian,J. Van Herck,F031,V167,FRA,BEL,,
891,1996,New Delhi,GP,1996-04-08T00:00:00,1996-04-14T00:00:00,Hard,32,405000,$,MS010,R16,01:49:00,,F,3,S443,"5-7,6-3,7-5",S. Stolle,J. Hlasek,,,AUS,SUI,5-7,6-3,7-5,,,01:49:00,,,283,/en/stats/leaderboard?page=serve,3,12,63,57,90,84,48,57,45,15,33,1,17,257,/en/stats/leaderboard?page=serve,8,7,63,64,101,69,44,64,51,19,37,67,8,12,16,70,63,90,38,38,101,53,101,191,62,63,101,30,27,90,47,90,191,A,,,25,4,,,,,S. Stolle,J. Hlasek,S443,H025,AUS,SUI,,
