event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
891,1997,Chennai,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Hard,32,405000,$,MS001,F,02:17:00,,F,3,T166,"6-4,4-6,7-5",M. Tillstrom,A. Radulescu,,,SWE,GER,6-4,4-6,7-5,,,02:17:00,276,/en/stats/leaderboard?page=serve,2,5,68,71,104,66,47,71,58,19,33,50,3,6,16,253,/en/stats/leaderboard?page=serve,5,11,53,58,109,64,37,58,55,28,51,64,7,11,16,63,66,104,40,44,109,52,110,213,60,65,109,37,38,104,48,103,213,A,,,,,,,,,M. Tillstrom,A. Radulescu,T166,R284,SWE,GER,,
891,1997,Chennai,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Hard,32,405000,$,MS002,SF,01:04:00,,F,2,T166,"6-3,6-3",M. Tillstrom,A. Pavel,,,SWE,ROU,6-3,6-3,,,,01:04:00,290,/en/stats/leaderboard?page=serve,,3,58,28,48,86,24,28,55,11,20,0,0,1,9,208,/en/stats/leaderboard?page=serve,4,2,47,28,59,79,22,28,29,9,31,33,2,6,9,73,35,48,47,28,59,59,63,107,53,31,59,27,13,48,41,44,107,A,False,,,,,,,,M. Tillstrom,A. Pavel,T166,P280,SWE,ROU,,
891,1997,Chennai,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Hard,32,405000,$,MS003,SF,00:55:00,,F,2,R284,"6-3,6-2",A. Radulescu,G. Solves,,,GER,FRA,6-3,6-2,,,,00:55:00,293,/en/stats/leaderboard?page=serve,3,7,53,23,43,83,19,23,65,13,20,0,0,1,9,191,/en/stats/leaderboard?page=serve,3,0,36,16,45,63,10,16,45,13,29,50,4,8,8,74,32,43,49,22,45,61,54,88,51,23,45,26,11,43,39,34,88,A,,,,,,,,,A. Radulescu,G. Solves,R284,S523,GER,FRA,,
891,1997,Chennai,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Hard,32,405000,$,MS004,QF,01:10:00,,F,2,P280,"6-0,6-2",A. Pavel,M. Norman,,,ROU,SWE,6-0,6-2,,,,01:10:00,233,/en/stats/leaderboard?page=serve,,4,65,24,37,79,19,24,85,11,13,0,0,,7,178,/en/stats/leaderboard?page=serve,2,4,59,44,75,50,22,44,39,12,31,74,14,19,7,81,30,37,55,41,75,63,71,112,45,34,75,19,7,37,37,41,112,A,False,,,,,,,,A. Pavel,M. Norman,P280,N250,ROU,SWE,,
891,1997,Chennai,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Hard,32,405000,$,MS005,QF,01:34:00,,F,2,T166,"7-5,6-3",M. Tillstrom,J. Stark,,,SWE,USA,7-5,6-3,,,,01:34:00,263,/en/stats/leaderboard?page=serve,8,4,48,37,77,76,28,37,53,21,40,80,4,5,11,241,/en/stats/leaderboard?page=serve,6,9,50,34,68,74,25,34,44,15,34,50,3,6,10,64,49,77,41,28,68,53,77,145,59,40,68,36,28,77,47,68,145,A,,,,,,,,,M. Tillstrom,J. Stark,T166,S403,SWE,USA,,
891,1997,Chennai,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Hard,32,405000,$,MS006,QF,00:58:00,,F,2,R284,"6-3,6-4",A. Radulescu,M. Washington,,,GER,USA,6-3,6-4,,,,00:58:00,235,/en/stats/leaderboard?page=serve,2,17,57,28,49,96,27,28,67,14,21,0,0,,10,260,/en/stats/leaderboard?page=serve,4,5,63,32,51,72,23,32,47,9,19,33,1,3,9,84,41,49,37,19,51,60,60,100,63,32,51,16,8,49,40,40,100,A,,,,,,,,,A. Radulescu,M. Washington,R284,W124,GER,USA,,
891,1997,Chennai,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Hard,32,405000,$,MS007,QF,01:26:00,,F,3,S523,"6-4,1-6,6-2",G. Solves,R. Schuettler,,,FRA,GER,6-4,1-6,6-2,,,01:26:00,217,/en/stats/leaderboard?page=serve,4,2,51,35,69,57,20,35,53,18,34,44,4,9,12,214,/en/stats/leaderboard?page=serve,3,1,62,49,79,61,30,49,40,12,30,63,10,16,13,55,38,69,47,37,79,51,75,148,53,42,79,45,31,69,49,73,148,A,,,,,,,,,G. Solves,R. Schuettler,S523,S636,FRA,GER,,
891,1997,Chennai,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Hard,32,405000,$,MS008,R16,01:09:00,,F,2,P280,"7-5,6-3",A. Pavel,R. Krajicek,,,ROU,NED,7-5,6-3,,,,01:09:00,280,/en/stats/leaderboard?page=serve,3,6,68,45,66,80,36,45,57,12,21,,0,,11,252,/en/stats/leaderboard?page=serve,6,7,40,24,60,75,18,24,56,20,36,33,1,3,10,73,48,66,37,22,60,56,70,126,63,38,60,27,18,66,44,56,126,A,,,,,,,,,A. Pavel,R. Krajicek,P280,K214,ROU,NED,,
891,1997,Chennai,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Hard,32,405000,$,MS009,R16,02:23:00,,F,3,N250,"6-7(3),6-3,6-3",M. Norman,P. Cash,,,SWE,AUS,6-7(3),6-3,6-3,,,02:23:00,280,/en/stats/leaderboard?page=serve,2,5,59,52,88,73,38,52,72,26,36,,0,,15,264,/en/stats/leaderboard?page=serve,6,12,58,62,106,81,50,62,39,17,44,73,8,11,15,73,64,88,37,39,106,53,103,194,63,67,106,27,24,88,47,91,194,A,,3,7,,,,,,M. Norman,P. Cash,N250,C023,SWE,AUS,,
891,1997,Chennai,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Hard,32,405000,$,MS010,R16,00:17:00,,F,3,S403,"4-6,7-5,6-0",J. Stark,M. Meneschincheri,,,USA,ITA,4-6,7-5,6-0,,,00:17:00,270,/en/stats/leaderboard?page=serve,4,16,59,46,78,87,40,46,34,11,32,25,1,4,14,219,/en/stats/leaderboard?page=serve,4,2,61,59,97,56,33,59,47,18,38,54,7,13,14,65,51,78,47,46,97,55,97,175,53,51,97,35,27,78,45,78,175,A,,,,,,,,,J. Stark,M. Meneschincheri,S403,M445,USA,ITA,,
