event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_isstatbetter_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_tot_winner,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
8996,1998,Santiago,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Clay,32,315000,$,MS001,F,01:04:00,,F,2,C252,"6-2,6-4",F. Clavet,Y. El Aynaoui,,,ESP,MAR,6-2,6-4,,,,01:04:00,318,/en/stats/leaderboard?page=serve,False,1,77,37,48,70,26,37,82,9,11,67,2,3,9,237,/en/stats/leaderboard?page=serve,1,1,73,41,56,56,23,41,53,8,15,60,6,10,9,73,35,48,45,25,56,58,60,104,55,31,56,27,13,48,42,44,104,A,,,,,,,,,F. Clavet,Y. El Aynaoui,C252,E121,ESP,MAR,,
8996,1998,Santiago,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Clay,32,315000,$,MS002,SF,01:27:00,,F,2,C252,"6-2,7-5",F. Clavet,J. Marin,,,ESP,CRC,6-2,7-5,,,,01:27:00,290,/en/stats/leaderboard?page=serve,False,1,64,37,58,73,27,37,62,13,21,50,1,2,10,217,/en/stats/leaderboard?page=serve,2,0,52,34,65,68,23,34,39,12,31,33,2,6,10,69,40,58,46,30,65,57,70,123,54,35,65,31,18,58,43,53,123,A,,,,,,,,,F. Clavet,J. Marin,C252,M578,ESP,CRC,,
8996,1998,Santiago,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Clay,32,315000,$,MS003,SF,01:10:00,,F,2,E121,"6-4,6-4",Y. El Aynaoui,F. Mantilla,,,MAR,ESP,6-4,6-4,,,,01:10:00,303,/en/stats/leaderboard?page=serve,,11,65,36,55,81,29,36,58,11,19,89,8,9,10,248,/en/stats/leaderboard?page=serve,1,3,66,42,64,69,29,42,41,9,22,57,4,7,10,73,40,55,41,26,64,55,66,119,59,38,64,27,15,55,45,53,119,A,2,,,,,,,,Y. El Aynaoui,F. Mantilla,E121,M535,MAR,ESP,,
8996,1998,Santiago,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Clay,32,315000,$,MS004,QF,02:55:00,,F,3,M578,"6-4,6-7(5),7-5",J. Marin,M. Rios,,,CRC,CHI,6-4,6-7(5),7-5,,,02:55:00,237,/en/stats/leaderboard?page=serve,,2,56,82,146,62,51,82,50,32,64,80,20,25,17,224,/en/stats/leaderboard?page=serve,11,12,59,80,135,66,53,80,40,22,55,53,8,15,17,57,83,146,44,60,135,51,143,281,56,75,135,43,63,146,49,138,281,A,3,5,7,,,,,,J. Marin,M. Rios,M578,R286,CRC,CHI,,
8996,1998,Santiago,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Clay,32,315000,$,MS005,QF,01:23:00,,F,2,C252,"6-4,6-4",F. Clavet,N. Lapentti,,,ESP,ECU,6-4,6-4,,,,01:23:00,300,/en/stats/leaderboard?page=serve,False,2,76,44,58,73,32,44,79,11,14,,0,,10,248,/en/stats/leaderboard?page=serve,7,4,48,32,67,69,22,32,54,19,35,67,4,6,10,74,43,58,39,26,67,55,69,125,61,41,67,26,15,58,45,56,125,A,,,,,,,,,F. Clavet,N. Lapentti,C252,L290,ESP,ECU,,
8996,1998,Santiago,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Clay,32,315000,$,MS006,QF,00:39:00,,F,2,E121,"6-2,1-0",Y. El Aynaoui,M. Puerta,,,MAR,ARG,6-2,1-0,,,,00:39:00,222,/en/stats/leaderboard?page=serve,False,4,54,13,24,100,13,13,64,7,11,0,0,,5,205,/en/stats/leaderboard?page=serve,4,2,56,20,36,60,12,20,31,5,16,60,3,5,5,83,20,24,53,19,36,65,39,60,47,17,36,,0,,,0,,A,,,,,,,,,Y. El Aynaoui,M. Puerta,E121,P372,MAR,ARG,,
8996,1998,Santiago,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Clay,32,315000,$,MS007,QF,02:32:00,,F,3,M535,"3-6,6-3,7-6(8)",F. Mantilla,J. Courier,,,ESP,USA,3-6,6-3,7-6(8),,,02:32:00,283,/en/stats/leaderboard?page=serve,,10,65,65,100,75,49,65,49,17,35,60,3,5,15,285,/en/stats/leaderboard?page=serve,3,16,64,68,106,75,51,68,47,18,38,71,5,7,15,66,66,100,35,37,106,50,103,206,65,69,106,34,34,100,50,103,206,A,2,,,8,6,,,,F. Mantilla,J. Courier,M535,C243,ESP,USA,,
8996,1998,Santiago,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Clay,32,315000,$,MS008,R16,00:58:00,,F,2,R286,"6-2,6-2",M. Rios,M. Rodriguez,,,CHI,ARG,6-2,6-2,,,,00:58:00,293,/en/stats/leaderboard?page=serve,False,5,58,29,50,72,21,29,71,15,21,,0,,8,205,/en/stats/leaderboard?page=serve,3,2,56,31,55,58,18,31,42,10,24,33,2,6,8,72,36,50,49,27,55,60,63,105,51,28,55,28,14,50,40,42,105,A,,,,,,,,,M. Rios,M. Rodriguez,R286,R251,CHI,ARG,,
8996,1998,Santiago,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Clay,32,315000,$,MS009,R16,02:17:00,,F,3,M578,"6-4,4-6,6-4",J. Marin,F. Squillari,,,CRC,ARG,6-4,4-6,6-4,,,02:17:00,252,/en/stats/leaderboard?page=serve,,2,59,49,83,73,36,49,50,17,34,50,4,8,15,225,/en/stats/leaderboard?page=serve,14,8,56,61,109,69,42,61,40,19,48,58,7,12,15,64,53,83,44,48,109,53,101,192,56,61,109,36,30,83,47,91,192,A,5,,,,,,,,J. Marin,F. Squillari,M578,S568,CRC,ARG,,
8996,1998,Santiago,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Clay,32,315000,$,MS010,R16,01:27:00,,F,2,L290,"7-6(7),6-3",N. Lapentti,G. Kuerten,,,ECU,BRA,7-6(7),6-3,,,,01:27:00,285,/en/stats/leaderboard?page=serve,,2,61,44,72,68,30,44,68,19,28,75,3,4,10,252,/en/stats/leaderboard?page=serve,1,10,59,50,85,66,33,50,46,16,35,81,13,16,11,68,49,72,42,36,85,54,85,157,58,49,85,32,23,72,46,72,157,A,4,,,,,7,3,,N. Lapentti,G. Kuerten,L290,K293,ECU,BRA,,
