tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
1005,2026,RABAT,WTA 250,2026-05-18,2026-05-23,Clay,RABAT,MAR,32,283347,USD,LS001,2026-05-23,F,Petra Marcinko,Anhelina Kalinina,CRO,UKR,6.0,6.0,6-2,3-0,,O,330799,320567,1005,2026,Anhelina Kalinina,Petra Marcinko,UKR,CRO,,6,5,Petra Marcinko,Anhelina Kalinina,2,"6-2,3-0 Ret'd",2026-05-23T11:46:49.3+00:00,2026-05-23,00:46:34,RABAT,"Grand Prix Son Altesse Royale La Princesse Lalla Meryem - Rabat, MAR",1005,,,320567,,330799,,00:30:35,6,2,0,,1,1,2,1,11,6,17,18,16,9,27,23,3,1,5,4,4,4,6,12,30,20,0,0,00:13:47,3,0,0,,0.0,0.0,0.0,0.0,6.0,2.0,8.0,3.0,8.0,2.0,11.0,6.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0,12.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,2026,RABAT,WTA 250,2026-05-18,2026-05-23,Clay,RABAT,MAR,32,283347,USD,LS002,2026-05-22,S,Anhelina Kalinina,Panna Udvardy,UKR,HUN,7.0,7.0,6-0,6-3,,O,320567,325956,1005,2026,Panna Udvardy,Anhelina Kalinina,HUN,UKR,7,,3,Anhelina Kalinina,Panna Udvardy,2,"6-0,6-3",2026-05-22T11:47:58.26+00:00,2026-05-22,01:00:52,RABAT,"Grand Prix Son Altesse Royale La Princesse Lalla Meryem - Rabat, MAR",1005,,,325956,,320567,,00:20:43,6,0,0,,1,0,0,0,9,3,10,11,12,5,15,17,3,0,4,0,3,3,1,8,24,8,0,0,00:39:40,6,3,0,,0.0,2.0,0.0,2.0,12.0,10.0,15.0,20.0,16.0,16.0,19.0,32.0,2.0,0.0,4.0,0.0,4.0,5.0,3.0,10.0,32.0,19.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,2026,RABAT,WTA 250,2026-05-18,2026-05-23,Clay,RABAT,MAR,32,283347,USD,LS003,2026-05-22,S,Petra Marcinko,Jil Teichmann,CRO,SUI,6.0,6.0,7-6(2),6-3,,O,330799,320926,1005,2026,Jil Teichmann,Petra Marcinko,SUI,CRO,,6,3,Petra Marcinko,Jil Teichmann,2,"7-6(2),6-3",2026-05-22T13:10:34.15+00:00,2026-05-22,01:45:07,RABAT,"Grand Prix Son Altesse Royale La Princesse Lalla Meryem - Rabat, MAR",1005,,,320926,,330799,,01:00:08,7,6,2,,3,0,3,0,21,17,25,28,27,24,38,42,1,1,2,2,6,6,4,11,45,35,0,0,00:44:31,6,3,0,,1.0,0.0,3.0,2.0,9.0,15.0,11.0,28.0,11.0,18.0,20.0,42.0,4.0,2.0,8.0,4.0,4.0,5.0,2.0,13.0,35.0,27.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,7.0,2.0,,,,,,,,,,,,,,,
1005,2026,RABAT,WTA 250,2026-05-18,2026-05-23,Clay,RABAT,MAR,32,283347,USD,LS004,2026-05-21,Q,Panna Udvardy,Camila Osorio,HUN,COL,7.0,7.0,7-5,6-3,,O,325956,325898,1005,2026,Camila Osorio,Panna Udvardy,COL,HUN,,7,3,Panna Udvardy,Camila Osorio,2,"7-5,6-3",2026-05-21T09:52:11.673+00:00,2026-05-21,01:38:43,RABAT,"Grand Prix Son Altesse Royale La Princesse Lalla Meryem - Rabat, MAR",1005,,,325898,,325956,,00:59:08,7,5,0,,1,0,2,4,16,16,20,28,26,19,46,40,3,2,4,4,6,6,4,12,47,39,0,0,00:39:35,6,3,0,,2.0,0.0,0.0,2.0,11.0,8.0,14.0,15.0,19.0,10.0,29.0,22.0,2.0,1.0,3.0,3.0,5.0,4.0,3.0,7.0,31.0,20.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,2026,RABAT,WTA 250,2026-05-18,2026-05-23,Clay,RABAT,MAR,32,283347,USD,LS005,2026-05-21,Q,Anhelina Kalinina,Anna Bondar,UKR,HUN,,5.0,6-4,7-5,,O,320567,322942,1005,2026,Anhelina Kalinina,Anna Bondar,UKR,HUN,,5,2,Anhelina Kalinina,Anna Bondar,2,"6-4,7-5",2026-05-21T13:27:30.747+00:00,2026-05-21,01:56:59,RABAT,"Grand Prix Son Altesse Royale La Princesse Lalla Meryem - Rabat, MAR",1005,,,320567,,322942,,00:48:41,6,4,,0,1,1,2,2,14,12,28,20,20,13,37,29,3,2,7,9,5,5,14,8,36,30,0,0,01:07:51,7,5,,0,0.0,2.0,2.0,1.0,14.0,17.0,27.0,31.0,23.0,23.0,43.0,47.0,3.0,2.0,5.0,3.0,6.0,6.0,13.0,14.0,47.0,43.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,2026,RABAT,WTA 250,2026-05-18,2026-05-23,Clay,RABAT,MAR,32,283347,USD,LS006,2026-05-21,Q,Jil Teichmann,Yasmine Kabbaj,SUI,MAR,,,6-1,5-7,7-6(6),O,320926,330733,1005,2026,Jil Teichmann,Yasmine Kabbaj,SUI,MAR,,,2,Jil Teichmann,Yasmine Kabbaj,3,"6-1,5-7,7-6(6)",2026-05-21T15:38:37.117+00:00,2026-05-21,03:07:01,RABAT,"Grand Prix Son Altesse Royale La Princesse Lalla Meryem - Rabat, MAR",1005,,,320926,,330733,,00:30:00,6,1,,0,0,0,0,1,7,7,10,19,13,10,16,27,3,0,7,2,3,4,3,12,30,13,0,0,01:08:54,5,7,,0,0.0,0.0,3.0,1.0,8.0,12.0,20.0,31.0,15.0,20.0,33.0,42.0,3.0,4.0,6.0,4.0,6.0,6.0,12.0,19.0,37.0,38.0,0.0,0.0,01:27:40,7,6,,6,0.0,0.0,2.0,1.0,25.0,18.0,38.0,33.0,29.0,26.0,48.0,48.0,2.0,2.0,5.0,5.0,6.0,6.0,13.0,15.0,51.0,45.0,0.0,0.0,,,,,,5.0,3.0,0.0,0.0,68.0,83.0,97.0,117.0,0.7010309278350515,0.7094017094017094,40.0,37.0,68.0,83.0,0.5882352941176471,0.4457831325301205,,,,,,,5.0,29,0.1724137931034483,15.0,16.0,,,,,,,,,,,8.0,6.0,,,,,,,,,,,
1005,2026,RABAT,WTA 250,2026-05-18,2026-05-23,Clay,RABAT,MAR,32,283347,USD,LS007,2026-05-21,Q,Petra Marcinko,Jessica Bouzas Maneiro,CRO,ESP,6.0,2.0,6-3,6-4,,O,330799,328139,1005,2026,Petra Marcinko,Jessica Bouzas Maneiro,CRO,ESP,6,2,2,Petra Marcinko,Jessica Bouzas Maneiro,2,"6-3,6-4",2026-05-21T11:52:12.987+00:00,2026-05-21,01:18:58,RABAT,"Grand Prix Son Altesse Royale La Princesse Lalla Meryem - Rabat, MAR",1005,,,330799,,328139,,00:31:20,6,3,,0,1,0,2,2,18,9,20,13,22,13,30,21,1,0,1,1,5,4,2,4,30,21,0,0,00:47:12,6,4,,0,0.0,1.0,0.0,0.0,12.0,12.0,18.0,27.0,17.0,18.0,31.0,37.0,3.0,2.0,5.0,3.0,5.0,5.0,6.0,15.0,36.0,32.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,2026,RABAT,WTA 250,2026-05-18,2026-05-23,Clay,RABAT,MAR,32,283347,USD,LS008,2026-05-20,2,Camila Osorio,Janice Tjen,COL,INA,1.0,1.0,6-3,3-6,6-0,O,325898,328818,1005,2026,Janice Tjen,Camila Osorio,INA,COL,1,,3,Camila Osorio,Janice Tjen,3,"6-3,3-6,6-0",2026-05-20T13:54:06.593+00:00,2026-05-20,02:06:37,RABAT,"Grand Prix Son Altesse Royale La Princesse Lalla Meryem - Rabat, MAR",1005,,,328818,,325898,,00:34:41,6,3,0,,2,0,2,2,13,11,21,15,17,13,30,22,2,1,3,2,5,4,8,4,26,26,0,0,00:55:58,3,6,0,,0.0,0.0,5.0,2.0,17.0,16.0,28.0,22.0,20.0,22.0,40.0,40.0,1.0,2.0,5.0,11.0,4.0,5.0,11.0,6.0,38.0,42.0,0.0,0.0,00:35:57,6,0,0,,0.0,0.0,0.0,2.0,9.0,10.0,11.0,23.0,12.0,14.0,15.0,34.0,3.0,0.0,5.0,0.0,3.0,3.0,2.0,13.0,32.0,17.0,0.0,0.0,,,,,,7.0,6.0,2.0,0.0,60.0,60.0,85.0,96.0,0.7058823529411765,0.625,39.0,37.0,60.0,60.0,0.65,0.6166666666666667,,,,,,,10.0,26,0.38461538461538464,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,
1005,2026,RABAT,WTA 250,2026-05-18,2026-05-23,Clay,RABAT,MAR,32,283347,USD,LS009,2026-05-20,2,Panna Udvardy,Sada Nahimana,HUN,BDI,7.0,7.0,6-4,6-1,,O,325956,325614,1005,2026,Sada Nahimana,Panna Udvardy,BDI,HUN,,7,3,Panna Udvardy,Sada Nahimana,2,"6-4,6-1",2026-05-20T11:18:18.113+00:00,2026-05-20,01:24:23,RABAT,"Grand Prix Son Altesse Royale La Princesse Lalla Meryem - Rabat, MAR",1005,,,325614,,325956,,00:54:35,6,4,0,,0,3,1,1,16,15,23,26,25,18,41,35,2,1,4,2,5,5,7,11,42,34,0,0,00:29:46,6,1,0,,0.0,0.0,0.0,0.0,10.0,2.0,13.0,9.0,16.0,6.0,21.0,15.0,2.0,0.0,2.0,0.0,4.0,3.0,3.0,7.0,25.0,11.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,2026,RABAT,WTA 250,2026-05-18,2026-05-23,Clay,RABAT,MAR,32,283347,USD,LS010,2026-05-20,2,Anhelina Kalinina,Yuliia Starodubtseva,UKR,UKR,4.0,4.0,6-3,7-6(3),,O,320567,325338,1005,2026,Yuliia Starodubtseva,Anhelina Kalinina,UKR,UKR,4,,3,Anhelina Kalinina,Yuliia Starodubtseva,2,"6-3,7-6(3)",2026-05-20T16:14:40.097+00:00,2026-05-20,02:12:59,RABAT,"Grand Prix Son Altesse Royale La Princesse Lalla Meryem - Rabat, MAR",1005,,,325338,,320567,,00:43:20,6,3,0,,0,0,2,0,11,11,20,25,12,14,26,34,3,2,7,2,5,4,9,14,32,28,0,0,01:29:39,7,6,3,,0.0,0.0,2.0,2.0,16.0,13.0,38.0,32.0,28.0,19.0,55.0,45.0,4.0,4.0,8.0,11.0,6.0,6.0,22.0,19.0,54.0,46.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,7.0,3.0,,,,,,,,,,,,,
