tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
2012,2023,BERLIN,WTA 500,2023-06-19,2023-06-25,Grass,BERLIN,GERMANY,32,780637,USD,LS001,2023-06-25,F,Petra Kvitova,Donna Vekic,CZE,CRO,7.0,,6-2,7-6(6),,O,314206,318516,2012,2023,Petra Kvitova,Donna Vekic,CZE,CRO,7,,2,Petra Kvitova,Donna Vekic,2,"6-2,7-6(6)",2023-06-25T13:19:24.367+00:00,2023-06-25,01:41:31,BERLIN,"bett1open, presented by ecotrans Group - Berlin, GER",2012,,,314206,,318516,,00:33:11,6,2,,0,5.0,2.0,2.0,1.0,12.0,10.0,16.0,15.0,18.0,11.0,26.0,20.0,2.0,0.0,3.0,1.0,4.0,4.0,4.0,5.0,27.0,19.0,0.0,0.0,01:08:19,7,6,,6,3.0,5.0,3.0,2.0,24.0,22.0,33.0,27.0,30.0,26.0,47.0,39.0,1.0,1.0,1.0,4.0,6.0,6.0,9.0,5.0,43.0,43.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,8.0,6.0,,,,,,,,,,,,,
2012,2023,BERLIN,WTA 500,2023-06-19,2023-06-25,Grass,BERLIN,GERMANY,32,780637,USD,LS002,2023-06-24,S,Petra Kvitova,Ekaterina Alexandrova,CZE,RUS,7.0,7.0,6-3,6-4,,O,314206,319007,2012,2023,Ekaterina Alexandrova,Petra Kvitova,RUS,CZE,,7,3,Petra Kvitova,Ekaterina Alexandrova,2,"6-3,6-4",2023-06-24T15:28:17.943+00:00,2023-06-24,01:19:41,BERLIN,"bett1open, presented by ecotrans Group - Berlin, GER",2012,,,319007,,314206,,00:40:10,6,3,0,,2.0,0.0,2.0,0.0,12.0,8.0,17.0,12.0,23.0,16.0,35.0,24.0,1.0,0.0,2.0,0.0,5.0,4.0,5.0,4.0,31.0,28.0,0.0,0.0,00:39:31,6,4,0,,2.0,0.0,2.0,2.0,15.0,17.0,18.0,22.0,21.0,21.0,28.0,31.0,1.0,0.0,4.0,0.0,5.0,5.0,3.0,5.0,31.0,28.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,2023,BERLIN,WTA 500,2023-06-19,2023-06-25,Grass,BERLIN,GERMANY,32,780637,USD,LS003,2023-06-24,S,Donna Vekic,Maria Sakkari,CRO,GRE,6.0,6.0,6-4,7-6(8),,O,318516,318312,2012,2023,Maria Sakkari,Donna Vekic,GRE,CRO,6,,3,Donna Vekic,Maria Sakkari,2,"6-4,7-6(8)",2023-06-24T12:50:05.4+00:00,2023-06-24,02:16:35,BERLIN,"bett1open, presented by ecotrans Group - Berlin, GER",2012,,,318312,,318516,,00:58:34,6,4,0,,2.0,3.0,3.0,0.0,17.0,14.0,27.0,22.0,26.0,20.0,45.0,37.0,2.0,1.0,6.0,6.0,5.0,5.0,10.0,8.0,43.0,39.0,0.0,0.0,01:18:01,7,6,8,,3.0,2.0,3.0,2.0,19.0,24.0,25.0,38.0,27.0,33.0,47.0,57.0,2.0,2.0,5.0,5.0,6.0,6.0,6.0,14.0,51.0,53.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,10.0,8.0,,,,,,,,,,,,,
2012,2023,BERLIN,WTA 500,2023-06-19,2023-06-25,Grass,BERLIN,GERMANY,32,780637,USD,LS004,2023-06-24,Q,Ekaterina Alexandrova,Veronika Kudermetova,RUS,RUS,,,,,,O,319007,319526,2012,2023,Veronika Kudermetova,Ekaterina Alexandrova,RUS,RUS,,,7,Ekaterina Alexandrova,Veronika Kudermetova,0, W/O,2023-06-24T08:48:04.2+00:00,2023-06-24,00:00:00,BERLIN,"bett1open, presented by ecotrans Group - Berlin, GER",2012,,,319526,,319007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,2023,BERLIN,WTA 500,2023-06-19,2023-06-25,Grass,BERLIN,GERMANY,32,780637,USD,LS005,2023-06-24,Q,Petra Kvitova,Caroline Garcia,CZE,FRA,7.0,3.0,6-4,7-6(3),,O,314206,315391,2012,2023,Caroline Garcia,Petra Kvitova,FRA,CZE,3,7,3,Petra Kvitova,Caroline Garcia,2,"6-4,7-6(3)",2023-06-24T10:07:55.33+00:00,2023-06-24,01:54:34,BERLIN,"bett1open, presented by ecotrans Group - Berlin, GER",2012,,,315391,,314206,,00:52:12,6,4,0,,7.0,2.0,5.0,3.0,13.0,18.0,16.0,28.0,18.0,27.0,29.0,50.0,2.0,1.0,6.0,1.0,5.0,5.0,3.0,10.0,41.0,38.0,0.0,0.0,01:02:22,7,6,3,,6.0,7.0,1.0,3.0,22.0,25.0,26.0,39.0,29.0,34.0,36.0,55.0,0.0,0.0,7.0,0.0,6.0,6.0,4.0,14.0,50.0,41.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,7.0,3.0,,,,,,,,,,,,,
2012,2023,BERLIN,WTA 500,2023-06-19,2023-06-25,Grass,BERLIN,GERMANY,32,780637,USD,LS006,2023-06-24,Q,Maria Sakkari,Marketa Vondrousova,GRE,CZE,6.0,,7-6(7),6-1,,O,318312,323027,2012,2023,Maria Sakkari,Marketa Vondrousova,GRE,CZE,6,,2,Maria Sakkari,Marketa Vondrousova,2,"7-6(7),6-1",2023-06-24T08:17:41.887+00:00,2023-06-24,01:27:21,BERLIN,"bett1open, presented by ecotrans Group - Berlin, GER",2012,,,318312,,323027,,00:58:13,7,6,,7,0.0,0.0,1.0,3.0,23.0,23.0,30.0,29.0,30.0,29.0,43.0,42.0,1.0,1.0,1.0,2.0,6.0,6.0,7.0,6.0,43.0,42.0,0.0,0.0,00:29:08,6,1,,0,1.0,2.0,0.0,2.0,12.0,8.0,17.0,14.0,17.0,10.0,22.0,22.0,2.0,0.0,5.0,1.0,4.0,3.0,5.0,6.0,29.0,15.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,9.0,7.0,,,,,,,,,,,,,,,
2012,2023,BERLIN,WTA 500,2023-06-19,2023-06-25,Grass,BERLIN,GERMANY,32,780637,USD,LS007,2023-06-24,Q,Donna Vekic,Elina Avanesyan,CRO,RUS,,,6-2,7-6(0),,O,318516,327620,2012,2023,Elina Avanesyan,Donna Vekic,RUS,CRO,,,3,Donna Vekic,Elina Avanesyan,2,"6-2,7-6(0)",2023-06-24T08:19:35.51+00:00,2023-06-24,01:33:54,BERLIN,"bett1open, presented by ecotrans Group - Berlin, GER",2012,,,327620,,318516,,00:34:38,6,2,0,,1.0,0.0,1.0,1.0,13.0,12.0,14.0,21.0,17.0,14.0,24.0,30.0,2.0,0.0,4.0,0.0,4.0,4.0,1.0,9.0,33.0,21.0,0.0,0.0,00:59:49,7,6,0,,2.0,1.0,0.0,1.0,17.0,14.0,31.0,26.0,25.0,17.0,45.0,37.0,3.0,3.0,4.0,4.0,6.0,6.0,14.0,12.0,45.0,37.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,7.0,0.0,,,,,,,,,,,,,
2012,2023,BERLIN,WTA 500,2023-06-19,2023-06-25,Grass,BERLIN,GERMANY,32,780637,USD,LS008,2023-06-22,2,Veronika Kudermetova,Aryna Sabalenka,RUS,BLR,1.0,1.0,6-2,7-6(2),,O,319526,320760,2012,2023,Aryna Sabalenka,Veronika Kudermetova,BLR,RUS,1,,3,Veronika Kudermetova,Aryna Sabalenka,2,"6-2,7-6(2)",2023-06-22T12:51:44.223+00:00,2023-06-22,01:39:06,BERLIN,"bett1open, presented by ecotrans Group - Berlin, GER",2012,,,320760,,319526,,00:34:32,6,2,0,,2.0,4.0,1.0,1.0,8.0,12.0,9.0,16.0,16.0,14.0,19.0,28.0,2.0,0.0,2.0,0.0,4.0,4.0,1.0,4.0,30.0,17.0,0.0,0.0,01:04:33,7,6,2,,3.0,1.0,0.0,1.0,22.0,16.0,27.0,21.0,30.0,24.0,43.0,35.0,1.0,1.0,2.0,2.0,6.0,6.0,5.0,5.0,41.0,37.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,7.0,2.0,,,,,,,,,,,,,
2012,2023,BERLIN,WTA 500,2023-06-19,2023-06-25,Grass,BERLIN,GERMANY,32,780637,USD,LS009,2023-06-22,2,Ekaterina Alexandrova,Coco Gauff,RUS,USA,,5.0,6-4,6-0,,O,319007,328560,2012,2023,Ekaterina Alexandrova,Coco Gauff,RUS,USA,,5,2,Ekaterina Alexandrova,Coco Gauff,2,"6-4,6-0",2023-06-22T09:01:24.25+00:00,2023-06-22,01:15:23,BERLIN,"bett1open, presented by ecotrans Group - Berlin, GER",2012,,,319007,,328560,,00:43:11,6,4,,0,3.0,6.0,2.0,2.0,12.0,11.0,14.0,17.0,18.0,21.0,26.0,39.0,2.0,1.0,6.0,1.0,5.0,5.0,2.0,6.0,36.0,29.0,0.0,0.0,00:32:11,6,0,,0,0.0,0.0,1.0,1.0,13.0,6.0,16.0,14.0,16.0,9.0,25.0,25.0,3.0,0.0,6.0,4.0,3.0,3.0,3.0,8.0,32.0,18.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,2023,BERLIN,WTA 500,2023-06-19,2023-06-25,Grass,BERLIN,GERMANY,32,780637,USD,LS010,2023-06-21,2,Caroline Garcia,Jaimee Fourlis,FRA,AUS,3.0,,6-3,6-2,,O,315391,322822,2012,2023,Caroline Garcia,Jaimee Fourlis,FRA,AUS,3,,2,Caroline Garcia,Jaimee Fourlis,2,"6-3,6-2",2023-06-21T10:58:48.923+00:00,2023-06-21,01:28:36,BERLIN,"bett1open, presented by ecotrans Group - Berlin, GER",2012,,,315391,,322822,,00:44:58,6,3,,0,3.0,1.0,1.0,0.0,10.0,15.0,11.0,29.0,20.0,23.0,25.0,41.0,1.0,0.0,7.0,0.0,5.0,4.0,1.0,14.0,38.0,28.0,0.0,0.0,00:43:37,6,2,,0,3.0,0.0,0.0,0.0,11.0,8.0,13.0,19.0,16.0,13.0,22.0,27.0,2.0,0.0,3.0,0.0,4.0,4.0,2.0,11.0,30.0,19.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
